Estimated daily crossings,Latitude,Longitude,Name
160,32.736075,-86.899308,Co Rd 803
160,32.953609,-86.639768,Co Rd 174
418,32.912353,-86.640913,I- 65
185,32.958776,-86.745359,Railroad St/Watson St
185,32.851016,-86.623038,Lay Dam Rd/Rockett Ave
160,32.904040,-86.699651,Cherokee Rd/Nancy St
160,32.927801,-86.785335,/State Rte 191
1563,32.800693,-86.575509,7th St S
631,32.839619,-86.630051,6th St N/2nd Ave N
499,32.888061,-86.624155,I- 65/State Rte 145
305,32.852669,-86.631999,Kemp St
216,32.959697,-86.746873,Church St/Main St/N Main St
418,33.064185,-86.728809,I- 65
334,32.991703,-86.695334,I- 65
185,32.835918,-86.632786,1st Ave/9th St N
160,32.937354,-86.833711,Co Rd 42/Co Rd 50
185,32.899216,-86.695535,US Hwy 31
276,32.909818,-86.707321,Oak St/Peterson Ave
216,32.958621,-86.747324,Bibb St/2nd St
362,32.819499,-86.586453,I- 65/Poplar Springs Rd
160,32.951870,-86.647349,Co Rd 68
160,32.935000,-86.750772,W Medical Center Dr/Co Rd 854
160,32.833638,-86.637538,11th St/4th Ave S
276,32.919041,-86.713189,Michigan Ave/Jefferson St
276,32.837272,-86.640407,13th St N/2nd Ave N
216,32.961166,-86.775604,Co Rd 25
160,32.982476,-86.680539,Co Rd 42/Co Rd 51/Co Rd 42 E
362,32.821553,-86.609598,Country Club Rd/Poplar Springs Rd
160,32.716498,-86.575248,Co Rd 445/Co Rd 57
160,32.861510,-86.625919,Corbin St
160,32.853558,-86.642204,Ware Ave/8th St
160,32.805152,-86.530984,Dead End
185,32.838501,-86.588076,Co Rd 41
160,32.660747,-86.831127,Co Rd 334
185,32.874972,-86.644869,Oak Ridge Ln
216,32.775661,-86.545082,Co Rd 495/Co Rd 97
418,32.837097,-86.654390,Martha St/2nd Ave N
305,32.905541,-86.635897,I- 65
160,32.838034,-86.622824,1st St/4th Ave S
185,32.812331,-86.596297,Wilson Rd/Campbell Rd
160,32.922252,-86.720049,/Dakota Cir
185,32.814517,-86.631067,Co Rd 864
