Estimated daily crossings,Latitude,Longitude,Name
276,32.411752,-87.002098,Gregory St/Water Ave
185,32.420949,-87.027452,Philpot Ave/Kayser St
160,32.454211,-86.952638,Co Rd 540
390,32.404663,-87.039529,/Marina Dr
246,32.404559,-87.031159,Selma Ave/King St
160,32.382624,-87.088903,/W Dallas Ave
216,32.411636,-87.034366,Young St/Montgomery Ave
472,32.416224,-87.024124,Broad St
160,32.420932,-87.028256,Philpot Ave/Tremont St
276,32.426353,-87.031678,Caisson Dr/Lapsley St
1407,32.428463,-87.024348,Broad St/Paul Grist Dr
216,32.445431,-87.154150,US Hwy 80/Dallas County 29
1304,32.430283,-87.031238,Howell Ave/Kincey Ct
160,32.355831,-86.973080,US Hwy 80
216,32.423862,-87.014331,Marie Foster St/3rd Ave
160,32.398899,-87.297120,Jones Rd/Dallas County 959
305,32.375557,-86.999868,Henry St/South Ave
160,32.417724,-87.009686,Maxey St/Small Ave
276,32.363083,-86.989997,Chickasaw Ave/N B F Homes
216,32.415747,-87.040478,Forrest Ave
216,32.328729,-86.941357,Dallas County 34/US Hwy 80/Co Rd 34
185,32.415408,-87.015519,Voeglin Ave/St Ann St
160,32.393929,-87.087835,Land Line Rd
994,32.446233,-87.012093,Middle Ln/Back St
246,32.363011,-86.990189,Chickasaw Ave/Nbf Homes
246,32.417386,-87.029985,Union St/Voeglin Ave
185,32.366530,-86.996805,US Hwy 80
185,32.406366,-87.009337,Mulberry Rd
305,32.409838,-87.026440,Harpers Ct/Mabry St
185,32.662309,-86.930957,Chestnut St/5th Ave
246,32.405834,-87.058007,Barker St/Old Orrville Rd
305,32.418525,-87.030545,Duke St/Ll Anderson Ave
160,32.449975,-87.032041,Co Rd 236
160,32.519945,-86.989007,/Rush Seymore Rd
499,32.412373,-87.031143,Puryfory St/Lapsley St
276,32.421346,-87.014300,Philpot Ave/Marie Foster St/Range St
185,32.350288,-86.966616,Nbf Homes
160,32.412982,-87.024212,Lauderdale St/Furniss Ave
185,32.440095,-87.244671,US Hwy 80
390,32.405907,-87.042854,/Dallas Ave
390,32.424408,-87.033545,Cannon Dr/3rd Ave
160,32.364592,-86.991778,US Hwy 80/Jones Trailer Park
160,32.315573,-86.880684,US Hwy 80
276,32.403917,-87.031123,King St/Lamar Ave
160,32.439676,-87.285536,US Hwy 80
334,32.410473,-87.015279,/Martin Luther King St
185,32.437305,-87.036111,Mc Donald Ave
390,32.433573,-87.033503,Birch Ave/Lapsley St
160,32.359234,-86.977030,Old Montgomery Rd
185,32.431612,-87.107725,Co Rd 803
246,32.439880,-87.042920,Brookwood Cir/Broowood Dr
160,32.406197,-87.000051,Shelly Ave/Grey St
305,32.393116,-87.013860,US Hwy 80/Choctaw Ave
216,32.405184,-87.059998,Barrett Rd/Old Orrville Rd
185,32.413272,-87.053488,Cahaba Rd/Old Marion Junction Rd
579,32.406239,-87.017751,Washington St
160,32.406292,-87.050953,W Dallas Ave/Houston Park
185,32.375580,-87.008726,/US Hwy 80
305,32.427335,-87.030676,Bienville St/Battery Ave
185,32.318828,-86.897163,/US Hwy 80
160,32.414828,-87.012612,Legrand St/J L Chestnut Jr Blvd
216,32.318730,-86.896605,US Hwy 80
185,32.519641,-86.980996,Dogwood Ln
499,32.427591,-87.014378,Twilley Ave/Marie Foster St
472,32.412863,-87.031427,Lapsley St/Montgomery Ave
305,32.392963,-87.009688,S Buckner Ave/Old Montgomery Rd
160,32.507109,-87.046665,/Dallas County 37
185,32.404190,-87.024924,Union St
305,32.443376,-87.038016,Woodrow Ave/Kingsley Dr
472,32.413261,-87.014730,St Ann St/St Phillips St
216,32.375148,-87.008841,/Churchill Ave
216,32.445636,-87.154087,US Hwy 80/Dallas County 29
305,32.434068,-87.064380,US Hwy 80
526,32.439718,-87.015283,Unamed Apt Complex Driveway/Unamed Apt Cmplx Drvwy
216,32.388705,-87.006015,Iris St/Cardinal Ave
160,32.314984,-86.989445,Co Rd 477
160,32.439847,-87.290811,US Hwy 80
160,32.290695,-87.013771,/Dallas County 30
185,32.661057,-86.932209,Citizens Pkwy
334,32.417344,-87.029009,Voeglin Ave/Mabry St
185,32.276052,-87.391852,Jefferson Davis Hwy
276,32.410625,-87.002067,Gregory St/Perham Ave
160,32.423180,-87.008170,2nd Ave/Weaver St
305,32.413518,-87.033207,Gary Ave/Pettus St
185,32.517463,-87.047135,Dallas County 39/Centenary St
499,32.413358,-87.020706,Franklin St/Furniss Ave
185,32.347127,-87.176610,Dallas County 346/State Rte 22
246,32.443447,-87.032866,Thomas Dr/Woodrow Ave
276,32.419331,-87.033289,Hudson St/Minter Ave
160,32.323205,-86.906479,US Hwy 80
684,32.430853,-87.056316,Medical Center Pkwy
160,32.394106,-86.992809,Cecil Jackson Byp
276,32.406580,-87.026313,Union St/Selma Ave
276,32.443240,-87.014571,Earl Goodwin Pkwy/Singleton Dr
246,32.408880,-86.996850,S Race St
216,32.373475,-87.003898,Indiana Ave/Main St
246,32.075204,-86.995408,Dallas County 422/Dallas County 59
160,32.469018,-87.006442,Citizens Pkwy
334,32.433906,-87.043837,Valley Creek
160,32.441204,-87.390363,/US Hwy 80
185,32.358530,-86.978599,/Ave A
216,32.395995,-87.009098,Landsend Ave/Johnson St
246,32.414541,-87.051923,Old Cahaba Rd/Grove Ln
246,32.401421,-86.997635,River Rd
185,32.416417,-87.015312,Griffin Ave/St Ann St
160,32.132015,-87.085727,/State Rte 41
216,32.389550,-87.013147,/Hood Ave S
390,32.432903,-87.026220,8th Ave/N Lauderdale St
185,32.414851,-87.009955,Maxey St/J L Chestnut Jr Blvd
216,32.415232,-87.014228,Marie Foster St/Voeglin Ave/Range St
526,32.430069,-87.022153,Poplar St/Primrose Ter
160,32.586401,-86.935168,Dallas County 63
160,32.418363,-87.064031,Crown Ridge Dr
160,32.388303,-87.004465,Shepherd Ave/Maple St
305,32.411071,-86.998319,Dedman St/Perham Ave
276,32.395684,-87.076861,Old Orrville Rd/Pine Tree Dr
160,32.315617,-87.384272,Dallas County 50/State Rte 5
160,32.412540,-87.070320,Camelot Cir
276,32.431303,-87.010781,/E Highland Ave
472,32.412062,-87.015048,St John St/St Phillips St
276,32.419745,-87.028222,Tremont St/Minter Ave
418,32.411684,-87.030732,Mc Leod Ave/Lapsley St
160,32.450832,-87.002696,Merrifield Dr
305,32.363718,-86.989762,Chickasaw Ave/US Hwy 80
362,32.425357,-87.028527,4th Ave/Tremont St
276,32.416826,-87.042717,Kent St/Wheeler Ave
216,32.416518,-87.026580,Church St
185,32.393996,-87.007909,Knightswood St/Johnson St/S Buckner Ave
185,32.317540,-86.893210,/US Hwy 80
362,32.427095,-87.012047,4th Ave/5th Ave
631,32.416224,-87.031561,Buckeye Ave/Lapsley St
185,32.290384,-87.239139,Dallas County 115/Dallas County 33
185,32.408983,-86.998985,Medley Ave/Goldsby Aly
160,32.513613,-87.047556,Bob White Dr
160,32.353006,-86.962589,F St
185,32.434282,-87.047873,Tippett Dr
216,32.419719,-87.014276,Marie Foster St/Keller Ave
334,32.422295,-87.014315,Marie Foster St/1st Ave
185,32.406883,-87.203228,Dallas County 45/Dallas County 189
160,32.557373,-87.039199,Dallas County 39
160,32.356004,-86.973078,US Hwy 80/Old Montgomery Rd
246,32.408251,-87.015200,Water Ave/Lawrence St
216,32.437185,-87.102293,/US Hwy 80
499,32.407871,-87.033441,Bluff St
160,32.420417,-87.012018,Legrande St/Eugene Ave
216,32.439715,-87.030402,Mangum Ave/Lamont St
865,32.370286,-87.010272,Cummings Cir
