Estimated daily crossings,Latitude,Longitude,Name
246,30.676375,-88.219667,Old Government Street Rd
216,30.561824,-88.181562,/Carol Plantation Rd
246,30.535543,-88.084270,/Bay Rd
216,30.590317,-88.198564,Lincolnshire Rd/Lucinda Dr
185,30.731624,-88.151117,Shelton Beach Rd Exd
684,30.691501,-88.088191,/Spring Hill Ave
276,30.249836,-88.180175,Bienville Blvd/Surf Ct
160,30.658131,-88.240648,/Jeff Hamilton Rd Exd
160,30.616758,-88.259530,McFarland Tr Ct
362,30.671921,-88.054976,S Broad St
160,30.732974,-88.069809,Willjohn St/Eugene Ave
246,30.668999,-88.084932,Dublin St/Cherokee St
160,30.731504,-88.132931,Smith Dr
160,30.491185,-88.111919,North St/Cedar Point Rd
276,30.567948,-88.171817,/Government Blvd
160,30.558885,-88.185790,Boykin Rd
1615,30.639980,-88.248351,Cottage Hill Rd
305,30.725398,-88.193882,/Howells Ferry Rd
1278,30.685339,-88.206329,Airport Blvd
3005,30.682626,-88.225470,/Schillinger Rd S
160,30.755240,-88.076967,N Fairport Dr/Ball Ave
185,30.626424,-88.283270,Plantation Dr W/Dairy Dr S
2923,30.688909,-88.050273,S Dearborn St/N Dearborn St/Dauphin St
246,30.693621,-88.116484,Heather St/Ivy St
246,30.767212,-88.095114,/W Lee St
216,30.623729,-88.224691,/Schillinger Rd S
2009,30.675868,-88.142447,Airport Blvd Srvc Rd
390,30.672236,-88.099810,Government Blvd
160,30.836929,-88.230930,Spice Pond Rd
552,30.256399,-88.112421,/Chaumont Ave/Le Moyne Dr
390,30.667183,-88.087105,Dauphin Island Pkwy/Bankhead St
160,30.945894,-88.218525,/US Hwy 45
305,30.703570,-88.079022,St Stephens Rd
160,30.721959,-88.211674,Tangerine Ave/W Orchard Dr
2328,30.639991,-88.247948,Cottage Hill Rd/Dawes Rd
1537,30.692410,-88.073072,N Catherine St/Spring Hill Ave
185,30.696914,-88.132158,Myrtlewood Ln
246,30.671032,-88.230251,Aztec Dr/Kimberlin Dr N
1433,30.675985,-88.147194,/Airport Blvd
246,30.589178,-88.085208,Marydale Dr/Staples Rd
6579,30.689517,-88.173035,Old Shell Rd
185,30.666652,-88.049113,/Ledyard St
216,30.704205,-88.081824,Donald St
216,30.689945,-88.066876,Old Shell Rd/Bush Ave
472,30.684997,-88.207615,Cody Rd
334,30.682797,-88.084735,/S Carlen St
160,30.624772,-88.154424,S Polaris Dr/S Regulus Dr
216,30.635888,-88.207741,Sollie Rd
160,30.761369,-88.261277,Roberts Ln/
276,30.673253,-88.052701,Maryland St/S Bayou St
305,30.674293,-88.078777,Elliott St/Tisdale St
185,30.715818,-88.088704,/Donald St/Florence St
160,30.672883,-88.060199,/Virginia St/Murphy St
216,30.733468,-88.109718,Jessie St/Warsaw Ave
276,30.710371,-88.079713,Agate St/Carstens St
216,30.594819,-88.229308,Middle Ring Rd/Clearview Dr
160,30.616768,-88.192766,Grenadier Ct
185,30.646980,-88.182951,/Cedar Knot Ct
160,30.610374,-88.258423,McFarland Rd
160,30.529918,-88.221234,N Pecan Dr/Murray Hill Rd
362,30.681877,-88.090187,Emogene St
362,30.546676,-88.222272,/Moreland Rd
305,30.641299,-88.109065,Pineway Rd N/Fleetwood Dr E
762,30.618585,-88.156936,Teal Ln/Government Blvd/Demetropolis Rd
185,30.681718,-88.038167,/Canal St/Palmetto St
788,30.674604,-88.044274,Texas St/Delaware St/I- 10
