Estimated daily crossings,Latitude,Longitude,Name
305,32.449517,-87.509896,Jeanie Ave/Washington St
305,32.626607,-87.331563,Lincoln Hts
160,32.830185,-87.255978,State Rte 5
246,32.637673,-87.323976,Thompson Cir
216,32.631421,-87.300045,E Lafayette St/State Rte 5
246,32.453004,-87.507823,North St
472,32.619549,-87.317589,Fikes Ferry Rd/Washington St
160,32.803700,-87.266491,/State Rte 5
526,32.639133,-87.325135,Marion Manor/Aurelia St
390,32.446069,-87.518507,M L K Dr/Lucian St/Sumac St
216,32.484001,-87.431492,Co Rd 12/Hinton Rd
246,32.639574,-87.308836,West St
185,32.626536,-87.313050,Mayfair Park/Seal St
362,32.450066,-87.509881,Jeanie Ave/Cobb St
216,32.629745,-87.317827,Pickens St/Troupe St
160,32.654015,-87.293954,Tutwiler Rd
160,32.486733,-87.425519,Co Rd 12
276,32.449514,-87.510304,Royal Ave/Washington St
305,32.448452,-87.512983,Broadway St/Green St
160,32.454985,-87.521034,/Bunny St
276,32.622406,-87.315155,Grove St
216,32.454490,-87.513106,Broadway St/Pitts St
216,32.634330,-87.324654,W Monroe St
185,32.467830,-87.481160,Co Rd 12
472,32.633383,-87.319047,Washington St/Green St
334,32.632466,-87.317976,Pickens St/Green St
418,32.449377,-87.519643,Langward Ave/Washington St
160,32.642857,-87.379899,Pitt Jackson Rd
216,32.447139,-87.517400,/South St
185,32.438328,-87.498149,Yelverton St
160,32.635556,-87.315133,Sprott St/Martin Luther King Pkwy
160,32.454935,-87.520105,Rabbit Ave/Bunny St
246,32.447162,-87.519516,South St/Ward Meadow
160,32.436466,-87.510573,Cedar Hill/Cedar Bluff Rd
185,32.625661,-87.322341,Polk St
246,32.450065,-87.480101,/US Hwy 80
216,32.642856,-87.380111,Pitt Jackson Rd
552,32.452942,-87.508265,North St/Old Hamburg Rd
160,32.551910,-87.271970,/Co Rd 45
160,32.786163,-87.273973,State Rte 5
276,32.637027,-87.309635,Martin Luther King Pkwy/Tutwiler Rd
185,32.558169,-87.278929,Co Rd 45
160,32.456035,-87.520114,Rabbit Ave/Old Greensboro Rd
185,32.620390,-87.322413,Prier Dr/Polk St
160,32.587390,-87.307500,Co Rd 45
160,32.627470,-87.316599,Mason St/Bibb St
160,32.473492,-87.460616,/Co Rd 12
185,32.445954,-87.521620,M L K Dr/M L King Dr
160,32.608918,-87.439157,Co Rd 23//Rural Route 1
160,32.642992,-87.316631,Turner Ln/Clements St
160,32.449928,-87.486533,/US Hwy 80
334,32.630207,-87.300101,Cahaba Hts
160,32.506870,-87.112753,Honey Hill
216,32.452880,-87.510484,North St/Hinton Ct
185,32.774625,-87.276265,Onrow Tubbs Rd/Co Rd 47
160,32.786234,-87.274411,Co Rd 47
185,32.643303,-87.316545,Turner Ln/North Dr
160,32.822825,-87.258210,/State Rte 5
160,32.634476,-87.379962,Co Rd 24
160,32.639724,-87.295086,/State Rte 5
160,32.765200,-87.280636,State Rte 5
185,32.631656,-87.313526,E Lafayette St/H G Williams Cir
472,32.633373,-87.321420,Green St/Spring St
418,32.639172,-87.324652,Marion Manor
160,32.440616,-87.516844,Key St
334,32.446140,-87.515935,Lucian St/West Ave
246,32.448532,-87.520272,Langward Cir
160,32.611558,-87.316966,/Crestwood Dr
160,32.609388,-87.295920,Fikes Ferry Rd//Co Rd 30
160,32.631417,-87.321182,Smith St/W Lafayette St
276,32.451552,-87.516689,Franklin St/Old Greensboro Rd
185,32.447711,-87.521394,Langward St/M L King Dr
276,32.622439,-87.315498,Grove St
160,32.626151,-87.326645,Lincoln St/Margin St
160,32.803334,-87.282150,/Co Rd 162
160,32.798250,-87.269160,State Rte 5
418,32.638835,-87.326233,Graham Cir
246,32.616639,-87.317146,Washington St
246,32.454501,-87.514463,Water Ave/Pitts St
246,32.436422,-87.512022,Cedar Bluff Rd
185,32.438042,-87.516090,Co Rd 53/West Ave
160,32.454932,-87.524185,Bunny St
276,32.637023,-87.310073,Martin Luther King Pkwy
160,32.798253,-87.269529,/Co Rd 47
160,32.548865,-87.268376,Co Rd 4
362,32.450974,-87.524183,Kappa Ln/Jones St
362,32.620393,-87.309009,/State Rte 5
185,32.440275,-87.515159,Gray St
160,32.638160,-87.329858,Thompson St/Eutaw St
160,32.468809,-87.426041,/Co Rd 177
246,32.438364,-87.497520,Yelverton St
445,32.637008,-87.329859,Eutaw St
185,32.486530,-87.425999,/Co Rd 12
160,32.569217,-87.291129,/Co Rd 45
160,32.810203,-87.471192,Co Rd 191
499,32.450482,-87.515826,Front St/West Ave
160,32.448605,-87.504887,Smith Ave/Village Ave
160,32.615746,-87.316743,State Rte 5
160,32.593009,-87.318521,Co Rd 35
276,32.634362,-87.320320,Jackson St/W Monroe St
185,32.618566,-87.310756,Fikes Ferry Rd/State Rte 5
160,32.634191,-87.404892,/Co Rd 24
216,32.627688,-87.332220,N Awesome Ln NW Exd/Lincoln Hts
185,32.631687,-87.312770,E Lafayette St/
334,32.439296,-87.513585,Broadway St/Cedar Bluff/Cedar Hill
185,32.627783,-87.325544,Clay St
472,32.631549,-87.315563,E Lafayette St
160,32.757261,-87.283567,Thompson Cemetary Rd/State Rte 5
160,32.525678,-87.446889,/Stephens Memorial Rd
185,32.590646,-87.352346,State Rte 183
160,32.623556,-87.326223,College St
418,32.432764,-87.511093,/Lung Dr
246,32.448306,-87.520268,Ward Meadows/Langward Cir
185,32.618443,-87.306050,Carol St
160,32.615243,-87.317096,Washington St
276,32.444583,-87.519784,/Norfleet
160,32.473619,-87.450604,Co Rd 12
445,32.453609,-87.518771,Hare Cir/Old Greensboro Rd
160,32.635835,-87.329861,Eutaw St/Patton Dr
160,32.605691,-87.188257,/Co Rd 10
