Estimated daily crossings,Latitude,Longitude,Name
160,33.320318,-87.906384,/4th St NW
216,33.286417,-87.859716,US Hwy 82
160,33.402710,-88.125195,US Hwy 82
160,33.404248,-88.004471,Shady Grove Ln
160,33.110512,-88.111500,Olney - Benevola Rd
160,33.404753,-88.096989,/US Hwy 82
216,33.125954,-88.146520,5th St SE/2nd Ave SE
160,33.308020,-87.894320,Elmore Center Church Rd//Brookdale
276,33.399672,-88.062182,Dock Sanders Rd/Rin Rd
185,33.317800,-87.909399,7th St SW/Garden Dr
185,33.349829,-87.956072,/US Hwy 82
160,33.139299,-88.162898,W Park/11th St NW
185,33.359209,-88.022612,2nd St S/19th Ave SW
160,33.402651,-88.124806,Co Rd 30/US Hwy 82
160,33.243142,-88.224319,State Rte 86/Washington Rd/Washington
216,33.381920,-88.019425,5th St NW
185,33.271281,-88.118639,Silver Ln
362,33.316367,-87.904294,8th Ave SW/5th Ave
160,33.345014,-87.857289,Sam Brown - Shorty Thomas Rd/Echola Rd
160,33.323604,-87.904263,5th Ave NW/2nd St NW
276,33.165031,-88.110359,Carrollton Rd
305,33.127277,-88.141916,9th St SE
160,33.116841,-88.174981,State Rte 17/Wilder Cir
216,33.337004,-87.933276,/US Hwy 82
185,33.370404,-88.020556,10th Ave SW
160,33.306382,-88.201637,Nash Ln/Spring Hill Rd
246,33.135167,-88.156198,Columbus Rd/5th St NW
185,33.198667,-88.218203,True Vine Rd
185,33.129015,-88.141378,Olney Rd NE/Olney Rd
185,33.371716,-87.996889,Lathrop Dr/US Hwy 82
185,33.400247,-88.067867,/Coal Fire Cir
185,33.369582,-87.987815,Lathrop Dr
305,33.124911,-88.142580,Colonial Dr/3rd Ave SE
160,33.091991,-88.098635,/Emory Chapel Rd
216,33.126830,-88.146499,1st Ave/5th St SE
185,33.135226,-88.146897,Franconia Rd/8th Ave NE
334,33.124148,-88.142790,Colonial Dr
216,33.125042,-88.148809,3rd Ave SE/3rd St SE
185,33.404412,-88.112598,/US Hwy 82
276,33.260801,-88.100900,East St
185,33.127366,-88.151746,Memorial Pkwy Rd/Broad St NE/Memorial Pkwy
185,33.129548,-88.157916,3rd Ave NW
216,33.399993,-88.065099,Dock Sanders Rd/US Hwy 82
160,33.311661,-87.894770,Browns Cir
160,33.127878,-88.168945,Country Ln/1st Ave SW
160,33.338478,-87.892300,Ridgefield Dr
813,33.123976,-88.148842,4th Ave St/3rd St SE
813,33.324921,-87.906382,4th St NW
334,33.259797,-88.099408,East St
216,33.260482,-88.094738,Kilpatrick St/Commerce Ave
160,33.128261,-88.168985,Country Ln
160,33.299715,-87.894370,Elmore Center Church Rd/Richard Pate Rd
