Estimated daily crossings,Latitude,Longitude,Name
305,33.585042,-86.070386,Jackson Trace Rd
216,33.182274,-86.303280,Forest Glen Rd
160,33.292662,-86.353101,Coosa Pines Rd
160,33.400503,-86.262783,Feddisburg Rd
185,33.566094,-86.175334,Ted Ct
216,33.585907,-85.890255,Mobile Plz
684,33.280349,-86.360605,US Hwy 231/2nd St NW/Ferry Rd
185,33.563445,-85.845063,Lazy Brook Ln
160,33.512932,-86.226883,Cedar Dr/River Terrace Dr
276,33.335365,-86.192065,State Rte 21
160,33.601162,-86.021568,Green Acres Rd
445,33.175784,-86.289962,/James Payton Blvd
185,33.156504,-86.263119,Coosa St/Brock Ave
185,33.175607,-86.255061,Collier Ave/W 6th St
185,33.422264,-86.039062,Carlee Ln/Cameron Ln
305,33.282207,-86.357599,3rd St NW/
216,33.496702,-85.944352,Cedars Rd
160,33.135917,-86.233764,Old Goodwater Hwy
185,33.187779,-86.290683,Old Birmingham Hwy
579,33.599283,-86.161736,Stemley Rd
418,33.590904,-86.118570,I- 20
445,33.160103,-86.256584,W Park St
246,33.430653,-86.099649,Olin Tate Dr/Gulsby St
305,33.250957,-86.343806,Crimson Tide Ln
362,33.436836,-86.115266,Savory St
160,33.177124,-86.266097,W 7th Pl
160,33.162808,-86.265876,Dale St/Craddock Ave
305,33.593398,-86.178870,I- 20
246,33.585360,-86.056534,/I- 20
631,33.595193,-86.122456,/Magnolia St
160,33.227155,-86.323839,/US Hwy 231
710,33.279499,-86.360018,11th Ave NW/1st St NW
305,33.549979,-85.893851,Gannaway Ln/State Rte 21
216,33.172843,-86.263106,/W 4th St
185,33.203675,-86.307648,US Hwy 231
276,33.460935,-86.103324,Jackson Trace Rd
390,33.276667,-86.330107,/4th St SE
160,33.408563,-86.114482,Talladega Creek Rd/Waites Rd
160,33.268653,-86.350093,6th Ave SW
552,33.441004,-86.082935,North St E
216,33.185091,-86.258997,Creek St
216,33.192006,-86.229266,Oldfield Rd
185,33.186324,-86.273553,Saint John St
160,33.601170,-86.021684,Green Acres Rd
246,33.233068,-86.292059,/Truitt Rd
160,33.213174,-86.321333,Ponderosa Cir
160,33.524363,-86.209273,/Stemley Rd
160,33.308859,-86.196952,State Rte 21
216,33.180037,-86.257631,Seminole St
390,33.449616,-86.098817,Shaw Ave/18th St
185,33.439055,-86.109880,Isbell Cir/Jackson St
185,33.184384,-86.257965,Central Ave
185,33.130218,-86.255572,Broadway Ave
160,33.432603,-86.130597,Baker St/Frazier St
305,33.190742,-86.232702,Pleasant Ridge Dr/Pleasant Ridge Loop
160,33.536932,-85.948074,Foster Ln
160,33.604297,-86.100107,US Hwy 78/Dry Valley Rd
246,33.613534,-86.114263,Fomby St/1st Ave
246,33.194288,-86.241210,Taylor Cir
160,33.585551,-85.807654,County Line Rd
160,33.254623,-86.240973,Tallasseehatchee Rd
160,33.568757,-86.168384,Stemley Rd
185,33.413960,-86.060870,Rosebud Ln/Ashland Hwy
160,33.561166,-85.865945,Reaves Dr
160,33.308041,-86.197000,State Rte 21
684,33.278739,-86.348495,Wewoka St
216,33.464563,-86.067790,Horne St/Welch Ave
185,33.232433,-86.224840,/State Rte 21
526,33.169199,-86.250223,/E 1st St
305,33.585448,-86.070057,/Jackson Trace Rd
160,33.565318,-85.906804,Patton Rd/Mae Ln
445,33.172866,-86.286734,Joe P Dark Dr
390,33.602504,-86.110072,Highland View Ln
160,33.258594,-86.204828,Thurman Rd
334,33.249361,-86.339726,US Hwy 231/Wood Cir
160,33.411727,-86.307890,Glovers Ferry Rd
185,33.275885,-86.347760,5th Ave SE/4th St SE
160,33.108506,-86.229998,/Lower Settlement Rd
334,33.183552,-86.245842,E 12th St/N Louisville Ave
362,33.177867,-86.253190,N Anniston Ave/W 8th St
418,33.222400,-86.320442,US Hwy 231
