Estimated daily crossings,Latitude,Longitude,Name
160,34.279780,-91.338960,S Madison/Fairview Cir
216,34.509460,-91.555560,N Lowe St/W Michigan St
185,34.525880,-91.574960,D & J Rd
362,34.484920,-91.559080,/W 19th St
185,34.465441,-91.600789,/Gregory Fischer Rd
160,34.481112,-91.538154,S Cherry St
276,34.494850,-91.530200,Hickory St
160,34.506760,-91.560140,Columbia Ave/W McKinley St
160,34.504475,-91.554837,N Porter St
246,34.502090,-91.546380,E 1st St/N Anna St/S Anna St
185,34.209260,-91.262240,/State Hwy 152
216,34.494780,-91.547180,/E 9th St
216,34.496420,-91.558030,W 7th St/S Buerkle St
216,34.500170,-91.551310,S College St/E 3rd St
160,34.287870,-91.337640,/S Jefferson St
160,34.523360,-91.566450,/Ragland Ln/Old England Hwy
185,34.287920,-91.329210,S Roy St/E 8th St
160,34.490392,-91.560348,W 14th St
305,34.504430,-91.540200,/N Park Ave
185,34.267610,-91.341990,Dewitt Airport Rd/S US Hwy 165/Roach Rd
246,34.509480,-91.560140,/W Michigan St
160,34.465500,-91.595690,Goldman Sunshine Rd/Gregory Fischer Rd
216,34.493920,-91.552110,/E 10th St
418,34.496370,-91.552020,E 7th St
362,34.294200,-91.332530,E 1st St/S Union St
160,34.511947,-91.542247,McCoy Rd
160,34.508270,-91.543350,E Washington St/N Rose St
160,34.512204,-91.540054,N US Hwy 165
185,34.481510,-91.567690,W 21st St
160,34.493020,-91.555250,W 11th St/S Porter St
160,34.274670,-91.341810,/S Monroe St/S Jackson St
276,34.505030,-91.557820,W Arthur St/N Buerkle St
160,34.423670,-91.697340,Levinston/Ditch Bank Ave
160,34.297380,-91.324950,Meadow Cliff Cir/E Maxwell Ave
160,34.369610,-91.205230,/Hwy 1
418,34.479030,-91.558770,/S Buerkle Rd
185,34.490030,-91.550350,/S Grand St/E 14th St
216,34.499930,-91.540300,S Park Ave/E 3rd St
160,34.425280,-91.704990,Julia Ave
160,34.374890,-91.347700,Hwy 130 W/
160,34.285990,-91.337690,W 9th St/S Jefferson St
246,34.275070,-91.341340,/S Whitehead Dr
216,34.276290,-91.341750,S Monroe St
246,34.502352,-91.550007,N Grand
216,34.493470,-91.530170,E 10th Ln/Hickory St/E 10th Exd
185,34.503380,-91.548770,E Cleveland St/S Leslie St
246,34.507680,-91.558720,/W Jefferson St
334,34.494300,-91.545420,E 9th St/S Wood St
390,34.506810,-91.557200,/W McKinley St
185,34.285030,-91.337690,S Jefferson St/W 10th St
246,34.503074,-91.549967,E Cleveland St/N Grand
185,34.284990,-91.336510,W 10th St/S Adams St
160,34.508330,-91.544960,/E Washington St/Cotton Belt St/N Wood St
246,34.499310,-91.555020,W 4th St/S Porter St
185,34.488894,-91.545562,S Wood St
160,34.430060,-91.663340,Hammans-White Rd
160,34.115510,-91.378535,2nd
160,34.426760,-91.675250,Crooked Creek Ln
160,34.491910,-91.548110,E 12th St
160,34.506740,-91.558970,Dixie Blvd/W McKinley St
276,34.494320,-91.546610,E 9th St/S Anna St
160,34.117440,-91.377310,W Main Ave/S 1st St/W Main St/N 1st
160,34.118490,-91.379750,N 3rd St/Rose Ave/3rd
160,34.336460,-91.535370,N US Hwy 165
216,34.490800,-91.540510,S Park Ave/E 13th St
185,34.533320,-91.557120,/Hwy 63
305,34.501060,-91.545200,S Wood St/E 2nd St
390,34.479190,-91.541760,/E 22nd St
276,34.499090,-91.545280,E 4th St/S Wood St
160,34.526960,-91.557298,Hwy 63
160,34.118460,-91.380960,Rose Ave/N 4th/4th/W Rose Ave
246,34.493050,-91.556430,S Lowe St/W 11th St
305,34.506730,-91.553370,N Maple St/W McKinley St
246,34.510320,-91.552190,W Erie St/E Erie St/N Main St
160,34.281210,-91.339930,Magnolia Ln
160,34.072614,-91.372950,S US Hwy 165
276,34.479190,-91.542840,S Timber St/E 22nd St
185,34.504002,-91.551206,N College St
185,34.493910,-91.551490,E 10th St/S College St
185,34.493890,-91.550240,E 10th St/S Grand St
185,34.504910,-91.552340,E Arthur St/W Arthur St/N Main St
160,34.289090,-91.336430,W 6th St/S Adams St
276,34.503830,-91.557330,Beale St/W Harrison St
160,34.271230,-91.348600,Ricebelt Ave
246,34.502739,-91.552484,N Main St
334,34.496190,-91.544170,E 7th St/S Rose St
246,34.509380,-91.560570,W Michigan St
276,34.501098,-91.547511,E 2nd St
216,34.503223,-91.549965,N Grand
160,34.288280,-91.350240,Pike Dr/Grandview
185,34.518713,-91.558716,N Henderson/Taft St
216,34.512925,-91.540031,/N US Hwy 165
276,34.504210,-91.553050,/W Harrison St
160,34.297370,-91.324330,Meadow Cliff Cir/E Maxwell Ave
160,34.294230,-91.337640,W 1st St/S Jefferson St
362,34.499110,-91.546480,E 4th St/S Anna St
160,34.288551,-91.328208,E 7th St
160,34.474060,-91.541200,/N US Hwy 165
246,34.503933,-91.546326,N Anna St
605,34.479423,-91.553446,Hwy 79 Bus/E 22nd St/S Main St
160,34.484630,-91.542090,E 19th St/S Timber St
631,34.492000,-91.552820,E 12th St/S Main St/W 12th St
185,34.482020,-91.558370,S Buerkle St/W Hastings St
185,34.484260,-91.566070,Weidner St/Laurel Ln
160,34.476490,-91.456360,Hwy 130 W
390,34.502970,-91.540230,E Cleveland St/N Park Ave
160,34.496320,-91.550170,S Grand St/S Grand Ave/E 7th St
185,34.499408,-91.562259,S Prairie St/W 4th St
276,34.504210,-91.552450,W Harrison St/N Main St
185,34.504220,-91.554270,W Harrison St
334,34.484820,-91.553020,E 19th St/W 19th St/S Main St
605,34.491990,-91.552150,E 12th St
216,34.492400,-91.559230,S Henderson St/W 12th St
334,34.500350,-91.557930,W 3rd St/S Buerkle St
160,34.297470,-91.340110,N Monroe St/W Maxwell Ave
216,34.286722,-91.336433,S Adams St
552,34.479350,-91.553160,S Main St/Hwy 79 Bus
472,34.510527,-91.557680,W Erie St/N Hwy 165
1071,34.479340,-91.551760,Hendale St/E 22nd St
185,34.513400,-91.540380,/US Hwy 79
160,34.283880,-91.346990,/Lee St
160,34.385852,-91.538595,Kauffman Rd
160,34.293200,-91.341320,W 2nd St/S Jackson St
246,34.486910,-91.567150,S Beumer St/W 18th St
305,34.500140,-91.548840,S Leslie St/E 3rd St
246,34.490380,-91.559270,W 14th St/S Henderson St
185,34.499220,-91.551330,S College St/E 4th St
185,34.491520,-91.540500,/S Park Ave
246,34.506740,-91.554470,N Porter St/W McKinley St
334,34.489050,-91.552900,E 15th St//S Main St
160,34.499360,-91.559140,W 4th St/S Henderson St
160,34.499410,-91.561260,W 4th St/S Columbus St
362,34.490070,-91.552200,/E 14th St
216,34.491880,-91.546680,E 12th St/S Anna St
160,34.116260,-91.384580,S 7th St/W Leslie Ave
185,34.488990,-91.545560,E 15th St//S Wood St
246,34.480941,-91.538889,E 21st St
631,34.509530,-91.557700,N Buerkle St/N Hwy 165/W Michigan St
246,34.484100,-91.553030,S Main St
160,34.491360,-91.560330,Crockett St/W 13th St
216,34.502850,-91.556120,N Lowe St
216,34.295270,-91.330070,N May St/E Cross St/S May St
276,34.505930,-91.553950,/W Lincoln St
160,34.508123,-91.544716,/N Wood St
160,34.298328,-91.334537,McAdams Cir/McAdams Ave
334,34.511020,-91.557670,N Hwy 165
160,34.275940,-91.350610,/S Grandview Dr
160,34.494118,-91.575696,/Davis Rd/US Hwy 79
160,34.512030,-91.540060,N US Hwy 165//Cotton Belt St/N Park Ave
185,34.514510,-91.554220,N Porter St/Roosevelt St/Roosevelt Pl
