Estimated daily crossings,Latitude,Longitude,Name
305,34.811795,-92.361124,Riverwood Dr/Crystal Hill Rd
334,34.794513,-92.269766,Willow St/W 44th St
160,34.805231,-92.233181,Cove Creek Ct
839,34.744785,-92.312192,Lamar St/Valmar St
185,34.787915,-92.286843,W 36th St/Crutcher St
390,34.672890,-92.338011,Shelley Dr/Keats Dr
684,34.746301,-92.356672,Ouachita Pl/Ouachita Dr
305,34.866077,-92.120254,S Jeff Davis St/Burman Dr
185,34.854661,-92.418588,Lily Dr/Hibiscus Cove
684,34.731516,-92.263699,McAlmont St/E 17th St/Mc Almont St
185,34.865785,-92.115977,Warren St/Lenora St
445,34.745526,-92.289341,Mlk Dr/Dr Martin Luther King Jr Dr
246,34.760145,-92.334480,I St/N Polk St
160,34.723483,-92.319658,S Elm St/W 31st St
216,34.722464,-92.178851,I- 440
736,34.667668,-92.379582,Mabelvale Plaza Ln/Mabelvale Plaza Dr
276,34.899052,-92.085399,Seneca Pl/Sioux Trl
1097,34.678260,-92.340846,Frontage Rd/State Police Plaza Dr
305,34.869533,-92.118588,Poplar St/N James St
276,34.825360,-92.279288,North Dakota Ave
390,34.730681,-92.279772,W 19th St/S Arch St
736,34.745200,-92.344238,I- 630
276,34.782239,-92.436002,Edenfield Cove/Pebble Beach Dr
418,34.744460,-92.317692,I- 630/S Cedar St
276,34.866554,-92.103819,North Ave/Pulaski Dr
276,34.691284,-92.356539,Graceland Dr/W 65th St
499,34.724704,-92.331934,S Van Buren St/W 30th St
362,34.759491,-92.440389,Parliament St
1020,34.670147,-92.378191,Baseline Rd/Mabelvale Plaza Dr
216,34.724190,-92.272717,Scott St/E Roosevelt Rd
160,34.819117,-92.520936,State Hwy 10
276,34.870087,-92.403618,Valley View Dr/Valley View Ct
362,34.667166,-92.344448,Geyer Springs Rd/Cindy Ln
276,34.718931,-92.375248,Malloy St
185,34.805589,-92.281904,Division St/W 55th St
160,34.729534,-92.276138,W 20th St/Center St
160,34.762236,-92.210663,Poe St/Glenview Ln
1097,34.736228,-92.272008,/E 13th St
185,34.765371,-92.371612,Evergreen Dr
160,34.749084,-92.306505,W 3rd St/S Booker St
1226,34.755063,-92.267808,Main St
334,34.661220,-92.371193,Wilderness Rd/Spanish Rd
1149,34.754969,-92.261776,N Locust St/E 2nd St
216,34.724167,-92.221040,/Airport Rd
499,34.726864,-92.370614,Tatum St
185,34.728741,-92.298590,Howard St/W 22nd St
710,34.867753,-92.126931,/W Main St
246,34.762796,-92.358432,Evergreen Dr/Evergreen St/Mississippi Ave
160,34.766859,-92.421943,Morrison Rd
185,34.769615,-92.256482,N Walnut St
710,34.881742,-92.113629,Gregory St/N Bailey Blvd
185,34.839611,-92.396775,Nemours Cv
526,34.759303,-92.340897,/N University Ave
185,34.807474,-92.230487,Chimney Rock Dr
362,34.778112,-92.402109,Rodney Parham Rd/Pleasant Valley Dr
216,34.628922,-92.343107,Blueberry Dr/Holly Springs Blvd
160,34.820503,-92.333994,Vaughn Rd
1304,34.746173,-92.262818,I- 30/E 2nd St
160,34.774003,-92.478641,Chenal Valley Dr/Saverne Cir
526,34.676719,-92.363777,I- 30
160,34.758698,-92.310160,I St/N Martin St/Edgerstoune Ln
246,34.871131,-92.109232,Stonewall Dr
305,34.831106,-92.397163,Maumelle Blvd
305,34.809069,-92.245632,Cache River Rd/Cypress Creek Dr
185,34.852325,-92.098339,Military Rd
160,34.811831,-92.460353,Calumet Rd/Keeneland Dr
334,34.746456,-92.280443,W 4th St/S Izard St
1278,34.755537,-92.262274,I- 30
160,34.745733,-92.431947,Kanis Rd
334,34.747033,-92.277301,W 3rd St
160,34.738507,-92.240045,E 9th St/Harrington Ave
362,34.729326,-92.310470,Brown St
185,34.767817,-92.308112,Riverdale Rd/Brookwood Dr
185,34.626726,-92.422367,Southfork Dr/County Line Rd
216,34.772936,-92.329590,Hawthorne Rd/Beverly Pl
418,34.748323,-92.390490,/I- 630
160,34.761557,-92.313789,Park Dr/Cedar Hill Rd
684,34.744677,-92.309985,Lamar St/S Brown St
185,34.755303,-92.236031,N Clover St/E Broadway St
216,34.750132,-92.433961,Summit Ridge Ct
246,34.815663,-92.258468,Cottage Ct/Kierre Dr
246,34.838051,-92.406259,Nancy Lopez Ct
246,34.982821,-92.071663,Hwy 5/Hwy 89 S/State Hwy 5
185,34.670098,-92.439361,Legends Dr
1355,34.746225,-92.263565,/E 2nd St
305,34.701599,-92.340935,Mabelvale Pike
276,34.724547,-92.281892,W Roosevelt Rd
276,34.742016,-92.248391,E 6th St
362,34.755936,-92.217996,E Broadway St/Earl St
160,34.884206,-92.113559,N Bailey Blvd
334,34.745642,-92.311038,S Martin St/W 7th St
185,34.660195,-92.391001,Pinedale Cove/Pinedale Cir
526,34.756925,-92.373099,N Rodney Parham Rd/Brookside Dr
160,34.739825,-92.245548,E 8th St
788,34.725920,-92.328499,S Monroe St
160,34.671239,-92.416233,W Baseline Rd
362,34.796749,-92.243061,Arlington Dr/Oaklawn Dr
185,34.711155,-92.365776,Marlborough St/Vinewood Ln
390,34.797512,-92.268580,W 47th St
216,34.854112,-92.105467,Greenway Ct/Collins Rd
185,34.751989,-92.307331,Fairfax Ave/Kavanaugh Blvd
246,34.767480,-92.338314,N Pierce St/P St
334,34.765769,-92.439359,Wellington Woods Loop
160,34.825743,-92.228070,Club Rd/Wedge Cove
216,34.878613,-92.424275,Diamond Pointe Dr
246,34.742003,-92.247819,E 6th St/Kimball St
276,34.732377,-92.299217,Wright Ave/S Dennison St
160,34.836109,-92.339789,Hudman Rd
658,34.723935,-92.332918,S Harrison St/W 31st St
160,34.640931,-92.395196,Alexander Rd
246,34.732931,-92.311623,S Martin St/Martin St/W 20th St
276,34.725332,-92.377249,Duke Dr/W 31st St/Holt St
185,34.773129,-92.404843,Wendy/Valley Club Cir
185,34.739025,-92.306973,Booker St/W 13th St
246,34.846553,-92.412430,Odom Blvd S
216,34.801431,-92.433517,Westchase Dr/Westbury Dr
160,34.881830,-92.495535,State Hwy 300/River View Dr
160,34.763348,-92.321669,/N Walnut St
246,34.727706,-92.364512,W 28th St/Elkmont Ct/Elkhart Dr
362,34.665121,-92.349197,Saxony Cir
160,34.778160,-92.393111,Platte Valley Dr/Wentwood Valley Dr
160,34.779085,-92.467319,Alba Ln/Quercus Cir
499,34.762645,-92.454393,Chenal Pkwy
160,34.736972,-92.320320,W 16th St/Lewis St
160,34.718173,-92.284894,32nd St/Fulton St
160,34.750635,-92.296417,W Markham St/S Park St/N Park St
160,34.769906,-92.438743,/Wellington Colony Ct
160,34.799261,-92.191972,Jacksonville Hwy
185,34.681531,-92.356344,Debra Ln/Denise Dr
160,34.584921,-92.215590,Nella Cv
246,34.856638,-92.116764,Marion St/S Bailey Blvd
216,34.775735,-92.356467,Indian Trl/Mohawk Cir
160,34.646223,-92.242085,Woten Ln/German Rd
684,34.683859,-92.350577,/Forbing Rd
185,34.767486,-92.269048,/Orange St/E 14th St
185,34.814141,-92.465399,Buckland Rd/Farrah Ln
160,34.755354,-92.300720,Coolwood Dr/Branch Dr
160,34.635714,-92.444904,N Alexander Rd
418,34.843275,-92.391526,Country Club Pkwy
216,34.773173,-92.264040,E 20th St/N Magnolia St
160,34.665821,-92.397684,/Sibley Hole Rd
276,34.696223,-92.403726,W David O Dodd Rd/I- 430
276,34.780591,-92.204773,Jacksonville Hwy
1046,34.764886,-92.310467,Old Cantrell Rd
216,34.866974,-92.104697,Graham Rd/N Elm St
276,34.666235,-92.390975,I- 30
246,34.805605,-92.480748,Gravelle Ct/Gravelle Dr
246,34.762962,-92.266365,Poplar St/E 10th St
216,34.715073,-92.189416,/Fourche Dam Pike
185,34.650582,-92.354576,Yorkwood Dr/Warren Dr
216,34.644986,-92.231440,Wilbur Dr/Luther Ln
185,34.881880,-92.177805,State Hwy 107
216,34.726276,-92.209122,Kellett Rd/Fourche Dam Pike
305,34.753868,-92.235443,/N Redwood St
160,34.865129,-92.165562,Jacksonville Cutoff Rd/W Main St/Onieda St
334,34.830860,-92.396503,Maumelle Blvd
362,34.794912,-92.243110,Fairway Ave
