Estimated daily crossings,Latitude,Longitude,Name
160,38.178520,-120.826449,Last Chance Ct
160,38.258331,-120.353194,Manuel Rd/Splash Dam Way
160,38.219380,-120.929339,Moraga Dr
160,38.285966,-120.283628,Cheyenne Way/Choctaw Dr
185,38.303087,-120.672634,State Rte 26
185,38.068131,-120.539978,Fairview Dr/Bush St
185,38.079355,-120.550885,Lee Ln
160,38.151540,-120.442035,Manzanita Rd/Manzanita Dr
216,38.070667,-120.541304,Pine St/S Main St
185,38.077624,-120.544202,Kids Ct
216,38.197657,-120.685712,W Saint Charles St/High School St
160,38.313767,-120.277473,/Biring Dr
160,38.142906,-120.466023,N Algiers St/Oro St
246,37.916873,-120.645181,Wood Duck Ct
246,38.121264,-120.423429,/Ponderosa Way
160,38.446588,-120.066068,State Rte 4
216,38.069416,-120.540730,Bush St/Hardscrabble St
160,38.073564,-120.559924,Live Oak Dr
160,38.145885,-120.447676,Grant Ln
160,38.194236,-120.687465,Oak St/Oak Pl
160,38.065987,-120.554271,Selkirk Ranch Rd/McCauley Ranch Rd
160,38.140216,-120.451491,Joaquin Murieta
160,38.087363,-120.473082,Angels Rd/Rufe Ln
185,38.297556,-120.704400,/State Rte 49
160,38.076758,-120.553199,San Joaquin Ave
160,38.210214,-120.456229,Armstrong Rd
276,38.077993,-120.555508,Big Horn Mobile Home Park
160,38.142162,-120.456708,Bret Harte Dr/Stone Ridge Ct
160,37.916095,-120.603385,Edgewater Ct
160,38.073480,-120.542965,Bret Harte Dr
216,38.187952,-120.673022,Terrace View Ct
246,37.899520,-120.582742,Innocent Way
390,38.071332,-120.557337,Selkirk Ranch Rd/Smith Flat Rd
305,38.258895,-120.347338,Longman Ln
160,38.302462,-120.263261,Shoshone Dr
160,38.258065,-120.762380,Alder St
216,37.898664,-120.582144,Sandy Bar Dr
185,38.242867,-120.375387,Rainbow Ct
160,38.293881,-120.695199,Sport Hill Rd
390,38.075978,-120.556508,Big Horn Mobile Home Park
305,38.191410,-120.828777,/State Rte 26
276,38.197930,-120.687151,Luddy Ln/Russells Rd
216,37.907941,-120.595471,Conner Estates Dr/Athena Dr
160,38.071841,-120.535287,Moose Trl/Moose Tl/Depot Rd
160,38.208922,-120.465468,Main St
276,38.075640,-120.555408,Big Horn Mobile Home Park
160,38.168482,-120.392474,Laurel Ln
418,38.138306,-120.463350,Church St
418,37.972020,-120.652365,Egan St
216,38.241533,-120.361550,/State Rte 4
246,38.220450,-120.931560,Munoz Rd
160,38.069285,-120.559810,Fiddler Ct
160,38.151226,-120.440293,Dozer Line/Utica Powerhouse Rd
246,38.063421,-120.537574,Park Ave/S Main St
160,38.136955,-120.454519,Watkins St/Mitchler St
185,38.233704,-120.369351,Evergreen Dr/Valley View Dr
185,38.135767,-120.456288,Jones St/State Rte 4
160,38.079700,-120.558165,Monte Verde St
160,37.933541,-120.641154,Quail Hill Rd
160,38.151708,-120.857875,Berkesey Ln
185,38.128501,-120.868136,Garner Pl/Berryhill Dr
185,38.297920,-120.704243,/State Rte 26
246,38.139252,-120.451044,Three Finger Jack/Sheet Iron Jack
246,37.935979,-120.644134,Quiver St
185,38.062879,-120.553640,Pioneer Mine Ct
160,38.195228,-120.675959,Treat Ave
160,38.159229,-120.842312,Holmquist Ln/Mittleman Ct
160,38.074199,-120.555115,Tuolumne Ave
160,38.191740,-120.670152,Pope St
390,38.164073,-120.826907,Spyglass Ct
185,38.072611,-120.539022,Suzanne Ct
160,38.201429,-120.795431,State Rte 12
160,38.238546,-120.369232,Linnet Ln/Black Oak Dr
160,38.069345,-120.544191,Fairview St/Mark Twain Rd
160,38.140137,-120.451370,Joaquin Murieta
160,38.185557,-120.364536,Branding Iron Ct
185,38.162278,-120.649275,State Rte 49/Cement Plant Rd
684,38.069829,-120.554045,Selkirk Ranch Rd
160,38.077625,-120.560464,Foundry Ln/Stockton Rd
216,37.936758,-120.604704,Copper Meadows Dr/Spangler Ln/O'Byrnes Ferry Rd
185,38.070147,-120.539776,Slate Cir/Raspberry Ln
472,38.136679,-120.464188,S Algiers St
216,38.300922,-120.705320,Lafayette St/China Gulch Rd
246,38.084695,-120.562739,Francis St/N Baker St
160,38.294945,-120.283943,Cheyenne Way/Navajo Dr
160,38.207461,-120.764177,Toyon Cir
160,38.072295,-120.578298,State Rte 4
160,38.163841,-120.828955,Vista del Lago Dr/Snag Ct
499,38.190677,-120.674950,Angels Rd/E St Charles St/Fahily Cir
160,38.234011,-120.340708,Avery Dr/Murphys Dr
185,38.194067,-120.826903,Rose St/California St
