Estimated daily crossings,Latitude,Longitude,Name
276,40.819047,-124.187321,/Rideout Ave
1020,40.803051,-124.163995,H St/4th St
305,40.804713,-124.156768,4th St/Myrtle Ave
160,40.938039,-124.121096,/Montana Rd
526,40.805520,-124.152530,3rd St/S St
216,40.941689,-124.110631,McKinleyville Ave/Hiller Rd
216,40.938699,-124.092401,Heartwood Dr/Oak Ct/Oak Pl
185,41.024545,-123.660472,/Shoemaker Rd
185,40.578022,-124.269180,Shaw Ave
813,40.780457,-124.137151,/Harris St
216,40.778367,-124.182224,Pearl St
276,40.760298,-124.165066,Fairway Dr
160,40.237882,-123.820619,Laurel Ave/Redwood Ln
185,40.600456,-124.156074,P St
472,40.781217,-124.139640,Harrison Ave/Wood St
216,40.805504,-124.156828,3rd St/O St
160,40.601607,-124.211937,State Hwy 211
472,40.865853,-124.088003,H St/5th St
1046,40.801175,-124.167978,/D St
246,40.901455,-124.074149,W End Rd/Aldergrove Rd
334,40.805464,-124.158936,M St/2nd St
185,40.807355,-124.087718,/Myrtle Ave
216,40.791247,-124.150473,Heather Ln/Wabash Ave
246,40.794610,-124.148121,16th St/West Ave
160,40.355141,-123.925357,Redwood Hwy/Bull Creek Flats Rd
216,40.582523,-124.259780,Howard St/Main St
160,40.801176,-124.158990,7th St/L St
160,40.784586,-124.124017,Frank Ave
185,40.759271,-124.179395,Azalea Ln/Leonard Dr
216,40.798746,-124.158427,10th St/L St
216,40.781974,-124.154524,N St/Russ St
710,40.599302,-124.156597,/10th St
160,40.872473,-124.101151,Janes Rd/Adams Ct
160,40.790234,-124.176046,/Albee St
185,40.606174,-124.154346,Barney St/Angel Heights Dr
216,40.778791,-124.150213,R St/Hodgson St
579,40.786943,-124.159521,Huntoon St
305,40.769805,-124.142923,Fern St/Walnut Dr
216,40.765909,-124.175412,/Union St
552,40.796582,-124.176699,W Clark St
216,40.482320,-124.101054,/1st St
185,40.568199,-124.123814,Neleen Dr
305,40.799762,-124.151500,R St/10th St
472,40.792701,-124.168081,Lowell St
246,40.799155,-124.171334,/Chope St
216,40.796594,-124.178288,W Clark St
246,40.792148,-124.128409,Linton Ave/18th St
160,40.642676,-124.221669,/Prospect Ave
160,40.961016,-124.105081,Horrell Ave/Little Pond St
334,40.597168,-124.159228,8th St/L St
788,40.780425,-124.164087,/Harris St
