Estimated daily crossings,Latitude,Longitude,Name
160,40.054170,-106.386806,Tyler Ave
160,40.251234,-105.823861,Lake Ave/Cairns St
445,39.925663,-105.785724,Nob Hill Dr
472,39.927370,-105.786869,Telmark Dr/Telemark Ct
160,39.940229,-105.812793,Co Rd 72/Fraser Valley Pkwy
185,40.253761,-105.827879,W Portal Rd/Haskell St/Park Ave/Mountain Ave
185,40.260260,-105.844169,Alpine Ct
216,39.913680,-105.792720,/Yukon Ln
185,39.993176,-105.846243,Creek 822/Creek 825/Co Rd 825
3643,39.885251,-105.761995,Zephyr Ln
216,40.240708,-105.826154,Jerico Rd
362,39.920850,-105.783085,Logger Ln/Sawyer Cir
160,40.061762,-106.392470,River Ln
160,40.074034,-106.107283,Spring Rd
185,40.198390,-105.878151,Co Rd 4421
334,40.252689,-105.822870,/Vine St
160,40.256839,-105.855559,Kinnikinnick Rd/Marigold Ln
246,40.249718,-105.816483,Lake Ave
246,40.235984,-105.847471,/US Hwy 34
216,39.929222,-105.784134,Pinecone Trl
160,40.197607,-105.877505,Co Rd 4421
160,39.987787,-105.888575,Mountain Peak Rd
305,39.948255,-105.815446,N Doc Susie Ave
276,40.047769,-105.899084,Mountainside Dr
1278,39.988767,-105.926274,Co Rd J53/C R 53/Co Rd J36
216,40.048862,-105.900231,Pioneer
160,40.175204,-106.419833,US Hwy 40
334,39.891814,-105.762467,/Old Town Dr
362,39.923197,-105.787729,Lions Gate Dr/Rosie's Way
160,39.942472,-105.799430,Cramner Ave
160,40.073831,-106.098691,E US Hwy 40/US Hwy 40
246,40.060041,-106.398359,US Hwy 40
216,39.915711,-105.789331,Vasquez Rd
185,39.930227,-105.785922,Hi Country Dr
160,40.085234,-105.928718,/E Jasper Ct
160,40.086549,-105.945222,Meadow St
246,39.890605,-105.760591,Hwy 40
788,39.884764,-105.759691,/Hwy 40
160,40.283659,-105.856564,Co Rd 4911
160,39.911263,-105.797487,Van Anderson
160,39.944476,-105.790917,Cougar Ave/Bryant St
276,39.893947,-105.761990,Antler Way
160,40.070007,-106.385284,/Co Hwy 227
160,40.086004,-105.932204,6th St
276,39.945680,-105.815292,Doc Susie Ave/Byers Ave
390,39.922999,-105.784927,Willows Way
246,40.059724,-106.395859,Pine St
160,39.996989,-105.877845,Winter Park Highlands Dr
276,39.891996,-105.758307,Dreamcatcher S/Arrow Trl
160,40.050443,-105.890800,Lone Eagle Dr/Black Feather Ct
185,40.266855,-105.833691,US National Park Rd/US Hwy 34/Trail Ridge Rd
216,39.933912,-105.683125,Corona Pass Rd 149
185,40.248857,-105.837715,1st St/US Hwy 34
160,40.072171,-106.103538,/Maple St
160,39.948397,-105.800180,Porcupine Ridge Rd/Trappers Way
185,39.944782,-105.816543,Railroad St/Mill Ave
276,39.890352,-105.764526,Cedar Dr/Linden Rd
160,39.941836,-105.785425,Mulligan St/Rainbow Dr
160,40.002392,-105.906142,Co Rd 87/Centennial Dr
3615,39.885269,-105.761853,Zephyr Ln
160,39.997524,-105.882060,Sheep Trl/Red Fox
160,40.141003,-105.860884,Co Rd 6341
160,40.042527,-105.787276,Usfs 129/Co Rd 848
160,40.056846,-106.385337,Grand Ave/Ninth St
160,40.077779,-105.928217,Ten Mile Dr/US Hwy 40
160,39.949854,-105.811813,Wapiti Ln/Wapiti Dr
160,39.895016,-105.759075,Summit Pl/Lakota Park Dr
160,40.055861,-106.383881,Range Ave/Tenth St
185,39.913142,-105.797387,Bear Trl Ct
276,39.929001,-105.790304,Old Victory Rd
160,40.245037,-105.842269,/Highwood Ln
160,39.923303,-105.782730,Ski Idlewild Rd
160,40.243698,-105.844242,Highwood Ln
160,40.057883,-106.368095,22nd St
526,39.893483,-105.762964,Main St/US Hwy 40
160,39.988456,-105.856631,Bergamot Dr
160,39.887699,-105.760589,/Hwy 40
305,39.949819,-105.813412,Quail Dr
605,40.251964,-105.821346,Grand Ave/Ellsworth St
362,39.884322,-105.759315,Hwy 40
160,39.951885,-105.814755,Co Rd 8
160,39.908907,-105.794536,W Viking Dr
185,39.993169,-105.843618,Creek 822/Co Rd 823
160,40.059029,-106.383671,/Tenth St
160,40.059354,-105.969567,Co Rd 56
216,39.918916,-105.790513,Snowcreek Cir
160,40.084701,-105.929199,N 8th St/E Agate Ave
216,39.929558,-105.784185,Pinecone Trl
160,40.248922,-105.831220,Elk Ln
276,40.226153,-105.852358,/US Hwy 34
334,39.911528,-105.790934,Arapahoe Rd/Timber Dr
276,39.987714,-105.930288,/C R 53
185,40.254178,-105.824107,Broadway St/Mountain Ave
