Estimated daily crossings,Latitude,Longitude,Name
160,39.207939,-106.040805,Circle 73
160,39.254266,-106.000200,Palmer Peak Dr
160,39.460812,-105.409619,/US Hwy 285
160,39.440347,-105.450267,Rosalie Rd
160,38.897989,-105.695419,Lashbrook Rd/Hill Dr
160,38.980398,-105.357638,Sumner Rd/US Hwy 24
160,39.225778,-106.003931,3rd St/Main St
185,38.748126,-105.523212,9th St/Canon St
160,39.223913,-106.000561,6th St/Main St
160,39.490578,-105.468214,Rustlers Rd
160,39.436673,-105.458959,Co Rd 72
160,39.280666,-106.186288,Co Rd 12
305,39.221313,-105.994605,Main St
160,38.747772,-105.523314,Co Rd 102/Canon St
185,39.414259,-105.419025,Mockingbird Trl/Grouse Ln
185,39.022554,-105.795719,Valley Ave/Valley Dr/Elm St
216,39.223185,-105.999260,7th St/Main St
160,39.471405,-105.402738,Mt Evans Blvd
160,39.440588,-105.450584,US Hwy 285//Rosalie Rd
160,39.437157,-105.459391,Dellwood Dr/Delwood Dr
185,38.859444,-105.398685,Buckskin Ln
160,39.469029,-105.401219,Mt Evans Blvd/Pima Trl
160,39.328325,-106.055465,Co Rd 4
160,39.454580,-105.437642,US Hwy 285/
160,39.436796,-105.459060,US Hwy 285/Co Rd 72/Delwood Dr
160,39.444220,-105.609669,Mountain Dr
216,39.284499,-106.064400,N Oak St
160,39.461234,-105.408961,US Hwy 285
185,39.420720,-105.535218,US Hwy 285
160,39.487430,-105.476757,Hitchrack Rd/Vigilante Ave
160,39.468020,-105.400865,Mt Evans Blvd/Sioux Trl
185,39.225074,-105.991165,US Hwy 285
160,39.220428,-105.993734,US Hwy 285
160,39.442950,-105.454566,Bulldogger Rd/Buggy Whip Rd
185,39.438581,-105.419386,Meadow Dr
160,39.235295,-106.023975,Platte River Dr/State Hwy 9
160,38.750609,-105.522700,Co Rd 102/6th St/Canon St
160,39.274166,-106.050460,State Hwy 9
160,39.437335,-105.419468,Kudu Trl/Impala Trl
160,39.514188,-105.528818,/Elk Creek Dr
216,39.021232,-105.795354,US Hwy 24
160,38.964835,-105.335269,US Hwy 24
185,39.003967,-105.970387,Smoke Stack Rd/Depot Dr
160,39.414807,-105.419424,Mockingbird Trl
160,39.509425,-105.506091,Shelton Dr
160,39.050022,-105.446906,Forest Rd 223
160,39.458383,-105.411719,Wisp Creek Dr/Buttermilk Ln
160,39.406106,-105.478150,Fsr-109
160,39.377268,-105.799117,Co Rd 77/Main St
160,39.405764,-105.477574,River Dr
185,39.004176,-105.969961,Clubcar Rd
445,39.216802,-105.993965,Aspen Leaf Dr
160,39.022552,-105.795921,Valley Dr/Elm St
160,39.407803,-105.474104,Virginia Rd/Main St
160,39.491701,-105.527597,Meadow Ln/Saddlestring Rd
216,39.223536,-105.994882,9th St/Castello Ave
160,39.509798,-105.505761,Gross Rd
160,39.294789,-106.065579,State Hwy 9
160,39.245843,-106.099061,Unnamed Drvwy
185,39.223133,-105.997260,Hathaway St/8th St
160,39.344947,-105.843473,US Hwy 285
185,39.459786,-105.663580,US Hwy 285
216,39.224599,-105.999919,Hathaway St/6th St
160,39.021159,-105.822692,/Cold Row Rd
160,39.316968,-105.892597,/6th St/Rowe St
185,39.456361,-105.410070,/Silver Springs Rd
160,39.480512,-105.402491,Granada Way/Carmargo Rd
160,39.443300,-105.445816,US Hwy 285
160,39.394155,-105.785353,US Hwy 285
160,39.410693,-105.968633,Boreas Pass Rd
160,39.246071,-106.098470,Valley of the Sun Dr/Unnamed Drvwy
160,39.412576,-105.515058,Iron Horse Ln
276,39.224655,-106.001883,5th St/Main St
185,39.021662,-105.797526,/Mariposa St
216,39.315871,-105.892574,Boreas Pass Rd/Rowe St/8th St
160,39.422201,-105.555644,/Waterworks Rd
160,39.001779,-105.966950,Clubcar Rd/Tressel Trl
160,39.417826,-105.526923,US Hwy 285
160,39.457159,-105.716836,US Hwy 285
160,39.258585,-105.771459,Spearpoint Rd/Apache Trl
185,39.221993,-105.996297,9th St/Steinfelt Pkwy
445,39.216667,-105.994077,US Hwy 285
160,39.141575,-105.981476,Mary Jean Dr
472,39.222855,-105.993638,Castello Ave
160,39.346585,-106.057476,Goldfinch Ln
160,39.408396,-105.475486,Virginia Rd
160,39.489582,-105.511009,Marks Ln
160,39.377235,-105.800590,US Hwy 285/Willard St
160,39.437049,-105.459261,Delwood Dr
160,39.430095,-105.460498,Old US Hwy 285/Co Rd 72
160,39.047890,-105.596589,US Hwy 24
160,39.223589,-106.000863,/6th St
185,38.748752,-105.523063,Co Rd 102/Canon St/8th St
160,39.226723,-106.005984,Main St/Platte View Dr
246,39.222227,-105.991994,12th St/Castello Ave
160,39.437146,-105.459409,Delwood Dr
185,39.454125,-105.438498,US Hwy 285/Roland Dr
160,39.443811,-105.609723,Mountain Dr
160,38.944028,-105.483712,Brook Dr/Co Rd 92
160,39.021973,-105.797296,Mariposa St/Elm St
160,39.022067,-105.791972,US Hwy 24
160,39.375347,-105.416626,Wellington Rd/Eagle Rest Rd
160,39.455390,-105.412387,/Wisp Creek Dr
160,39.405944,-105.477956,/River Dr
160,39.377499,-105.800289,US Hwy 285/Michigan Creek Rd
160,38.972699,-105.365176,Lakeview Dr
160,39.443977,-105.609705,Mountain Dr/Whiteford Rd
160,39.422955,-105.557075,/W Shawnee Rd
216,39.481049,-105.406388,Mt Evans Rd/Dawson Rd
160,39.406189,-105.478065,Fsr-109
246,39.408262,-105.492798,Old Stagecoach Rd
160,39.509438,-105.506110,Wilkins Dr/Shelton Dr
160,39.449158,-105.633903,Santa Maria Rd
185,39.419890,-105.421130,Co Rd 72/Jaybird Ln
160,39.215169,-105.994193,US Hwy 285/Platte Dr
185,39.282994,-106.062776,S Pine St
334,39.284754,-106.063412,N Main St
160,39.141576,-105.982097,Mary Jean Dr
246,39.038324,-105.525638,US Hwy 24
160,39.462893,-105.400508,S Wandcrest Dr/US Hwy 285/Wandcrest Ave
276,39.284780,-106.064600,Aspen St/N Oak St
160,39.348967,-106.061717,Nuthatch Dr/Cowbird Trl
160,39.423659,-105.557288,US Hwy 285//W Shawnee Rd
160,39.423275,-105.557206,/W Shawnee Rd
276,39.224319,-106.002214,/5th St
160,39.511674,-105.502477,Cowan Rd/Appleby St
160,39.448997,-105.632734,Santa Maria Rd
160,39.123236,-105.993561,US Hwy 285
246,39.408349,-105.492509,US Hwy 285/Old Stagecoach Rd/
160,39.457352,-105.416775,Rangeview Dr
276,39.283881,-106.062729,S Main St/Buckskin St/N Main St
246,39.222734,-105.997633,Steinfelt Pkwy/8th St
160,39.458755,-105.412330,US Hwy 285/Wisp Creek Dr
185,39.439774,-105.452900,Co Rd 43A
276,39.284629,-106.063900,N Pine St/1st St
160,38.764908,-105.736357,Wicaka Trl/Kialegee Rd
185,39.224572,-105.994499,Clark St
160,39.221416,-105.986749,Castello Ave
160,39.442859,-105.446309,US Hwy 285
160,39.021613,-105.793279,US Hwy 24
160,39.442518,-105.418487,Brookside Dr
185,38.983085,-105.359015,Cherokee Rd
160,39.223223,-106.001211,6th St/Front St
160,39.484254,-105.808011,Hall Valley Rd
185,39.459733,-105.663102,US Hwy 285/Geneva Rd/Santa Maria Rd
185,39.438301,-105.419042,Impala Trl
160,39.414476,-105.419541,Mockingbird Trl
160,39.225672,-106.003792,Main St
246,39.222423,-105.997897,Main St/8th St
160,39.345126,-105.843109,US Hwy 285
160,39.453973,-105.642054,Hilltop Rd/N Fork Rd
160,39.509128,-105.505863,Gross Rd/Shelton Dr
185,39.221671,-105.996544,9th St/Main St
160,39.412289,-105.515125,Iron Horse Ln
160,39.346872,-106.056897,Goldfinch Pl
185,39.361820,-106.062616,State Hwy 9
160,39.491297,-105.527828,Saddlestring Rd/Timbertop Rd
160,39.410834,-105.473415,Lower Crow Hill Rd
160,39.229167,-106.005878,Park View Dr
160,39.447329,-105.463862,Deer Creek Rd/Old Corral Rd
160,39.229577,-106.008671,Platte View Dr
160,39.424408,-105.842258,/Jefferson Lake Rd/Co Rd 37
160,39.404871,-105.475361,River Dr
160,39.192762,-105.741892,Vista Ct/McDowell Dr
246,39.408222,-105.492962,Old Stagecoach Rd
160,39.236791,-106.101397,Sacramento Creek Rd/Co Rd 14-A
160,39.436852,-105.458935,US Hwy 285
160,39.421529,-105.554948,Waterworks Rd
160,38.980719,-105.357012,Sumner Rd/Cherokee Ave
185,39.256339,-106.087278,Zebulan Ct
160,39.377808,-105.799938,Co Rd 77/US Hwy 285
160,39.414575,-105.523607,US Hwy 285
160,39.485429,-105.472636,Vigilante Ave
160,39.420707,-105.472703,Crest Cir/Bailey Dr
160,39.036939,-105.415983,Co Rd 453
246,39.222771,-105.992661,US Hwy 285/Market St
160,39.232571,-105.988245,Ballfield Rd/Silver Heels Rd
216,39.438475,-105.418909,Meadow Dr/Impala Trl
160,39.001951,-105.966829,Narrow Gauge Rd/Tressel Trl
160,38.983172,-105.360039,US Hwy 24
185,39.225063,-106.003459,4th St
160,38.851854,-105.405063,Swiss Way/Swiss Pl
160,39.440296,-105.450193,Rosalie Rd/Arcadia Rd
160,39.442833,-105.419706,Roland Dr/Brookside Dr
185,39.022270,-105.795912,/Valley Dr
160,39.269405,-105.954974,/US Hwy 285
185,39.002954,-105.969569,Whistle Way/Smoke Stack Rd
160,39.427072,-105.437452,Dick Mountain Dr
246,39.405696,-105.473969,Wellington Rd/US Hwy 285/Co Rd 68
160,39.237529,-106.102305,Sacramento Creek Rd/Forest Way
160,39.424582,-105.428252,Sleepy Hollow Dr/Spruce Trl
160,39.228081,-106.000690,4th St/Clark St
160,39.156895,-105.707587,Aquaduct Ave
185,39.022241,-105.795987,Elm St
160,39.423487,-105.556998,US Hwy 285/Waterworks Rd
160,38.748109,-105.522355,9th St/Main St
160,39.375512,-105.416718,Eagle Rest Rd
160,39.470839,-105.402351,Mt Evans Blvd/Mohawk Trl
160,39.246484,-106.098669,Unnamed Drvwy
160,39.109694,-105.612475,Forest Rd 279
246,39.222466,-105.992856,US Hwy 285/Castello Ave
185,39.004272,-105.969865,Depot Dr
160,38.965035,-105.335534,US Hwy 24
160,39.228926,-105.999914,4th St/Beaver Creek Ln/Bogue St
160,39.422618,-105.556783,/W Shawnee Rd
246,39.408243,-105.492895,Old Stagecoach Rd
160,39.492962,-105.469358,Tincup Ter/Rustlers Rd
160,39.164914,-106.058818,Unnamed Foot Trl/Lamb Mountain Rd
216,39.021219,-105.795919,US Hwy 24/Valley Dr
160,39.324599,-105.909706,Co Rd 838
185,39.283106,-106.062106,S Main St
185,39.003841,-105.970312,Smoke Stack Rd
160,38.750004,-105.522817,Co Rd 102
160,39.410387,-105.474073,Lower Crow Hill Rd
160,39.018187,-105.836142,US Hwy 24/Sioux Rd
160,39.457119,-105.654430,Santa Maria Rd
160,39.453181,-105.436960,Roland Dr
276,39.225348,-106.001235,Hathaway St/5th St
160,39.410412,-105.473947,US Hwy 285/Lower Crow Hill Rd
160,39.324622,-106.063563,Ridge Rd
160,39.437331,-105.421429,Co Rd 72/Kudu Trl
160,39.471749,-105.402946,Mt Evans Blvd/Mohave Trl
216,39.223024,-105.995346,/9th St
160,39.443980,-105.611057,Santa Maria Rd
160,39.443741,-105.609731,Mountain Dr
160,39.215905,-105.995795,Fuller Dr
160,39.406056,-105.478201,River Dr/Fsr-109
185,39.221233,-105.993550,US Hwy 285/Main St
276,39.405783,-105.474226,Co Rd 68/Main St
160,39.325684,-105.909585,Co Rd 838
160,39.422279,-105.555722,Waterworks Rd
160,39.046935,-105.974887,US Hwy 285
160,39.232624,-105.986196,US Hwy 285/Co Rd 671
185,39.453739,-105.438929,/US Hwy 285
185,39.463138,-105.399928,US Hwy 285/
160,39.431139,-105.460730,/Co Rd 72
160,39.509843,-105.505821,Gross Rd/Shelton Dr
160,39.247058,-106.098433,Unnamed Drvwy
160,39.067828,-105.650782,Clear Creek Rd
160,39.418981,-105.545974,US Hwy 285/Jess-Mar Dr
160,39.047887,-105.586556,US Hwy 24
160,39.210010,-105.939577,Middle Fork Vis
160,39.021949,-105.797511,Mariposa St
160,39.255508,-106.039279,/State Hwy 9
160,39.442185,-105.607705,Santa Maria Rd
160,39.440884,-105.450779,Bulldogger Rd/
445,39.216808,-105.994066,US Hwy 285
185,38.748852,-105.523042,Co Rd 102/Canon St/8th St
160,39.422102,-105.555019,US Hwy 285//FS Rd 115
160,39.075457,-105.610234,Turner Gulch Rd/Mesa Rd
160,39.421392,-105.471989,Bailey Dr
160,39.413368,-105.448824,Mount Bailey Dr/S Ridge Rd
160,39.447044,-105.463593,Deer Creek Rd/Pine Dr
160,39.406275,-105.476417,Main St
160,39.022550,-105.795301,Elm St
160,38.923884,-105.967758,US Hwy 285
160,39.168660,-106.001801,US Hwy 285/Co Rd 20
160,39.433686,-105.399606,Whispering Pines Trl
160,39.246108,-106.098576,Unnamed Drvwy
160,39.444756,-105.609644,Mountain Dr/River St
160,39.412807,-105.514973,Iron Horse Ln/Grousemont Ln
305,39.284549,-106.064208,1st St
160,39.406147,-105.478108,Fsr-109
160,39.421188,-105.418540,Bunny Rd
