Estimated daily crossings,Latitude,Longitude,Name
334,27.211730,-81.868490,S Watson Ave/W Bond St
185,27.209030,-81.872300,Harris Rd/McKinley Ave
160,27.230470,-81.895800,NW Hwy 70
160,27.260220,-81.840320,/NE Co Rd 660
160,27.100620,-81.937760,/SW Hwy 17
160,27.210340,-81.852970,E Myrtle St/S Mills Ave
276,27.208438,-81.841404,SE Vermont Ave
246,27.214093,-81.867694,S Dade Ave
362,27.209560,-81.841730,16th Ave
160,27.326160,-81.811700,Hwy 17
160,27.225800,-81.949010,/NW Pine Wood Dr
276,27.208910,-81.868500,S Watson Ave/Harris Rd
246,27.079205,-81.962367,SW Senate St
362,27.214310,-81.860620,E Magnolia St/S Desoto Ave/Magnolia St
160,27.208700,-81.758804,State Hwy 70
160,27.169256,-81.933514,/SW Co Rd 760
160,27.220680,-81.846030,NE Effie/N 12th Ave
160,27.224460,-81.859810,/W Winifred St
160,27.226200,-81.872930,Bridle Path/Stirrup Way
160,27.205420,-81.848720,/Hargrave St
185,27.205470,-81.843270,Hargrave St/SE Airport Rd
160,27.276575,-82.019063,State Hwy 70
160,27.295160,-81.830980,Coconut Creek Dr
185,27.161020,-81.886040,SW Co Rd 760/Terrell St
185,27.213360,-81.831800,Lake Cir/Foliage St
276,27.205288,-81.864955,SW Ml King Jr St
185,27.224220,-81.854350,Hillsborough Ave
472,27.223570,-81.856680,Gibson St/Desoto Ave
185,27.231030,-81.852290,Nat Ave/Fiveash St
160,27.296998,-81.824847,NE Davis St/
579,27.230065,-81.890533,Yellow Brick Ln/Yellow Brick Rd
736,27.210110,-81.845010,/Oak St
216,27.207990,-81.852090,SE Adel St/SE 7th Ave
605,27.229441,-81.890175,Easy St
160,27.041310,-82.050820,SW Kingsway Cir/SW Egret Cir
160,27.231020,-81.895720,36th Ave
160,27.231589,-81.852550,N Brevard Ave
185,27.228310,-81.850160,Nursing Home Dr
276,27.211600,-81.842820,/15th Ave
160,27.093380,-81.945770,/SW Hwy 17/State Hwy 35
185,27.225970,-81.949010,NW Pine Wood Dr
185,27.203680,-81.873590,/SW Dukes St/SW Pearl Ave
