Estimated daily crossings,Latitude,Longitude,Name
160,30.052360,-83.172920,SE Clyde Ave/SE Park St
160,30.046210,-83.079220,NE Rosemary Ln/NE Rowan Rd
160,30.129180,-83.294908,/US Hwy 27
246,30.047700,-83.179030,SW Alachua Ave/SW Willow St
160,30.046450,-83.180520,Taylor St/SW Martin Luther King Jr Blvd/SW Taylor Ave
185,30.054470,-83.173740,NE Crawford St/NE Floyd Ave/Crawford St/Floyd St
160,30.079090,-83.235150,SW Landfill Ln
160,29.995210,-83.036370,SE Creek 405
160,30.051590,-83.178900,SW Lafayette Ave/SW Laura St
334,30.053780,-83.174520,NE Hart Ave/NE Bloxham St
185,30.105730,-83.246720,US Hwy 27
160,30.059070,-83.104650,NE Hamlin Rd
160,30.053210,-83.121071,NE Foye O Steen Ln/US Hwy 27
305,30.053050,-83.176090,SW Monroe Ave/NW Monroe Ave/W Main St
160,30.085570,-83.256480,/SW Creek 534
160,30.056010,-83.096140,C R 354/Co 354
160,30.055900,-83.176920,Clark Ave/NW Pasco St
160,30.053570,-83.095040,Ed Jackson Rd
185,29.950160,-82.948880,E US Hwy 27/State Hwy 349
160,30.063900,-83.150670,NE Co Rd 400/Co Rd 400/Koon Dairy Rd
160,30.051620,-83.173690,SE Laura St/SE Floyd Ave/Laura St
160,30.055940,-83.171530,Pasco St/Willis Ave
216,30.053810,-83.171480,Willis Ave/NE Bloxham St
185,30.053100,-83.154630,/US Hwy 27
185,30.129223,-83.292279,US Hwy 27
160,29.876690,-82.926440,SE Cheetah Ln/Cr 500
216,30.048460,-83.181340,SW Martin Luther King Jr Blvd/SW Lake St
216,30.077620,-83.293130,/SW F P Folsom Sr Rd
160,30.055930,-83.173740,NE Pasco St/NE Floyd Ave/Pasco St/Floyd St
160,30.085800,-83.224000,State Hwy 534
160,29.972750,-82.987280,Co Rd 450/Co Rd 354
160,30.052951,-83.142493,/US Hwy 27
160,30.050940,-83.172900,SE Clyde Ave/Mill St/SE Clyde St/SE Mills St
160,30.061290,-83.168520,NE Cr 400/NE Weeping Willow Ln
185,30.051160,-83.159110,Linwood St
160,29.944810,-82.956910,/Cr 475
160,30.056070,-83.183510,/Main St
185,30.047174,-83.179061,SW Laurel St/SW Alachua Ave
160,30.050913,-83.171115,SE Mills St
185,30.054440,-83.169460,Hawkins Ave/Crawford St
160,30.050930,-83.171746,SE Mills St
160,30.066370,-83.196410,NW Paradise Ln
160,30.053100,-83.169330,Hawkins Ave/SE Main St/Main St
216,30.055510,-83.096130,C R 354
160,30.055200,-83.175340,NE Loyd St/N Fletcher Ave/NW Loyd St
216,30.053130,-83.165950,Hwy 27/
216,30.053780,-83.173720,NE Floyd Ave/NE Bloxham St
185,30.053110,-83.168490,Hwy 27/NE Hornet Dr/Main St
216,30.053820,-83.170720,NE Bloxham St/Bryan Ave
334,30.048403,-83.180138,SW Lake St
160,30.064870,-83.166930,NE Franklin Rd/NE Fraklin Rd/NE Candy Ln
160,30.114750,-83.232270,NW Canoe Country Rd/Old Rail Rd
185,30.047810,-83.181340,SW Martin Luther King Jr Blvd/SW Willow St/SW Martin Luther King Jr Ave
160,30.063970,-83.150900,/Co Rd 400
160,30.018730,-83.077810,SE Maltese Rd/
185,30.048800,-83.173696,Oak St/Floyd St
185,30.056827,-83.171227,NE Schoolhouse Ln
216,30.047120,-83.180530,SW Laurel St/SW Taylor Ave
185,30.047457,-83.171534,SE Circle Dr
216,30.051690,-83.167770,SE Industrial Park Ave/SE Land Ave
185,30.054530,-83.173740,/NE Crawford St/NE Floyd Ave/Floyd St
185,30.054510,-83.172940,Crawford St/Clyde St
160,29.933652,-82.949258,SE Camel Ln/State Hwy 349
160,29.970200,-82.970130,/Patrician Oaks Rd
185,30.055220,-83.173740,Loyd St/NE Loyd St/NE Floyd Ave
160,30.051630,-83.158760,Linwood St
160,30.054276,-83.112904,NE Co Rd 361
160,30.046230,-83.176060,SW Martin Luther King Jr Blvd/Monroe Ave
276,30.054000,-83.168480,NE Hornet Dr/NE Hornet St
160,30.193531,-83.289860,NW Day Ave
160,30.053030,-83.134140,US Hwy 27
160,30.063940,-83.152140,Co Rd 400
160,30.055210,-83.174540,NE Loyd St/NE Hart Ave
160,29.998990,-83.018750,/SE Komondor Rd
160,29.952890,-82.955800,/NE Holly Rd
160,30.151220,-83.265930,/Co Rd 251
160,30.047260,-83.182040,Kerbo Sch Rd
160,30.066300,-83.196480,NW Paradise Ln/W US Hwy 27
160,30.046274,-83.176880,SW Martin Luther King Jr Blvd/
216,30.051630,-83.174500,SE Laura St/SE Hart Ave
305,30.053790,-83.172930,NE Bloxham St/Clyde St
185,29.877570,-82.925100,SE Cheetah Ln
185,29.876730,-82.925250,SE Cheetah Ln
160,30.053120,-83.179680,W Main St/SW Alachua Ave
185,30.050270,-83.168570,SE Tar St/SE Malone Ave
216,30.053809,-83.167780,/NE Hornet Dr
160,29.981829,-82.964968,NE River Ridge Ln
246,30.053080,-83.153320,/US Hwy 27
160,30.050112,-83.175262,S Fletcher Ave
160,29.860103,-82.926240,Cr 500
185,30.019260,-83.078490,SE Maltese Rd
160,30.050128,-83.174484,S E Clyde Ave
160,30.053020,-83.178940,SW Lafayette Ave/NW Lafayette Ave/W Main St
185,30.049588,-83.178410,SW Lafayette Ave/SW Pine St
160,30.047060,-83.168090,SE Dees Ct/SE Circle Dr
160,30.048920,-83.176850,SW Oak St/SW Clark Ave
160,29.930210,-82.935740,SE Apaloosa Rd
160,30.049580,-83.201750,/Co Rd 251A
160,29.858987,-82.926225,Cr 500
160,29.886220,-82.953400,C R 480
160,30.048280,-83.177640,SW Lake St/SW San Pedro Ave
160,30.054469,-83.177674,NW San Pedro Ave/Crawford St/NW Crawford St
160,30.053960,-83.137890,/NE Thalia Rd
185,30.086010,-83.172940,/State Hwy 51
160,30.129120,-83.344070,/US Hwy 27
160,30.066430,-83.196670,/W US Hwy 27
216,30.063640,-83.164120,/NE Cr 400
160,29.984340,-83.008380,C-420
160,30.045570,-83.096020,Co Hwy 354
334,30.048350,-83.179060,SW Lake St/SW Alachua Ave
216,30.053760,-83.176890,NW Clark Ave/NW Bloxham St/NE Bloxham St
185,30.035500,-83.066210,US Hwy 27
160,30.059770,-83.150550,NE Co Rd 400
185,30.053080,-83.152560,NE Tiger Lily Rd/US Hwy 27
160,29.999094,-83.018633,SE Komondor Rd/E US Hwy 27
160,29.941030,-82.948680,/State Hwy 349
334,30.054460,-83.175310,NE Crawford St/N Fletcher Ave/NW Crawford St
160,30.049565,-83.202338,Co Rd 251A
160,30.053940,-83.187040,Sunny Oaks
160,29.922682,-82.950642,State Hwy 349
185,30.053750,-83.177670,NW Bloxham St/NW San Pedro Ave
160,29.954370,-82.931930,/US Hwy 27
160,30.086630,-83.224130,US Hwy 27
185,30.049460,-83.173670,Pine St/SE Pine St
276,30.054480,-83.176030,NW Crawford St
160,30.047025,-83.167174,S E Circle Dr/Dees St
160,30.060540,-83.169590,NE Cr 400
160,30.047170,-83.181340,SW Martin Luther King Jr Blvd/SW Laurel St
160,30.050270,-83.172900,Tar St/SE Clyde St/Clyde St
160,30.054480,-83.176894,NW Clark Ave/NW Crawford St
246,30.053090,-83.171470,E Main St/Willis Ave
160,30.085630,-83.249020,/State Hwy 534
160,30.085800,-83.223135,/State Hwy 534
185,30.053040,-83.177670,NW San Pedro Ave/SW San Pedro Ave/W Main St
160,30.055046,-83.170802,Loyd St/Bryan Ave
160,30.193050,-83.293200,NW Dakota St/Fulton St
160,30.098853,-83.171780,State Hwy 51/Creek 51
160,30.050200,-83.175090,SE Tar St
160,30.004138,-82.994904,NE Oleander Rd
276,30.047720,-83.179330,SW Willow St/SW Layafette Ave
160,30.055920,-83.176130,Monroe St/NW Monroe Ave/NW Pasco St
160,30.031690,-83.045470,NE Cr 411
276,30.047091,-83.180027,SW Laurel St/SW Alachua Ave
216,30.048810,-83.174560,SE Hart Ave
276,30.054480,-83.176100,NW Monroe Ave/NW Crawford St
160,30.055930,-83.174550,Hart St/NE Pasco St/NE Hart Ave
160,30.086310,-83.172910,/State Hwy 51
160,29.977473,-82.965518,Patrician Oaks Rd
160,29.886200,-82.955230,C R 480/State Hwy 349
160,29.939970,-82.948670,/State Hwy 349
160,30.046500,-83.181220,SW Martin Luther King Jr Blvd/SW Twain Rd
160,30.052750,-83.091270,US Hwy 27
246,30.054520,-83.171480,Crawford St/Willis Ave
160,30.086090,-83.223370,US Hwy 27
160,30.046210,-83.096030,SE Quarter Horse Ln/Co Hwy 354
160,30.050140,-83.177610,SW Lafayette Ave/SW San Pedro Ave/SW Tar St
185,30.055076,-83.171505,Loyd St/Willis Ave
160,30.107380,-83.293470,Ezell Ln/SW Creek 534/State Hwy 534
160,30.085800,-83.223650,/State Hwy 534
185,30.050930,-83.174490,SE Mills St/SE Hart Ave
160,30.053430,-83.090280,NE Sage Rd
160,30.050165,-83.180260,Tar St/SW Alachua Ave
160,30.052630,-83.090830,US Hwy 27
185,30.046310,-83.177660,SW Martin Luther King Jr Blvd/San Pedro St/SW San Pedro Ave
160,30.149210,-83.244380,Blue Springs Rd
160,29.962650,-82.971130,US Hwy 27
160,29.878798,-82.956164,State Hwy 349
185,30.049124,-83.180684,SW Oak St/SW Taylor Ave
160,30.183970,-83.262540,NW Gandview Rd/NW Suwanee Meadows Rd
160,30.050225,-83.175262,SE Tar St/S Fletcher Ave/SW Tar St
185,30.059260,-83.096170,Co 354
185,30.066537,-83.174569,NE Northwood Dr
160,30.056000,-83.095720,C R 354/NE Ed Jackson Rd
160,30.017080,-83.066370,SE Maltese Rd//SE Buck Jackson Ln
216,30.049483,-83.174506,SE Pine St/S E Clyde Ave/SE Hart Ave
185,30.047186,-83.170511,SE Circle Dr
160,30.047630,-83.183230,Kerbo Sch Rd/Kerbo School
160,29.989731,-83.047158,/SE Lakeshore Blvd
160,30.045630,-83.179004,SW San Pedro Ct
160,30.049520,-83.175260,SE Pine St/SW Pine St/S Fletcher Ave
160,30.068830,-83.171640,NE Northwood Dr/NE Pinewood Ct
160,30.021293,-83.078903,SE Maltese Rd
160,30.048240,-83.176809,SW Lake St/SW Clark Ave
160,30.052460,-83.090280,US Hwy 27
160,30.047550,-83.183260,/Kerbo Sch Rd
160,30.050280,-83.167750,SE Tar St/Selano Ave/SE Land Ave
160,29.970200,-82.969990,/Patrician Oaks Rd
160,29.877910,-82.926460,/Cr 500
305,30.047780,-83.180600,SW Taylor Ave/SW Willow St
185,30.055910,-83.178960,NW Lafayette Ave/NW Pasco St
160,30.058079,-83.176218,Clark Ave/NW Monroe
160,30.070850,-83.171680,NE Northwood Dr
160,30.013510,-83.081060,SE Shaw Rd/SE Co 405/Cr405
160,30.193100,-83.290340,/NW Day Ave
185,30.097750,-83.171880,/State Hwy 51
160,29.980980,-82.978930,NE Mandarin Rd/NE Blackjack Ln
160,30.055167,-83.176910,NW Clark Ave/Clarke St/NW Loyd St
216,30.054010,-83.167760,/NE Hornet Dr
160,30.051120,-83.179240,SW Mills St
160,29.995219,-83.036738,SE Creek 405/C Rd 354A/Co Rd 354
160,30.053120,-83.158830,SE Dr/US Hwy 27
160,29.955173,-82.929536,US Hwy 27
160,29.998930,-83.018273,NE Orchid Rd
160,30.050930,-83.173680,Mill St/SE Floyd Ave/SE Mills St
185,30.056700,-83.171570,NE Schoolhouse Ln/Willis Ave
160,30.161810,-83.278690,NW Crews McCray Dr
390,30.048396,-83.179991,SW Lake St/SW Alachua Ave
160,29.978700,-83.033010,SE Falcon Dr
160,30.196820,-83.266110,/Co Rd 251
185,30.085769,-83.172980,NE Suwannee Acres Ln/State Hwy 51
160,30.128098,-83.349126,US Hwy 27
246,30.053070,-83.172910,SE Clyde Ave/E Main St/Main St/Clyde St
160,29.967120,-82.976920,Patrician Oaks Rd/US Hwy 27
160,30.051590,-83.179690,SW Laura St/SW Alachua Ave
185,30.055140,-83.178950,NW Lafayette Ave/NW Loyd St
160,29.953846,-82.932156,Old River Rd
185,30.053120,-83.167173,Hwy 27
160,30.052520,-83.182613,Boxham St
185,30.053280,-83.112890,SE Cr371/NE Co Rd 361/US Hwy 27
185,30.053060,-83.174510,E Main St/NE Hart Ave/SE Hart St
160,30.085911,-83.223136,/US Hwy 27
160,30.123510,-83.275050,/SW Dickens Rd
160,30.048840,-83.175260,SE Oak St/SW Oak St/S Fletcher Ave
216,30.048820,-83.174720,SE Oak St
216,29.880200,-82.926490,/SE Cr 500
160,30.051580,-83.181350,SW Martin Luther King Jr Blvd/SW Laura St/SW Martin Luther King Jr Ave
160,30.066660,-83.196970,/W US Hwy 27
160,30.053740,-83.178920,NW Bloxham St/NW Lafayette Ave/Boxham St
160,30.054460,-83.181610,Main St
160,30.046361,-83.178665,SW Martin Luther King Jr Blvd
160,30.018870,-83.077960,/SE Maltese Rd
160,30.063720,-83.163580,NE Cr 400/
160,29.951850,-82.956160,NE Holly Rd/E US Hwy 27/US Hwy 27
160,30.049936,-83.178361,SW Lafayette Ave/Tar St
185,29.975070,-82.987310,Co Rd 450/E US Hwy 27/US Hwy 27
276,30.050913,-83.168560,SE Malone Ave
334,30.047759,-83.180010,SW Willow St/SW Alachua Ave
160,29.973495,-83.010939,SE Cr 405
160,30.050920,-83.175270,SW Mills St/S Fletcher Ave/SE Mills St
185,29.952270,-82.957070,/US Hwy 27
160,30.044910,-83.078530,/US Hwy 27
160,30.056600,-83.172310,/Willis Ave
160,30.050250,-83.173680,SE Tar St/SE Floyd Ave/Tar St
160,30.051680,-83.158760,SE Edwards Ave/SE Dr/Linwood St
160,30.053100,-83.154710,SE Wayfare Rd/US Hwy 27
160,29.995210,-83.037050,SE Co 405/Gobbler Rd/Co Rd 354
185,30.085750,-83.172960,NW Cr 536/N State Rte 51/State Hwy 51
185,30.056534,-83.171557,Willis Ave
160,30.097170,-83.171930,State Hwy 51
160,30.038860,-83.079130,SE Walter Henderson Rd
246,30.048430,-83.180660,SW Lake St/SW Taylor Ave
305,30.053060,-83.175300,E Main St/N Fletcher Ave/S Fletcher Ave/W Main St
160,30.053420,-83.096100,C R 354/Co Hwy 354/US Hwy 27
160,29.950690,-82.952680,/E US Hwy 27
160,30.196810,-83.265185,/NW Forsythe Rd
160,30.053100,-83.169354,E Main St/Main St/SE Hawkins
160,30.053820,-83.180846,Main St
185,30.050272,-83.167963,SE Tar St
160,29.951990,-82.956100,/NE Holly Rd
160,30.053305,-83.109975,/US Hwy 27
160,29.982490,-82.964460,/NE River Ridge Ln
160,30.049640,-83.198990,Co Rd 251A
160,30.129200,-83.292580,State Hwy 534/N Creek 53/US Hwy 27
160,30.053250,-83.180770,SW Cr 300
160,30.055187,-83.176910,Clarke St/Clark Ave/NW Loyd St
160,30.085640,-83.248640,SW Independence Rd/SW Creek 534/State Hwy 534
160,30.049550,-83.202940,/Co Rd 251A
185,30.048950,-83.177620,SW Oak St/SW San Pedro Ave
216,30.077760,-83.293130,/SW F P Folsom Sr Rd
185,30.053110,-83.168570,SE Main St/Main St/SE Malone Ave
160,30.011930,-83.079620,/Cr405/Co Rd 354
160,30.085610,-83.251140,SW Freedom Rd/SW Creek 534/State Hwy 534
160,30.053820,-83.169340,Hawkins Ave/NE Bloxham St
160,30.054190,-83.181290,Main St
160,30.052330,-83.175290,SW Park St/SE Park St/S Fletcher Ave
185,30.121132,-83.275154,SW Dickens Rd
185,30.054510,-83.173010,/Crawford St
160,30.052310,-83.178940,SW Park St/SW Lafayette Ave
160,30.053140,-83.160990,NE Victory Ln/US Hwy 27
160,29.962150,-82.970460,US Hwy 27
160,30.056303,-83.176920,Clarke St/Clark Ave
160,30.044280,-83.077710,US Hwy 27
160,30.055940,-83.172960,Pasco St/Clyde St
246,30.053070,-83.173730,E Main St/SE Floyd Ave/NE Floyd Ave/Main St
