Estimated daily crossings,Latitude,Longitude,Name
334,28.267349,-81.436021,Pleasant Hill Rd
185,28.226195,-81.501424,Calla Lily Ct
1929,28.337507,-81.650977,Cabbage Palm Ln/Cat Palm Rd
276,28.148440,-81.468279,Paprika Pl
246,28.154921,-81.449240,Alpine Ct/San Remo Rd
246,28.152720,-81.437761,Southport Bay Dr/Southport Rd
160,28.188722,-81.499793,Marigold Ave/Peabody Rd
418,28.291689,-81.337222,Remington Blvd/Knightsbridge Blvd
472,28.225031,-81.484784,Crescent Lakes Way
160,28.179586,-81.487939,Marigold Ave/San Lorenzo Rd
276,28.242533,-81.283560,New York Ave
788,28.322721,-81.592191,Long Island Dr/Andros Ln
1615,28.347384,-81.531627,I- 4
160,28.219248,-81.475411,Moonstone Bend
160,28.292210,-81.399920,Jacaranda Ln/E Drury Ave
160,28.305948,-81.599006,Indian Oaks Trl
579,28.275434,-81.419706,S John Young Pkwy
499,28.345061,-81.495705,Bearclaw Way/Flying Eagle Ln
185,28.144844,-81.076034,E Irlo Bronson Memorial Hwy/Turn Around Bay Rd
276,28.334473,-81.360569,Elmwood Ct
362,28.286178,-81.426752,Ernest St/Rolfe St
160,28.253865,-81.327058,Neptune Rd
160,28.263709,-81.574562,Mystic Brook Way/Forehand Rd
246,28.260922,-81.585239,Northern Harrier Way/Mourning Dove Cir
362,28.253554,-81.320800,Commerce Center Dr
499,28.312097,-81.399614,Smith St/Ginwright Ct
276,28.259720,-81.268871,Mississippi Ave/Rummell Rd
216,28.206561,-81.468666,Flack Ct
1903,28.304165,-81.457588,/Old Vineland Rd
968,28.304953,-81.350356,Boggy Creek Rd
362,28.343477,-81.356580,Whisperwood Ct
185,28.184105,-81.499834,Churchill Ct/Peabody Rd
526,28.347886,-81.382969,Florida's Tpke
418,28.123210,-81.451522,Albi Ct/Bordeaux Rd/Amboise Ln
552,28.308768,-81.400977,Dickson St
334,28.214214,-81.291275,Reade Cir
185,28.257404,-81.184380,Haddock St/Bass Hwy
216,27.874997,-81.022575,/Florida's Tpke
1355,28.304464,-81.433483,/W Vine St
1071,28.309486,-81.428330,Harbor Bay Ct
160,28.297238,-81.344515,Thornbury Ln/Thornbury Dr
216,28.303885,-81.550880,Pawstand Rd/Persimmon St
865,28.318291,-81.594592,Sir Kaufmann Ct
160,28.213420,-81.286893,Cypress Woods Cir/Paper Woods Dr
246,28.327775,-81.383278,Lund Ave/Debany Rd
994,28.304270,-81.349327,Fortune Rd
305,28.221164,-81.480186,Marg Ln/Castle St W
362,28.320295,-81.423838,Maui Cir
390,28.315369,-81.415911,N John Young Pkwy/Lyndell Dr
390,28.216547,-81.438053,Shadow Wood Ct
605,28.223986,-81.478324,Thames St E/Trafalgar Blvd
362,28.335354,-81.330282,Boggy Creek Rd
216,28.243191,-81.294760,California Ave/16th St
216,28.258109,-81.448891,/Westgate Dr/S Orange Blossom Trl
762,28.295352,-81.403268,Railroad Ave
160,28.293087,-81.387063,Dean Ave/Linda Ln
160,28.331638,-81.344373,Dahlia Dr/Snapdragon Ct
160,28.293401,-81.346181,Knightsbridge Blvd/Southbridge Cir/Owenshire Cir
185,28.198356,-81.280158,Countryside View Dr
499,28.310956,-81.434201,E Tower Ct
276,28.247824,-81.264260,Orange Ave
216,28.248640,-81.308157,10th St
605,28.345612,-81.432857,Hawks Nest Blvd
362,28.195594,-81.292502,N Canoe Creek Rd/Pine Tree Dr
390,28.272605,-81.584108,Molona St/Astina St
276,28.309742,-81.399646,Howard Ter/Smith St
276,28.308326,-81.553679,Yew Ct
865,28.255190,-81.486278,S Poinciana Blvd
185,28.328333,-81.334558,Pebble Pointe Way/Sebastian Ct
334,28.330205,-81.380572,Tina Ln/Twin Oaks Dr
445,28.283162,-81.416166,S John Young Pkwy
418,28.156500,-81.452171,N Doverplum Ave/Koa St
185,28.213357,-81.283980,Creek Woods Dr
334,28.310417,-81.359262,Cypress Knee Loop/Cypress Bay Blvd
160,28.340870,-81.489396,White Dove Ln/Lonesome Dove Dr
160,28.213968,-81.469637,Tower Rock St/Yellow Bay Dr
160,28.249293,-81.551185,Ivy Mist Ln/S Orange Blossom Trl
526,28.246042,-81.271177,13th St/Wyoming Ave
390,28.321824,-81.479114,Monarch Ln/Chatham Cir
418,28.311364,-81.425901,Bahamas Ct
246,28.238724,-81.195125,Ben Franklin St/Dinatale Dr
160,28.250634,-81.290252,Wisconsin Ave/8th St
160,28.258721,-81.490337,Evans Way/Ave B
276,28.305240,-81.600444,Turkey Oak Ln/Tangle Oak Ln
684,28.297501,-81.370847,/Shakerag Rd
2328,28.340932,-81.531992,Arabian Nights Blvd
658,28.339791,-81.437229,Flora Blvd/Whitestone Cir
499,28.321241,-81.415978,N John Young Pkwy
276,28.337669,-81.438463,Ashland N
710,28.324757,-81.605012,Golden Pond Cir/Golden Pond Ct/Star Lake View Dr
216,28.288059,-81.414356,S Dillingham Ave/W Portage St
445,28.285851,-81.362631,Piedmont Ln/Corner Stone Dr
3896,28.332768,-81.495574,Space Coast Pkwy/Scott Blvd
305,28.241332,-81.317769,Kissimmee Park Rd
160,28.251570,-81.290264,Wisconsin Ave/7th St
246,28.291088,-81.427280,Bryan St
418,28.230893,-81.435624,Pleasant Hill Rd/Windmill Point Blvd
334,28.282903,-81.369074,Chaucer Way/Brighton Place Blvd
526,28.320154,-81.345439,Las Brisas Way
305,28.343224,-81.337578,Quarterdeck Ct
276,28.186385,-81.300618,Bobby Lee Ln
