Estimated daily crossings,Latitude,Longitude,Name
160,28.209125,-82.162686,Quartz Dr/Malachite Dr
160,28.258714,-82.725254,Julia Ct
445,28.314589,-82.666030,Ponderosa Ave/Little Rd
160,28.260393,-82.465370,Timber Ridge Way
499,28.215975,-82.698938,Celtic Dr
246,28.198035,-82.771254,Hawk Roost Ct
160,28.235295,-82.214649,Astrid Dr/Monterey Blvd
185,28.201433,-82.485714,Strahmore Pl/Lynwood Ct
305,28.182332,-82.349313,Tanglewood Dr
216,28.223034,-82.369224,Tealwood Trl/Gateway Blvd
185,28.218400,-82.196313,Daybright Ln/Radiant Ln
276,28.187082,-82.691537,Kenosha
160,28.253526,-82.733942,Manor Beach Rd
246,28.331915,-82.286580,State Hwy 52
160,28.263865,-82.717627,Walnut St/Orange Grove Ave
185,28.354153,-82.208144,Thomas Jefferson Rd
185,28.248295,-82.732872,Treasure Dr
216,28.242396,-82.723427,Lafayette St
276,28.226212,-82.671765,Trimble Ln/Knob Hill Ct
246,28.354822,-82.187379,US Hwy 98 Byp
216,28.358639,-82.692517,Windsor Mill Rd
605,28.298660,-82.691533,Potomac Dr/Glen Moor Ln
160,28.182400,-82.460688,Woodstork Ln/Snowy Egret Pl
362,28.365879,-82.189082,7th St/Pineapple Ave
362,28.205102,-82.741803,Canterberry Dr/Sutton Pl
246,28.201863,-82.514714,Lytham Ct
185,28.342398,-82.690504,Wood Box Row/Shell Point Dr
185,28.211259,-82.299905,Chancey Rd/Meadow Pointe Blvd
185,28.336308,-82.199323,Layton Rd/Leanne Dr
276,28.304999,-82.329306,Snap Hook Dr/Coharie Loop
185,28.247044,-82.171699,20th St
160,28.198383,-82.440392,Newfield Ct/Martha Ln
305,28.217576,-82.239661,Joyful Ln/Happiness Way
246,28.360511,-82.696557,Clark St/US Hwy 19
305,28.277789,-82.694567,Box Elder Dr/Rose Petal Ct
362,28.363670,-82.192071,Regency Ln
334,28.339700,-82.691555,Beacon Woods Dr/Greylock Ln
185,28.205635,-82.760104,Rock Royal Dr/Beacon Square Dr
160,28.320074,-82.606773,Gowan St/Dion Ave
160,28.256045,-82.733121,Edgewater Dr
276,28.259093,-82.189789,Daughtery Rd
