Estimated daily crossings,Latitude,Longitude,Name
160,30.004254,-82.559721,Co Rd 245/State Hwy 238
160,29.974233,-82.413642,SW 126th Ave/SW 67th Pl
246,29.937691,-82.455003,SW 100th Pl/SW 38th Trl
160,29.944094,-82.424591,SW 118th Cir/Main St
160,30.036117,-82.302753,NE 111th Ter
160,29.988277,-82.357257,SW 158th Ct
185,30.060130,-82.244030,State Hwy 121
246,29.928579,-82.425044,5 Park Ln/Ethel Ave/SW 35th St
160,30.069050,-82.226114,State Hwy 121/NE 236th Ct
160,29.976985,-82.504668,SW 71st Ave/SW 68th Trl
160,30.004831,-82.491015,State Hwy 238A/State Hwy 238
160,30.118802,-82.381229,NW 167th Dr/Co Rd 231
445,30.020011,-82.345017,SW 3rd St/SW 6th Ave
418,30.023966,-82.336007,NE 1st St
160,29.988289,-82.383155,SW 77th Ter
185,30.068110,-82.228254,NE 235th Pl
526,30.019501,-82.327910,SE 8th Ave/SE 6th St
390,30.018047,-82.327570,SE 8th Ct
160,30.048245,-82.399480,NW 129th Ave/State Hwy 100
185,30.043162,-82.282610,Nestate Road 121
160,30.023344,-82.345950,SW 1st St/SW 7th Ave
216,30.020930,-82.338938,SW 1st Ave
362,30.023868,-82.338978,NW 1st St/NW 1st Ave
160,29.994145,-82.367645,SW 152nd Loop/SW 152nd Rd
160,30.017978,-82.313189,State Hwy 100
334,30.024121,-82.346992,/W Main St
160,30.003823,-82.555793,SW 40th Ct
305,30.022247,-82.342835,SW 1st St/SW 5th Ave
216,30.026525,-82.321383,State Hwy 121
160,30.046469,-82.296054,NE 194th Pl/Nestate Road 121
246,29.966548,-82.533554,SW 61st St/SW 47th Loop
160,30.026184,-82.353476,SW 12th Ave
160,30.033379,-82.318389,NE 181st Ct
185,29.931500,-82.427243,Sierra Dr/SW 117th Run
216,30.016610,-82.332162,/SE 6th Way/SE 5th Ave
160,29.945157,-82.440463,SW 109th Rd
160,30.026364,-82.353462,SW 12th Ave/State Hwy 100/W Main St
160,30.026109,-82.326945,NE 2nd Dr/NE 9th Ave
445,30.024862,-82.345746,/NW 7th Ave
160,30.057848,-82.249502,Olin Rd
160,29.931810,-82.416357,Co Rd 18A/State Hwy 18
160,29.956273,-82.486446,SW 81st Ave
185,30.020815,-82.370740,SW 150th Run/State Hwy 238
160,30.003608,-82.385434,SW 141st Ct
160,30.060174,-82.423046,Co Rd 231A/State Hwy 100
305,30.024554,-82.345741,NW 7th Ave
160,29.946111,-82.442234,State Hwy 18
185,30.021781,-82.327893,SE 8th Ave
246,30.023135,-82.347835,SW 8th Pl/SW 1st Ter
246,29.979925,-82.368218,SW 152nd Pl
