Estimated daily crossings,Latitude,Longitude,Name
276,31.210169,-83.244852,Old Coffee Rd N/E 7th Ave
216,31.058963,-83.213232,Ridgewood Dr
160,31.217043,-83.251962,Smith Ave/Edgewood St
160,31.209656,-83.257448,/Watson St
246,31.217958,-83.239563,Old Coffee St/Old Coffee Rd N/Avera Mill Rd
246,31.188315,-83.257476,Woodland Way/Cherry Dr
160,31.187796,-83.245420,S Davis St
160,31.412442,-83.324412,US Hwy 82
160,31.197338,-83.272221,Adel Hwy
160,31.295404,-83.235619,Old Tygart School Rd/N Davis St
160,31.236555,-83.249395,Pine Rd
216,31.381498,-83.224912,Railroad St/Charles St
160,31.147717,-83.219311,David Powell Rd
185,31.205732,-83.242474,John St/E Washington Ave
631,31.203012,-83.251419,College St/S Bartow St
216,31.129199,-83.214038,Allenville Rd
160,31.063119,-83.214609,Harlee Ln/Possum Creek Rd
362,31.209906,-83.249845,E 6th Ave/N Davis St
185,31.197166,-83.258085,Parrish St/Adel Hwy
160,31.310147,-83.121553,June Hendley Rd/Giddens Rd
160,31.269164,-83.390461,Earnest Sumner (Cord145) Rd/Coy Hancock Rd
246,31.192534,-83.258858,Cedar Dr/Azalea Way
160,31.385876,-83.223934,Five Ash St/US Hwy 82
160,31.189843,-83.153724,Southeast Rd/Cook Rd
160,31.113311,-83.210780,Semans Rd/John Swain Rd/Ray City Hwy
216,31.191150,-83.261692,Amber Dr
160,31.203110,-83.257387,Gaskins St/Sheppard Ave
185,31.218468,-83.211301,Mark Hughes Rd Co Rd 17/Avera Mill Rd
216,31.217369,-83.239979,/Old Coffee St
216,31.067838,-83.202866,Ice Castle Ln/Park St
160,31.186243,-83.294049,Co Rd 194/McClendon Rd/McCorvey Rd
216,31.217004,-83.254183,Smith Ave/Griner St
160,31.206356,-83.238952,Decatur St/E Marion Ave
160,31.299086,-83.229565,Steel Magnolia Dr/Blue Magnola Dr
552,31.197401,-83.251304,S Davis St/Melba St
160,31.203273,-83.236984,Luke St/E McPherson Ave
334,31.211034,-83.248793,N Jefferson St/E Beetree Ave
185,31.217808,-83.237648,Amelia St/Avera Mill Rd
160,31.220192,-83.231590,Marie McGill Rd
160,31.401002,-83.363151,Horseshoe Loop//Pardise Dr
185,31.075805,-83.198761,Jones St
246,31.196642,-83.266309,/Adel Hwy/Exum St
246,31.196434,-83.261227,Adel Hwy
305,31.203525,-83.249628,Jefferson St/S Jefferson St/Dennis Ave
