Estimated daily crossings,Latitude,Longitude,Name
216,31.159689,-81.991226,Britt Still Rd/US Hwy 301 S
185,31.204569,-81.982011,/Broome St
160,31.227496,-82.116643,Berry Rd/Raybon Rd W
160,31.197757,-82.248282,Lucas Ln
160,31.264470,-82.004866,/Oak Grove Rd
160,31.191604,-82.281437,Grace Cir
160,31.203891,-82.260758,Pleasant Dr
160,31.160900,-82.150656,Mount Calvary Rd
160,31.195808,-82.214895,Ginger Ln/Central Ave
185,31.170831,-82.149145,Mount Calvary Rd
216,31.183569,-82.253990,Miles Still Rd
160,31.262929,-81.971772,Florida Ave/Raybon Rd W
160,31.224336,-82.119852,Saddle Club Rd/Ferry Rd
160,31.150681,-82.044627,/J Foot Ln/Caney Bay
216,31.231486,-81.764014,US Hwy 82
160,31.210611,-81.971243,Morgan St
185,31.243178,-82.099518,Raybon Rd W
160,31.202095,-82.246811,/Country Farm Rd
305,31.202502,-81.989910,Avalon St/Johns St
160,31.177169,-82.034285,Caney Bay Rd
160,31.182230,-82.132314,Griffin St/Palm St
160,31.216906,-81.977953,John Wilson St/N Main St
185,31.202873,-81.977643,E Cleveland St/Hughes/Hughes St
160,31.228406,-81.799599,/US Hwy 82
160,31.201700,-81.998163,US Hwy 82
305,31.206713,-81.980682,Burton St/N Main St
185,31.211736,-81.928768,US Hwy 82
276,31.188581,-82.271687,Hickox Ln
160,31.254493,-81.754766,Post Rd
160,31.258939,-81.991484,Hoke Rd/Oscar Lyons Rd
160,31.194003,-82.163415,Creek Dr/Co Rd 5/Mars Hill Rd
160,31.184950,-81.987127,Posted Timmber Rd/US Hwy 301 S
334,31.204297,-81.981049,Satilla Ave/Cannon St
185,31.183745,-82.128262,Kelly St
185,31.263536,-81.999344,/Co Rd 114/J Terrell Rd
160,31.162894,-81.992473,Blue Spruce Ln
160,31.186837,-81.818488,Old Jacksonville Rd/State Rte 110
160,31.202506,-81.987508,/Avalon St
216,31.208677,-81.981883,Knox St/Florida Ave
185,31.210951,-82.138315,/Saddle Club Rd
160,31.181325,-82.222186,Dixon Rd/Evergreen Rd
160,31.252335,-81.988015,Ern Rd/Cecil Herrin Loop
160,31.187532,-82.267445,Co Rd 16
160,31.147673,-81.855708,3rd Ave/Old State Rte 259
185,31.259610,-82.003937,Oak Grove/Wilson Rd/Oak Grove Rd
185,31.228759,-81.761522,Sugarcane Trl/Old Post Rd
185,31.161669,-82.151690,Hickory Rd/Mount Calvary Rd
160,31.211448,-82.138052,/Saddle Club Rd
160,31.229912,-81.797224,Crandal Rd
185,31.191684,-82.280924,Grace Cir
160,31.203995,-82.262091,Lakeview Dr/Pleasant Dr
160,31.262798,-81.968864,/Raybon Rd W
160,31.150354,-81.998874,Caney Bay Rd/First Hendrix Rd
445,31.204458,-81.979670,Satilla Ave/Bryan St
160,31.233348,-81.848513,Atkinson Rd/Sunshine Rd
160,31.196372,-82.275505,Highland Rd
185,31.223565,-81.972556,/Rd 281
160,31.196200,-82.214693,Ginger Ln
185,31.192001,-82.064230,/US Hwy 82
185,31.200751,-82.251403,Miles Still Rd/Central Ave
185,31.259416,-82.058770,/Raybon Rd W/Raybon Rock Rd
160,31.159873,-81.789811,Elliott Rd/State Rte 110
160,31.223366,-81.777012,America Lndg/Stafford Rd
160,31.199671,-81.983441,Howard St/S Main St
185,31.168249,-82.143780,Palmetto St
185,31.253301,-81.982643,Hoke Rd/Katie Ham Rd
160,31.226848,-81.763692,Muchison Ln
216,31.335202,-81.950051,State Rte 32/US Hwy 301 S
246,31.172788,-82.195044,US Hwy 82
160,31.246860,-81.854026,Ft McIntosh/Ft McIntosh Loop
160,31.183098,-82.128777,Railroad St
185,31.220445,-81.861457,US Hwy 82
160,31.214788,-81.959649,Junior Wilson Rd/Paloma St
160,31.182372,-82.132320,Palm St
185,31.180430,-82.133241,/Griffin St/Jefferson St
246,31.217103,-81.987319,Oak Grove Rd/Jacobs St
160,31.195536,-82.216250,Ginger Ln/Central Ave
160,31.206601,-81.981713,Florida Ave/Burton St
160,31.225074,-81.987633,Knox St/Oak Grove Rd
160,31.337261,-81.956280,/Brunswick Rd/Hortense Rd
185,31.216262,-81.974779,E Paloma Dr/Velie Rd
160,31.223141,-81.970436,Rd 281
362,31.201550,-81.988430,W Cleveland St/Ervin St
160,31.185447,-82.131586,/Chicago Ave/King St
160,31.186012,-82.128628,Chicago Ave/Kelly St
276,31.209228,-81.983902,Knox St
216,31.207253,-81.990326,Burton Ter
185,31.228633,-81.797002,Crandal Rd/US Hwy 82
160,31.212278,-81.987392,Burch St/Knox St
160,31.196359,-82.219188,Ginger Ln/Central Ave
185,31.195155,-82.281945,Grace Cir
160,31.262751,-81.997603,Co Rd 114/J Terrell Rd
160,31.262980,-82.047490,/Raybon Rock Rd
276,31.211266,-81.765791,Old Post Rd/Pete Ave
246,31.202047,-81.996137,Dude Cir/W Cleveland St
276,31.197685,-82.025458,/US Hwy 82
185,31.198370,-81.983953,Charlton St/S Main St
185,31.216361,-81.973546,E Paloma Dr
160,31.129826,-82.164904,Mill Pond Rd/Lee Rd
160,31.262832,-81.968512,Raybon Rd W/Purdom Rd
185,31.210754,-81.983112,Eliza Nesby St
160,31.254767,-81.754695,Cole Ridge/Post Rd
185,31.191549,-82.280580,Grace Cir
160,31.182637,-82.132331,Palm St
160,31.142596,-82.131865,Brantley Ave/Ferman Lee Rd
160,31.311517,-81.877321,/US Hwy 110 W
160,31.203388,-82.146982,/Hwy 121
216,31.182137,-82.135333,Brantley Ave
160,31.336976,-81.956360,Birmingham Rd
216,31.201213,-82.258985,Dixie Ln/Central Ave
160,31.171470,-82.146906,Red Trail Rd/Mount Calvary Rd
185,31.206164,-82.119364,Pine Ridge Rd
216,31.192321,-82.127855,Raybon Rock Rd/Clara Jacobs Rd
631,31.202775,-81.982119,N Main St
185,31.214994,-81.805327,Oleander Cir/Hope Rd
160,31.228049,-81.803876,US Hwy 82
216,31.231724,-81.761196,US Hwy 82
216,31.183420,-82.254053,Miles Still Rd
160,31.180859,-82.237395,Meadow Lark Dr/Bennett Rd
160,31.157874,-81.911616,Cr 92
160,31.191909,-82.281624,Grace Cir/Knight Ave
362,31.201787,-81.985516,W Cleveland St
160,31.222519,-81.986835,Knox St/Oak Grove Rd
160,31.209549,-81.979898,Roosevelt St/N Main St
160,31.222897,-81.976281,N Main St
160,31.254641,-81.754727,Post Rd
185,31.197497,-82.273304,Whitehall Ch Rd/White Hall Church Rd
185,31.334149,-81.949800,Ballfield Rd/Old Highway Rd
160,31.197881,-82.222770,Ladybug Ln/Central Ave
160,31.140695,-82.162379,/High Bluff Rd
185,31.230072,-81.781688,US Hwy 82
216,31.335154,-81.913467,Sawgrass Rd
185,31.200382,-82.009746,Howard Xing
160,31.183021,-82.129684,Railroad St
216,31.205335,-81.987971,Hall St
160,31.195192,-82.211414,Whispering Pines Trl/Central Ave
160,31.183233,-82.128164,Railroad St/Kelly St
276,31.196511,-82.277893,White Hall Church Rd
185,31.219701,-81.866683,US Hwy 82
276,31.200602,-82.004926,Sears Rd/US Hwy 82
160,31.010660,-82.126615,State Rte 15
160,31.161057,-81.996644,/Britt Still Rd
160,31.205507,-82.119459,Raymon Rock Rd/Raybon Rock Rd
710,31.201629,-81.986511,Avalon St/W Cleveland St
160,31.216917,-82.162307,Hwy 121
216,31.212051,-81.765739,Old Post Rd
160,31.206422,-81.965126,E Cleveland St/Co Rd 90/US Hwy 82
185,31.212847,-81.765671,Old Post Rd
160,31.219211,-81.870122,Satilla Pines/Satilla Pines Rd/US Hwy 82
390,31.181313,-82.127807,W Main St/Kelly St
216,31.233160,-81.760086,/Post Rd
160,31.340045,-81.975895,/Hwy 32 W/State Rte 32/Satilla Church Rd
160,31.176401,-82.242401,Bennett Rd
216,31.173962,-82.186930,US Hwy 82
160,31.200124,-82.268735,Connector Rd/Central Ave
185,31.177572,-82.165677,Co Rd 5
185,31.214186,-81.771638,Cd Ave
