Estimated daily crossings,Latitude,Longitude,Name
185,32.994919,-81.979663,Coleman Ln/Peacock Rd
276,33.084283,-81.991775,Southside Dr
684,33.084396,-82.012898,W 4th St/Shadrack St
472,33.098937,-82.034515,Washington Dr/Westgate Dr
246,33.084995,-82.038007,Lovers Ln/State Rte 24/State Rte 56
216,33.080295,-82.019410,Park Dr
276,33.084249,-82.038146,/State Rte 56
160,33.004513,-81.979084,Coleman Ln
276,33.094807,-82.024442,Martin Luther King Jr Dr
1123,33.083038,-82.011344,Brentwood Dr/Liberty St
185,32.938111,-81.968680,US Hwy 25
246,33.086118,-82.029106,/W 6th St
160,33.089404,-82.022113,Cherry Row
216,33.097352,-82.030800,Lovers Ln/Lodge Cir
160,32.968170,-81.758282,Burke St/Ellison Bridge Rd
185,33.132005,-81.946453,State Rte 80
246,33.073211,-82.004241,/US Hwy 25
160,33.207963,-81.961472,State Rte 56/Barlow Rd
185,33.074672,-81.997128,Industrial Park Dr/State Rte 24
552,33.088569,-82.018695,Jones Ave/W 6th St
160,33.100482,-82.019795,E 12th St
246,33.073427,-81.993483,State Rte 24
185,33.085113,-82.036311,/State Rte 24
216,33.095906,-82.010314,E 8th St/Fulcher St
185,33.069432,-82.021256,Herndon Rd/McElmurray Rd
160,33.100548,-82.019671,E 12th St/Waters St
160,33.047444,-81.940898,Aycock Ln/State Rte 24
305,33.085670,-82.032270,Cates Peacan Farm Rd/W 6th St
160,33.036616,-81.913358,/State Rte 24
185,33.098084,-82.000838,Wedgewood Dr
160,33.240758,-82.227712,Rhodes Lee St/Cheatham St
185,33.118373,-81.963474,State Rte 56 E/State Rte 56
185,33.096974,-82.030138,Lodge Cir
160,33.149321,-81.894431,Shell Bluff Spr
160,33.091956,-82.226624,Fendig St
160,33.071937,-82.020259,Herndon Rd/Brinson Rd
160,33.234789,-82.231329,Martin Luther King Rd/South St
305,33.081170,-82.024251,Edgewood Dr/Cherokee Dr
160,32.979839,-81.758403,/Fitzgerald Rd
160,33.082544,-82.016156,Pine St/Old Herndon Dr
185,33.111839,-81.974635,State Rte 56 E
185,33.079544,-81.875066,Nelson Ln/Persimmon Dr
185,33.081485,-82.039365,State Rte 56
216,32.984226,-81.780675,State Rte 24
390,33.095352,-82.023274,Herman Lodge Blvd
472,33.090221,-82.030352,Leonard Cir
1174,33.083419,-82.011605,Dogwood Dr/Liberty St
216,33.095376,-82.011543,E 8th St/Wallace St
216,33.092829,-82.013731,E 7th St/Commerce St
334,32.976559,-81.755545,Bargeron Ave
362,33.085541,-82.021891,Victory Dr/Pine Needle Rd
185,33.090874,-82.025387,Blakeney St/Burton St
185,33.116247,-81.965772,State Rte 56 E/Whispering Oaks Rd
305,33.188684,-82.040684,Four Points Rd/W Four Points Rd/US Hwy 25
160,33.116690,-81.966551,Whispering Oaks Rd/Horseshoe Cir
305,33.093074,-82.022510,N Jones Ave/Cates St
160,33.178441,-81.827191,River Rd
305,33.078425,-82.006083,/State Rte 24
216,33.105883,-82.178648,Left Fork Rd/George Massey Rd
246,33.223653,-81.999029,Old Waynesboro Rd
579,33.093711,-82.021210,Academy Ave/Cates St
160,33.067016,-81.975882,State Rte 24
334,33.103551,-81.995174,Ashton Village/Ashton Pl
160,33.088654,-81.959326,Dents Ave/Bartlett Rd
160,33.130817,-82.079835,Story Mill Rd/W Quaker Rd
185,32.978688,-81.765058,Railroad Ave
445,33.088600,-82.016106,Shadrack St
160,33.238925,-82.225032,Neely St/Tyrone Brooks St
390,33.089595,-82.030647,Leonard Cri/Borough Ct
160,33.200068,-81.932346,State Rte 23
631,33.089520,-82.024436,Martin Luther King Jr Dr
216,33.096131,-82.005843,Cates Ave/E 7th St
552,33.091906,-82.018378,W 8th St/Shadrack St
185,33.127245,-82.020872,Deerwood Dr
160,33.171166,-82.217407,State Rte 305/Pebble Rd
185,32.965243,-81.745843,Jenkins Cemetary Rd
185,33.097510,-82.002383,/Wedgewood Dr
185,33.096623,-82.008540,Davis Rd/E 8th St
160,33.016604,-82.033597,Middleground Rd
