Estimated daily crossings,Latitude,Longitude,Name
160,31.113107,-83.408877,Leavens Rd/Val del Rd
160,31.126104,-83.417996,Roger St/Carol Dr
276,31.166949,-83.436713,/Colquitt St
160,31.285529,-83.466876,Charles Evans Rd
390,31.220331,-83.460788,I- 75
472,31.137110,-83.430835,Martin Luther King Jr Dr/Briarwood
160,31.138077,-83.419316,/E 4th St
499,31.134533,-83.432893,E 4th St/N Elm St
216,31.141090,-83.423775,E 1st St/N Parrish Ave
160,31.252085,-83.462848,S Robinson St
216,31.168743,-83.442176,/Main St
185,31.138905,-83.409402,E 4th St
160,31.169386,-83.440291,Church St/Cleveland St
276,31.175888,-83.430740,3rd St/Brushy Creek Rd
418,31.241802,-83.465757,I- 75
246,31.163063,-83.435833,Whitehall Ave/Virginia Ave
160,31.098195,-83.348005,Futch Rd
390,31.127039,-83.435251,I- 75
160,31.147827,-83.433481,Mitchell Dr
160,31.113138,-83.406213,Val del Rd
160,31.228499,-83.418903,Tom Sumner Rd/Brushy Creek Rd
160,31.057422,-83.350628,/Hutchinson Pond Rd
185,31.174290,-83.434184,1st St/Brushy Creek Dr
390,31.105140,-83.423612,I- 75
658,31.215060,-83.460553,/Barneyville Rd
246,31.166421,-83.435514,Adams St
216,31.129366,-83.422106,E 10th St/S Burwell Ave
160,31.104048,-83.361397,/Val del Rd
216,31.136635,-83.433575,W 2nd St/N Elm St
246,31.133127,-83.422013,E 7th St/S Hutchinson Ave
185,31.177543,-83.430012,4th St/Brushy Creek Rd
160,31.179043,-83.441306,N Goodman St/Charles St
160,31.146871,-83.450119,Westover Dr/Mitchell St
185,31.170924,-83.440183,Cleveland St
276,31.137891,-83.420020,N Gordon Ave/E 4th St
160,31.169314,-83.437991,Church St/Cain Aly
334,31.143575,-83.425678,Talley St/N Hutchinson Ave
216,31.167724,-83.437858,/Gordon St
216,31.182062,-83.435438,Pleasantdale Cir/Key Stone Dr
185,31.165459,-83.409572,Dianne St/Patterson St
472,31.236260,-83.464696,Guy Henry Rd/I- 75
185,31.130503,-83.427035,Pine St/E 8th St
334,31.262035,-83.470614,I- 75
445,31.041132,-83.397481,I- 75
276,31.119078,-83.417563,Dakota St
390,31.268461,-83.472620,/W Central Ave
216,31.170231,-83.433370,Brushy Creek Rd
185,31.283955,-83.466423,Charles Evans Rd
445,31.268041,-83.471801,I- 75
185,31.158125,-83.435710,S Goodman St
160,31.132445,-83.421756,/S Hutchinson Ave
246,31.258277,-83.462133,/S Robinson St
160,31.116610,-83.417500,Carolina St/Oklahoma Cir
160,31.053301,-83.393672,A-Ray St/US Hwy 41
216,31.127833,-83.433370,S Elm St/9th St
160,31.161745,-83.434077,Adams St/Whitehall Ave
185,31.137565,-83.426539,W 3rd St/Maple St/S Maple St
185,31.136116,-83.324586,Browning Rd/W Browning Rd/Billy Browning Rd
160,31.114963,-83.424666,Old Qutiman Hwy
305,31.136640,-83.433976,W 2nd St/Stanley Ct
276,31.162043,-83.444745,Rhone St/Anderson St
362,31.139702,-83.423590,/2nd St
185,31.138989,-83.412455,Magnolia Dr/Redbud Dr
185,31.140444,-83.426135,1st St
160,31.144520,-83.452365,Stevens Ln
185,31.270686,-83.469815,W Central Ave/S Lindsey St
160,31.113041,-83.414261,US Hwy 41
160,31.269662,-83.470831,Colquitt St
216,31.142842,-83.420605,Meeting St/Folsom St
160,31.032285,-83.368662,Clover Cir
246,31.151025,-83.415027,Moss Way/Massee Post Rd
334,31.131815,-83.433393,S Elm St/Hazel St
160,31.046505,-83.380023,Sonja Dr/Fellowship Rd
246,31.148801,-83.427508,N Parrish Ave/N Hutchinson Ave
160,31.167277,-83.443521,/Colquitt St
305,31.147871,-83.443046,Mitchell Dr
160,31.112957,-83.408897,Leavens Rd
216,31.168217,-83.434214,Brushy Creek Rd/Gay Ave
185,31.147120,-83.445294,Mitchell St
216,31.149093,-83.417824,Bear Creek Rd
185,31.135536,-83.423803,W 5th St/E 5th St/N Burwell Ave
216,31.291801,-83.469414,US Hwy 41
216,31.148115,-83.424680,Mitchell St/N Cleveland Ave
390,31.241692,-83.466213,Godwin Rd/Betts Rd
276,31.130279,-83.422632,9th St
362,31.168470,-83.449784,/I- 75
160,31.247816,-83.417274,/Brushy Creek Rd
334,31.143970,-83.425811,James St/N Hutchinson Ave
160,31.053424,-83.393682,US Hwy 41
390,31.145001,-83.424389,James St/N Memorial Ln
185,31.166560,-83.418889,Barrett Rd/Patterson St
160,31.112493,-83.367826,Wilkes Rd/Community Ch Rd/Community Church Rd
185,31.179713,-83.435860,Ravenwood Dr/Chamblee Ln
160,31.114990,-83.427952,A St/B St
216,31.138142,-83.424316,/W 3rd St
160,31.163294,-83.439383,College St
499,31.143116,-83.433885,Turkey Dr
160,31.130941,-83.348290,Mathis Ln/State Rte 37
160,31.162180,-83.439464,College St
