Estimated daily crossings,Latitude,Longitude,Name
160,33.320577,-82.557213,State Rte 16
305,33.233488,-82.595455,E Main St/Warren St
160,33.223007,-82.599021,Calhoun St
160,33.236141,-82.694251,Mitchell Warrenton Rd/Friendship Church Rd/Co Rd 112
185,33.233409,-82.594175,Walker St/E Main St
160,33.319319,-82.557397,/Bastonville Rd
160,33.230460,-82.646362,Loblolly Rd/State Rte 102/Brassell Rd
160,33.312920,-82.540925,/State Rte 16
216,33.259292,-82.725736,W County Line Rd/Murray Cir
160,33.320118,-82.556789,State Rte 16/Bastonville Rd
160,33.237678,-82.574605,State Rte 102/Bastonville Rd
160,33.240124,-82.605918,J W Brasswell Rd/School Cir
246,33.234264,-82.595417,Warren St/College St
185,33.235781,-82.619270,Old Mitchell Rd
160,33.237810,-82.614665,/Flat Woods Rd
160,33.201011,-82.562081,State Rte 102
160,33.236522,-82.616638,Golden Pond Rd
160,33.233162,-82.589577,Mathews St/E Main St
185,33.238280,-82.600246,Beall Springs Rd
305,33.226340,-82.599728,Lamb St/Jaycee St
160,33.244211,-82.608691,/School Cir
185,33.233497,-82.596266,E Main St/College St
305,33.233482,-82.595665,E Main St/Calhoun St
160,33.233583,-82.597100,Church St/E Main St
216,33.233213,-82.591181,E Main St
160,33.237180,-82.614520,/Flat Woods Rd
276,33.233490,-82.596025,E Main St/College St
160,33.224899,-82.597675,Griffin St/Calhoun St
305,33.225892,-82.600020,/Jaycee St
185,33.223687,-82.600135,Harper St
160,33.243470,-82.608280,School Cir
160,33.231896,-82.595073,Palmer St
160,33.235021,-82.594187,Walker St/Smith Ln
160,33.237299,-82.598395,/Beall Springs Rd
160,33.237022,-82.597897,Brassell Park/Beall Springs Rd
216,33.232946,-82.594975,Palmer St/Walker St
160,33.310100,-82.536345,Rabun Cir/State Rte 16
185,33.233325,-82.592725,E Main St
160,33.225002,-82.598453,/Griffin St
160,33.236588,-82.616505,/Hill Top Dr
185,33.235310,-82.618651,Golden Pond Rd/Old Mitchell Rd
160,33.219687,-82.586289,Griffin Pond Rd/Griffin Cir/Palmetto St
160,33.219724,-82.702224,Washington St/Warren St/Jefferson St/Main St
216,33.225291,-82.600402,Griffin St/Jaycee St
160,33.234454,-82.596378,College St
160,33.142352,-82.619375,Bell Rd/State Hwy 171
276,33.233448,-82.594951,Palmer St/E Main St
185,33.233186,-82.590525,E Main St/Rabun St
305,33.226439,-82.600445,Lamb St
216,33.250684,-82.555335,Beechtree Acres Rd/Bastonville Rd
185,33.233356,-82.593243,/E Main St
160,33.281135,-82.599236,Buster Cir Pvt
185,33.226131,-82.598456,Gray St/Lamb St/McGraw St
185,33.233333,-82.592837,Dean St/E Main St
160,33.192706,-82.648358,/Edgehill Mitchell Rd
185,33.274879,-82.587948,Irby Rd/Magnolia Church Rd
185,33.235408,-82.595374,Beall Springs Rd/Warren St
185,33.233201,-82.588893,E Main St Trailer Park/E Main St/S Usry St
185,33.228529,-82.635027,Morgan Ln Pvt
185,33.232901,-82.594241,Walker St
160,33.238196,-82.694441,Nunn Rd/Mitchell Warrenton Rd
216,33.234303,-82.596043,College St
160,33.231904,-82.595815,Calhoun St
160,33.231727,-82.592992,Dean St
276,33.240112,-82.603120,Beall Springs Rd/School Cir
160,33.230669,-82.593095,Dean St/Railroad Ave
160,33.243999,-82.608618,School Cir
185,33.235446,-82.618827,/Old Mitchell Rd
185,33.235070,-82.595368,Walker St/Warren St
