Estimated daily crossings,Latitude,Longitude,Name
160,31.158182,-84.792743,Enterprise Rd/Mayhaw Rd
160,31.107615,-84.870954,Smith Rd
160,31.173981,-84.723441,E Pine St
246,31.176882,-84.731320,Taylor St/2nd St
160,31.150344,-84.696102,Collins Farm Rd
160,31.167372,-84.727768,3rd St/E Bush St
160,31.077436,-84.670443,Whites Bridges Rd/Holmes Rd
160,31.174783,-84.713630,E Pine St/E Main St
499,31.171250,-84.736874,W College St/E Crawford St/West St/US Hwy 27
160,31.233311,-84.680015,Harmony Rd/Phillipsburg Rd/Harmony Church Rd
216,31.174115,-84.729299,Milford St/N Milford St/E Pine St
246,31.175866,-84.729435,E Geer St
160,31.110784,-84.696511,Lunsford Rd
246,31.176199,-84.727731,Washington St/N Milford St
216,31.171181,-84.756307,US Hwy 27
160,31.075868,-84.670058,/US Hwy 27
276,31.185787,-84.719948,Milford St/Ruth St
526,31.171424,-84.737354,US Hwy 27
216,31.168047,-84.733999,Carr St
185,31.095707,-84.681486,Bryan Rd/US Hwy 27
605,31.177774,-84.733360,W Dancer St/N 1st St/E Dancer St
160,31.107017,-84.687127,Boykin Dr
185,31.168701,-84.726192,Kirk St/E Crawford St
185,31.173998,-84.723763,N 4th St/E Pine St
160,31.178939,-84.731262,N 2nd St
160,31.105210,-84.686948,US Hwy 27
160,31.171468,-84.724277,4th St/Pirate Dr
246,31.173173,-84.738206,West St/Mayhaw Dr
185,31.172197,-84.724196,4th St/Main St
246,31.177654,-84.726599,N Milford St/E Dancer St
160,31.156101,-84.788271,State Rte 91/Mayhaw Rd
246,31.169704,-84.755437,/Rock Rd
216,31.179088,-84.735144,N Cuthbert St/Miller St
160,31.086589,-84.675685,Mason Rd
160,31.219083,-84.694610,Clubhouse Dr/Crooked Oaks Ln
160,31.101008,-84.684484,/US Hwy 27
185,31.181994,-84.722874,Milford St/
160,31.198711,-84.855995,Davistown Rd/Bean Rd
185,31.119180,-84.887905,Shingler Rd/Grady Cobb Rd
160,31.175291,-84.730640,Reed St
160,31.171515,-84.726121,Pirate Dr/Pirate St
160,31.170904,-84.742705,US Hwy 27
160,31.169785,-84.726170,Kirk St/College St
160,31.165802,-84.723266,E Crawford St
246,31.176061,-84.735937,W Geer St/Grace St
160,31.169063,-84.723078,Bellview Rd
160,31.070186,-84.791519,State Rte 45
216,31.178280,-84.726057,N Milford St/Bethel St
216,31.172209,-84.725748,Main St
216,31.174033,-84.726013,E Pine St/N Kirk St
305,31.166955,-84.763574,Donaldsonville Rd/State Rte 91
246,31.088292,-84.784666,Whites Bridges Rd/State Rte 45
160,31.171051,-84.731452,College St/E College St/2nd St
246,31.169704,-84.755494,Rock Rd
185,31.184643,-84.720815,Holly St/Milford St
160,31.253402,-84.802665,US Hwy 27
216,31.170117,-84.734687,E Crawford St/S Cuthbert St
160,31.257972,-84.632389,Phillipsburg Rd
160,31.157069,-84.790294,New Salem Church Rd/Mayhaw Rd
160,31.116122,-84.835300,Lane Rd/State Rte 91
160,31.095011,-84.911971,State Rte 39
160,31.213589,-84.731538,State Rte 45
246,31.176348,-84.730589,Washington St/Fudge Ln
160,31.179188,-84.738619,Miller St
185,31.188102,-84.722602,Perry St
160,31.077689,-84.687639,Whites Bridges Rd/Adams Powell Rd
160,31.168497,-84.723112,Bremond St/Railroad St
