Estimated daily crossings,Latitude,Longitude,Name
160,34.394371,-84.280199,Dove St/Yellow Creek Rd
246,34.444644,-84.443590,Hwy 515 S
160,34.508793,-84.491401,Old Talking Rock Hwy/Talking Rock Rd
246,34.465665,-84.449528,W Church St
160,34.467328,-84.466057,Meadow View Ln/Darnell Rd
216,34.462440,-84.415717,Hwy 53 E
390,34.457413,-84.452663,Camp Rd
160,34.445433,-84.284117,Foi Dr/Sinti Trl
216,34.460865,-84.457910,Whitfield Dr
185,34.486788,-84.364366,Mulligan Way/Tamarack Dr
160,34.493491,-84.357058,Mountain Breeze Ln
160,34.490619,-84.478415,Hidden Creek Rd/State Rte 5
246,34.492807,-84.362640,Maintenance Rd
160,34.466075,-84.434483,Holly St/W Church St
246,34.459873,-84.457937,Camp Rd
216,34.393674,-84.282901,Old Dobson Rd
216,34.428334,-84.434992,Emerald Creek Dr
160,34.465016,-84.418744,/Hwy 53 E
216,34.488982,-84.460303,Philadelphia Rd
390,34.465651,-84.450054,W Church St
160,34.413217,-84.387378,S Station St/Hwy 53 E/N Station St
160,34.462723,-84.446828,Starr Dr W/Southbrook Dr
160,34.454610,-84.424920,Montview Rd/Montview Dr
334,34.483171,-84.431141,Frontier Rd
246,34.459562,-84.428326,Dogwood Ave/S Main St
160,34.418346,-84.379936,Hwy 53 E/Corey Rd
185,34.461483,-84.457402,Whitfield Dr
160,34.514944,-84.543051,Hwy 136 W/Larkspur Ln
160,34.481871,-84.451795,Northside Dr/N Main St
185,34.476137,-84.464869,/T C Dr
246,34.401459,-84.441295,Moorings Run/Bethany Rd
160,34.472508,-84.428769,Indian Forest Rd/Pioneer Rd
216,34.451458,-84.451051,Salem Church Rd/Hwy 515 S/Industrial Blvd
216,34.477982,-84.466671,State Rte 5
185,34.413954,-84.386448,Hwy 53 E/N Railroad St
185,34.455864,-84.427378,Solomon Ave/S Main St
160,34.383522,-84.374989,Blue Ridge Ave/Canton Rd
160,34.493548,-84.431230,Hunters Ridge/Marlin Way
160,34.418439,-84.433356,Cornett Ln S
160,34.494540,-84.371366,Tamarack Dr/Long Swamp Dr/Southview Ct
246,34.465851,-84.442032,Bryant St/W Church St
246,34.463785,-84.427555,E Sellers St/Cox St
160,34.494059,-84.350194,Crippled Oak Trl
246,34.457782,-84.292717,Laurel Ridge Pt
216,34.456698,-84.291068,Wolfscratch Dr
185,34.458201,-84.474088,Liberty Ct/Franklin Ct
276,34.461636,-84.292485,Wilderness Trl/Buck Skull Hollow Dr
160,34.396071,-84.390839,Stony Ln
160,34.415431,-84.387584,N Railroad St
160,34.476525,-84.452166,Northside Dr/Old Philadelphia Rd
160,34.482320,-84.432952,Frontier Rd
185,34.462213,-84.415492,Hwy 53 E
216,34.461883,-84.415165,Hwy 53 E/Bell Ave
160,34.457444,-84.410704,Samaritan Dr/Hwy 53 E
276,34.465848,-84.441800,W Church St
160,34.417412,-84.307053,Dogwood Trce
160,34.492518,-84.368203,Lakeview Ter
185,34.454596,-84.434807,Dogwood Trl/White Oak Dr
185,34.411572,-84.379159,Mud Head Rd/Smokey Hollow Rd
185,34.443080,-84.447295,Bill Hasty Blvd
185,34.457694,-84.460211,Padgett Rd
185,34.487396,-84.404957,/Old Grandview Rd
160,34.487615,-84.469152,Appalachian Ct
418,34.465181,-84.450459,Sammy McGhee Blvd
160,34.405889,-84.385787,/Eaton Rd
216,34.381673,-84.372728,Blue Ridge Ave/Kennesaw Ave
160,34.493791,-84.475743,Jd Pl
362,34.469157,-84.430550,Court St/N Main St
160,34.547199,-84.506902,/Whitestone Rd
160,34.401741,-84.415269,Green Valley Farm Rd
160,34.416305,-84.448438,Allred Mill Rd/Happy Talk Trl
216,34.479402,-84.494693,Deer Run
185,34.467058,-84.440284,Silvers Ave
160,34.476478,-84.445698,Grady St/Old Philadelphia Rd
216,34.462529,-84.402340,E Boling Rd
160,34.476590,-84.629221,Will Rd
160,34.389729,-84.400569,Clyde Ct
160,34.420142,-84.299529,Gibson Ln
