Estimated daily crossings,Latitude,Longitude,Name
160,31.877376,-82.966585,Lc Jones Rd/US Hwy 319
160,32.069882,-82.883617,Butler Dr/Adrian St/Spring Ave
160,32.064287,-82.903470,4th Ave/Graham St
185,32.068590,-82.918305,3rd St/Forsythe Ave
160,32.074961,-82.913045,9th St/Forsythe Ave
185,32.063388,-82.902454,/3rd Ave
160,32.055926,-82.894399,/Montgomery Cir
160,32.048215,-82.927731,US Hwy 280/Co Rd 249
160,32.058495,-82.871159,/Golden Isles Hwy
362,31.839849,-83.025261,Mary McRae Ln
160,31.934362,-82.681918,E Golden Isles Hwy/Boyd St
246,32.066980,-82.913076,Albany Ave
276,32.071748,-82.894518,E Andrews St/Mc Donald Dr
216,32.065075,-82.907023,7th Ave/Graham St
160,31.932536,-82.682496,N W Railroad St/W Railroad Ave/West Ave
160,31.895213,-83.046824,/N China Hill Rd/China Hill Rd S
246,32.066046,-82.900198,Parsonage St/2nd Ave
160,32.057753,-82.901229,Walnut St/E 1st Ave
160,32.077227,-82.906876,Decatur Ave/13th St
246,32.059492,-82.879193,/E Oak St
160,32.079803,-82.912181,Homer Ave/12th St
579,31.929811,-82.679654,E Golden Isles Hwy/
160,32.073068,-82.915220,Forsythe Ave/7th St
160,32.030675,-82.922348,/Temperance Rd
185,32.077754,-82.919042,Jackson Ave/Golden Isles Hwy
185,32.000898,-82.756623,/Towns Rd
216,32.063284,-82.898681,Pritchett Ave/Graham St
160,31.831353,-83.024705,W River Rd/Friendship Church Rd
160,32.065707,-82.893407,E Oak St/Hunter Ave
160,31.927630,-82.681481,Ocmulgee St/S Church St
185,32.056406,-82.892922,E Bruce St/Montgomery Cir
160,32.076946,-82.917839,Golden Isles Hwy
216,32.059306,-82.878442,E Oak St/
185,32.068595,-82.909095,College St/9th Ave
276,32.067059,-82.899813,Pine St/2nd Ave
246,32.070577,-82.914434,Decatur Ave/6th St
246,32.063856,-82.896200,Smith St/Hudson Ave
813,32.068119,-82.900843,W Oak St/3rd Ave
185,32.076455,-82.916026,Homer Ave/N Railroad St
160,31.960491,-82.699792,Sand Pit Rd
160,32.067467,-82.890701,E Magnolia St/Central Ave
246,31.910689,-82.700290,Oak Ln/E River Rd
216,32.021245,-83.046912,US Hwy 280
185,31.931764,-82.682884,/N Central Ave
160,31.927908,-82.680759,Ocmulgee St/S Central Ave/Central Ave
246,32.071540,-82.904043,6th Ave
216,32.070359,-82.901469,4th Ave/W Magnolia St
160,32.073470,-82.895637,Grimes St
185,32.063758,-82.891249,Parsonage St/Mercer Ave
216,32.075771,-82.919389,Lake St/Jackson Ave
185,32.070535,-82.881355,Grace Ln
185,32.069770,-82.902455,N Railroad St/5th Ave
362,32.069465,-82.901230,4th Ave/N Railroad St
185,32.059389,-82.919299,Redbud Rd
160,32.070465,-82.905253,7th Ave/N Railroad St
246,32.057764,-82.904872,Willow Creek Ln/3rd Ave
160,32.056528,-82.898555,Walnut St/Flanders Ave
160,32.059901,-82.880535,Spaulding Dr/E Oak St
160,32.077061,-82.917492,Irwinton Ave
246,32.072705,-82.914743,/7th St
160,32.018846,-83.061288,Pickren St
185,32.050030,-82.860517,/Golden Isles Hwy
185,32.066367,-82.913824,4th St/Albany Ave
160,31.928482,-82.681058,S Central Ave
160,32.072665,-82.892397,Austin Ave
185,32.068289,-82.911646,6th St/Albany Ave
160,32.056241,-82.897236,Walnut St/Macville Ave
160,31.922048,-82.683681,City Landing Rd/Industrial Blvd
418,32.069240,-82.900449,3rd Ave/N Railroad St
160,32.056261,-82.891405,E Brewton St/Montgomery Cir
160,31.926243,-82.687273,Clements St/Brown St
276,32.066713,-82.898555,Pine St/S 1st Ave
160,31.855286,-82.975735,US Hwy 319
185,32.067051,-82.909568,Huckabee St/9th Ave
