Estimated daily crossings,Latitude,Longitude,Name
160,32.092433,-82.893051,/Spanish Moss Dr
160,32.085977,-82.883380,State Rte 31
185,32.148606,-82.777382,US Hwy 280/Steward St
160,32.173035,-82.666607,S 1st St
185,32.147416,-82.783764,Broad St/Forest Ave/Little Rock Rd
185,32.195687,-82.670505,State Rte 19/Co Rd 196/N 2nd St
216,32.181680,-82.670582,/N 2nd St
160,32.142843,-82.784148,Lucille Ave
185,32.145713,-82.783529,Jefferson St/Pearl Ave
160,32.179529,-82.676178,6th St/W 3rd Ave
160,32.148006,-82.776277,1st Ave/Steward St
160,32.093431,-82.895830,/Spanish Moss Dr
839,32.179929,-82.669888,N 2nd St/E 2nd Ave/S 2nd St
276,32.151578,-82.777694,Oxford St
185,32.150387,-82.772965,Mockingbird Ln/2nd Ave
160,32.081876,-82.885560,US Hwy 280
160,32.147824,-82.773066,Maple Dr/Cypress Ln
160,32.188816,-82.644898,US Hwy 280
160,32.151956,-82.769348,Mockingbird Ln/US Hwy 280
185,32.146887,-82.773462,Steward St
160,32.258155,-82.700559,N State Rte 19/Big Branch Rd
390,32.146744,-82.779645,Pine St/W Railroad Ave
160,32.141786,-82.783246,Short St
185,32.182462,-82.667965,W 3rd Ave
246,32.179819,-82.674679,N 5th St
160,32.153771,-82.761872,/US Hwy 280
160,32.165747,-82.665433,S State Rte 19
216,32.170374,-82.693819,Hwy 30
276,32.151493,-82.777587,Lucille Ave/Oxford St
160,32.155144,-82.775278,Pearl St/Wheeler St/Slaton
185,32.152901,-82.776500,Lucille Ave/Wheeler
185,32.156754,-82.773552,Pearl St
160,32.185772,-82.666935,N 1st St
160,32.157502,-82.746633,/US Hwy 280
160,32.160196,-82.898346,State Rte 31
305,32.146441,-82.779097,Pine St/US Hwy 280
160,32.142227,-82.777240,3rd Ave/Jefferson St
160,32.149355,-82.770329,Cherry St/Bluebird Way
185,32.150281,-82.770645,Mockingbird Ln/Cherry St
160,32.204694,-82.668616,Co Rd 12/Co Rd 179/Bend Rd
362,32.147577,-82.778229,Commerce St/US Hwy 280
160,32.158732,-82.741827,Forestry Rd/US Hwy 280
160,32.183690,-82.677822,6th Avenue Ln
160,32.184890,-82.673551,N 3rd St/W 6th Avenue Ln/6th Avenue Ln
185,32.113269,-82.888858,/State Rte 31
160,32.191429,-82.631310,US Hwy 280
334,32.180497,-82.671704,3rd St/3rd Ave
160,32.267120,-82.757042,State Rte 46
160,32.127422,-82.654368,/S State Rte 19
160,32.127361,-82.891682,/State Rte 31
276,32.185255,-82.677260,N 5th St/Apple Ln
390,32.181396,-82.668881,3rd Ave/1st St/SE 3rd Ave
216,32.181010,-82.675163,N 5th St/4th Ave
160,32.139847,-82.767187,Hartley Rd
185,32.150723,-82.774104,US Hwy 280/1st Ave/Snowhill Baptist Church Rd
185,32.175897,-82.659438,Cat Squirrel Rd
160,32.181874,-82.672270,4th Ave/3rd St
160,32.082411,-82.884339,US Hwy 280/Magnolia St
216,32.142629,-82.774995,4th Ave/Broad St
160,32.146365,-82.776012,2nd Ave/Commerce St
160,32.178403,-82.667562,1st St/1st Ave
160,32.150118,-82.774677,Magnolia Ln/1st Ave
305,32.145321,-82.779912,Broad St/Little Rock Rd/US Hwy 280
418,32.143368,-82.776354,Broad St/3rd Ave
334,32.184444,-82.674985,N 4th St/W 6th Avenue Ln/6th Avenue Ln
160,32.142102,-82.777011,Jefferson St/Houston Village
160,32.097264,-82.652216,E Hope Church Rd/S State Rte 19
185,32.194786,-82.640847,Ochawalkee Rd
160,32.160037,-82.885602,Shell Rd/Blue Jay Rd
362,32.146668,-82.779508,Pine St
185,32.185330,-82.674652,3rd St/W 7th Ave
216,32.172452,-82.685305,Hwy 30/E 2nd Ave
216,32.184174,-82.667305,Underwood Ln/N 1st St
185,32.141866,-82.783383,Short St/W Railroad Ave
246,32.179961,-82.674740,N 5th St/W 3rd Ave
160,32.082724,-82.883682,State Rte 31/US Hwy 280
334,32.180825,-82.671857,3rd St/W 3rd Ave
160,32.267608,-82.753212,State Rte 46/Landsbury Rd
185,32.180639,-82.667655,Cemetery Dr/E 2nd Ave
246,32.146946,-82.777099,Commerce St/1st Ave
160,32.078511,-82.880353,Magnolia St
276,32.179046,-82.672738,4th St/E 2nd Ave
418,32.183864,-82.674763,W 6th Ave/N 4th St
362,32.174523,-82.666829,S 1st St/69 1Sst
185,32.186459,-82.681275,N 5th St
160,32.178624,-82.669350,W 1st Ave/1st Ave/S 2nd St
246,32.185544,-82.677961,N 5th St
185,32.148774,-82.784275,Kent St/Stubbs Ave
216,32.182297,-82.670836,4th Ave/N 2nd St
160,32.161183,-82.828515,/Little Rock Rd
160,32.013022,-82.725713,Springhill Loop/Springhill Church Rd
160,32.149335,-82.771820,Maple Dr/Bluebird Way
160,32.176440,-82.680840,Rivers Ln
160,32.141509,-82.782780,Short St/US Hwy 280
185,32.183228,-82.667611,4th Ave/N 1st St
185,32.147954,-82.784890,Little Rock Rd/Stubbs Ave
160,32.294223,-82.696010,State Rte 46/
216,32.178483,-82.672509,4th St/1st Avenue Ln/S 4th St
216,32.182684,-82.674257,4th St/W 4th St/5th Ave
216,32.161091,-82.732050,US Hwy 280
160,32.179477,-82.781275,Snowhill Baptist Church Rd
276,32.181537,-82.668926,1st St
160,32.187100,-82.666920,Colson Ln/N 1st St
160,32.052372,-82.815574,Main St
276,32.145558,-82.780358,Little Rock Rd
185,32.147348,-82.780764,Pine St/Lucille Ave
160,32.087117,-82.883617,Co Rd 132/State Rte 31
160,32.096527,-82.885503,State Rte 31
185,32.187325,-82.671877,N 2nd St
185,32.141755,-82.776373,Jefferson St/Houston Village
160,32.150306,-82.777751,E Railroad Ave
246,32.177487,-82.661317,Cat Squirrel Rd/1st Ave
160,32.197519,-82.647748,/Ochawalkee Rd
160,32.266948,-82.758381,State Rte 46/
276,32.160969,-82.780556,Gray Rd/Snowhill Baptist Church Rd
160,32.186270,-82.675032,3rd St
276,32.145625,-82.780484,Broad St/Little Rock Rd/W Railroad Ave
185,32.107889,-82.887783,State Rte 31
185,32.189583,-82.643893,US Hwy 280
185,32.091607,-82.884549,State Rte 31/Spanish Moss Dr
160,32.144174,-82.780767,Jefferson St/US Hwy 280
160,32.140147,-82.894252,State Rte 31
160,32.148806,-82.772290,Maple Dr/Magnolia Ln
216,32.174025,-82.665530,E Project St/69 1Sst
160,32.186053,-82.679894,N 5th St
185,32.177413,-82.673653,5th St/1st Ave
160,32.172697,-82.666872,1st St/S 2nd St
216,32.144702,-82.778770,Broad St/1st Ave
160,32.146456,-82.784882,/Jefferson St
246,32.178464,-82.674120,N 5th St/5th St/E 2nd Ave
276,32.151657,-82.777794,Sharpton Dr/Oxford St
160,32.187064,-82.647288,Stone Rd/US Hwy 280
185,32.148946,-82.784145,Stubbs Ave
160,32.183121,-82.672804,N 3rd St/3rd St/5th Ave
418,32.153284,-82.777024,Pearl St/Wheeler/Snowhill Baptist Church Rd
160,32.172880,-82.683554,E 2nd Ave/Still Ln
216,32.182071,-82.670743,/N 2nd St
185,31.953324,-82.628682,Bells Ferry Rd
472,32.180953,-82.670304,N 2nd St/SE 3rd Ave
160,32.149510,-82.783719,Stubbs Ave/Mc Rae St
160,32.144167,-82.773792,Pine St
160,32.103616,-82.652170,State Rte 19/S State Rte 19
160,32.147559,-82.784017,/Little Rock Rd
160,32.107357,-82.803262,State Rte 149
246,32.181660,-82.668966,1st St/NE 3rd Ave/W 3rd Ave
160,32.192315,-82.669550,Gillis St
305,32.179606,-82.674588,N 5th St/3rd Ave
160,32.194442,-82.640018,Ochawalkee Rd/Co Rd 179/Deer Run Rd
185,32.195071,-82.670608,N 2nd St
185,32.177044,-82.673862,5th St
216,32.172491,-82.685149,E 2nd Ave
160,32.148390,-82.784562,Stubbs Ave/Kent St
185,32.181230,-82.672016,/3rd St
362,32.181249,-82.670404,N 2nd St/NE 3rd Ave/W 3rd Ave
160,32.137101,-82.786250,/W Railroad Ave
160,32.261245,-82.746241,Landsbury Rd
160,32.192931,-82.670954,Roberson St/N 2nd St
185,32.141660,-82.776201,4th Ave/Jefferson St
185,32.258899,-82.700656,Horse Shoe Rd/N State Rte 19
160,32.013154,-82.725485,Sand Pit Rd/Springhill Church Rd/Springhill Rd
276,32.274862,-82.712854,State Rte 46/N State Rte 19
216,32.167136,-82.665613,State Rte 19/S 2nd St
185,32.205272,-82.669721,Co Rd 12/N State Rte 19
160,32.191950,-82.724701,Powell Ln
334,32.147864,-82.778784,W Railroad Ave/Commerce St
160,31.995020,-82.705896,Sand Pit Rd
160,32.151457,-82.769160,Lakeview Dr/Mockingbird Ln
