Estimated daily crossings,Latitude,Longitude,Name
839,33.727264,-82.760800,School St/Old Skull Shoals Rd
276,33.703141,-82.770430,Boulder Dr/Stone St
160,33.720034,-82.730565,/Andrew Dr
160,33.868153,-82.726066,Church St/Ware McLendon Rd
362,33.722154,-82.709789,US Hwy 78
305,33.740302,-82.761357,Moss St
160,33.763855,-82.792753,Lexington Rd
160,33.765664,-82.743604,S Hulin Ave
160,33.737991,-82.762957,Lincoln Dr/Jackson St
160,33.749701,-82.722535,/Danburg Rd
526,33.726222,-82.715131,Thomson Rd
216,33.739655,-82.763986,Lincoln Cir/Lilac Ln
160,33.837160,-82.686776,Danburg Rd
185,33.889399,-82.845336,Mallorysville Rd/Newtown Rd
276,33.723772,-82.740641,Lions Club Dr/Laparade St
160,33.771623,-82.747230,S Hulin Ave
305,33.727630,-82.734479,Salenist St/Ware Ct
334,33.729388,-82.732910,Ashley Dr/S Pecan St
160,33.768743,-82.940048,/Philomath Rd
216,33.723295,-82.730989,Wilson Way/Wilson Ct
216,33.737914,-82.757468,Peter St/Butler St/N Butler St
334,33.735051,-82.754794,Reese Booker St
445,33.737895,-82.748634,N Mercer St/Lexington Ave
160,33.845570,-82.742359,Georgia Ave
185,33.728281,-82.726887,Ashley Dr
185,33.753817,-82.778054,Rachel Ln
276,33.757371,-82.734448,/State Rte 17/Tignall Rd
216,33.731248,-82.747130,Depot St/McGuire St
160,33.704162,-82.761237,Harris Rd/Co Rd 200
472,33.738311,-82.768924,Meredith Ct
185,33.724879,-82.720689,Ashley Dr/Andrew Dr
160,33.672616,-82.855688,Stoney Ridge Rd/Greensboro Rd S
160,33.744310,-82.737188,Carey St/S Elijah Clark Dr
160,33.727539,-82.731165,Rutledge St/E Barnett St/Ware St
216,33.737924,-82.739420,W Sq/Court St/N Spring St
185,33.725240,-82.756519,Hospital Dr/Georgia Ave/Industrial Blvd
216,33.743566,-82.756482,Persimmon Pkwy
216,33.735709,-82.763814,Jackson St/Peachtree St
160,33.720465,-82.683108,New Hope Church Rd/Lincolnton Rd
185,33.725243,-82.756684,Hospital Dr
160,33.742670,-82.763046,Lincoln Cir/US Hwy 78 Bus
276,33.738867,-82.736273,Alexander Dr/N Alexander Ave
185,33.866016,-82.745590,Anderson St
334,33.753789,-82.779407,Laura Ln/Riverside Dr
216,33.788383,-82.882433,Callaway Rd/Lexington Rd
276,33.726831,-82.758570,Whitehall St/Old Skull Shoals Rd
305,33.726922,-82.734352,Salenist St/Faver Ave
160,33.759934,-82.738661,/S Hulin Ave
160,33.737896,-82.724443,Louis St/East St
160,33.849543,-82.672958,/Danburg Rd/Charlie Walker Rd
334,33.729327,-82.760197,School St
160,33.731722,-82.737282,S Alexander Ave/Chapman St
160,33.743357,-82.726285,US Hwy 78
418,33.728138,-82.741101,Spring St/Faver Ave
160,33.727412,-82.737248,S Alexander Ave/Faver Ave
160,33.800271,-82.918305,Lexington Rd
390,33.702684,-82.774052,Pebble St
445,33.732689,-82.754991,Peachtree St/Booker St
185,33.731912,-82.728162,Water St/Oak St
160,33.732922,-82.729997,Water St/S Pecan St
216,33.728917,-82.728196,Ashley Dr
246,33.704160,-82.768661,/Harris Rd
160,33.727804,-82.731167,Rutledge St/Barnett St
276,33.743451,-82.764636,US Hwy 78 Bus
334,33.730106,-82.715465,US Hwy 78
160,33.776110,-82.848901,Beaver Dam Rd
160,33.786401,-82.891269,St James St
160,33.733648,-82.738582,South St/S Jefferson St
216,33.737492,-82.764916,Lincoln Cir
160,33.724083,-82.713560,Thomson Rd
472,33.726405,-82.714963,/US Hwy 78
160,33.729955,-82.746037,Gordon St
185,33.723498,-82.590553,Bailey Rd/Lincolnton Rd
276,33.704145,-82.770410,Harris Rd/Boulder Dr
185,33.745434,-82.731314,Danburg Rd/S Hulin Ave/N Alexander Ave
160,33.708216,-82.676726,Grant Dr
160,33.859350,-82.742487,Danburg St/S Hulin Ave
185,33.733559,-82.743270,42nd St/Pope St
160,33.720472,-82.640442,Joe Garrard Rd/Lincolnton Rd
160,33.744465,-82.722419,Tignall Rd
160,33.676409,-82.845586,Greensboro Rd S
160,33.733774,-82.727855,Walnut St/E Robert Toombs Ave
362,33.729039,-82.719572,/E Robert Toombs Ave
160,33.731056,-82.715866,US Hwy 78
185,33.737797,-82.770397,Lincoln Ct
160,33.689245,-82.815415,Quaker Springs Rd/Greensboro Rd
160,33.701171,-82.751696,/Sharon Rd
185,33.730677,-82.740445,Spring St/Elm St
185,33.745064,-82.740541,Lexington Rd/S Elijah Clark Dr
160,33.724564,-82.694764,Lincolnton Rd
579,33.732244,-82.753179,Whitehall St/Alabama St
160,33.856396,-82.742514,Jackson St/S Hulin Ave
246,33.727748,-82.757839,Whitehall St/Graham St
160,33.786651,-82.888569,Columbus Grenade Rd/Belleview Dr
160,33.834724,-82.749380,S Hulin Ave
762,33.732231,-82.752254,Georgia Ave
246,33.732769,-82.726174,E Robert Toombs Ave/E Pine St
160,33.761809,-82.869868,Sisson Bridges Rd/Columbus Granade Rd
246,33.731445,-82.752695,/Georgia Ave
246,33.734816,-82.739736,Water St/Spring St
362,33.734249,-82.750773,Mercer St/Whitehall St
160,33.739801,-82.768051,Lincoln Cir/Meredith Cir
216,33.737327,-82.765297,Lincoln Cir
