Estimated daily crossings,Latitude,Longitude,Name
185,42.231206,-111.407713,W 2nd St N
160,42.034876,-111.419631,/Aspen Creek Dr/Forest Cir
160,42.317625,-111.300482,Washington St
160,42.059651,-111.254287,Chokecherry Ct
160,42.315502,-111.294811,S 3rd St/Jefferson St
216,42.037163,-111.395897,US Hwy 89/Fish Haven Canyon Rd
160,42.315520,-111.298728,/Jefferson St
160,42.001656,-111.424131,Lake W Cir
160,42.319885,-111.299401,Lincoln St/Keele St
160,42.315503,-111.294881,Jefferson St/S 3rd St
160,42.324275,-111.302406,/N 6th St
216,42.057159,-111.397640,Reserve Dr/Foxglove Cir
160,42.326390,-111.294764,N 3rd St/Webster St
160,42.317622,-111.300838,N 5th St/Washington St/S 5th St
160,42.004006,-111.417354,Lewis Loop Rd
160,42.002285,-111.423618,Cody Ln//Clark Ave
185,42.313373,-111.300225,Jewell Ct
160,42.035860,-111.415607,Lake Vista Dr
160,42.339070,-111.386147,Main St/South St
160,42.319398,-111.307817,/Court St
216,42.037784,-111.395823,US Hwy 89
160,42.319892,-111.297786,N 4th St/Lincoln St
160,42.321831,-111.310443,N 10th St
216,42.327520,-111.294765,N 3rd St
185,42.319917,-111.304781,Lincoln St/N 7th St
160,42.318877,-111.306868,N 8th St/Grant St
160,42.391492,-111.322771,E 1st N/W 1st N/N Main St
160,42.320754,-111.306868,N 8th St/
160,42.123332,-111.390708,N Beach Rd/Main St/Lifton Rd
185,42.320443,-111.304782,N 7th St
185,42.323127,-111.309708,Ethel Ave
160,42.393497,-111.323919,/W 2nd N
160,42.527601,-111.403906,US Hwy 30
160,42.483291,-111.346824,S Hayes St
185,42.112763,-111.388767,/Main St
160,42.326909,-111.444076,/Sharon Loop
160,42.313507,-111.300905,/S 5th St
160,42.320194,-111.308976,Lincoln St/N 9th St
160,42.316977,-111.302425,S 6th St
160,42.317032,-111.300848,S 5th St
185,42.330887,-111.306799,/N 8th St
160,42.313375,-111.300907,Jewell Ct/S 5th St
185,42.321178,-111.302437,N 6th St/Williams St
185,42.314756,-111.300895,Crystal Dr/S 5th St
160,42.003336,-111.416724,Custer Cir
160,42.338402,-111.386151,Main St
216,42.317630,-111.299798,/Washington St
185,42.113610,-111.389594,/100 N
160,42.185570,-111.401339,S Main St/S First St
160,42.328490,-111.296249,/Boise St
305,42.322033,-111.300794,N 5th St/Clay St
185,42.328491,-111.296721,/Boise St
160,42.317602,-111.306846,S 8th St/N 8th St/Washington St
185,42.320802,-111.300795,N 5th St
160,42.317136,-111.306840,S 8th St
160,42.059646,-111.254199,Chokecherry Ct
185,42.320791,-111.297791,N 4th St/
185,42.112484,-111.388765,/Main St
185,42.328486,-111.294821,Boise St
160,42.002331,-111.422137,Cody Ln/Carson Ave
160,42.323139,-111.311262,/Ethel Ave
185,42.027044,-111.428893,/Dutch Canyon Rd/Dutch Canyon
160,42.016666,-111.409601,/Lakeside Dr
185,42.115356,-111.388778,/N Main St
160,42.059647,-111.253990,Chokecherry Ct/Chokecherry Dr
305,42.322023,-111.299354,Clay St/Keele St
160,42.226861,-111.398047,S 1st St E/N 1st St E/E Center St
160,42.039182,-111.395654,US Hwy 89/
160,42.192075,-111.401944,/N Second St
160,42.003167,-111.424012,Bear Lake West Blvd/Clark Ave/Lake West Blvd
160,42.357359,-111.304631,Hwy 30/
160,42.323280,-111.287581,Canyon Rd
160,42.227289,-111.398044,/N 1st St E
160,42.391653,-111.322199,/E 1st N
160,42.528139,-111.404232,/US Hwy 30
160,42.304671,-111.361454,US Hwy 89
185,42.226110,-111.399523,Fielding Rd
160,42.123328,-111.390909,Lifton Rd
216,42.328182,-111.294744,/N 3rd St
185,42.038805,-111.395701,US Hwy 89
160,42.229051,-111.400959,W 1st St N/N Main St/E 1st St N
160,42.192074,-111.401732,/N Second St
160,42.187741,-111.404245,W First St/E Canyon St/W Canyon St
160,42.391299,-111.323592,/W 1st N
185,42.320439,-111.305766,Moore Dr
160,42.391259,-111.322671,N Main St
160,42.339490,-111.386142,/Main St/Bern Rd
160,42.316592,-111.303800,Jackson St
160,42.317608,-111.304800,S 7th St/Washington St/N 7th St
185,42.113007,-111.388769,Main St
185,42.113611,-111.388774,100 N/Main St/N Main St
246,42.314070,-111.300896,Crescent Dr/S 5th St
160,42.316544,-111.306833,S 8th St/Jackson St
160,42.111534,-111.388766,Main St/Center St
160,42.320194,-111.307800,Lincoln St/Court St
160,42.288593,-111.398365,Ovid Rd/State Hwy 36
185,42.034716,-111.396302,US Hwy 89/
160,42.060507,-111.254724,Chokecherry Rd
185,42.331075,-111.306778,N 8th St
160,42.003658,-111.423962,Lake West Blvd
160,42.321226,-111.306872,N 8th St/Monroe St
160,42.005043,-111.419430,Fremont/Colter Dr
160,42.472762,-111.368201,W 2nd St/Main St/2nd St
160,42.035416,-111.419649,/Aspen Creek Cir/Lake Vista Dr
160,42.320854,-111.255439,/Montpelier Canyon Rd
216,42.057314,-111.397435,Foxglove Cir
160,42.324193,-111.302405,Garfield St/N 6th St
160,42.226861,-111.397760,/E Center St
185,42.323106,-111.288240,/Canyon Rd
185,42.115709,-111.388137,/200 N
185,42.330510,-111.306795,N 8th St/
160,42.315519,-111.298479,/Jefferson St
160,42.316254,-111.300866,/S 5th St
305,42.322019,-111.297797,N 4th St/Clay St
160,42.320746,-111.308977,N 9th St
160,42.314776,-111.298883,Crystal Dr
185,42.069856,-111.252505,/Eastshore Rd
160,42.320749,-111.307800,/Court St
160,42.001134,-111.422118,Lewis Loop Rd/Carson Ave
185,42.320960,-111.297792,N 4th St/
160,42.304498,-111.361814,US Hwy 89/Cutler Ln
185,42.027106,-111.403452,/US Hwy 89
160,42.319396,-111.306866,N 8th St/
216,42.316898,-111.297822,/S 4th St
246,42.317636,-111.297825,N 4th St/Washington St/S 4th St
160,42.318087,-111.297814,N 4th St
160,42.319128,-111.297780,N 4th St
185,42.322081,-111.304779,N 7th St/Clay St
160,42.037305,-111.397785,Fish Haven Canyon Rd
160,42.017044,-111.408666,US Hwy 89/Lakeside Dr
160,42.111526,-111.389803,/Center St
160,42.321818,-111.306849,N 8th St/
246,42.037422,-111.395866,/US Hwy 89
185,42.328485,-111.294655,Boise St
160,42.192072,-111.401295,N Main St/N Second St
185,42.313925,-111.299393,Crescent Dr
185,42.323121,-111.310432,Ethel Ave/N 10th St
216,42.327837,-111.294759,N 3rd St
160,42.007277,-111.409047,US Hwy 89/
160,42.059163,-111.254388,Chokecherry Pl
160,42.317544,-111.313804,US Hwy 89
160,42.393775,-111.322808,/E 2nd N
160,42.393555,-111.323691,E 2nd N/W 2nd N/N Main St
216,42.057055,-111.397495,Reserve Dr
160,42.393367,-111.323605,N Main St
160,42.053676,-111.255512,Bear Lake Villa
160,42.323123,-111.308969,Ethel Ave/N 9th St
160,42.060076,-111.398778,Lupine Ln/Reserve Dr
160,42.323293,-111.287523,/Canyon Rd
185,42.328488,-111.295099,Boise St
160,42.150345,-111.396717,S Main St
185,42.328486,-111.294731,N 3rd St/Boise St
185,42.026717,-111.428353,Dutch Canyon Rd/Cisco Ct
160,42.317560,-111.312883,N 12th St/US Hwy 89/S 12th St/Washington St
160,42.322975,-111.297804,N 4th St
160,42.328497,-111.294050,Boise St
160,42.315541,-111.300886,Jefferson St/S 5th St
160,42.213619,-111.267569,/Dingle Rd
160,42.123341,-111.389714,/N Beach Rd
185,42.225770,-111.399525,Fielding Rd
160,42.228719,-111.400961,/N Main St
160,42.001915,-111.423494,Lake W Cir
185,42.231205,-111.406968,W 2nd St N
185,42.321072,-111.299382,/Keele St
185,42.115708,-111.388778,Main St/200 N/N Main St
185,42.330645,-111.306799,N 8th St
160,42.317391,-111.300842,S 5th St
160,42.317548,-111.313316,US Hwy 89
160,42.115711,-111.387403,/200 N
160,42.323139,-111.311165,/Ethel Ave
160,42.224704,-111.400982,E 1st St S/W 1st South St/S Main St
160,42.328498,-111.300807,N 5th St/Boise St
185,42.328489,-111.295713,/Boise St
160,42.023918,-111.430293,Juniper Dr/Red Pine Dr
160,42.322085,-111.306838,N 8th St/Clay St
185,42.322044,-111.302433,N 6th St/Clay St
160,42.319893,-111.306856,N 8th St/Lincoln St
160,42.328501,-111.297788,N 4th St/Boise St
160,42.318879,-111.304781,N 7th St/Grant St
160,42.222520,-111.398074,S 1st St E/E 2nd St S
160,42.528370,-111.404395,/US Hwy 30
216,42.321307,-111.299375,Keele St
185,42.318328,-111.304796,/N 7th St
185,42.113608,-111.389936,/100 N
185,42.322085,-111.305568,Clay St/Moore Dr
160,42.318883,-111.307832,Grant St
185,42.191171,-111.401302,/N Main St
160,42.328491,-111.301903,N 6th St/Boise St
246,42.355580,-111.303435,Hwy 30/
185,42.038608,-111.395726,US Hwy 89
185,42.225869,-111.400976,/S Main St
160,42.115706,-111.389386,/200 N
216,42.037079,-111.395908,US Hwy 89/
160,42.005191,-111.426451,Ute Ave
160,42.391323,-111.323487,W 1st N
