Estimated daily crossings,Latitude,Longitude,Name
185,43.678366,-111.817729,/4420 E
185,43.712016,-111.887320,US Hwy 20
216,43.671165,-111.915945,W Short St
160,43.675386,-111.929482,Aspen Dr
160,43.673283,-111.920599,N 2nd W/Circle Dr
160,43.626238,-112.055362,145th Rd N
160,43.683006,-111.922250,W Fifth St/Blaine St
160,43.990500,-112.230442,I- 15
160,43.626508,-111.942833,145th Rd N
160,43.626242,-112.054703,145th Rd N
160,43.673677,-111.930745,5th W St
160,43.674201,-111.933592,W 1st N
160,43.645008,-111.930525,US Hwy 20
160,43.680727,-111.818638,4420 E/375 N
160,43.630289,-111.941004,/US Hwy 20
216,43.680902,-111.908001,Stockham Blvd
160,43.626273,-112.014110,/145th Rd N
160,43.674835,-111.910566,/Bonham St
276,43.681585,-111.932469,3855 E/380 N
160,43.658459,-111.943783,N 3800 E/E 214 N
160,43.640531,-112.081206,/3145 E
185,43.667909,-111.804366,Ririe Hwy/N 4500 E
160,43.687310,-111.934586,3846 E/420 N
216,43.654459,-111.923891,US Hwy 20/N 3900 E
160,43.698761,-112.023164,E 500 N/3400 E/W 2nd N/Lewisville Hwy
216,43.656675,-111.923459,Holbrooke Rd
185,43.672897,-111.874040,N 4150 E/
160,43.634795,-111.903977,N 4000 E/E 54 N
185,43.660398,-111.898841,E 235 N/N 4026 E
160,43.689451,-111.913852,N 3950 E
160,43.683589,-111.920587,N 2nd W/Madsen St
160,43.728154,-111.915796,/E 700 N
160,43.674257,-111.923475,W 1st N/N 3rd W
305,43.672758,-111.911925,N Clark St
160,43.657262,-111.923653,/N 3900 E
160,43.673920,-111.804272,/N 4500 E
276,43.629348,-111.773005,/Hewitt St
160,43.628157,-111.925329,12 N/Current Rd
160,43.691598,-112.023206,3400 E/450 N/Lewisville Hwy
160,43.721092,-111.865480,/E 653 N
160,43.700471,-111.897644,US Hwy 20
160,43.626425,-111.959966,145th Rd N
160,43.715887,-112.003181,N 3500 E
185,43.671166,-111.917734,S 1st W/W Short St
185,43.670121,-111.898655,E 300 N
160,43.728152,-111.916041,/E 700 N
160,43.673058,-111.910520,Farnsworth Way
216,43.631867,-111.772340,1st East St/Smith St
160,43.667621,-111.804367,/N 4500 E
160,43.994706,-112.231429,I- 15
160,43.675281,-111.961615,3710 E/337 N
185,43.720554,-111.999593,N 3515 E
216,43.698626,-112.043138,E 500 N/400N
246,43.721298,-112.129578,E 657 N/N 2865 E
160,43.649015,-112.003621,N 3500 E
160,43.690994,-112.023224,Lewisville Hwy
160,43.640783,-112.019823,/Farm To Market Rd
160,43.672182,-111.917745,S 1st W/W Main St/N 1st W
185,43.667367,-111.804368,N 4500 E
160,43.626600,-111.963691,N 3700 E
160,43.692209,-111.878963,E 465 N
160,43.674268,-111.920588,N 2nd W/W 1st N
185,43.713879,-111.886202,/E 600 N
160,43.675853,-111.911964,/N Clark St
160,43.661626,-111.875714,Sweetwater Ln
185,43.655517,-111.927785,/Holbrooke Rd
160,43.705412,-111.857107,E 540 N/
185,43.681377,-111.909437,Stockham Blvd
185,43.645267,-111.785270,N 4600 E
185,43.676354,-111.923454,N 3rd W/W 2nd N
185,43.660906,-111.898834,N 4026 E
185,43.626447,-111.952870,145th Rd N
160,43.682957,-111.920609,W Fifth St
160,43.681608,-111.929544,380 N/3870 E
160,43.673051,-111.941404,3811 E
160,43.723455,-112.092819,/Roberts Hwy
160,43.678386,-111.816547,4420 E
185,43.645205,-111.785271,N 4600 E
160,43.679315,-111.926007,Snake River Cir
185,43.644270,-111.785284,N 4600 E
160,43.692202,-111.923476,/N 3900 E
160,43.661573,-111.884044,Sweetwater Ln/N 4100 E
160,43.627901,-111.935377,N 3841 E/E 12 N
160,43.728109,-111.935970,N 3837 E/E 700 N
160,43.666718,-111.923612,N 3900 E
185,43.677058,-111.907668,Farnsworth Way
185,43.713935,-111.885433,US Hwy 20
160,43.670111,-111.917098,W 1st S
160,43.660905,-111.896746,N 4037 E
185,43.684516,-111.924228,E 400 N/
160,43.684464,-111.943427,N 3800 E/E 400 N
185,43.640863,-111.991145,Farm To Market Rd/N 3565 E
185,43.682047,-111.913837,3900 E
185,43.652822,-111.940469,3817 E/180 N
185,43.680774,-111.907575,Stockham Blvd/Farnsworth Way
160,43.664900,-111.884107,N 4100 E
216,43.667902,-111.943755,/N 3800 E
160,43.641075,-111.923717,N 3900 E/Farm To Market Rd
160,43.670093,-111.912841,S Clark St/E 1st S
160,43.649162,-111.923725,N 3900 E/154 N
185,43.674259,-111.922915,/W 1st N
160,43.636927,-111.934913,/N Yellowstone Hwy
185,43.626450,-111.952509,145th Rd N
160,43.629383,-111.775469,/Hewitt St
246,43.673253,-111.914904,N State St/W Fremont Ave
160,43.665615,-111.794112,E 280 N
185,43.666497,-111.923612,/N 3900 E
185,43.684506,-111.925903,E 400 N
160,43.670179,-111.795412,E 300 N
160,43.841311,-112.478074,E 1500 N
160,43.664546,-111.787139,N 4570 E
160,43.637584,-111.903971,/N 4000 E
160,43.698766,-112.021842,500N/W 2nd N/3406E
160,43.675387,-111.929559,Aspen Dr
160,43.684832,-111.906111,N 4000 E
185,43.666573,-111.914681,US Hwy 20
185,43.674272,-111.919287,/W 1st N
160,43.721428,-112.130975,N 2858 E
185,43.721323,-111.864957,/E 653 N
160,43.627776,-111.924641,Cox Ln
160,43.826847,-111.981101,/1500 N
160,43.670262,-111.804343,E 300 N/N 4500 E
160,43.669566,-111.917703,/S 1st W
160,43.687577,-111.936172,420 N
160,43.626332,-111.993456,/145th Rd N
160,43.649932,-111.908609,E 160 N/3974 E
160,43.717096,-112.130989,E 627 N/N 2858 E
160,43.676075,-111.824103,N 4400 E/N 4420 E
185,43.674850,-111.911951,/N Clark St
160,43.725169,-111.874150,N 4200 E/US Hwy 20
160,43.676349,-111.920566,N 2nd W/W 2nd N
185,43.660265,-111.920475,US Hwy 20/US Hwy 20 Bus
216,43.654034,-111.923733,N 3900 E
216,43.720214,-112.129583,N 2865 E/E 650 N
160,43.661345,-111.896799,N 4037 E
160,43.677481,-111.913891,Annis Hwy
160,43.670094,-111.914942,E 1st S/W 1st S/S State St
160,43.672924,-111.939505,3823 E/E 322 N
160,43.660630,-111.884032,/N 4100 E
160,43.684545,-111.904947,US Hwy 20
160,43.717124,-112.132179,E 627 N
185,43.646117,-111.910383,3966 E
246,43.638067,-112.023429,Lewisville Hwy
160,43.673625,-111.930462,N 5th W
160,43.657402,-111.943782,N 3800 E/
160,43.670688,-111.917729,S 1st W
160,43.631251,-111.785335,/N 4600 E
160,43.647502,-111.918763,144 N
160,43.661076,-111.917697,N Yellowstone Hwy/240 N
160,43.670177,-111.882186,/E 300 N
185,43.677705,-111.920558,N 2nd W/Ramona Ave
216,43.672761,-111.912801,Annis Hwy
160,43.670245,-111.802697,/E 300 N
216,43.668003,-111.914940,Centennial Ln/S State St
160,43.990499,-112.230861,I- 15
160,43.669062,-111.912951,US Hwy 20
160,43.680146,-111.919397,Marion Ct
160,43.644382,-111.923721,/N 3900 E
185,43.721161,-112.130981,N 2858 E
160,43.731233,-111.868823,US Hwy 20
185,43.664180,-111.916359,US Hwy 20
185,43.660533,-111.919953,US Hwy 20
160,43.677751,-111.913894,Dove Ave/Annis Hwy
185,43.676053,-111.927981,Glenwood Cir
160,43.785928,-111.990493,/N 3600 E
160,43.670186,-111.796342,/E 300 N
160,43.688769,-111.868033,E 421 N
160,43.647331,-111.928621,US Hwy 20
160,43.628623,-111.938699,N 3823 E
160,43.651453,-111.923695,N 3900 E
160,43.674215,-111.930949,W 1st N
216,43.629372,-111.772375,1st East St//Hewitt St
160,43.673267,-111.911931,E Fremont Ave/N Clark St
160,43.671697,-111.917740,S 1st W
246,43.638222,-112.023427,/Lewisville Hwy
185,43.708108,-111.890824,US Hwy 20
160,43.670182,-111.795876,E 300 N
160,43.700387,-111.897706,US Hwy 20
160,43.644484,-111.923721,N 3900 E
160,43.626239,-112.055082,145th Rd N
160,43.678785,-111.818631,/4420 E
160,43.691697,-111.884055,N 4100 E/450 N
160,43.669563,-111.914943,/S State St
160,43.841331,-112.361156,E 1500 N/
216,43.721306,-112.130483,E 657 N
185,43.659961,-111.920375,US Hwy 20
160,43.636631,-112.023445,Lewisville Hwy
160,43.718604,-112.063237,/N 3200 E
160,43.691231,-111.923483,N 3900 E
160,43.669083,-111.920642,S 2nd W/W 2nd S
160,43.667136,-111.914980,US Hwy 20 Bus
160,43.641099,-111.904216,Farm To Market Rd
160,43.683574,-111.943451,N 3800 E
160,43.628992,-111.776096,2nd West St
160,43.667078,-111.923613,N 3900 E/S 3rd W
160,43.670225,-111.860450,E 300 N/4228 E
160,43.710739,-112.003512,N 3500 E
160,43.692768,-111.894197,Fairway Dr//Calloway Dr
185,43.674272,-111.919193,/W 1st N
160,43.694363,-111.882845,E 465 N
185,43.677408,-111.920560,N 2nd W
160,43.670093,-111.912624,E 1st S
160,43.693307,-111.884055,N 4100 E
160,43.673115,-111.939505,3823 E
160,43.694618,-112.043100,/N 3300 E
185,43.659575,-111.895148,N 4045 E
160,43.717127,-112.132270,E 627 N
246,43.681572,-111.913859,Stockham Blvd/3900 E
246,43.669080,-111.914937,W 2nd S/S State St
160,43.841312,-112.477239,E 1500 N
276,43.683089,-111.932613,3855 E/390 N
160,43.690577,-111.903018,US Hwy 20
160,43.644926,-111.930290,US Hwy 20
160,43.713552,-111.880102,E 600 N
160,43.646346,-111.629677,/Kelly Canyon Rd
185,43.673228,-111.922130,Circle Dr
185,43.670121,-111.898840,E 300 N
160,43.666679,-111.765306,N 4700 E
160,43.628153,-111.923749,/N 3900 E
185,43.644674,-111.785279,/N 4600 E
160,43.965554,-112.224561,E 2350 N/Old Hwy 91
160,43.680972,-111.907524,Farnsworth Way
160,43.693360,-111.884054,/N 4100 E
216,43.626484,-111.944865,/145th Rd N
216,43.626276,-112.013123,/145th Rd N
160,43.641092,-111.918641,/Farm To Market Rd
160,43.657188,-111.923645,N 3900 E
185,43.681080,-111.908579,Stockham Blvd
185,43.663468,-111.785498,N 4570 E/E 250 N
160,43.627895,-111.933816,E 12 N
160,43.649056,-111.911982,E 160 N
160,43.841312,-112.476774,E 1500 N/
160,43.660156,-111.775418,238 N
160,43.676837,-111.929286,Foxhill Dr/Pheasant Run Cir
160,43.657688,-111.921965,US Hwy 20
185,43.654762,-111.924014,US Hwy 20/N 3900 E
185,43.699241,-111.877105,/E 500 N/N 4138 E
185,43.627056,-111.774856,/1st West St/Main St
160,43.672879,-111.941547,E 322 N/3811 E
185,43.638569,-111.995090,N 3536 E
160,43.674646,-111.907464,Spud Aly
