Estimated daily crossings,Latitude,Longitude,Name
160,47.944405,-116.706684,E Menser Ave/3rd St
185,47.748204,-116.773260,N Stone Haven Dr/E Northwood Ct
246,47.717440,-116.760387,N Magnolia Dr/N Alderbrook Dr
160,47.707082,-116.915665,E 2nd Ave/N Greenferry Rd
160,47.756034,-116.969783,W Harmon Ave/N Howell Rd
684,47.677661,-116.789296,I- 90 Bus/W Garden Ave
276,47.722994,-116.829769,Atlas Rd/W Kathy Loop
216,47.771942,-116.720394,N Hayden Bluff Ln
605,47.694471,-116.792649,/W Ironwood Dr
334,47.673753,-116.770624,/N 11th St
160,47.702666,-116.766918,N 14th St/E Gilbert Ave
305,47.700396,-116.763773,N 16th St
246,47.706602,-116.883202,E Seltice Way/N Cedar St
160,47.788108,-116.759438,N Strahorn Rd/E Lancaster Rd
160,47.715664,-116.839787,N Lancaster Rd/W Nez Perce Rd
246,47.685346,-116.778675,/E Maple Ave
276,47.687511,-116.797109,/I- 90 Bus
185,47.947782,-116.702638,Davis Ln/State Hwy 54
160,47.703022,-116.754893,Red Cedar Ct
160,47.718344,-116.951552,N Compton St/Cherry Ave
185,47.749255,-116.770581,N Uplands Dr/E Loch Haven Dr
246,47.759024,-116.798141,W Hayden Ave/N Gleason Rd
276,47.674993,-116.772341,N 10th St/E Coeur D Alene Ave
160,47.713114,-116.892202,Sterling Dr
160,47.717496,-116.829237,Nursery Rd
216,47.683204,-116.786069,/N Government Way
160,47.698931,-116.878739,Twila Ct
160,47.573578,-116.901360,/US Hwy 95
160,47.681823,-116.772339,N 10th St/E Boyd Ave
418,47.698992,-116.798025,/I- 90
246,47.696944,-117.041623,I- 90
362,47.704903,-116.791756,W Cherry Ln/US Hwy 95
305,47.692596,-116.795306,N Medina St/W Emma Ave
160,47.752995,-116.781991,N Huntington Ct
276,47.685257,-116.757089,E Cherrywood Dr/Crestline Dr
390,47.695095,-116.776158,/E Annie Ave
334,47.687222,-116.774050,E Spokane Ave/N Kaleigh Ct
246,47.664982,-116.757333,S Floating Green Dr
246,47.710762,-116.786508,E Creekstone Ln/N Government Way
185,47.747269,-116.781542,Summerfield Loop/N Atwood Dr
160,47.748352,-116.822015,N Chateaux Dr
276,47.703419,-116.797103,N Howard St
185,47.715151,-116.952814,W Seltice Way
185,47.796295,-116.901787,W Grand Teton St/N Golden Spike Blvd
305,47.742624,-116.842570,Chanuncy Ct
160,47.753692,-116.819596,N Torrey Ln/Torrey Ln
605,47.676329,-116.794721,W Woodland Dr/Hubbard St
246,47.704899,-116.790009,W Cherry Ln
362,47.738364,-116.802964,W Dan Ave
246,47.727718,-116.798140,Parkwood Ct
216,47.788291,-116.894034,W Lancaster Rd/State Hwy 41
185,47.757373,-116.779824,E Retreat Ln
605,47.675151,-116.782587,N 3rd St/E Coeur D Alene Ave
160,47.550260,-116.354120,/I- 90
216,47.730215,-116.830798,W Hanley Ave
160,47.714738,-116.756501,E Gunther Ave/N Magnuson St
160,47.701196,-116.864628,Maplewood Ave
185,47.772570,-116.786438,E Jadynn Ct/N Government Way
160,47.813645,-116.888276,Washington St/Missouri Ave
160,47.730334,-116.940035,N Lincoln St
216,47.669619,-116.775551,/S 8th St
160,47.640934,-116.797169,S North Cape Rd/S Lands End Rd
185,47.687051,-116.770280,E Spokane Ave/N 11th St
160,47.693052,-116.953378,S Comet Trl/S Schilling Loop
246,47.726923,-116.792596,US Hwy 95
788,47.715881,-116.765945,E Sebrina Ave/Ceres St
276,47.696060,-116.769152,N 12th St/E Hattie Ave
185,47.867616,-116.859858,N Viewpoint Dr/N Fir Ln
160,47.725026,-116.915844,N Greenferry Rd
246,47.700755,-116.768868,N 12th St/E Best Ave
246,47.736616,-116.925834,N Thrush Dr
185,47.676685,-116.776686,E Wallace Ave/N 7th St
276,47.722074,-116.978563,W Compass Loop/N Benham St
276,47.762573,-116.775319,E Dakota Ave/N Lamson Ln
362,47.720899,-116.765093,N 15th St
526,47.692685,-116.799885,North St//W Emma Ave
160,47.772016,-116.775051,N Cattle Dr/N Rocking R Rd
246,47.961888,-116.868548,N 5th Ave/Massachusetts St
246,47.715130,-116.946519,N Frederick St/E Seltice Way
160,47.730839,-117.001741,W Poleline Ave
185,47.802731,-116.872443,E Boekel Rd/N Meyer Rd
216,47.969504,-116.874383,N 1st Ave/W Monroe St
185,47.684574,-116.784937,N 1st St/E Birch Ave
418,47.720503,-116.812996,W Dartmouth Cir/W Westminster Ave
185,47.674158,-116.766234,E Lakeside Ave/N 14th St
160,47.715880,-116.900458,E Mullan Ave
185,47.741467,-116.844006,N Downing Ln
276,47.715376,-116.778597,N 4th St/Kathleen Ave/E Margaret Ave
160,47.702932,-116.990078,S Corbin Rd/
160,47.696699,-116.796034,Ironwood Ct
185,47.706692,-116.757220,E Pinehill Dr/W Pinehill Dr
246,47.679964,-116.791749,Lincoln Way
605,47.675124,-116.781118,N 4th St/E Coeur D Alene Ave
246,47.724558,-116.817983,N St Germaine Ct/N Harcourt Dr
418,47.720372,-116.769935,E Jayno Ct
160,47.757532,-116.680437,E Hayden Lake Rd
276,47.696063,-116.779266,N 5th St/E Hattie Ave
160,47.892721,-116.892879,N Fish Lake Rd/W Twin Lakes Rd
185,47.808235,-116.878460,Winchester St/Manchester St
160,47.706206,-116.766788,E Davis Ave/N 14th St
305,47.711760,-116.929339,E 4th Ave/E Seltice Way
305,47.710363,-116.991098,I- 90
216,47.751768,-116.795482,W Honeysuckle Ave/N Davis Cir
418,47.717698,-116.754352,E Mountain Vista Dr
160,47.670844,-116.774315,S 9th St/E Bancroft Ave
160,47.955582,-116.861442,W Lakeland St/N 10th Ave
276,47.744604,-116.817896,W Prairie Ave
216,47.731585,-116.813983,N Portico Ct
305,47.674155,-116.763319,E Lakeside Ave/N 16th St
160,47.929643,-116.709653,N Lloyd Rd
185,47.685778,-116.789863,/C St
334,47.695097,-116.776569,E Annie Ave/N 6th Pl
185,47.756848,-116.797434,N Reed Rd
185,47.703475,-116.923887,Handy St/Tammy Dr
216,47.730392,-116.904977,E Poleline Ave
246,47.742941,-116.841935,Quincy Ct/Bardwell Dr/Wyeth Ct
276,47.716666,-116.907128,N Forsythia Cir/N Goldenrod Ct
216,47.718780,-116.804953,W Bering Ave/N Tasman Dr
418,47.677595,-116.781017,N 4th St/E Garden Ave
