Estimated daily crossings,Latitude,Longitude,Name
185,46.403086,-117.012439,14th St/17th Ave
246,46.404326,-117.026110,Southway Dr/Souyhway Dr
246,46.403863,-117.032315,1st St/17th Ave
185,46.403097,-117.013920,13th St/17th Ave
160,46.408222,-117.024573,6th St
185,46.425584,-116.999854,5th Ave N/E 22nd St N
185,46.391337,-117.007227,17th St/Stewart Ave/5th St
160,46.364256,-116.917830,22nd St/Hemlock Ave
216,46.383121,-117.012432,4th St/Warner Dr
246,46.364001,-116.956626,Hemlock Ave/14th St E
185,46.388116,-116.986147,9th St
160,46.400346,-117.035811,/Snake River Ave
276,46.413894,-116.996601,7th Ave/25th St
160,46.398512,-117.033265,1st St
216,46.410366,-117.007418,10th Ave
185,46.406175,-116.999813,14th Ave
185,46.430014,-116.984805,Steelhead Way
276,46.394595,-117.037238,Southway Brg/Snake River Ave
305,46.405832,-116.807480,Joseph St W/Joseph Ct
185,46.432483,-116.912420,US Hwy 12
246,46.414554,-117.022990,6th Ave/7th St
185,46.374031,-116.944019,Cedar Dr/17th St
160,46.417952,-117.026737,3rd Ave/5th St/St Johns Way
305,46.405015,-116.803617,E 1st St/Birch Ave E
185,46.405012,-116.808000,Birch Ave W/Birch Aly
185,46.462154,-116.989548,US Hwy 95
246,46.380516,-116.996721,Bryden Ave/7th St
276,46.413509,-117.020028,9th St/7th Ave
216,46.422750,-117.030459,Capital St/2nd St
160,46.383331,-117.008606,4th St E/
216,46.402356,-116.807290,W Willow Ave/W 2nd St
605,46.403080,-117.025538,6th St/17th Ave
246,46.400975,-117.010956,15th St/19th Ave
216,46.407863,-117.028320,4th St
276,46.402885,-116.803621,E 1st St
216,46.405680,-117.022927,15th Ave/7th St
185,46.396985,-117.025635,23rd Ave/6th St
185,46.416160,-117.022992,4th Ave/7th St
246,46.414251,-117.012007,6th Ave/14th St
160,46.402378,-116.802347,Willow Ave/E 2nd St
160,46.425623,-117.004147,20th St N/5th Ave N
276,46.419354,-117.020564,10th St/Main St
160,46.377225,-116.970384,12th St
246,46.399551,-116.919857,Wheatlands Ave/Sage Grouse Ln
160,46.434735,-116.989503,Short St/Riverview St
246,46.400406,-117.010953,15th St
185,46.391356,-116.996720,Stewart Ave/7th St
246,46.378479,-116.974302,Airway Ave/11th St B
160,46.418080,-116.987187,33rd St E
276,46.423347,-116.979027,Railroad Ave
216,46.404995,-116.807315,Birch Ave W/W 2nd St
160,46.409335,-116.989990,11th Ave
418,46.411913,-117.006450,18th St
246,46.413054,-116.997631,24th St/Cassell St
160,46.400729,-116.997283,Nez Perce Dr
160,46.365790,-116.963257,Ripon Ave/13th St D
246,46.384821,-117.039275,Bluebird Ct/Echo Hills Dr
160,46.405129,-117.003402,15th Ave/20th St
185,46.404766,-117.026191,16th Ave
305,46.415519,-117.001233,21st St/Main St
216,46.405131,-117.012440,15th Ave/14th St
334,46.423605,-116.999846,E 22nd St N/3rd Ave N
160,46.375099,-116.998927,Cedar Ave
185,46.409336,-116.995756,11th Ave
185,46.413476,-117.008258,17th St/7th Ave
762,46.413402,-117.001909,21st St/7th Ave
185,46.391173,-116.800426,Tolo Dr
185,46.399401,-116.915710,Wheatlands Ave/Quail Knoll Ln
160,46.376754,-116.982829,9th St E/Burrell Ave
185,46.390268,-117.036450,Swallows View Dr
334,46.413516,-117.029820,3rd St/7th Ave
160,46.426922,-116.804445,343 Rd/Grouse Rd
185,46.380534,-116.998650,/Bryden Ave
160,46.426598,-117.011375,15th St N/6th Ave N
246,46.400360,-116.803997,Agency St/Agency Dr/Park Dr
185,46.400938,-117.034542,/Southway Ave
362,46.404147,-116.803582,E 1st St/Alder Ave E
968,46.414273,-117.001914,21st St/7th Ave
160,46.407670,-117.018970,10th St/13th Ave
216,46.404974,-116.805424,First Street Aly
276,46.391054,-117.039532,Country Club Dr/Snake River Ave
216,46.419927,-117.030566,3rd St/1st Ave
160,46.426886,-116.804674,343 Rd
246,46.379648,-117.002057,6th St/Bryden Dr
160,46.416688,-117.000163,Memorial Brg/Main St
160,46.372176,-116.959861,14th St
160,46.211029,-116.832198,Waha Rd/548 Rd/Flatiron Rd
362,46.422607,-117.027124,5th St/Capital St
216,46.388932,-116.996679,7th St
185,46.418039,-117.025079,Parkway St/New 6th St
160,46.404787,-117.020212,9th St
216,46.380412,-116.986163,9th St/Bryden Ave
246,46.381341,-117.035141,Lochsa Ct/Reservoir Dr
160,46.396693,-116.991823,Port Dr/Juniper Dr
160,46.402030,-117.009457,16th St/18th Ave
276,46.409340,-117.015075,12th St/11th Ave
216,46.423678,-116.980673,Railroad Ave
246,46.414333,-117.012833,6th Ave/Park St
276,46.413519,-117.023002,7th Ave/7th St
160,46.399817,-116.802052,Lo Lo St
362,46.416064,-117.003135,Main St
160,46.376909,-116.998983,/Burrell Ave
185,46.395934,-117.041391,Southway Brg
185,46.413621,-117.003948,8th Ave/7th Ave
276,46.394484,-117.037599,Southway Brg
246,46.424900,-117.000483,US Hwy 12/Down River Rd
246,46.388165,-117.035260,Larkspur Ln/Seaport Ct
160,46.413639,-117.032848,Snake River Ave
276,46.420696,-117.021772,Temple Ln/D St
216,46.403870,-117.034499,17th Ave/Snake River Ave
390,46.409343,-117.016966,11th Ave/11th St
658,46.412227,-117.001920,21st St
185,46.425599,-117.002250,N and South Hwy/22nd St N
305,46.405627,-117.033825,15th Ave/Snake River Ave
160,46.368882,-117.039579,Fairway Dr
362,46.399077,-117.000403,Thain Rd
160,46.405742,-117.021466,N St/8th St
160,46.416149,-117.022004,4th Ave
160,46.376750,-116.865535,461 Rd/480 Rd
160,46.428407,-116.997167,US Hwy 12
185,46.411174,-116.992512,Sunset Ct
160,46.402966,-117.034331,Prospect Ave/18th Ave
160,46.402966,-117.029824,/3rd St/18th Ave
472,46.382374,-117.002026,Linden Ave/6th St
160,46.414678,-116.994067,6th Ave/27th St
579,46.411424,-117.028887,9th Ave
160,46.419884,-117.031509,Prospect Blvd N/Prospect Ave/1st Ave
160,46.384058,-116.986143,9th St/Warner Ave
160,46.417310,-116.998933,Railroad Ave
216,46.381496,-117.003355,Linden Dr
334,46.403895,-117.026610,5th St
246,46.392948,-117.013588,/27th Ave/Hillcrest Rd
185,46.397009,-117.023547,23rd Ave/7th St
160,46.415595,-117.029828,3rd St/5th Ave
160,46.392129,-116.982815,Cypress Ct/Cypress St
418,46.404101,-117.007939,17th St/16th Ave
276,46.406025,-116.804006,Walnut Ave/Main St N
185,46.402008,-117.004909,19th St/18th Ave
185,46.376841,-116.924548,460 Rd/Lindsey Creek Rd/Burrell Ave
216,46.380612,-117.009930,4th St D/Bryden Ave
160,46.430731,-116.990698,US Hwy 95
160,46.373022,-116.959856,14th St/Grelle Ave
160,46.385852,-116.797631,Horsehaven Ln
246,46.384137,-116.996703,7th St/Warner Ave
160,46.380619,-117.011598,Bryden Ave
160,46.456441,-116.958599,US Hwy 95
246,46.362159,-116.959853,Richardson Ave/14th St
276,46.369894,-117.041940,Fairway Dr/Duthie Dr
185,46.402059,-117.022936,7th St/18th Ave
216,46.395234,-117.025608,25th Ave/6th St
305,46.407357,-116.807304,Joseph St N
276,46.415598,-117.028303,4th St/5th Ave
185,46.408397,-117.028321,4th St/12th Ave
160,46.365790,-116.964601,13th St C/Ripon Ave
631,46.407255,-117.001963,21st St/13th Ave
160,46.385887,-116.988156,8th St E/Park Ave
246,46.415536,-116.999180,22nd St
246,46.415483,-117.014665,Park St/13th St
160,46.385888,-116.988641,/Park Ave
160,46.400337,-117.020795,8th St
246,46.406605,-117.032531,Prospect Ave/14th Ave
246,46.413510,-117.020152,9th St/7th Ave
216,46.412070,-116.979354,Leisure Ln
160,46.411383,-117.010949,15th St/9th Ave
246,46.415973,-117.008250,17th St/G St
160,46.367883,-116.933491,Birch Ave/19th St
185,46.387693,-116.986151,9th St/Thain Rd/Preston Ave
160,46.427572,-117.011402,15th St N/7th Ave N
160,46.371211,-116.959867,14th St/Alder Ave
216,46.420434,-117.028743,4th St/North St
216,46.384031,-117.039103,Bluebird Ct
216,46.370615,-117.041577,Fairway Dr/Par Ct
305,46.412027,-117.031095,Prospect Ave
160,46.429184,-116.994452,Frontage Rd/26th St N
216,46.407521,-117.030798,13th Ave/2nd St
216,46.428438,-116.995970,Frontage Rd/25th St N/E 22nd St N
160,46.414054,-117.010924,15th St/6th Ave
160,46.409344,-116.996976,11th Ave/24th St
160,46.431103,-116.990411,Hatwai Rd
160,46.431556,-116.982908,US Hwy 12/Frontage Rd
185,46.409343,-116.995318,11th Ave//Willow Dr
160,46.357971,-117.058916,Hells Gate Rd/A Loop
334,46.418877,-117.022119,9th St/F St
160,46.418989,-117.031417,2nd Ave/Prospect Ave
160,46.384220,-117.010232,4th St C/Warner Ave
305,46.380461,-116.991477,Bryden Ave/8th St
334,46.407143,-116.807831,Murphy Dr
