Estimated daily crossings,Latitude,Longitude,Name
390,39.266450,-88.119920,I- 70
216,39.299274,-88.027738,I- 70
418,39.250777,-88.154460,N Haughton Hwy
160,39.317052,-88.457501,Elm Ave
418,39.248136,-88.163375,N Delaware St
216,39.273893,-88.246333,N Illinois St/Jefferson St
216,39.248220,-88.165049,N Kentucky St/E Pleasant St
246,39.282387,-88.063564,I- 70
216,39.323643,-88.457540,W 9th/Cedar Ave
526,39.247463,-88.163802,E Cumberland St
160,39.192759,-88.321841,I- 70
160,39.327173,-88.248587,/Burma Rd
185,39.350266,-88.469282,Woolery Dr
160,39.274465,-88.243486,/Indiana St
160,39.267931,-88.071890,Co Rd 2150E
160,39.178677,-88.449850,050N
185,39.266190,-88.245890,Keller Dr
185,39.244891,-88.164685,W Cincinnati St/S Mill St
160,39.322611,-88.449374,E 9th St/Locust Ave
160,39.308869,-88.378395,950N/500E
160,39.276425,-88.244133,Monroe St/Mock Trail Park Rd
160,39.243069,-88.174057,W Cumberland St/Cumberland Rd
160,39.287260,-88.460979,I- 57/800N
185,39.321773,-88.456192,/W 7th St
246,39.323689,-88.457256,W 9th/W 9th St
160,39.195897,-88.303231,Co Rd 900E/Cumberland
160,39.359840,-88.429795,1300N
160,39.242930,-88.174505,Cumberland Rd
185,39.202930,-88.290768,I- 70
160,39.258320,-88.280949,1025E/600N
276,39.345372,-88.426795,I- 57/1200N
246,39.245965,-88.168995,Washington St/W Cumberland St
216,39.318367,-88.453878,W Fifth St/Chestnut Ave
216,39.231075,-88.214075,I- 70
216,39.273957,-88.239973,Jefferson St/Railroad Ave
160,39.250555,-88.161204,N Jay Hayden Dr/E Elizabeth St
160,39.258760,-88.152770,Wagon Rd/1700E/N Haughton Hwy
160,39.373705,-88.455058,E Co Rd 000 N/000N
216,39.207271,-88.252249,17th St
246,39.323810,-88.448833,N Locust/Locust Ave
216,39.254393,-88.163824,I- 70
160,39.318990,-88.458436,Heartland Dr/Trowbridge Rd
305,39.245892,-88.165169,W Illinois St/S Mill St
276,39.273211,-88.245376,E Main St
160,39.316530,-88.456346,3rd St/Walnut Ave
334,39.318816,-88.441141,E 7th
160,39.237351,-88.186650,Cumberland
185,39.321615,-88.460575,/Park Ave
160,39.272793,-88.247722,S Missouri St/N Missouri St/W Main St
160,39.251711,-88.169164,N Franklin St
185,39.321967,-88.456872,W 7th St/Pine Ave
160,39.178853,-88.345514,Cumberland
246,39.246294,-88.167868,W Cumberland St/S Jefferson St/N Jefferson St
160,39.319410,-88.457504,W 5th/Cedar Ave
