Estimated daily crossings,Latitude,Longitude,Name
160,37.895336,-88.930626,S Ida St/W Chestnut St/S Skelton St
185,38.000851,-88.923100,W 5th St/Election St
445,37.991718,-88.935207,/I- 57
185,37.889632,-89.060633,Christopher Rd/Maple St
185,37.979798,-89.067411,Coello Hill Rd/Public Rd
160,38.093645,-89.056822,Mary St/W Florence St
160,38.005847,-88.909730,Anna St/N McLeansboro St
185,37.997861,-88.916660,E Washington St/N Buchanan St
216,38.001704,-88.929131,N du Quoin St/W 6th St
160,37.975325,-89.058254,N Snider St/W Sylvester Ave
160,37.905534,-88.919234,N Lincoln St/E 8th St
185,37.968635,-89.051361,6th St/S State St
185,37.893304,-88.909488,S Cherry St/E Garland St
160,38.037760,-88.954317,Rend Lake Dam Rd
160,37.928119,-88.960819,Orient Blacktop
160,37.911249,-88.976432,S Jackson St
160,37.891833,-89.079592,State Rte 149
216,37.980722,-89.058239,Biggs Ln/Indian Creek Rd
276,37.891985,-88.922577,E Cleveland St/S Monroe St
160,38.024405,-88.886045,Bowling Alley Rd/Sam Pyle Bridge Rd
216,37.967019,-89.053535,10th St/S Victor St
216,38.075273,-88.920180,Gun Creek Trl
160,37.896224,-89.053376,S Pine St/Ballard St
246,37.966156,-89.050278,12th St/Church St
185,37.979571,-89.068968,/Pyramid Rd
160,37.973468,-89.052430,N Maple St/E Cherry Ave
276,37.878301,-89.114283,2nd South St/Main St
160,38.081698,-89.047746,S Cockrum St/Coal St
185,37.889620,-88.901953,Old Marion Rd
185,37.967380,-89.051700,9th St
216,37.902890,-88.953502,Mark Twain Rd
185,37.995050,-88.881684,Middlefork Ave/Aden St
418,37.892003,-88.919652,E Cleveland St
552,37.972605,-89.053523,W Market St/S Victor St/E Market St/N Victor St
276,37.944821,-88.937206,I- 57
160,37.979909,-89.053511,W Harrison Ave/N Victor St
185,38.087826,-89.056703,W Fitzgerell Ave/S Mary St
246,37.889570,-88.921279,E Forest St/S McClelland St
160,37.987096,-88.918018,E Blake St/Lickliter St
185,38.084103,-89.054193,S Park St/Ward Ave
246,38.000017,-88.921860,N Maple St/W 4th St
216,37.875858,-88.932730,Country Club Rd/State Rte 37
185,37.900763,-88.906137,N Rains St/E Lindell St
160,38.085319,-89.051379,S Locust St/Jordan Ave
246,37.988151,-88.935233,I- 57
160,37.903636,-88.848330,State Rte 149
160,37.899687,-88.887033,State Rte 149
305,37.893133,-89.056530,Newcomb St/Maple St
160,37.994592,-88.899474,E Main St/N Studell Ave/S Studell Ave
276,37.903598,-88.943847,W 5th St/N Columbia St
160,37.884240,-89.007215,Freeman Spur Rd/Knox Rd
160,37.863013,-88.835139,Liberty School Rd
160,38.078527,-88.994291,Brown Cemetery Ln/N Rend City Rd
276,37.996800,-88.921795,N Maple St/W Main St/S Maple St
185,38.103723,-88.937511,/Conservation Ln
362,37.896269,-88.914324,S Bryan St/E Elm St
276,37.997866,-88.917159,E Washington St/N Buchanan St
334,38.000475,-88.909785,Burkett St/N McLeansboro St
276,37.895480,-89.058552,E Euclid St/Christopher Rd
160,37.900107,-88.928337,E Saint Louis St
305,37.897097,-88.921545,E Oak St
305,37.965443,-89.051378,14th St/S State St
160,37.876862,-88.951423,Country Club Rd/Ramsey Heights Rd
362,37.891200,-88.925272,E Dewey St/S Jefferson St
185,37.964627,-89.044621,E 15th St
526,37.999466,-88.914973,E Smith St
160,37.880164,-88.963365,Mitchell St
185,37.905037,-88.840268,State Rte 149/Cedar Hill Rd
160,37.894030,-89.052847,Linden St/Baggott St
276,38.035352,-88.925351,I- 57
160,37.993466,-88.902995,E Center St/S Ward St/Center St
276,38.014589,-88.925934,I- 57
246,37.978771,-89.053512,Adelaide Ave/N Victor St
160,37.908157,-88.934212,W 9th St/N Parkhill St
276,37.896274,-88.912636,S Day St/E Elm St
160,37.975715,-89.113607,State Rte 14/Mulkeytown Rd
185,37.994261,-89.067493,Division St/Main St
160,37.908164,-88.933318,W 9th St
276,37.901648,-88.940694,N Washington Blvd/W Lindell St
216,38.008202,-88.920623,W Bond St/N Main St
334,37.903661,-88.944891,W 5th St/Shawnee St
160,37.909545,-88.743111,State Rte 34
185,38.090447,-88.913205,/Gun Creek Trl
185,37.892037,-88.912397,E Cleveland St
185,38.004769,-88.929195,Carlton St/N du Quoin St
160,37.910563,-88.807269,Sharp Ln/State Rte 149
160,38.023701,-89.039555,Park Street Rd
160,37.892014,-88.913625,E Cleveland St/S Binkley St
216,37.905730,-89.048163,Walnut St/Oak St
160,37.897845,-88.902634,N Benton Rd/S Marion Rd/E Main St
246,37.906420,-89.056184,North St/Church St
160,37.866107,-88.923282,Old Johnson City Rd/Old Johnston City Rd
246,37.995860,-88.914886,Railroad St/E Church St
305,38.077592,-88.909515,State Rte 37
185,38.005402,-88.919043,Martin St/N Commercial St
185,38.026830,-89.053591,State Rte 148
160,38.037832,-88.956620,Rend Lake Dam Rd
334,37.907227,-88.934204,W 8th St/N Parkhill St
418,37.999468,-88.917910,E Smith St/Madison St
579,37.996997,-88.938245,S Central St/W Main St/N Central St
185,38.125652,-88.919421,E Franklin Rd
216,38.111266,-88.917007,Parkside Dr/Preservation Ln
160,38.023636,-89.017902,Park St
185,37.900009,-88.906115,N Rains St/E Saint Louis St
160,37.900117,-88.928521,W St Louis St/W Saint Louis St/N Anna St
216,37.882685,-89.116684,N Sims St/2nd North St
160,37.905626,-88.830761,State Rte 149
160,37.973106,-89.060674,N Ward St/N Ennis St
185,37.892551,-89.059617,S Pine St/Christopher Rd
185,38.023642,-89.053584,Valier Rd/State Rte 148/Park Street Rd
305,37.898760,-88.952446,Ken Gray Blvd
160,37.972661,-89.060676,N Ennis St/W Market St/S Ennis St
160,38.062114,-89.012125,W Rend City Rd
185,38.008091,-88.910861,Highland St/E Bond St
334,38.019833,-88.925622,I- 57
160,38.005651,-88.921868,W Grayson St/N Maple St
185,38.005257,-88.914291,N Frisco St/Anna St
160,37.981521,-89.012149,N McDyby St/S McDyby St/E 3rd St
160,37.897941,-88.903486,S Sunny Slope St/E Main St/N Sunny Slope St
216,37.979446,-89.051315,N State St/Egyptian Ave
276,37.899338,-88.944489,N Sophia St
160,37.993085,-88.918102,Lickliter St/E Grain St
305,37.898019,-88.912744,S Day St/E Main St/N Day St
160,37.976317,-89.078554,Egyptian Ave/Sylvia Ave/State Rte 14
246,37.887931,-88.931718,State Rte 37
160,37.875754,-88.923377,Boner Rd/Old Johnston City Rd
160,37.975939,-89.077472,Sylvia Ave
160,38.017203,-88.920572,N Main St
276,37.998649,-88.914614,Lawrence St
216,38.091648,-89.060617,Vivian St/Franklin Ave
160,37.870571,-88.923282,Old Johnson City Rd/Old Johnston City Rd
185,37.945960,-89.054699,State Rte 148
185,37.974813,-89.047220,St Clair Ave/Elm St
160,37.960427,-88.840197,1st East St/Illinois Ave
160,38.007627,-88.917711,Madison St/Crisp St
160,38.023704,-89.067536,Fox Hunters Rd/Park Street Rd
276,37.902155,-88.944432,Patricia Ln/Patricia Rd/Razer Dr
305,37.906313,-88.934195,W 7th St/N Parkhill St
216,37.902134,-88.911250,E 4th St
185,37.996546,-88.901788,N Brown St/Kirkpatrick St
246,37.907542,-88.912932,Daffodil Ln
160,38.023732,-89.037957,610 E/Park Street Rd
216,37.887394,-89.116521,6th St/N Sims St
216,37.877692,-88.932789,State Rte 37/Tipps Rd
276,37.895327,-88.946077,I- 57
185,37.898830,-88.935319,W Poplar St/N Gardner St
185,38.063472,-88.918694,State Rte 37
246,37.980436,-89.057146,Biggs Ln/Biggs Mobile Home
216,38.018447,-89.039319,Benedict St/Hays St
160,37.895958,-88.943811,S Sophia St
