Estimated daily crossings,Latitude,Longitude,Name
160,38.075090,-88.529861,Co Rd 1150 N/Hancock St/Blackberry Ln
185,38.094056,-88.541553,W Market St/S Marshall Ave
160,38.070697,-88.598814,/Co Rd 15
160,38.193175,-88.684708,/3rd St/William St
160,38.104081,-88.502457,/Co Rd 1350 N/1100E
160,38.098732,-88.531365,Red Bud Ln
160,38.198142,-88.689218,7th St/Main St
160,38.081164,-88.591172,State Rte 14
160,38.099327,-88.531327,Red Bud Ln
216,38.098509,-88.538054,N Pearl St/W Carpenter St
246,38.094053,-88.536569,W Market St/Market St/N Washington St/S Washington St
185,38.094734,-88.529600,N Hancock St
185,38.095297,-88.528132,E Jefferson St/N McClellan St
160,38.089576,-88.541067,W Randolph St/S Marshall Ave
185,38.089556,-88.534269,/E Randolph St
160,38.088860,-88.541185,S Marshall Ave/Early Dawn Ln
160,38.070825,-88.705481,Macedonia Rd/State Rte 14
216,38.092888,-88.535034,E Main St/S Jackson St
160,38.104119,-88.517373,Co Rd 1350 N
160,38.075039,-88.524882,Co Rd 1150 N
160,38.183612,-88.611609,Co Rd 20/Co Rd 9
185,38.094056,-88.541362,/W Market St
185,38.195276,-88.683911,Pr Rd/ Hcha
216,38.085938,-88.540664,Circle Dr/Meadow Hills Dr
160,38.092801,-88.541098,S Marshall Ave/W Main St
216,38.075509,-88.531786,Fairview Dr
276,38.093493,-88.536552,/S Washington St
216,38.208993,-88.703493,N Hamilton Ln
160,38.094142,-88.530835,N Mulberry St/S Mulberry St/E Market St
185,38.097468,-88.538882,W Walker St/N Park St
160,38.075385,-88.535413,State Rte 142
160,38.091702,-88.538063,S Pearl St/W Cherry St
185,38.091729,-88.529621,S Hancock St/E Cherry St
160,38.085576,-88.559059,Co Rd 1225 N/State Rte 14/Cabin Rd
160,38.075492,-88.529864,Hancock St
160,38.196119,-88.682238,Sturman St/1st St
160,37.931733,-88.463927,3rd St/Appel St
160,38.087386,-88.557377,State Rte 14
160,38.094131,-88.531491,/E Market St
185,38.092281,-88.538087,/S Pearl St
160,38.091731,-88.528191,E Cherry St/S McClellan St
160,38.196138,-88.684697,3rd St/Sturman St
160,38.198000,-88.596252,Co Rd 2000 N
185,38.094716,-88.533590,E Madison Ave/N Locust St
160,38.099118,-88.531325,Northbrook Dr/Red Bud Ln
185,38.087580,-88.529809,S Hancock St/E Olive St
276,38.090057,-88.533532,S Locust St/
216,38.092867,-88.538085,W Main St/S Pearl St
390,38.087596,-88.535826,/Olive St
160,38.091180,-88.534997,/S Jackson St
160,38.099629,-88.540161,Isabelle Pl/North Virginia St
160,38.098308,-88.528256,Thomas St/Oak St
160,38.089333,-88.548060,State Rte 14
160,38.099722,-88.621470,Co Rd 1325 N/Co Rd 450 E
160,38.088589,-88.533520,S Locust St/E Hull St
185,38.093453,-88.542590,Heard St
160,38.083731,-88.548185,Fairground Rd
216,38.090018,-88.542533,/Heard St
160,38.090591,-88.536542,E Saint Charles Ave/W St Charles Ave/S Washington St
305,38.095844,-88.529576,Monroe St/N Hancock St
160,37.980085,-88.484957,Co Rd 14/Co Rd 500 N/State Rte 142
216,38.093448,-88.541345,/S Marshall Ave
305,38.087594,-88.537305,W Olive St
160,38.095849,-88.530858,Monroe St/N Mulberry St
160,37.931727,-88.464955,/Appel St
160,37.906772,-88.522418,N County Rd
216,38.089556,-88.542520,Heard St/W Randolph St
160,38.197117,-88.683438,Whited St/2nd St
160,38.212168,-88.703471,N Hamilton Ln/County Line Rd
418,38.087591,-88.536530,W Olive St/Olive St/S Washington St
160,38.093498,-88.533576,S Locust St/
276,37.993277,-88.491485,/State Rte 142
160,38.098312,-88.529548,N Hancock St/Thomas St
160,38.086779,-88.534979,/S Jackson St
185,38.091194,-88.533539,S Locust St
185,38.093553,-88.529597,/S Hancock St
160,38.199087,-88.685087,Chestnut St/State Rte 142
160,38.241337,-88.538209,Co Rd 12/State Rte 242
185,38.090608,-88.535001,E Saint Charles Ave/S Jackson St
216,38.095247,-88.535813,Jefferson St
160,38.085933,-88.541255,S Marshall Ave/Circle Dr/Meadow Acres Dr
185,38.096206,-88.547172,/W Market St/State Rte 142
160,38.139404,-88.466354,Co Rd 1600 N
160,38.201875,-88.688359,6th St/Fir St
160,38.094113,-88.532468,E Market St
160,38.075038,-88.525652,Co Rd 1150 N
305,38.092907,-88.531235,E Main St
246,38.087573,-88.534993,Olive St/E Olive St/S Jackson St
185,38.096674,-88.547668,Golf Course Rd/State Rte 142
305,38.092913,-88.530817,S Mulberry St/E Main St
160,38.097910,-88.529538,/N Hancock St
160,38.094108,-88.534291,E Market St
160,38.091630,-88.543546,W Cherry St
216,38.093540,-88.530815,/S Mulberry St
160,38.085911,-88.542745,Meadow Acres Dr
160,38.093528,-88.528177,S McClellan St
185,38.096896,-88.525075,Broadway St 1300N/Broadway Exd/E Broadway St
160,38.116650,-88.484388,Co Rd 1435 N
160,38.096421,-88.532699,E Broadway St
160,38.089553,-88.526051,State Rte 14
160,38.092818,-88.543357,/W Main St
160,38.099421,-88.526295,Hickory St/Katherine St/Kath St
185,38.195161,-88.684696,Dale St/3rd St/3rd 150E
160,38.092244,-88.542557,Heard St
160,37.980485,-88.397634,Co Rd 1675 E/Co Rd 14
160,38.089333,-88.548019,W Randolph St/State Rte 14/Fairground Rd
160,37.994579,-88.491499,State Rte 142
160,38.089549,-88.524089,State Rte 14
185,38.098348,-88.525651,/Thomas St
160,38.125300,-88.656083,Co Rd 1500 N
185,38.090097,-88.529644,/S Hancock St
160,38.089564,-88.536545,E Randolph St/W Randolph St/S Washington St
160,37.942264,-88.463953,State Rte 142
160,38.087636,-88.557341,West St
160,38.099748,-88.536579,Isabelle Pl/N Washington St
160,38.199196,-88.684643,N 3rd St/3rd St
216,38.100328,-88.529525,N Hancock St//O Henry St
160,38.115664,-88.581721,State Rte 142
160,38.097218,-88.529562,N Hancock St/Foote St
160,38.199118,-88.683420,N 2nd St/Chestnut St
216,38.147792,-88.602802,Co Rd 550 E/State Rte 142
160,38.201624,-88.689257,7th St/State Rte 142
160,38.094054,-88.539522,W Market St/S Silas Ave
160,38.081707,-88.617220,Co Rd 475 E/State Rte 14
160,38.083827,-88.548180,Parkway Rd/Fairground Rd
216,38.093496,-88.535061,/S Jackson St
185,38.094145,-88.529593,N Hancock St/S Hancock St/E Market St
185,38.087600,-88.537630,W Olive St
160,38.075109,-88.530700,/Co Rd 1150 N
160,38.088602,-88.548048,Fairview Estates Dr/Fairground Rd
160,38.200071,-88.683403,Dogwood St/N 2nd St
160,37.915527,-88.503477,Double Bridge Rd
160,38.200081,-88.682145,Dogwood St/N 1st St
160,38.090627,-88.529633,S Hancock St/E Saint Charles Ave
185,38.088096,-88.529786,/S Hancock St
246,38.093817,-88.536556,N Washington St/S Washington St
185,38.098506,-88.536569,N Washington St/W Carpenter St
160,38.092864,-88.536566,E Main St/W Main St/S Washington St
160,38.096841,-88.538858,/N Park St
276,38.092903,-88.531460,E Main St
185,38.096465,-88.528123,N McClellan St/E Broadway St
185,38.096431,-88.530668,E Broadway St
160,38.089546,-88.515363,John Stelle Rd
160,38.100845,-88.540155,Moore St/North Virginia St
160,38.082277,-88.495706,Coal Mine Rd/State Rte 14
185,38.098517,-88.538828,Park St/N Park St/W Carpenter St
160,38.086586,-88.538013,W Pine St/S Pearl St
160,37.906843,-88.522790,/Jay Bird Rd
160,38.099123,-88.529527,Northbrook Dr/N Hancock St
246,38.094672,-88.536579,N Washington St
216,38.147918,-88.602745,Co Rd 550 E
160,38.198835,-88.684663,3rd St/State Rte 142
160,38.089798,-88.553909,/Felicia Ave
160,38.089569,-88.539551,W Randolph St/South Virginia Ave
160,38.087602,-88.533936,/E Olive St
160,38.212421,-88.703478,N Hamilton Ln
160,38.152197,-88.655618,/Co Rd 1725 N
160,38.132826,-88.593713,Co Rd 1550 N/State Rte 142
160,38.087456,-88.557312,West St/State Rte 14
160,38.097978,-88.549128,State Rte 142
160,38.085903,-88.542827,Alan Dr/Meadow Acres Dr
246,38.095285,-88.529585,N Hancock St/E Jefferson St
160,38.097235,-88.525058,Broadway Exd/Foote St
