Estimated daily crossings,Latitude,Longitude,Name
362,41.749405,-88.312955,Kingsbury Ave
160,41.755325,-88.274242,Parkside Ave/Grandview Dr
305,42.052300,-88.331459,Royal Blvd/Cheyenne Ln
160,41.995149,-88.283780,N East Ave/Mill St
216,41.822422,-88.338249,Child's Dream St
362,41.739267,-88.312744,5th St/Binder St
390,41.763752,-88.356877,W Galena Blvd/Central Ave
499,41.776145,-88.354930,S Hampton Ct/S Hampton Dr
216,42.095645,-88.533816,Prairie St/Terwilliger Ave
276,41.919778,-88.343452,Dean St
605,42.037725,-88.298301,Highland Ave
276,41.900530,-88.470710,Center Ave/Prairie Valley St
160,42.092642,-88.289788,Market Loop Rd/Roundabout Ct
185,42.044553,-88.297327,Clair St/McClure Ave
499,41.851180,-88.310569,Houston St/N Water St
160,41.917582,-88.364138,Lynn Dr/Renaux Blvd
160,41.910481,-88.601349,County Line Rd
160,42.058637,-88.392102,Lansmere Ave
216,42.124634,-88.256217,Ash St/Meadowdale School
710,42.067118,-88.290776,I- 90
605,41.767009,-88.325586,Plum St/N View St
185,41.912119,-88.294020,Adams Ave
246,42.029522,-88.302342,Erie St/S Worth Ave
246,41.825428,-88.298793,Hart Rd
185,42.025319,-88.365027,Fountain Ave
362,41.723941,-88.349438,US Hwy 30
418,41.731279,-88.301565,Montgomery Rd
185,41.988082,-88.371859,Sunvale Dr/Sunvale Ct
185,41.908093,-88.410279,S Elodie Dr/N Elodie Dr
216,42.117751,-88.433998,52/State Rte 47
160,41.815811,-88.289361,S Raddant Rd/Marmion Academy Dr
334,42.109030,-88.368057,Jackson Ct
499,42.031936,-88.267974,Barrett St/S Liberty St
334,42.037243,-88.327689,Lin Lor Ln/N Airlite St
185,42.025399,-88.368408,Weymouth Ave
160,41.905544,-88.447781,State Rte 38
160,41.809508,-88.275032,Beverly Ct
276,41.765210,-88.411488,Settlers Blvd/Cornell Cir
160,41.757457,-88.489052,Dugan Rd/Fays Ln
445,41.777601,-88.345324,Cottonwood Dr
334,41.765493,-88.302070,High St
246,41.770304,-88.274418,Mc Clure Rd
499,41.759536,-88.275787,/Coolidge Ave
658,41.763895,-88.359202,S Edgelawn Dr/W Galena Blvd/N Edgelawn Dr
305,41.887844,-88.287585,E State St
334,41.756730,-88.293813,Kane St/N Smith St
305,41.827539,-88.295189,Barkei Dr
216,41.920508,-88.403040,Edna St Vincent Millay St/Vachel Lindsay St
