Estimated daily crossings,Latitude,Longitude,Name
246,40.444968,-89.033630,Indigo Run
160,40.312246,-88.933100,E 200 North Rd
160,40.492594,-88.910848,/Hummingbird Way
1071,40.518495,-88.952733,I- 55 Bus
160,40.500200,-88.931784,Tatiana Ct
160,40.470780,-88.933525,Tees Ct/Cheshire Dr
185,40.406329,-88.914776,/Givens Rd
160,40.547061,-88.983102,N 1500 East Rd/N Linden St
472,40.495349,-89.019614,Edvardinsh Way
216,40.561278,-89.004001,/W Ziebarth Rd
160,40.643465,-88.780953,N Center St/W North St/E North St
390,40.322449,-88.739041,I- 74
160,40.499225,-88.974695,Lateer Dr/Jersey Ave
185,40.452527,-89.001491,Hidden Lake Dr/Hidden Lake Ct
160,40.505147,-89.029810,White Oak Rd
160,40.347058,-88.765987,W Center St
334,40.502443,-89.004647,W Hovey Ave
160,40.426952,-88.522952,E Harrison St
305,40.478588,-88.999540,N Mason St/W Front St/S Mason St
216,40.516958,-88.921958,Bent Ct
160,40.447615,-89.023181,Beich Rd
305,40.531803,-89.015349,Community College Dr/W Rabb Rd
305,40.478632,-88.952213,Eldorado Rd/Stern Dr
216,40.493296,-88.933041,Arrowhead Dr/Newcastle Dr
160,40.449186,-89.014821,Greenwood Ave
185,40.440597,-89.031431,Westbrook Dr/Winding Way
305,40.429645,-88.977862,Old Colonial Rd
185,40.316110,-89.174999,Spencer St/N West St
276,40.568184,-88.904784,/Co Rd 1950 N
160,40.399810,-88.868271,US Hwy 150/E Dooley Ave
445,40.347213,-88.754904,E Center St/N Lynn St
160,40.458350,-88.910383,E 1200 North Rd
185,40.471272,-88.998830,S Mason St/W Wood St
305,40.490806,-88.932954,Dutchess Dr/Newcastle Dr
276,40.492453,-88.923968,Cornelius Dr/Carlene Dr/Airport Rd
160,40.345318,-88.762270,W Cedar St
305,40.499476,-88.912561,Wine Way
305,40.532476,-88.975824,Wildberry Dr/Sunrise Pt
160,40.465553,-88.940133,Kensington Cir/Dover Rd
305,40.472039,-89.030398,I- 55
305,40.485516,-89.025663,I- 55 Frontage Rd
1589,40.510448,-88.980006,S Walnut St/E College Ave
216,40.453549,-88.934385,Squall Way
362,40.449936,-88.984258,26th St/28th St
185,40.740409,-88.737811,/I- 55
305,40.458509,-88.992800,/S Main St
246,40.560291,-89.110339,I- 74
160,40.315252,-89.165906,Old Rte 66/N Stewart Rd
185,40.443463,-88.901644,N 1900 East Rd/Cheneys Grove Rd
160,40.565127,-88.896094,E Washington St/East St
160,40.414033,-88.890169,Abbey Way
4728,40.502668,-88.994596,W Beaufort St/S Main St/W Hovey Ave
246,40.315295,-88.968822,Park Ct/E Newton St
216,40.461390,-88.883851,Kerryhall Ct
305,40.595782,-88.990572,S McLean St
1123,40.474501,-88.993392,S Main St
334,40.534599,-88.974761,Arbovital Ct
160,40.568013,-88.892651,Jackson St/N 1960 East Rd
246,40.635072,-88.779450,Melissa Dr
216,40.313131,-88.976217,S Newell St/E Cole St
216,40.507742,-89.005124,Margaret Ave/Bryan St
185,40.451333,-88.981201,W Hamilton Rd/Rhodes Ln
305,40.720578,-88.737813,I- 55
160,40.646320,-89.004572,I- 39
246,40.475355,-88.970810,E Jackson St/Florence Ave
160,40.476293,-88.945659,Hall Ct/Country Ln
160,40.315339,-89.165909,E Wood Dr/N Stewart Rd
276,40.501587,-89.019830,Brook Dr/Rinney Dr
362,40.429594,-89.035289,I- 55
499,40.485583,-89.023683,Short St/Marshall Ln
185,40.516854,-88.979043,N Maple St/E Sycamore St
185,40.348077,-88.759355,E Cherry St/N East St
1381,40.482390,-88.992780,N East St/E Market St
246,40.744806,-88.717776,E Main St/S 1st Ave
160,40.505273,-89.029934,Maple Hill Rd/White Oak Rd
891,40.484133,-88.942271,Chancellor Dr
160,40.541498,-88.964593,Turtle Creek CC Ct
276,40.494589,-88.959630,Garfield Dr/Northway Ln
160,40.317079,-89.175016,W Charles St/N West St/Charles St
160,40.527756,-89.171772,E Main St/S State St
246,40.502660,-88.951368,Auto Row Dr/Constitution Trl/General Electric Rd
160,40.463413,-88.985240,E Lafayette St/Easy St
185,40.563218,-88.896027,E Adams St/East St
305,40.538734,-88.995733,I- 55
579,40.582175,-89.136696,S Lincoln St/W Washington St/Lincoln St N
246,40.344355,-88.767599,W Vine St/S Allen St
246,40.466498,-88.923526,White Eagle Dr
305,40.484314,-89.005450,W Locust St
185,40.430574,-89.217784,N 250 East Rd/S Division St
305,40.496157,-88.940866,Hershey Rd/Clearwater Ave
160,40.553938,-89.250282,Tomahawk Trl/Kickapoo Dr
216,40.538706,-88.963349,N Towanda Ave
246,40.499394,-88.924118,Airport Rd
305,40.434430,-89.031842,Daffodil Dr/Iris Way
305,40.497587,-88.929433,Espey Dr/Swarthmore Dr
499,40.492232,-88.997958,N Lee St/W Seminary Ave
185,40.472676,-89.014940,Stockholme St/Humanity Ln
246,40.476575,-89.009991,W Olive St/S Lumber St
160,40.500828,-89.025545,White Oak Rd
246,40.479160,-89.016693,W Washington St
552,40.641555,-88.782118,N Pine St/S Pine St/W Main St
185,40.462574,-88.964486,Herbert St/Sidney St
1407,40.498075,-88.993797,West Virginia Ave
160,40.486837,-88.804519,/E 1400 North Rd
246,40.570058,-88.903414,Co Hwy 29
160,40.451996,-89.009995,Butter Cup Way/Clover Ct
2247,40.510390,-88.984669,W College Ave
7165,40.504416,-88.994672,Osage St/S Main St
160,40.741223,-88.745956,E Gridley Rd
160,40.742754,-88.711616,Lincoln St/S 5th Ave
185,40.397280,-88.872435,N Seminary St/E Grove St
160,40.465883,-88.969966,Conley Cir/Meadowbrook Dr
305,40.400095,-89.058601,N 1075 East Rd
276,40.546633,-88.925759,Old Rte 66/Old US Rte 66
160,40.474141,-89.009923,S Livingston St/W Mill St
185,40.580295,-88.888567,N 1960 East Rd
216,40.450850,-89.014359,Springfield Rd/Beich Rd
216,40.498023,-89.014309,Martin Luther King Dr/Park Place Dr
362,40.463474,-88.924080,Brownstone Ct/Spahn Ln
160,40.741725,-88.706328,E 3100 North Rd
160,40.315232,-89.165905,Old Rte 66/S Stewart Rd/Morgan St
185,40.472764,-89.000937,Summit St/W Macarthur Ave
185,40.563921,-88.609514,East Ave
334,40.484355,-89.003370,N Catherine St/W Locust St
246,40.441723,-89.033320,Westbrook Dr/Everett Ct
160,40.591399,-89.043352,N 1200 East Rd/E 2100 North Rd
305,40.400063,-89.059596,I- 55
160,40.655199,-88.858598,2140 E/Hidden Valley Loop
185,40.472634,-88.967692,Castle Ave/S Vale St
185,40.458082,-88.998628,Nina Dr
526,40.503016,-88.985541,Broadway St
160,40.468430,-88.991083,S Wright St/E Buchanan St
276,40.505025,-88.973541,E Vernon Ave/Grandview Dr
185,40.473524,-88.933369,Zelda Ln/E Oakland Ave
1020,40.473588,-88.952624,I- 55 Bus/E Oakland Ave
185,40.525022,-88.967874,Henry St/Shelbourne Dr
185,40.460574,-88.981595,/S Bunn St
216,40.531134,-88.932616,N Pointe Dr/Bear Claw St
246,40.474972,-89.006466,W Jackson St/S Morris Ave
185,40.494142,-88.999125,N Oak St/W Kelsey St
160,40.741492,-88.884758,McLean St
472,40.352618,-88.757071,E Warren St/N Mill St
185,40.474546,-89.016291,Iowa St/Euclid Ave
160,40.519546,-88.971357,Chippewa St/Redman St
185,40.421470,-88.961062,Huntington Dr/N 1600 East Rd
160,40.526817,-89.173998,S Chatham St/E Pearl St
160,40.466299,-89.031160,I- 55/W Oakland Ave
160,40.324565,-88.767165,Blue Jay Dr/Pheasant Ln/Dove Ave
185,40.341219,-88.766717,S Buck Rd/Sunset Dr
160,40.522643,-88.908123,Kristin Dr
710,40.515924,-88.991533,Bowles St/Normal Ave
526,40.525265,-88.963039,N Towanda Ave
362,40.579140,-88.891029,/Lincoln St
160,40.743921,-88.707914,/Warren St
185,40.484124,-88.977720,Woodruff Dr/N Colton Ave
185,40.530729,-88.919236,Silver Oak Cir
334,40.449638,-89.022967,Beich Rd/I- 74
605,40.502014,-89.007399,Richland Ave
216,40.531960,-88.966146,E Raab Rd
160,40.490853,-89.036816,Wylie Dr/Valley View Dr
1693,40.509829,-89.000779,W College Ave
276,40.490917,-89.007299,W Forrest St/N Morris Ave/Forrest St
185,40.493844,-89.035464,Wylie Dr
552,40.512187,-88.978932,Maple St
160,40.437951,-88.526507,N 3850 East Rd
185,40.441596,-88.990957,S Main St/Brigham Rd
334,40.511523,-88.965306,Parking Lot Rd
185,40.455722,-89.017049,Spiria Ct
362,40.510317,-88.919858,Spaulding Rd/Burgundy Ct
185,40.344442,-88.761684,W Vine St/E Vine St/S Main St
160,40.430944,-88.525629,E Oak St/N Washington St
160,40.543214,-88.980251,Foxwood Country Club Run/Northridge Estate CC Ct
1641,40.534812,-89.015439,Vermilion Way/Community College Dr
246,40.460508,-88.977539,Gilmore Dr
499,40.466405,-88.954865,I- 55 Bus/E Lincoln St
334,40.470992,-89.010826,Barker St/W Wood St
216,40.507080,-88.901866,Yukon Cir/Escalade Rd
472,40.346171,-88.764253,W Pine St
276,40.493690,-89.008686,N Western Ave
185,40.402481,-88.875285,/US Hwy 150
445,40.480235,-88.982248,N Robinson St
418,40.472845,-88.957356,Parking Lot Rd/Maysel St
305,40.312761,-89.166048,South St
216,40.482742,-89.011501,W Market St/N Hinshaw Ave
1097,40.489130,-88.988749,E Graham St/N Mc Lean St
160,40.472683,-89.009879,S Livingston St/W Macarthur Ave
390,40.458528,-88.985408,Oak Valley Ct
362,40.525494,-88.974262,Approach Rd/Biltmore Ct
3925,40.513856,-88.993372,N University St/W Willow St
736,40.509143,-88.960619,S Towanda Ave
305,40.487184,-89.023475,Marshall Ln
216,40.492718,-89.082410,Cloverhill Cir/Four Leaf Ln
362,40.509802,-89.005373,Keiser Ave/W College Ave
160,40.406859,-88.894937,Trade Wind Dr/Prairie Trl
185,40.514108,-88.928137,Blarney Stone Ln/Stonehurst Dr
246,40.535238,-88.946898,Paperchase St
160,40.459805,-89.010784,Longden Ave/Welling St
334,40.458608,-88.977016,Finance Dr/Currency Dr
160,40.569190,-88.622424,W Cooper St/Winget Dr
246,40.465584,-88.922007,Astoria Way
552,40.488392,-88.945368,Gettysburg Dr/E Empire St
160,40.459126,-88.927676,Ireland Grove Rd
246,40.490757,-88.912084,Hawk Way/Blue Heron Way
605,40.479987,-88.953828,E Washington St/
185,40.444390,-89.013346,Lutz Rd
185,40.458472,-89.015847,Woodhavens Dr
334,40.532315,-88.981289,Wildberry Dr
246,40.516968,-88.923877,Bent Ct
246,40.447887,-89.021297,I- 74
9297,40.510094,-88.982416,S Linden St/E Beaufort St
160,40.458693,-88.942632,N 1200 East Rd/Ireland Grove Rd
418,40.463125,-88.993402,W Lafayette St
216,40.455732,-88.985881,Ave C/8th St
160,40.605698,-88.999384,I- 39
276,40.514750,-88.918522,Mowery Dr/Baer Rd
185,40.400066,-88.899587,I- 74
246,40.566609,-88.614483,/Brook St
1329,40.499579,-88.998863,Market St/Samantha St
276,40.491187,-89.045264,Interstate Dr
160,40.474964,-89.007511,S Western Ave/W Jackson St
246,40.567920,-88.905139,I- 55
305,40.451236,-89.034687,Fox Creek Rd
445,40.487963,-88.961084,Fairway Dr/State Highway 9 Frontage Rd
160,40.488026,-88.891446,E 1400 North Rd
362,40.487187,-88.938238,Eastport Ct/Airline Dr
185,40.502010,-88.972122,Sheridan Rd/Donna Dr
160,40.505525,-89.005053,Margaret Ave/Ruston Ave
185,40.481676,-88.963219,Country Club Pl
160,40.455917,-88.981452,S Bunn St
185,40.494620,-88.977268,Paul Ct/Ethel Pkwy
334,40.512269,-88.924415,/Airport Rd
216,40.441682,-89.022240,I- 55
216,40.521513,-88.988647,Crestwood Ct
185,40.443793,-89.016776,I- 55 Bus
362,40.509579,-89.031492,W College Ave
305,40.514892,-88.934152,Lake Shore Cir/Northpointe Dr
305,40.484875,-89.028661,/W Market St/I- 55
305,40.566991,-88.616176,N Center St/E Main St/W Main St
160,40.513790,-88.960731,N Towanda Ave/Chadwick Dr
160,40.282027,-88.684235,Old Principal Rd
305,40.534991,-88.943637,Old US Rte 66
185,40.478636,-89.016077,Euclid Ave
246,40.458732,-89.027783,Six Points Rd
246,40.465536,-88.976955,Redwood Ave/S Maple St
334,40.502609,-88.916282,Crimson Ln/General Electric Rd
736,40.488268,-88.945363,Gettysburg Dr/E Empire St
2141,40.501847,-88.994561,S Main St
160,40.451348,-89.030886,Fox Creek Rd
276,40.472661,-89.006423,S Morris Ave/W Macarthur Ave
305,40.485566,-89.024672,Short St/Brad St
276,40.697444,-88.752012,E 2800 North Rd
185,40.406115,-88.914308,Givens Rd
216,40.512724,-88.957503,Camden Ct/Hunt Dr
334,40.475154,-88.998679,S Oak St/W Jackson St
1563,40.491896,-88.994130,E Beecher St/N Main St
185,40.469743,-89.012846,W Miller St/Pancake St
160,40.575387,-88.902344,Towanda Overpass Rd
305,40.311974,-88.975784,E Cleveland St
160,40.746619,-88.900362,E 3150 North Rd
246,40.454936,-88.995317,Tracy Dr
334,40.480187,-89.006582,N Morris Ave/W Jefferson St
631,40.488719,-89.028027,I- 55 Frontage Rd
658,40.477081,-88.989965,S Gridley St/E Olive St
160,40.507430,-88.901873,Escalade Rd
216,40.395317,-88.881135,W Main St
246,40.483723,-88.988668,E Mulberry St/N Mc Lean St
658,40.533866,-88.988503,Parking Lot Rd
185,40.566898,-88.610978,E Main St
160,40.449936,-89.025600,Fox Creek Rd
9037,40.508408,-88.993154,S University St/Dry Grove St
362,40.471086,-88.971472,S Kreitzer Ave/E Cloud St
160,40.487615,-89.064219,E 1400 North Rd
418,40.507892,-88.960253,S Towanda Ave/Watkins Dr
334,40.517773,-88.943644,1700 E
7728,40.509154,-88.984328,W Beaufort St/E Beaufort St
276,40.477422,-88.935217,S Evergreen Ln/Hunter Dr
499,40.466402,-88.954819,E Lincoln St
390,40.322464,-88.739502,I- 74
362,40.595839,-88.990576,S McLean St/Kendahl Ct
160,40.322135,-88.989297,/US Hwy 51
445,40.489219,-88.984881,N Clinton Blvd/E Graham St
160,40.470282,-88.927547,Mallard Ct
160,40.741178,-88.881199,N Center St
216,40.531169,-89.021573,N Parkside Rd
160,40.546051,-88.873418,E 1800 North Rd
445,40.523908,-88.987401,W Shelbourne Dr/Larry Ct
160,40.646600,-88.814388,Freed Dr/Killian Dr
1956,40.511337,-88.981261,N Oak St/E Mulberry St
160,40.748418,-88.878262,E 8th St/Everett Dr
1174,40.502583,-88.977643,Constitution Trl
216,40.348988,-88.757011,E Oak St/N Mill St
276,40.531707,-88.981997,E Raab Rd
