Estimated daily crossings,Latitude,Longitude,Name
276,37.127028,-88.627220,Miles Cir
185,37.163703,-88.733868,Vista Ln/Hillcrest St
160,37.146676,-88.730108,Catherine St
276,37.161956,-88.736121,/W 19th St
185,37.232719,-88.710981,Old Marion Rd
160,37.248298,-88.673986,Illinois 145 Rd
216,37.254102,-88.723562,I- 24
499,37.165320,-88.682453,/I- 24
185,37.308489,-88.674350,Illinois 145 Rd
334,37.164935,-88.732820,Greenview Ave
305,37.123661,-88.626699,George St/E 3rd St
246,37.154139,-88.720824,Walter Dr/Butler St/E 12th St
185,37.157384,-88.719387,/Quail Dr
160,37.213640,-88.676396,Midway Rd/Illinois 145 Rd
246,37.154773,-88.716009,E 12th St/Barger Dr
185,37.163575,-88.738271,Spence St/Mary St
605,37.162799,-88.686033,Horntrop Ln
185,37.174542,-88.735237,Spruce Dr/Cedar Ln
246,37.161103,-88.737784,W 10th St/Simmons St
246,37.146584,-88.719435,E 6th St/Main St
160,37.186432,-88.729136,North Ave
185,37.161372,-88.677826,US Hwy 45
160,37.183684,-88.685882,Hillebrand Ln
276,37.168756,-88.733816,Dorris Dr/Hillcrest Ave
185,37.156137,-88.721278,E 13th St
216,37.146878,-88.731712,Girard St/E 2nd St
160,37.291356,-88.892258,Karnak Rd/Old Boaz Rd
160,37.162771,-88.727816,W 20th St/Market St
160,37.165020,-88.735862,Lindsey Ave
160,37.161862,-88.719060,E 19th St/Butler St
185,37.158151,-88.724292,E 15th St/
216,37.152596,-88.725030,E 9th St/Catherine St
710,37.151721,-88.733087,W 5th St
216,37.145049,-88.722961,Scott St/E 3rd St
160,37.159434,-88.692541,Woodhaven Dr
246,37.147360,-88.726021,Null/Filmore St
390,37.165289,-88.739449,Hospital Dr
216,37.154363,-88.723508,Catherine St/E 11th St
362,37.157153,-88.724869,Metropolis St/E 14th St
160,37.159575,-88.572559,/Unity School Rd
160,37.171576,-88.728676,Hilanoa
160,37.218053,-88.801321,/Jonesboro Rd
216,37.160832,-88.702864,Co Rd 600 N
160,37.125391,-88.635362,Short St
160,37.191316,-88.720044,Country Club Rd/Old Marion Rd
160,37.242484,-88.673962,Illinois 145 Rd
246,37.320651,-88.761250,I- 24
160,37.188851,-88.747039,Airport Rd
185,37.160814,-88.729333,North Ave/W 18th St
216,37.161958,-88.732514,W 19th St/Gibbons St
185,37.155027,-88.724716,Girard St/E 11th St
185,37.148626,-88.718316,Rushing Dr/E 8th St
185,37.205874,-88.831615,Long Rd/Joppa Rd
160,37.187156,-88.746909,Shady Oaks Ln
185,37.149497,-88.724204,E 7th St/Filmore St
216,37.251839,-88.721100,I- 24
276,37.146220,-88.725263,Butler St
160,37.161959,-88.736603,W 19th St
334,37.162397,-88.738265,Spence St/Glenn
605,37.146166,-88.735750,Ferry St
160,37.245087,-88.821306,US Hwy 45
185,37.258444,-88.674309,Kommer Rd/Illinois 145 Rd
362,37.151987,-88.731121,Ferry St/W 6th St/E 6th St
160,37.168093,-88.690279,Devers Rd
216,37.147434,-88.712211,/7th St
276,37.161660,-88.702237,Marys Ln/US Hwy 45
305,37.149921,-88.734687,W 3rd St/Market St
305,37.161638,-88.688342,US Hwy 45
605,37.151078,-88.731865,W 5th St/Ferry St/E 5th St
276,37.151050,-88.724600,E 8th St/Ophia St
160,37.230812,-88.676290,Illinois 145 Rd
185,37.242120,-88.715769,I- 24
160,37.129012,-88.631152,W 8th St
185,37.329140,-88.771592,I- 24
390,37.161577,-88.738306,W 9th St/W 10th St
185,37.168029,-88.682786,I- 24
305,37.172072,-88.682389,I- 24
276,37.160532,-88.721263,Catherine St/E 18th St
185,37.125056,-88.627821,Ohio St/Paducah-Brookport Rd
160,37.235965,-88.657861,Bachelor Rd/Orchard Rd
160,37.150987,-88.736631,W 3rd St/Austin St
160,37.251746,-88.827107,/US Hwy 45
246,37.161462,-88.686111,US Hwy 45
246,37.154763,-88.720894,Walter Dr/E 12th St/Coburn St
216,37.153079,-88.728280,E 8th St/Metropolis St
362,37.161179,-88.738442,W 9th St
160,37.191467,-88.705816,Country Club Rd
216,37.149908,-88.720314,Oak St
185,37.168133,-88.682430,I- 24
160,37.171967,-88.742894,Joshua Dr
216,37.173888,-88.683351,Industrial Park Dr/E Park Rd
305,37.150806,-88.726562,Catherine St/E 7th St
160,37.327585,-88.768029,Rice Hill Rd
305,37.161559,-88.685075,US Hwy 45
185,37.154737,-88.710950,E 12th St/US Hwy 45
185,37.308459,-88.674351,Kraper Rd/Illinois 145 Rd
216,37.157974,-88.727790,Market St/W 12th St
160,37.157940,-88.717286,Eagle Ln
276,37.169859,-88.739997,Brian Dr
216,37.156968,-88.708175,US Hwy 45
334,37.145434,-88.721389,Null/Oak St
216,37.170632,-88.739762,Joann Dr
160,37.164063,-88.686019,Horntrop Ln
362,37.143434,-88.683584,/I- 24
160,37.168966,-88.737843,Adkins St
305,37.160825,-88.730450,McCrary St/W 18th St
160,37.169349,-88.741350,Brian Dr
160,37.190868,-88.676530,Country Club Rd/Illinois 145 Rd/Powers Church Rd
216,37.155435,-88.724358,Girard St
160,37.203191,-88.729153,North Ave
276,37.300923,-88.753051,I- 24/Big Bay Rd
160,37.158139,-88.723701,E 15th St/Girard St
185,37.169886,-88.724689,Lois Ln/Metropolis St
160,37.331221,-88.775790,Walnut Ridge Rd
246,37.124645,-88.626614,E 4th St/George St
160,37.175946,-88.735192,Spruce Dr/White Pine Ln
276,37.224350,-88.704910,I- 24/
160,37.235911,-88.867066,Grand Chain Rd/Green Acres Rd
185,37.159142,-88.729354,North Ave/W 16th St
418,37.152938,-88.712399,Fairgrounds Rd
160,37.190788,-88.676528,Illinois 145 Rd
185,37.161914,-88.703444,Marys Ln/Co Rd 600 N
276,37.160797,-88.721114,Catherine St
160,37.124865,-88.621468,Pell Rd/E 5th St
185,37.161727,-88.692557,US Hwy 45/Woodhaven Dr
185,37.275428,-88.744276,I- 24
160,37.249965,-88.712125,Kommer Rd/Rosebud Rd/Old Marion Rd
276,37.161962,-88.734607,W 19th St/Speckman St
160,37.207955,-88.842177,Pearl St/Lincoln St
276,37.166897,-88.739623,Chick St/Shroud St
160,37.126891,-88.624610,E 7th St/Plyant St
246,37.149911,-88.727334,E 6th St/Catherine St
185,37.188567,-88.720033,Pinewood Ln/Old Marion Rd
160,37.207281,-88.843329,Washington St/Lewis St
185,37.178900,-88.736287,Redwood Ln/Juniper Dr
276,37.161970,-88.737730,W 19th St/Simmons St
246,37.143955,-88.723278,Scott St/E 2nd St
160,37.198469,-88.783253,US Hwy 45/N US 45 Rd/Rocky Branch Rd
160,37.153378,-88.737320,/Vienna St
160,37.290391,-88.917416,Karnak Rd
418,37.297680,-88.752302,I- 24
246,37.300768,-88.753380,I- 24/Big Bay Rd
160,37.198603,-88.783481,/US Hwy 45/Rocky Branch Rd
276,37.252993,-88.722544,I- 24
390,37.155138,-88.732036,Pearl St/W 8th St
216,37.151932,-88.723835,E 9th St/Ophia St
185,37.201908,-88.816615,Joppa Rd
160,37.183804,-88.727937,Korte Rd
499,37.145642,-88.716605,Williams St/Yasoda St
552,37.149119,-88.716620,E 8th St
390,37.156035,-88.731272,Pearl St/W 9th St
246,37.173969,-88.682725,I- 24
160,37.123409,-88.621483,Pell Rd/E 3rd St
160,37.204226,-88.729154,North Ave
160,37.164551,-88.742304,James Dr/W 10th St
185,37.163588,-88.737219,Sterling St/Mary St
185,37.304798,-88.754377,/I- 24
216,37.175517,-88.747349,Howard/Airport Rd
185,37.126957,-88.627685,Ohio St/E 7th St
160,37.157121,-88.728504,W 11th St/Market St
185,37.124027,-88.621460,Pell Rd
216,37.122132,-88.628053,Ohio St/Front St
160,37.124986,-88.634008,W 5th St/W 4th St/Margrave St
185,37.162844,-88.737733,Alice St/Simmons St
334,37.162060,-88.687981,Lindell May Ln
160,37.198535,-88.783482,Liberty Ridge/Rocky Branch Rd
160,37.159418,-88.692512,Woodhaven Dr
160,37.177128,-88.734415,Magnolia Ln
160,37.203545,-88.846311,Pope St/Main St
160,37.159402,-88.730368,Broadway St/W 12th St
185,37.162768,-88.728814,/W 20th St
943,37.152320,-88.732627,Market St/Superman Sq
246,37.160115,-88.720146,E 17th St/Filmore St
185,37.327195,-88.768827,I- 24/Rice Hill Rd
160,37.185648,-88.702028,Meadowview/Summerfield Ln
160,37.160135,-88.724796,E 17th St/Metropolis St
216,37.146671,-88.719945,E 6th St
160,37.217461,-88.830652,Joppa Bypass Rd
185,37.166568,-88.724737,Crestview Dr/Metropolis St
246,37.154779,-88.720246,E 12th St/Filmore St
