Estimated daily crossings,Latitude,Longitude,Name
185,40.905296,-90.627252,Fairway Ct
305,40.907565,-90.647149,E 4th Ave/S 1st St
185,40.908560,-90.637584,S 8th St
216,40.855823,-90.613287,/90 St
305,40.732423,-90.670539,N Meadow St/S Meadow St/W Penn Ave
185,40.729752,-90.664171,W Broadway St/S Main St/E Broadway St
160,40.912211,-90.658159,N H St/S H St/W Broadway
246,40.902829,-90.641209,E 8th Ave/S 6th St
160,40.906271,-90.639328,/E 5th Ave
160,41.000910,-90.643178,/Lake Warren Dr
160,40.935297,-90.627415,210th Ave/80 St/210 Ave
160,40.892064,-90.655462,180 Ave
160,40.921193,-90.544713,US Hwy 34
788,40.917157,-90.641972,N 5th St/E Euclid Ave
160,40.871771,-90.751599,E Apple St/N Kirk St/W Apple St
472,40.916209,-90.648135,W Detroit Ave/E Detroit Ave/N Main St
305,40.901726,-90.648527,E 9th Ave/S Main St/W 9th Ave
185,40.733286,-90.664043,E Walnut St/N Main St
185,40.921713,-90.469570,US Hwy 34/165 St
185,40.919599,-90.653254,N D St/W Girard Ave
160,41.044831,-90.628226,US Hwy 67/285 Ave
334,40.912276,-90.662577,W Broadway
160,40.731088,-90.587477,105 St/State Rte 116
305,40.907634,-90.627760,3rd Ave/Lincoln Ct
579,40.914022,-90.646237,/E Boston Ave
216,40.907793,-90.660533,S Sunny Ln/W 4th Ave
1459,40.924502,-90.647978,N Main St
185,40.914706,-90.704865,State Rte 164
185,40.909625,-90.627793,S 13th St/E 2nd Ave
216,40.919160,-90.659063,N I St
160,40.923689,-90.617938,US Hwy 34
216,40.921494,-90.661958,US Hwy 34
334,40.915098,-90.646909,N 1st St/E Clinton Ave
684,40.905268,-90.651072,W 6th Ave/S B St
160,40.898182,-90.655059,S E St/12 St
276,40.900520,-90.653756,S D St/W 10th Ave
160,40.907713,-90.655972,W 4th Ave
943,40.925537,-90.647967,US Hwy 34/US Hwy 67/N Main St
246,40.888105,-90.513960,Church St/Care St
605,40.915041,-90.644052,N 3rd St/E Clinton Ave
160,41.011045,-90.747746,N Cedar St/W Main St
246,40.849941,-90.749459,20 St/US Hwy 34
185,40.923264,-90.647059,E Jackson Ave
276,41.062655,-90.554983,E Broadway Ave
160,40.905188,-90.638822,E 6th Ave/S 7th St
445,40.916051,-90.630596,200th Ave
185,40.904580,-90.628212,Fairway Dr
216,40.918494,-90.652009,N C St/W Franklin Ave
305,40.985424,-90.602712,94 St/245 Ave
710,40.925104,-90.640890,US Hwy 34
788,40.904893,-90.652391,W 6th Ave/S C St
185,40.904226,-90.633832,/S 10th St
305,40.919270,-90.633409,N 10th St/E Girard Ave
362,40.911405,-90.642146,/S 5th St
160,40.936574,-90.593641,210 Ave/100 St/State Rte 164
160,40.871754,-90.749218,Apple St/E Apple St/N Harding St
216,40.920821,-90.656657,N G St
3197,40.914727,-90.638571,N 7th St/E Clinton Ave
160,40.798718,-90.539527,120th Ave/129 St
