Estimated daily crossings,Latitude,Longitude,Name
418,38.378745,-88.374377,SW 11th St/W Delaware St
185,38.361292,-88.368964,SW 7th St/Co Rd 725N
160,38.374337,-88.299257,Co Rd 810N
185,38.267399,-88.636204,I- 64
445,38.379629,-88.363619,SW 3rd St/W Main St
185,38.375834,-88.354791,/SE 6th St
185,38.419539,-88.258472,/Co Rd 2400E
185,38.379216,-88.335965,/State Rte 15
160,38.338160,-88.639610,Vine St/Washington St
160,38.369818,-88.365278,Broadway Ave
160,38.260658,-88.261013,I- 64/Co Rd 2400E
185,38.379600,-88.353741,NE 7th St/SE 7th St
160,38.342141,-88.611949,State Rte 15
246,38.375231,-88.361987,SW 2nd St/W King St
216,38.382917,-88.367778,/W Elm St
185,38.375251,-88.367021,SW 6th St/W King St
160,38.337809,-88.639613,Vine St
185,38.378966,-88.392598,Williamson Dr
160,38.393668,-88.274507,Co Rd 950N
160,38.285000,-88.241824,Co Rd 200N/Co Rd 2500E
160,38.346301,-88.590035,W Robinson Ave/N Mounds St
160,38.337735,-88.639633,Vine St/Jefferson St
160,38.370324,-88.362293,SW 2nd St
160,38.346967,-88.593857,Valley St/W Washington St
160,38.373032,-88.359907,S 1st St
216,38.271641,-88.699983,I- 64
276,38.378391,-88.383087,W Delaware St
160,38.255766,-88.347671,US Hwy 45
160,38.342645,-88.585742,Highland St/S Walnut St
160,38.260938,-88.261008,I- 64/Co Rd 2400E
185,38.266473,-88.556978,I- 64
185,38.570679,-88.462125,Co Rd 2175N/Co Rd 1270E
334,38.380675,-88.363668,NW 3rd St/W Court St
160,38.382895,-88.365822,NW 5th St/W Elm St
160,38.360761,-88.532400,Stephens St/N Railroad St
216,38.378938,-88.310996,State Rte 15
160,38.364017,-88.368895,/SW 7th St
246,38.378746,-88.381264,Parker Ct
216,38.378382,-88.387771,US Hwy 45/Commerce St
445,38.378754,-88.377156,S Windsor Ln/W Delaware St
160,38.382071,-88.361696,North St
160,38.257048,-88.243247,Co Rd 2600 N
160,38.382872,-88.364582,NW 4th St/W Elm St
160,38.265537,-88.571730,Co Rd 50N
216,38.344925,-88.603707,W Robinson Ave
160,38.293197,-88.581335,State Rte 242
185,38.378873,-88.392636,Williamson Dr
160,38.366516,-88.359991,S 1st St
160,38.259453,-88.519440,Co Rd 25N
160,38.266298,-88.405075,I- 64
160,38.260552,-88.269115,I- 64
185,38.346483,-88.588770,W Robinson Ave/Race St
246,38.378722,-88.369788,W 8th St/W Delaware St
185,38.382077,-88.367125,NW 6th St/W Summit St
160,38.349139,-88.591344,N Douglas St/Shreve Ave
160,38.517778,-88.430074,Howell St/Jones St
185,38.385500,-88.371752,NW 9th St/Neal St
216,38.343747,-88.588231,S Main St/Center St
185,38.378923,-88.391823,US Hwy 45
276,38.380953,-88.358856,NE 2nd St
185,38.386589,-88.364072,George St/W Parkhurst St
160,38.375827,-88.363436,SW 3rd St
185,38.372662,-88.368685,Ash St
160,38.398381,-88.372753,Co Rd 1000N
160,38.370307,-88.364642,SW 4th St
160,38.377576,-88.367010,SW 6th St/W Center St
246,38.379666,-88.383230,/W Main St
216,38.268750,-88.675019,/I- 64
185,38.383817,-88.374213,Mount Vernon Rd/Cail Rd
276,38.379621,-88.361708,Union St/W Main St
185,38.379167,-88.338518,State Rte 15
160,38.267862,-88.334881,/I- 64
160,38.342190,-88.634061,State Rte 15
160,38.373848,-88.367015,/SW 6th St
216,38.383812,-88.373115,Lezlie Ln/NW 10th St/Mount Vernon Rd
185,38.346659,-88.591294,/N Douglas St
362,38.378782,-88.356846,SE 4th St/E Delaware St
160,38.381693,-88.367131,/NW 6th St
160,38.379069,-88.315697,State Rte 15
185,38.392854,-88.360842,Dorris Dr/Atkinson Dr
185,38.389895,-88.348214,Fawn Dr
216,38.375217,-88.353588,E King St/SE 7th St
185,38.377532,-88.355844,SE 5th St/E Center St
216,38.379090,-88.345698,Craig Ln/Main St
246,38.269397,-88.679021,Co Hwy 13/I- 64
185,38.381798,-88.353399,E Washington St/Washington St/Park Rd
185,38.344508,-88.585713,E Meadow St/S Walnut St
185,38.382148,-88.376212,Harding St
185,38.371893,-88.266859,State Rte 15/
185,38.406159,-88.359478,Co Rd 1850E
246,38.378743,-88.367013,SW 6th St/W Delaware St
160,38.342519,-88.592864,W Section Line Rd/S West St
160,38.380666,-88.259269,/Co Rd 2400E
160,38.383827,-88.375474,NW 12th St/Mount Vernon Rd
276,38.381200,-88.364618,NW 4th St/W Water St
185,38.514672,-88.435467,/Simpson St
160,38.350149,-88.588116,Lappin Ave/N Main St
160,38.527133,-88.617562,Co Rd 1850N
305,38.373863,-88.368594,SW 7th St
185,38.515412,-88.434950,Perine St
160,38.376999,-88.379145,Manor Cir/Leininger Rd
160,38.345570,-88.602515,W Robinson Ave/Co Rd 625N
160,38.378744,-88.391076,/US Hwy 45
160,38.378932,-88.157829,Co Rd 2950E/State Rte 15/Co Hwy 23
160,38.378392,-88.403723,State Rte 15/US Hwy 45
185,38.382071,-88.365841,NW 5th St/W Summit St
160,38.515426,-88.365625,Co Rd 1840E
160,38.386659,-88.374781,Scott Ln/Kincaid Dr
160,38.281897,-88.570346,Co Rd 725E/Co Rd 175N
216,38.267151,-88.487868,I- 64
160,38.371919,-88.240304,State Rte 15/Co Rd 2500E
185,38.378724,-88.371484,SW 9th St/W Delaware St
305,38.375224,-88.361716,SW 2nd St/W King St
160,38.342316,-88.598240,W Section Line Rd
160,38.342230,-88.611374,State Rte 15/
160,38.342238,-88.639491,Vine St/State Rte 15
160,38.357497,-88.249725,Co Rd 700N/Co Rd 2450E
160,38.341513,-88.587021,Meadow Lawn Ave
216,38.379099,-88.350590,/Main St
160,38.389293,-88.350728,Co Hwy 1
160,38.436627,-88.148161,Co Rd 1250N/000E
185,38.267075,-88.624366,Co Rd 50N/I- 64
185,38.370166,-88.259363,Co Rd 790N/Co Rd 2400E
160,38.266073,-88.571404,I- 64
334,38.375220,-88.358843,SE 2nd St/E King St
246,38.378187,-88.367005,/SW 6th St
160,38.381666,-88.362605,NW 2nd St/W Summit St
216,38.385239,-88.362659,N Laurel St/W Curry St
160,38.266503,-88.460865,I- 64
160,38.377025,-88.380696,Leininger Rd
160,38.372414,-88.356814,SE 4th St
276,38.378726,-88.368491,SW 7th St/W Delaware St
185,38.325519,-88.376547,Co Rd 500N
160,38.266985,-88.468847,I- 64
160,38.382904,-88.366494,W Elm St
160,38.399541,-88.350475,/Co Hwy 1
160,38.267720,-88.347964,US Hwy 45
160,38.494155,-88.348502,Co Rd 1900E
160,38.372464,-88.367050,W Spring St/SW 6th St
216,38.344523,-88.588218,W Meadow St/E Meadow St/S Main St
160,38.347121,-88.591302,N Douglas St/W Washington St
160,38.377930,-88.341591,Sunrise Dr
160,38.391130,-88.368268,NW 7th St/Westwood Dr
160,38.377048,-88.382439,Airport Rd/Leininger Rd
160,38.377366,-88.341611,Sunrise Dr
305,38.380139,-88.362627,NW 2nd St/
276,38.380171,-88.368470,/NW 7th St
276,38.378460,-88.380854,W Delaware St
185,38.267929,-88.544607,State Rte 242/I- 64
160,38.390589,-88.368281,NW 7th St/Shoreway Dr
160,38.384412,-88.350743,Enterprise Rd
185,38.344487,-88.583632,E Meadow St/Back St
185,38.377931,-88.378631,Center Dr/W Center Dr/W Centre Dr
160,38.364706,-88.368878,/SW 7th St
185,38.379523,-88.355585,E Main St
160,38.376737,-88.382464,Airport Rd
362,38.379613,-88.359887,S 1st St/E Main St/W Main St/N 1st St
276,38.381673,-88.364613,NW 4th St/W Summit St
160,38.359604,-88.207250,Water St
185,38.338183,-88.644252,Washington St/West Rd
185,38.377562,-88.364586,SW 4th St/W Center St
185,38.385239,-88.359785,W Curry St/N 1st St
160,38.269418,-88.348442,US Hwy 45
185,38.398340,-88.368137,Co Rd 1000N/Co Rd 1800E
160,38.398773,-88.171464,Co Rd 2875E/Co Rd 990N
160,38.442642,-88.417823,E Mechanic St
160,38.375217,-88.356833,SE 4th St/E King St
160,38.266344,-88.571300,I- 64
160,38.384472,-88.431381,/Co Rd 900N
216,38.379823,-88.395879,Market Ave
160,38.442598,-88.413252,E Mechanic St
160,38.373722,-88.362114,SW 2nd St
185,38.378798,-88.354808,SE 6th St/E Delaware St
160,38.266784,-88.549847,/I- 64
185,38.374324,-88.361696,W College St/SW 2nd St
185,38.261145,-88.288408,Co Rd 2250N/I- 64
185,38.371845,-88.359925,S 1st St/W Wilson St
499,38.379664,-88.374461,SW 11th St/NW 11th St/W Main St
160,38.384334,-88.424183,/Co Rd 900N
160,38.368127,-88.531076,N Bond St/Bond St
185,38.379056,-88.314211,State Rte 15
246,38.378733,-88.361976,SW 2nd St/W Delaware St
160,38.342410,-88.595968,W Section Line Rd/Mitchell Dr
216,38.376366,-88.355846,SE 5th St/E Douglas St
216,38.381260,-88.367112,NW 6th St/W Water St
160,38.369476,-88.362279,SW 2nd St
160,38.382073,-88.365238,W Summit St
185,38.384413,-88.366472,/W Sibley St
216,38.267431,-88.487865,I- 64
185,38.379086,-88.318248,State Rte 15
185,38.343757,-88.585426,Center St
185,38.267964,-88.544464,State Rte 242/I- 64
160,38.325547,-88.378822,/Co Rd 500N
160,38.376652,-88.385035,Whiteside Ln/Cumberland Dr
185,38.337827,-88.644269,Jefferson St/West Rd
160,38.306580,-88.369750,Co Rd 1800E
160,38.382532,-88.369914,Walker St
160,38.370653,-88.483747,State Rte 15/Co Rd 1150E
445,38.379628,-88.363666,NW 3rd St/W Main St
160,38.378709,-88.171087,State Rte 15/Co Rd 2880E
305,38.379669,-88.373198,SW 10th St/W Main St/NW 10th St
160,38.369836,-88.363200,SW 3rd St/Broadway Ave
334,38.380373,-88.357857,E Court St/NE 3rd St
160,38.517146,-88.503700,Co Rd 1800N/Co Rd 1025E
185,38.378866,-88.314221,Co Rd 830N
160,38.386991,-88.354321,Park Ln/S Park Ln
160,38.376385,-88.365794,W Douglas St/SW 5th St
185,38.515070,-88.435743,Simpson St/Perine St
160,38.372387,-88.371801,Ash St
216,38.379593,-88.356839,SE 4th St/E Main St/NE 4th St
160,38.345385,-88.583632,Back St/E Mill St
160,38.441666,-88.404016,Washington St/Lafayette St
160,38.266471,-88.556713,I- 64
216,38.379082,-88.317639,State Rte 15
362,38.379966,-88.357853,NE 3rd St
160,38.515638,-88.437939,McCraken St/Central St
