Estimated daily crossings,Latitude,Longitude,Name
185,40.433443,-84.974171,S Wayne St/E Main St/N Wayne St
160,40.495099,-85.144173,N Broad St/E Maple St
160,40.494483,-85.143407,E Lagro St
216,40.350019,-85.151100,S Union St
631,40.439465,-84.979390,N Commerce St/W Votaw St
185,40.408483,-85.095881,W 200 S
418,40.445848,-84.978171,E Penn St/N Meridian St
160,40.423621,-84.920545,E 100 S/S 300 E
813,40.438274,-84.978020,W North St/N Meridian St/E North St/N Depot St
185,40.353130,-85.148719,N Spencer St/E Boyce St
185,40.446686,-84.991218,Industrial Pk Dr
160,40.376917,-85.214917,Lincoln Ave
216,40.434436,-84.969602,E Walnut St/N Hawkins Ave
160,40.493501,-85.148606,/W North St
160,40.396551,-84.957701,E 300 S
246,40.534764,-84.964489,N Hendricks St/W Elm St/Elm St
445,40.439283,-84.989904,N Alexander St/W Votaw St
246,40.372454,-85.213193,W Jay St/S Franklin St
472,40.439473,-84.977309,E Votaw St
362,40.441309,-84.982811,N Creagor Ave/Lewis St
160,40.410106,-85.010552,W 200 S/S Mount Pleasant Rd
216,40.364621,-85.219793,Eaton Pike
160,40.350649,-85.163608,State Hwy 67/W Main St
160,40.397309,-85.067280,/State Hwy 67
216,40.454071,-84.971916,E 100 N
160,40.367549,-84.941886,S Boundary Pike/E 500 S
160,40.420721,-84.992219,W Dogwood Ln
160,40.347602,-85.143733,S Butler St/E Delaware St
160,40.377372,-85.204144,Mount Auburn St/N Johnson St
305,40.440526,-84.979717,W McNeil St/N Ben Hawkins St
334,40.353109,-85.153346,W Boyce St
216,40.449146,-84.978222,N Meridian St
160,40.434091,-84.963811,Sandy Hollow Ln
160,40.349451,-85.148113,/E High St
160,40.349473,-85.146858,E High St
185,40.414794,-85.038292,S 300 W
160,40.431153,-84.972990,E 1st St/S Garfield St
160,40.450983,-85.158565,W 100 N
160,40.410586,-84.979303,W 200 S
216,40.350959,-85.156399,/N Walnut St
216,40.348562,-85.148637,S Spencer St/E Bell Ave
