Estimated daily crossings,Latitude,Longitude,Name
246,38.770934,-85.393083,Blackmore St/Ross Pl
160,38.796290,-85.463379,/W 400 N
246,38.707222,-85.477233,Jackson Ln/Clifford Duke Dr
305,38.762630,-85.395949,/Miller St
185,38.888859,-85.519025,/W Main St
160,38.795718,-85.651118,Front St/Mulberry St
160,38.763475,-85.410399,Pinehurst Ave/Maple St
246,38.763842,-85.405958,Shelton Ln/Wilson Ave
605,38.735682,-85.377227,/Jefferson St
390,38.778602,-85.382585,Demaree Dr
216,38.713686,-85.465403,/Ball Dr/College Ave
160,38.756723,-85.387345,Michigan Rd
185,38.728484,-85.459681,W State Rd 56/W Deer Bend Dr
185,38.762590,-85.398508,Allen St/Phillips Ln/Miller St
160,38.736901,-85.374298,/East St
216,38.762641,-85.404131,Seminary St
216,38.730925,-85.455164,W State Rd 56/S Riverview Dr
160,38.629645,-85.524582,State Rd 62
160,38.890609,-85.515479,/N Taylor St
185,38.777501,-85.404893,/Scott Ct
631,38.736269,-85.377250,E Main St/Jefferson St
1174,38.715032,-85.459469,Young St/
390,38.710382,-85.474067,S Main Cross St
160,38.743319,-85.484814,/N Hereford Ln
160,38.712698,-85.514161,State Rd 56
185,38.771183,-85.381696,Golf Ridge Ct/Golf Ridge Ln
185,38.755153,-85.449974,/Clifty Dr
185,38.711564,-85.470903,Sharon Ct
246,38.775711,-85.420925,Gladiola Ln
334,38.775043,-85.392379,Clifty Dr
160,38.782899,-85.426430,W Deputy Pike Rd/State Rd 7
160,38.729996,-85.456329,W State Rd 56/S Paine St
246,38.718271,-85.467997,Bank St/Brenda Ln
185,38.742656,-85.375718,Walnut St
185,38.727613,-85.462369,/W State Rd 56
160,38.739284,-85.389574,W 3rd St/Oak St
160,38.775806,-85.382798,Franks Dr/E Clifty Dr
160,38.843278,-85.503825,/State Rd 7
185,38.761834,-85.391758,Holly Ln/Green Rd
499,38.736271,-85.383391,/Broadway St
185,38.763614,-85.394044,Maple Hill Dr/Blackmore St
160,38.717350,-85.467982,Susan Rd/E Cynthiana Ave
185,38.772709,-85.405911,/Wilson Ave
185,38.794254,-85.559775,/N 933 W
160,38.762492,-85.394087,Blackmore St
185,38.888953,-85.518813,/W Main St
305,38.711317,-85.473973,3rd St/S Main Cross St
160,38.703455,-85.476269,/S Hanover Saluda Rd
276,38.716133,-85.458535,Fisher St/Garritt St
216,38.773786,-85.387340,Michigan Rd
185,38.767422,-85.411110,Duffy Ave/Lanier Dr
160,38.775668,-85.376132,Franks Dr
246,38.761737,-85.397742,Green Rd/State Rd 7
216,38.738274,-85.449316,/State Rd 256
160,38.741244,-85.377258,/Jefferson St
1174,38.715031,-85.459385,/Young St
160,38.750558,-85.378039,/Walnut St
216,38.770013,-85.417449,Iroquois Dr/Shawnee Dr
160,38.761610,-85.403016,/Green Rd
160,38.736944,-85.370973,/Roosevelt St
160,38.780415,-85.683779,W Blake Rd
216,38.765481,-85.399529,Taylor St/Hendricks Dr
160,38.720905,-85.478378,November St
