Estimated daily crossings,Latitude,Longitude,Name
246,38.704402,-87.493707,Zachrey Dr
658,38.683060,-87.514475,E Sycamore St
160,38.774860,-87.312654,W 5th St/Vigo St
160,38.690713,-87.475999,Eastgate Dr
2141,38.688236,-87.517453,E Saint Clair St/N 1st St
160,38.645501,-87.267998,Bottom Rd
185,38.697646,-87.483069,Daleview Dr
216,38.693856,-87.467073,Summit Dr/Vista Dr
246,38.666453,-87.306145,Bateman St/White River Ave
185,38.659900,-87.512569,/S Old US 41/Main St
185,38.692076,-87.492217,US Hwy 41
943,38.672985,-87.534052,Bayou St
305,38.674868,-87.524462,Broadway St/N 10th St
185,38.691620,-87.507874,E New Albany Ave/Day St
160,38.672747,-87.535990,/Willow St
631,38.681173,-87.519749,Washington Ave/N 7th St/College Ave
185,38.686912,-87.483153,Alexander Dr/Bentley Rd
160,38.673708,-87.452243,Monty Rd
160,38.701593,-87.476509,/Bruceville Rd
160,38.520968,-87.560657,Kohlhouse Rd/Co Rd 550 W
216,38.665001,-87.527551,S 15th St/Prairie St
305,38.677660,-87.525899,N 7th St/Buntin St
160,38.874742,-87.435633,US Hwy 41
216,38.678654,-87.512137,N 12th St/E Locust St
216,38.691694,-87.504849,N 2nd St
160,38.654361,-87.301576,US Hwy 50/S State Hwy 241
276,38.674195,-87.502224,N 20th St/McKinley Ave
160,38.708596,-87.477665,/Grand Kee Dr
160,38.772913,-87.316247,W 3rd St/Martha St
160,38.645309,-87.562268,S Water Tower Ln/S 6th Street Rd
305,38.689504,-87.512161,E Reel Ave/Day St
185,38.675640,-87.518259,N 12th St/E Scott St
305,38.646354,-87.526930,S Old Decker Rd/Ramsey Rd
552,38.680580,-87.512548,E Sycamore St/N 11th St
334,38.697560,-87.482341,Daleview Dr
185,38.665705,-87.502975,Prospect Ave
305,38.671896,-87.524444,N 12th St/Main St
160,38.679815,-87.412870,US Hwy 50/Palmyra Rd/E Old Hwy 50
216,38.680717,-87.528901,N 3rd St/Buntin St
160,38.678716,-87.498030,Audubon Rd
216,38.644012,-87.531383,/Circle Dr
185,38.672524,-87.512673,Belle Ave/College Ave
160,38.678577,-87.505786,McKinley Ave
185,38.693334,-87.467982,N Cedar Ridge/Summit Dr
185,38.697601,-87.511449,Terre Haute St/W Chicago Ave
246,38.669949,-87.497228,Turley Ave/Winesap Rd
216,38.690999,-87.462926,Pheasant Ct
216,38.761407,-87.372043,/State Rd 67/Water Tower Rd
160,38.765442,-87.303411,Park St/Indiana St
160,38.814310,-87.252153,4th St/N State Rd 67
813,38.665535,-87.512420,Hart St/Shirlee St
788,38.682632,-87.515213,E Locust St
499,38.678085,-87.529185,N 5th St/Busseron St
276,38.684621,-87.509444,State St/Mississippi St
185,38.774883,-87.313892,W 5th St/St Clair St
160,38.691152,-87.476949,Plumtree Dr/Hawthorne Dr
185,38.773844,-87.302864,Lawton St/Illinois St
216,38.773021,-87.305689,Washington St/S 1st St
246,38.780303,-87.310148,11th St/W 11th St/N Main St
160,38.664964,-87.324365,Hwy 50 Byp/E US Hwy 50
472,38.672236,-87.517906,Hart St/N 15th St
185,38.657750,-87.540599,McCord Ave/W 15th St
160,38.771371,-87.312714,Vigo St
246,38.679153,-87.531604,N 3rd St/S 3rd St/Main St
362,38.681734,-87.505939,N 12th St/Ridgeway Ave
160,38.707946,-87.475233,Calcutt Dr/Cameo Dr
185,38.676044,-87.532889,S 5th St/Barnett St
160,38.692247,-87.480474,Arlington Manor/Greenbrier Ct
185,38.688940,-87.445918,Newell Rd
185,38.661826,-87.527257,S 17th St/Wheeler St
552,38.679913,-87.520218,N 8th St/Harrison St
216,38.705345,-87.494616,State Rd 67/
216,38.699240,-87.495871,Benjamin Ln
216,38.667135,-87.526837,Nicholas St/S 14th St
246,38.689113,-87.491077,Bruceville Rd/US Hwy 41/Old Hwy 50
216,38.775887,-87.308249,Washington St/E 5th St
160,38.686643,-87.483448,Eastwood Dr
160,38.694269,-87.465569,Dogwood Dr
185,38.759315,-87.414430,Poplar St/W Main St
160,38.702460,-87.475744,Bruceville Rd
160,38.731757,-87.478874,Northfork Dr/N Camp Arthur Rd
552,38.671986,-87.516507,Shelby St/N 15th 1/2 St
216,38.661853,-87.509523,/S Old US 41
185,38.692077,-87.509630,E Minneapolis Ave/N 1st St
160,38.786510,-87.310109,/N Main St
