Estimated daily crossings,Latitude,Longitude,Name
499,37.946215,-86.755987,Pestalozzi St
160,37.914801,-86.750717,N 1st St
185,37.867744,-86.641823,State Rd 166
216,37.940052,-86.755795,Zurich Way
160,37.920434,-86.673495,Swallow Rd
362,37.946230,-86.755349,/Pestalozzi St/19th St
160,37.970761,-86.771938,/State Rd 66
160,37.912266,-86.632389,/Millstone Rd
160,37.956834,-86.774378,/Schiller St
160,37.994588,-86.805511,Washington St/Water St
216,37.907665,-86.736459,State Rd 66 E/Lincoln Ave
185,37.939277,-86.748795,Annecy Ct
276,37.949220,-86.755334,Franklin St/19th St
160,37.956501,-86.747844,24th St
246,37.923736,-86.752125,State Rd 66 E/US Hwy 66
185,37.901866,-86.727761,Pleasant Valley Dr
160,37.964357,-86.768405,9th St/Steuben St
160,37.997104,-86.799540,Main St
216,37.943195,-86.764142,12th St/US Hwy 66 W/Blum St
160,38.029149,-86.724986,/Autumn Rd
216,37.947737,-86.762569,/Humboldt St
160,37.969163,-86.767661,Bradford Dr/Lauer Ln
362,37.949264,-86.763878,Franklin St/
305,37.962835,-86.763144,13th St/Payne St
216,37.977061,-86.745119,Sherwood Rd
185,37.953814,-86.772184,Fulton St
334,37.949271,-86.764551,12th St/Franklin St
216,37.969600,-86.740625,Kleeman Dr
160,37.965876,-86.768408,9th St//Winkelreid St
216,37.912144,-86.741145,S7th St
160,37.941713,-86.765247,Guttenberg St
160,38.165426,-86.587155,Branchville Rd
305,37.910869,-86.742338,Taylor St/N 5th St/S 5th St
160,37.971519,-86.729718,Old State Hwy 37
216,37.959840,-86.769095,/Ruben St
185,38.242892,-86.593832,Doolittle Mills Rd
160,37.962823,-86.749444,Payne St
160,38.152943,-86.652453,W Apalona Rd/Apricot Rd
216,37.904067,-86.728189,Lafayette Ln
160,37.971968,-86.729251,/Old State Hwy 37
160,38.133268,-86.753232,/S Oakridge Rd
185,37.994189,-86.802027,/Main St
160,37.992192,-86.786894,Troy Ridge Rd
185,37.955285,-86.760566,15th St/Tell St
276,37.947753,-86.769816,Humboldt St/Main St
334,37.915905,-86.671728,State Rd 66 E
160,38.224663,-86.597200,S Indian Lake Rd
160,37.934238,-86.729613,Sparkle Rd/New Hwy 237
216,37.947761,-86.768494,9th St/Humboldt St
305,37.962868,-86.767753,/Payne St
160,37.952265,-86.760575,15th St/Jefferson St
160,37.998134,-86.800013,Fischer St
185,37.955832,-86.754151,20th St
390,37.911448,-86.740493,/S7th St
216,37.947764,-86.767169,10th St/Humboldt St
216,37.917985,-86.746327,/Fifth St/Hindostian St
185,37.949284,-86.765862,Franklin St/11th St
160,37.952174,-86.739502,Jefferson St/31st St
160,38.223973,-86.705072,I- 64
160,37.938983,-86.735140,/Hwy 237
246,37.918135,-86.745767,Hwy 237/N 7th St/Hindostian St
246,37.947729,-86.761912,14th St/Humboldt St
160,37.999132,-86.698489,State Rd 37/Shiloh Rd
160,37.935419,-86.753957,Windy Creek Ln
160,37.969125,-86.767073,Park St/10th St
160,37.933780,-86.729805,Sparkle Rd/New Hwy 237
160,38.047922,-86.642792,State Rd 37/Addison Rd
276,37.931341,-86.756855,/Old Highway Rd
160,37.940312,-86.735633,Hwy 237/Boundary Way
246,37.941955,-86.763295,/13th St/US Hwy 66 W
160,37.944712,-86.760615,15th St/Washington St
305,37.947752,-86.769155,/Humboldt St
813,37.938764,-86.759953,State Rd 66
160,37.906900,-86.728139,Mine Ave
185,37.908669,-86.737717,State Rd 66 E
185,37.974236,-86.772123,State Rd 66
160,37.953823,-86.773078,/Fulton St
246,37.948314,-86.748740,24th St
305,37.959835,-86.767772,/Ruben St
160,37.965876,-86.768452,9th St/Winkelreid St
362,37.953604,-86.750667,23rd St
185,37.962978,-86.748836,State Rd 37/Dauby Ln/Payne St
160,37.957680,-86.773704,5th St
160,38.193649,-86.758738,Bonifer Rd/Co Rd 44
160,38.016393,-86.739556,Amber Rd
160,37.905615,-86.740879,Knight St/W Clay St
185,38.145069,-86.745155,/Co Rd 154
185,37.984582,-86.749451,Brushy Fork Rd/Troy Ridge Rd
