Estimated daily crossings,Latitude,Longitude,Name
160,38.785206,-84.922412,State Rd 156/Turtle Creek
185,38.747951,-85.070771,W Seminary St/Main Cross St
160,38.836244,-84.827841,5th St
160,38.851773,-85.080496,Drakes Ridge Rd/Fairview Rd
185,38.745553,-85.072438,/W Pike St
160,38.694860,-85.200005,State Rd 56/Green Valley Rd
160,38.816179,-85.127270,/Brown Rd
160,38.872799,-84.988069,State Rd 56/State Rd 250
305,38.781609,-84.964582,State Rd 156
472,38.748822,-85.064497,E Main St/Greeley St
160,38.851049,-85.080368,Fairview Rd
160,38.780159,-84.986513,/Damvue Rd
160,38.840673,-84.994947,Markland Pike
160,38.811546,-84.963639,Cantor Ln
246,38.751163,-85.064940,Pearl St
185,38.743055,-85.075242,/Cedar Ave
160,38.745463,-85.074562,W Seminary St/Silver St
185,38.748668,-85.071538,/Main Cross St
160,38.857354,-84.800241,Big Bone Dr/Ormsby Rd
246,38.744911,-85.065863,Franklin St/
160,38.781946,-84.968054,State Rd 156 Scn
185,38.694957,-85.200851,/State Rd 56
305,38.750360,-85.066146,Greeley St
185,38.782131,-84.966731,/State Rd 101
276,38.741229,-85.077571,Ogle Dr/W Main St
160,38.836575,-84.828483,5th St/Main St
305,38.747916,-85.065692,Walnut St
276,38.872726,-84.976040,State Rd 250/Staci Ln
160,38.779912,-84.993248,State Rd 156 Scn/Markland Pike
160,38.874597,-85.184223,/State Rd 129
160,38.750651,-85.071637,W Turnpike St/Knox Ford Rd
185,38.751225,-85.063574,Brindley Ave/Ohio St
160,38.733989,-85.093079,/Maple St
185,38.856884,-84.800813,Ash St/Big Bone Dr
185,38.748311,-85.066127,Walnut St/E Main St
185,38.784017,-84.923336,Vevay St/6th St
160,38.783625,-84.924042,Vevay St/5th St
246,38.745322,-85.069647,Union St
185,38.752060,-85.064448,E Seminary St/Ohio St
160,38.781903,-84.967742,State Rd 156/State Rd 156 Scn
160,38.785120,-84.922733,State Rd 156/Hill Rd
185,38.782888,-84.922624,Water St
160,38.749134,-85.066990,Walnut St/E Pike St
246,38.745741,-85.074136,W Seminary St
160,38.782951,-84.922495,Water St
418,38.746618,-85.067630,Cheapside St/Liberty St
185,38.747189,-85.069963,Main Cross St/W Pike St
216,38.745719,-85.070090,Union St/W Main St
160,38.858181,-84.801538,Ormsby Rd/Crestwood Ln
160,38.873140,-85.070195,State Rd 250/Pavy Rd
185,38.783419,-84.923370,Cincinnati St
160,38.796019,-85.073706,State Rd 56/Madison St
185,38.751861,-85.064767,E Seminary St
216,38.750870,-85.071339,W Turnpike St
160,38.835360,-85.032680,State Rd 56
185,38.843468,-84.922972,J March Rd
185,38.857767,-84.800885,Posey Rd/Ormsby Rd
