Estimated daily crossings,Latitude,Longitude,Name
185,39.888881,-84.892100,Tingler Rd/US Hwy 27 N
276,39.814234,-84.894093,S L St
160,39.852667,-85.220910,S Co Rd 875 E/Co Rd 875 E
160,39.903055,-84.945188,Main St
216,39.853205,-85.182844,Brick Church Rd/I- 70
305,39.813863,-84.999419,S Ash St/W Sycamore St
334,39.815541,-84.886299,S J St/S 12th St
276,39.956845,-84.922889,/Davis St
160,39.942385,-84.923861,New Garden Rd
185,39.905587,-84.905225,US Hwy 27 N/Timothy Dr
185,39.940638,-84.915726,/US Hwy 27 N
160,39.862719,-84.899223,Industries Rd
246,39.840148,-84.907933,NW 5th St
185,39.815297,-85.206043,Franklin St//Dublin St
216,39.830065,-84.904008,N 2nd St/Kinsey St
246,39.830771,-84.923192,Cartwright Dr/NW B/NW 15th St
216,39.841181,-84.899539,Crosshall St/NW J St
185,39.879503,-84.942374,State Rd 38/US Hwy 35
160,39.829224,-84.930041,W Main St
276,39.811503,-84.990176,Chestnut Way
185,39.823860,-84.866004,S 27th St/Reeveston Rd
552,39.814541,-84.956540,Coning Dr
390,39.953992,-84.918529,S Green St/Fountain Ave
160,39.815370,-84.851736,S 37th St/Sandbridge Dr
216,39.816481,-84.852591,Wynfield Dr/Rosewood Dr
276,39.810197,-84.890676,S 8th St/US Hwy 27 S/US Hwy 27
276,39.808406,-85.179973,S Vine St/College Ave
216,39.837970,-84.875133,N G St/N 20th St/Hawkins Rd
160,39.812948,-84.886298,12th St/S M St
276,39.830807,-84.813885,I- 70
160,39.809572,-84.951260,SW P St
276,39.824141,-84.953222,Duke Dr
305,39.843564,-84.882984,N 12th St/New Paris Pike/Middleboro Pike
305,39.829135,-84.919251,W Main St
526,39.836571,-84.893531,N 6th St
362,39.819052,-84.978092,E Main St/National Rd
160,39.831341,-84.929305,NW 19th St/NW C St
246,39.828900,-84.952086,Woody Pl
160,39.873316,-84.907442,Union Pike/Wayne Rd
246,39.832532,-84.884673,N C St/N 13th St
160,39.874046,-85.143897,Jerry Myers Rd/State Rd 1/Fagan Rd
334,39.873194,-84.888418,US Hwy 27 N/Chester Blvd
1485,39.827287,-84.904247,SW 2nd St/National Rd W
160,39.851770,-84.813659,State Line Rd
246,39.817383,-85.005275,McMinn Rd/W Main St/National Rd
185,39.812259,-84.996020,S Morton Ave
276,39.867413,-84.926281,Williamsburg Pike/US Hwy 35/I- 70
552,39.831146,-84.906174,Pearl St/NW 4th St
160,39.809914,-84.983851,Warren Dr
160,39.912199,-85.150600,E Graceland Dr
160,39.815634,-85.005278,McMinn Rd/W School St
246,39.819445,-84.925845,SW G St/SW 17th St
185,39.806913,-84.908808,Test Rd
160,39.825739,-84.935482,Porterfield Ave/Knox Ave
185,39.913531,-85.161115,E Harrison St/W Harrison St/N Plum St
185,39.813854,-85.171779,N Foote St
305,39.840102,-84.898506,Vine St/NW I St
246,39.815869,-84.852596,Rosewood Dr
276,39.833295,-84.920713,NW 13th St/Grace Ln
305,39.839930,-84.875365,N 20th St/N J St
160,39.910732,-85.167399,Turnpike Rd
185,39.813836,-85.171778,N Foote St
160,39.817229,-85.001207,Willow Grove Rd
160,39.838101,-85.040744,College Corner Rd
276,39.817064,-85.166016,Delaware St/Meridian St
684,39.824517,-84.895805,S C St/S 5th St
246,39.814681,-84.958142,S Round Barn Rd
160,39.841010,-84.916832,Indiana Ave
160,39.834898,-84.850375,Country Club Ln/Greenbrier Dr
246,39.817778,-85.005281,McMinn Rd
390,39.824520,-84.859983,/S 31st St
246,39.830778,-84.924409,NW 16th St/NW B
813,39.831558,-84.855496,N 34th St
246,39.823799,-84.875461,S 20th St/Reeveston Rd
185,39.813804,-85.161924,N Pearl St/E Front St
160,39.912218,-85.150661,E Graceland Heights Dr/E Graceland Dr
160,39.917685,-85.200556,Henry County Line Rd/State Rd 38
445,39.818141,-84.986382,Mattie Harris Rd/E Main St
160,39.829090,-84.945099,NW B/Lick Creek Dr
418,39.836336,-84.895039,Bridge Ave
160,39.942733,-84.916539,/US Hwy 27 N
160,39.849279,-84.917167,/NW 11th St
246,39.835360,-84.884641,N 13th St
160,39.836663,-85.144686,N Woodpecker Rd
160,39.806927,-84.893058,S 7th St/S Q St
160,39.737492,-84.851890,Salem St
334,39.843840,-84.902702,Ratliff St/NW L St
472,39.830511,-84.880111,N 16th St/N A St
390,39.828171,-84.894128,S 6th St/S Svc Rd
216,39.810471,-84.882089,S 16th St/Walkway
445,39.860773,-84.888656,/Chester Blvd
185,39.858114,-84.846845,Weiss Rd
160,39.876293,-84.854702,Park Elwood Rd/Middleboro Pike
216,39.856240,-84.894991,Crestdale Dr
305,39.814122,-84.987029,Mulberry Blvd/E South St
246,39.826705,-84.842145,/Garwood Rd
472,39.828793,-84.887686,S 11th St
1252,39.829819,-84.877671,E Main St/N 18th St
185,39.858757,-84.995849,/N Centerville Rd
276,39.829253,-84.934593,Richwood Dr/W Main St
334,39.813361,-85.174090,W Front St
185,39.836387,-84.902741,NW 2nd St
160,39.814250,-84.821351,Hodgin Rd
246,39.818482,-84.958122,Westgate Dr/S Round Barn Rd
276,39.903069,-85.146622,Teetor Rd
246,39.860356,-84.883363,Hartman Ln
418,39.811835,-84.990198,Willow Dr/Chestnut Way
160,39.811477,-85.175094,S Jones St/W Church St
160,39.730065,-85.137602,State Rd 1
160,39.814438,-85.089603,National Rd
390,39.842707,-84.889361,Sim Hodgin Pkwy
762,39.821620,-84.878066,S E St/S 18th St
334,39.820549,-84.883304,S F St/S 14th St
