Estimated daily crossings,Latitude,Longitude,Name
185,41.905190,-91.256567,Monroe St/1st St/S Monroe St
362,41.768956,-91.129817,W 4th St/Lynn St
160,41.901934,-91.251664,E Cedar St
185,41.902926,-91.252869,S Linn St/E South St
185,41.790969,-91.365734,210th St
526,41.661273,-91.346698,Industrial Dr/Baker Ave
362,41.777541,-91.129794,/Lynn St
160,41.780472,-91.127518,Cedar St
160,41.782095,-91.127493,Cedar St//State Hwy 38
160,41.743306,-90.973826,/6th St
160,41.643440,-91.151848,Atalissa Rd
160,41.763053,-91.142788,Sand Trap Cir/Cedar Valley Rd
216,41.597403,-91.020982,Cedar Muscatine Rd
160,41.740172,-90.976036,/Cedar St/3rd St
160,41.894481,-91.222058,/US Hwy 30
160,41.767915,-91.135420,W 3rd St/Orange St
160,41.656723,-91.337256,300th St
160,41.618891,-91.210120,/Indian Ave
160,41.909247,-91.247302,Cottage Dr/Country View Dr
185,41.600754,-90.917678,4th St/2nd Ave
185,41.774171,-91.122837,E 9th St/Park Rd/Plum St
160,41.771885,-91.117185,E 7th St
160,41.779946,-91.124360,Bel Aire Ct
216,41.888476,-91.145365,E Hwy 30/US Hwy 30/Boling Ave
418,41.903727,-91.249957,N Walnut St/E 2nd St
305,41.857664,-90.930359,Main St/Harding Ave
160,41.823771,-91.318653,/185th St
185,41.904191,-91.261171,W South St/N Fayette St
185,41.854577,-90.926737,/Hoover Hwy
216,41.776817,-91.119813,Parkview Dr
160,41.892844,-91.153190,Massilion St/Broadway St/W Broadway St
445,41.767905,-91.131218,W 3rd St/Sycamore St
390,41.633365,-90.996844,I- 80/Taylor Ave
185,41.894340,-91.154242,Middle St/W North St
276,41.669143,-91.345759,/Parkside Dr
160,41.666318,-91.141115,Cemetery Rd
216,41.673890,-91.342704,E College St
216,41.766854,-91.126998,Meridian St/E 2nd St
526,41.904066,-91.254717,/S John St
160,41.739062,-91.193678,Daughton Dr/Cedar Valley Rd
160,41.675714,-91.356230,Gilbert Dr/Sullivan St
552,41.655751,-91.195918,/300th St
185,41.672315,-91.347448,Poplar St/N Poplar St
305,41.671049,-91.348121,Penn St/Wetherell St
246,41.645963,-91.132153,306th St
