Estimated daily crossings,Latitude,Longitude,Name
216,40.719320,-95.480407,/Porter St
185,40.718483,-95.482500,Worden St/Essex Ave
160,40.671350,-95.830024,State Hwy 2
160,40.743863,-95.817777,210 St/I- 29
160,40.722960,-95.480222,/Lincoln St
185,40.748011,-95.647299,/Illinois St
246,40.603844,-95.680421,I- 29
160,40.723822,-95.478127,Saint Phillips Ave/Clay St
185,40.609656,-95.655969,Main St/L St
160,40.734899,-95.817425,I- 29
216,40.765865,-95.385342,/W Sheridan Ave
160,40.821994,-95.752768,North St/Fletcher St/Bluff Rd
160,40.689479,-95.807643,State Hwy 2/250 St
160,40.723795,-95.484258,/Clay St
185,40.722108,-95.481666,Washington St
246,40.587464,-95.658147,I- 29
160,40.722944,-95.484970,New Orleans Ave/Lincoln St
246,40.689149,-95.565994,M St/River Ave
160,40.742411,-95.644782,Draper Dr
160,40.610007,-95.652996,M St/Washington St
390,40.746719,-95.640437,Clay St/Locust
216,40.691485,-95.568226,Summer Ave/O St
246,40.722952,-95.480895,Lincoln St/Hartford Ave
160,40.608766,-95.656265,Main St/K St
160,40.609520,-95.655274,/L St
362,40.750098,-95.648377,Nebraska St/North St
160,40.600552,-95.666983,State Hwy 333
160,40.600553,-95.667027,/State Hwy 333
160,40.604230,-95.656352,Park St
160,40.758315,-95.817470,Co Rd L31/I- 29
160,40.669383,-95.765536,I- 29
160,40.658074,-95.755462,I- 29
160,40.768073,-95.385041,Fremont St
160,40.901429,-95.684444,Line St/Woodland St
160,40.595488,-95.672773,I- 29
160,40.748485,-95.628031,State Hwy 2/Filmore St
185,40.822061,-95.806486,155th St/I- 29
160,40.755356,-95.385168,/Fremont St/US Hwy 59
160,40.687022,-95.573190,K St/Barley Ave
160,40.756864,-95.385148,/Fremont St
160,40.896490,-95.671366,S Main St
185,40.745111,-95.644759,/Douglas St
160,40.721214,-95.484380,Wilkes St
185,40.685338,-95.567351,/Meadow Ave
246,40.587632,-95.658489,State Hwy V/Main St/I- 29
160,40.605154,-95.657452,F St/Main St
160,40.820687,-95.747979,Washington St/Elizabeth St
160,40.756479,-95.385152,Fremont St
185,40.603923,-95.660630,/Bluff St/D St
160,40.659620,-95.751839,/225 Ave
185,40.692357,-95.789137,211th Ave
160,40.617891,-95.697229,Railroad Rd
185,40.901613,-95.799297,I- 29
160,40.690350,-95.568290,Summer Ave/N St
160,40.724669,-95.477446,Webster St
185,40.719341,-95.481086,Hartford Ave/Porter St
334,40.689218,-95.789233,/State Hwy 2/211th Ave
160,40.720109,-95.476973,Jackson Ave/Davis St
185,40.787314,-95.807181,I- 29
185,40.745104,-95.643365,/Douglas St
185,40.766842,-95.385052,Fremont St
160,40.692271,-95.794521,209th Ave/249th St
160,40.824187,-95.803644,199th Ave
185,40.901610,-95.799606,I- 29
160,40.898299,-95.672316,/Orange St
216,40.611674,-95.656714,N St/Argyle St
160,40.610400,-95.654996,/M St
160,40.748738,-95.651606,Maple St
216,40.691450,-95.566990,O St/Meadow Ave
185,40.901453,-95.673784,Waubonsie St/Center St
160,40.742394,-95.646942,Draper Dr/S Main St
216,40.593279,-95.670289,/I- 29
160,40.745102,-95.642373,Douglas St
160,40.678297,-95.792277,/210th Ave
185,40.762866,-95.385099,/Fremont St
160,40.612829,-95.657707,O St/Bluff St
160,40.748603,-95.627638,/State Hwy 2
160,40.819783,-95.747971,Washington St/Filmore St
160,40.599618,-95.573310,/310th St
160,40.761046,-95.385123,Fremont St
160,40.691183,-95.791524,/249th St/210th Ave
305,40.686915,-95.568437,Summer Ave/K St
185,40.826194,-95.806787,/I- 29
276,40.584388,-95.652775,I- 29
246,40.748308,-95.641670,Filmore St
160,40.613659,-95.652502,/Q St
160,40.892186,-95.799528,/I- 29
185,40.745108,-95.644072,Douglas St/East St
160,40.743306,-95.659068,/Knox Rd
160,40.724659,-95.476735,Webster St/Jackson Ave
160,40.609267,-95.653969,/L St
160,40.605403,-95.653857,/G St
160,40.900812,-95.676161,Park St/
216,40.604641,-95.654806,F St/Washington St
185,40.822065,-95.806823,155th St/I- 29
160,40.614692,-95.652836,R St//Park St
276,40.584389,-95.652198,I- 29
160,40.879798,-95.800970,I- 29
276,40.750041,-95.647526,North St
160,40.750501,-95.575478,State Hwy 2/320 Ave
185,40.600577,-95.659010,/Main St
160,40.725710,-95.815573,Co Rd J34/225th St/I- 29
160,40.747459,-95.642042,Division St/Cass St
185,40.604276,-95.657742,Main St/E St
185,40.747169,-95.653528,Park St/
160,40.658398,-95.755368,I- 29
185,40.745105,-95.643644,Douglas St
160,40.707351,-95.790762,210 Ave
246,40.814447,-95.805900,/I- 29
160,40.740909,-95.646975,S Main St
276,40.610666,-95.656377,M St/
160,40.896128,-95.794256,205th Ave
185,40.746739,-95.646262,/Clay St
160,40.764058,-95.385089,Fremont St
185,40.748144,-95.651591,Maple St
216,40.722107,-95.480941,Washington St/Hartford Ave
160,40.583138,-95.392934,320th St/US Hwy 59
185,40.900837,-95.673782,/Center St
160,40.743596,-95.644272,/Foote St
185,40.817871,-95.806165,/I- 29
160,40.618968,-95.648654,Center St
185,40.749178,-95.641626,Webster St
185,40.747444,-95.647294,Illinois St/Cass St
246,40.814793,-95.805934,I- 29
160,40.639622,-95.736366,I- 29/240 Ave
276,40.607462,-95.659519,Bluff St
216,40.838514,-95.806197,I- 29
185,40.685719,-95.567336,I St/Meadow Ave
305,40.749171,-95.648386,Nebraska St/Webster St
216,40.723819,-95.477459,/Clay St
185,40.743295,-95.660994,Knox Rd
185,40.748315,-95.643030,Filmore St
160,40.720310,-95.481032,Hartford Ave/Dupont St
185,40.608086,-95.661550,Skyline Dr
185,40.764463,-95.385088,Fremont St
160,40.611281,-95.654685,/N St
334,40.689260,-95.791617,State Hwy 2/210th Ave
160,40.719604,-95.483139,/Dupont St
160,40.720365,-95.485114,New Orleans Ave/Rodman St
160,40.880006,-95.800578,I- 29
