Estimated daily crossings,Latitude,Longitude,Name
185,42.024224,-94.380116,N Maple St/W Mahlon St
160,42.034386,-94.378078,/W Hwy 30
216,42.014276,-94.380055,W Harrison St/S Maple St
160,42.152608,-94.477934,School St
185,42.020452,-94.369439,E Clark St/N Cedar St
160,42.034604,-94.464830,220th St
185,42.085406,-94.222998,185th St/V Ave
160,41.935491,-94.200680,3rd St/290th St/Percival
185,42.011462,-94.398855,Hillcrest Pl/237th St
160,42.011648,-94.380047,W South St/S Maple St
160,42.036275,-94.229430,220th St/18th St N
160,42.033389,-94.203518,220th St/W Ave
362,42.002684,-94.376093,/Sunset Pl/Ram Dr
160,42.024747,-94.545378,Chicago St/Main St
216,42.002742,-94.373435,Ram Dr/S Chestnut St
185,42.008063,-94.382112,W Russell St/S Walnut St
216,42.022754,-94.549276,State St/Maple St
216,42.014293,-94.373427,S Chestnut St/E Harrison St
160,42.035552,-94.228186,Percival St E/19th St N
185,42.017243,-94.378763,N Oak St/W Washington St
445,42.019317,-94.377430,W Reed St/N Elm St
185,42.009844,-94.380703,W Park St/Park Pl
390,42.018236,-94.377422,W Adams St/N Elm St
160,42.105341,-94.242142,Mayes St/Eckstein St
160,42.008341,-94.549847,240th St
160,42.034625,-94.553682,/220th St
160,42.034595,-94.348705,220th St/Orchard Ave
160,42.021334,-94.387178,N Grimmell Rd
160,42.034600,-94.164619,A Ave/220th St
160,42.012323,-94.378728,W Madison St/S Oak St
160,42.023759,-94.545372,Jefferson St/Main St
185,42.004904,-94.371938,S Locust St/E Vest St
246,42.013294,-94.376067,W Monroe St/S Vine St
185,42.023381,-94.373548,N Chestnut St/E Perry St
160,42.024744,-94.547762,Walnut St/Chicago St
160,42.149428,-94.378122,140th St/N Ave
160,42.034610,-94.602339,220th St
526,42.014269,-94.377402,S Elm St/W Harrison St
160,42.034608,-94.494144,H Ave/220th St
276,42.021874,-94.381435,N Pinet St
160,42.033263,-94.218667,220th St
160,42.022752,-94.547879,Cedar St/State St
160,42.106339,-94.242592,Mc Intyre St/Lawrence St
160,42.018241,-94.380084,N Maple St/W Adams St
185,42.013304,-94.374762,E Monroe St/W Monroe St/S Wilson St
160,42.023013,-94.369447,N Cedar St
334,42.008063,-94.377406,S Elm St/W Russell St
185,42.032015,-94.230677,17th St S
390,42.165445,-94.255603,State St/S Wise St
216,42.021514,-94.373449,E McKinley St/N Chestnut St
160,42.017267,-94.370779,E Washington St/N Olive St
160,42.035490,-94.244914,220th St
160,42.026084,-94.374319,E Central St
160,42.018268,-94.370778,E Adams St/N Olive St
216,42.021491,-94.381431,W McKinley St/N Pinet St
185,42.017224,-94.385312,W Washington St/N West St
390,42.165468,-94.254252,State St/Griffith Ave/S Main St
160,42.011448,-94.396830,W Lincolnway St/Westwood Dr/237th St
160,42.153806,-94.477257,Head St
160,42.020469,-94.368269,E Clark St
185,42.034489,-94.300222,220th St/R Ave
160,42.165437,-94.256935,State St/S Park St
216,42.036267,-94.232015,220th St
160,42.031755,-94.229405,18th St S/Main St E
160,42.024744,-94.548280,Chicago St
160,42.035433,-94.245543,220th St
216,42.021540,-94.370802,E McKinley St/N Olive St
185,42.015226,-94.389126,W Lincolnway St/Lincoln Pl
160,42.007255,-94.380871,Edgewood Ave
160,42.019827,-94.545389,Stanton St/Main St
185,42.166190,-94.256949,S Park St/W Paton St/N Park St
160,42.004035,-94.375196,W Wilcox Way
276,42.009857,-94.377418,S Elm St/W Park St
160,42.020439,-94.372129,E Clark St/N Locust St
160,42.122734,-94.281169,160th St/S Ave
246,42.009007,-94.380701,Park Pl
390,42.008067,-94.376030,W Russell St/S Vine St
160,42.003998,-94.373436,E Wilcox Way/S Chestnut St/W Wilcox Way
160,42.106342,-94.242141,Eckstein St/Lawrence St
185,42.011475,-94.394753,Westwood Dr/Hickory Ln
160,42.004887,-94.377398,S Elm St/W Vest St
160,42.017309,-94.367143,E Washington St
160,42.016256,-94.382742,N Walnut St/W State St
160,42.152931,-94.474746,/Fitzpatrick St
160,42.015189,-94.341997,/235th St
160,42.020387,-94.381423,W Clark St/N Pinet St
160,42.005666,-94.378641,Park Ave S
160,42.163106,-94.551965,E Ave
160,42.034484,-94.571087,220th St/D Ave
185,42.027364,-94.545386,Ninth St/Main St
185,42.008059,-94.378636,W Russell St/S Oak St
185,42.013321,-94.369434,E Monroe St/S Cedar St
216,42.034561,-94.372165,E Hwy 30
160,41.932609,-94.200688,3rd St/Cartwright St
185,42.029041,-94.544245,Lincoln St/Eleventh St
246,42.034621,-94.368181,E Hwy 30/N Mulberry St
160,42.150801,-94.476021,Dudley St/Livingston St
334,42.012309,-94.376055,S Vine St/W Madison St
160,42.143181,-94.378007,N Ave
216,42.013274,-94.386413,W Monroe St/S Georgia St
160,42.012333,-94.369427,E Madison St/S Cedar St
216,42.152607,-94.476043,School St/Livingston St
216,42.020427,-94.374774,E Clark St/W Clark St/N Wilson Ave
160,42.013276,-94.382723,W Monroe St/S Walnut St
216,42.029814,-94.234606,14th St S/E Kelly St
185,42.020848,-94.542853,Irving St/Eagle St
160,42.023556,-94.547749,Walnut St/Jefferson St
216,42.035994,-94.232018,16th St N
160,42.153545,-94.473522,North St/Dudleys Ave
160,42.014253,-94.387098,S Grimmell Rd/W Harrison St
185,42.027786,-94.545388,Main St
185,41.894874,-94.164430,A Ave
160,42.035359,-94.246357,220th St
160,42.033813,-94.203522,W Ave
185,42.163458,-94.256912,S Park St/Cottage St
185,42.030772,-94.229373,/Hager St E/18th St S
246,42.026081,-94.375175,W Central St
185,42.035614,-94.231647,/Percival St E
160,42.025280,-94.242178,Sunset Dr/U Ave
160,42.153545,-94.472307,North St/Hills Ave
160,42.034652,-94.446145,220th St
160,42.009841,-94.381655,W Park St/Pinet Pl
276,42.020417,-94.376098,W Clark St/N Vine St
160,41.932613,-94.201912,Cartwright St/2nd St
160,42.013311,-94.373435,E Monroe St/S Chestnut St
160,42.155657,-94.478494,/Hill St
160,42.023754,-94.544266,Lincoln St/Jefferson St
160,42.011614,-94.384005,W South St/S High St
216,42.013275,-94.385222,W Monroe St/S West St
160,41.998424,-94.379892,W Greenewood Rd
276,42.022438,-94.381442,W Wall St/N Pinet St
160,42.020395,-94.380084,N Maple St/W Clark St
160,42.026146,-94.358169,E Central St/225th St
216,42.010010,-94.394786,Hickory Ln
160,41.932999,-94.200690,/3rd St
160,42.003530,-94.381597,Riverside Dr/McDuffie Dr/Sunset Rd
216,42.024218,-94.381462,W Mahlon St/N Pinet St
160,42.025151,-94.378776,W Head St/N Oak St
246,42.004903,-94.374812,W Vest St/E Vest St
160,42.032192,-94.377840,American Ave/N Elm St
185,42.008061,-94.370714,S Olive St/E Russell St
216,42.166195,-94.255616,N Wise St/W Paton St/S Wise St
160,42.153823,-94.478476,/Hill St
160,42.003533,-94.381403,McDuffie Dr/Southfield Dr/Sunset Rd
246,42.008745,-94.380706,Park Pl
216,42.013273,-94.387087,W Monroe St/S Grimmell Rd
160,42.014271,-94.382728,S Walnut St/W Harrison St
246,42.020445,-94.370786,E Clark St/N Olive St
185,42.151718,-94.469354,Harding St
160,42.019370,-94.369436,E Reed St/N Cedar St
160,42.013293,-94.378730,W Monroe St/S Oak St
185,42.009018,-94.381643,Pinet Pl
160,42.021896,-94.548349,/Madison St
185,42.019298,-94.382358,W Reed St
185,42.031761,-94.231966,16th St S/Main St E
160,41.863308,-94.507819,340th St
185,42.021521,-94.372121,E McKinley St/N Locust St
185,42.025154,-94.377613,W Head St/N Elm St
216,42.023750,-94.542869,Jefferson St/Eagle St
185,42.015306,-94.370781,S Olive St/N Olive St/E Lincolnway St
160,42.000049,-94.377389,S Elm St/N Ave
246,42.009890,-94.373444,S Chestnut St/E Park St
160,42.154310,-94.479796,/Jay St
160,42.002948,-94.435453,K Ave/244th St
160,42.021502,-94.376107,N Vine St/W McKinley St
160,42.033992,-94.377387,Gallup Rd
334,42.016259,-94.377402,N Elm St/W State St
418,42.015275,-94.376089,W Lincolnway St/S Vine St/N Vine St
160,42.022754,-94.550668,State St/Linn St
216,42.023750,-94.541943,Jefferson St/Kendrick St
160,42.012428,-94.396842,W Lincolnway St/Woodland Dr
160,42.008067,-94.374752,W Russell St/E Russell St/S Wilson St
160,42.017248,-94.376099,W Washington St/N Vine St
185,42.034414,-94.368171,N Mulberry St/Gallup Rd
160,42.011655,-94.378703,W South St/S Oak St
185,42.028979,-94.545312,Main St/Eleventh St
185,42.024273,-94.374791,N Wilson St/E Mahlon St
160,41.934915,-94.200658,/3rd St
160,42.154312,-94.481090,Butler St/Jay St
160,42.156216,-94.477249,Bell St/Head St
185,42.031758,-94.230674,17th St S/Main St E
160,42.024744,-94.548982,/Chicago St/Oak St
216,42.034575,-94.426940,Kirkwood Ave/220th St
160,42.012320,-94.372095,S Locust St/E Madison St
276,42.151716,-94.470622,Harding St
160,42.015264,-94.382734,W Lincolnway St/N Walnut St/S Walnut St
305,42.020405,-94.377435,W Clark St/N Elm St
185,42.022754,-94.542866,State St/Eagle St
160,42.021260,-94.369441,N Cedar St
185,42.018252,-94.374760,E Adams St/N Wilson St/W Adams St/N Wilson Ave
276,42.021992,-94.380095,N Maple St
334,42.026960,-94.377671,W Stanford St/N Elm St
160,42.021649,-94.369443,N Cedar St
684,42.015266,-94.377403,S Elm St/W Lincolnway St/N Elm St
160,42.011582,-94.551585,/Locust St
160,42.012312,-94.380046,W Madison St/S Maple St
160,42.034462,-94.376536,/W Hwy 30
160,42.034469,-94.172984,220th St
160,41.942557,-94.454208,J Ave
246,42.016264,-94.376098,N Vine St/W State St
160,42.020433,-94.373446,E Clark St/N Chestnut St
276,42.018245,-94.378767,W Adams St/N Oak St
185,42.035338,-94.232011,Percival St E/16th St N
160,42.077862,-94.499209,190th St
185,42.012305,-94.384016,W Madison St/S High St
160,42.020383,-94.387170,W Clark St/N Grimmell Rd
276,42.023370,-94.374783,N Wilson St/E Perry St
216,42.008993,-94.379853,S Maple St
216,42.021893,-94.549709,/Madison St
418,42.015281,-94.374746,W Lincolnway St/N Wilson St/E Lincolnway St/S Wilson St
216,42.012302,-94.377405,S Elm St/W Madison St
185,42.036054,-94.238373,220th St/11th St N
160,42.018269,-94.369436,E Adams St/N Cedar St
185,42.027093,-94.238604,/Rebecca St E/11th St S
160,42.029587,-94.329249,Pioneer Ave/222nd St
216,42.016268,-94.372105,E State St/N Locust St
185,42.011465,-94.399216,Briarwood Bend/237th St
216,42.022336,-94.374779,N Wilson St
216,42.011659,-94.377413,S Elm St/W South St
160,42.034647,-94.228119,19th St N/Division St E
160,42.153537,-94.478474,North St/Hill St
160,42.034079,-94.233287,15th St/E Railroad St
160,42.107047,-94.370260,170th St
160,42.017237,-94.382750,N Walnut St/W Washington St
246,42.015292,-94.372111,S Locust St/E Lincolnway St/N Locust St
185,42.003293,-94.375550,/Sunset Pl
160,42.166713,-94.255631,N Wise St
160,42.032289,-94.231978,16th St N/16th St S
160,42.034636,-94.358280,E Hwy 30/220th St
160,42.031462,-94.246179,/W Main St
160,42.033178,-94.210876,222nd St
160,42.025151,-94.380121,W Head St/N Maple St
160,42.026142,-94.242188,Elizabeth St W/U Ave
276,42.001757,-94.377403,S Elm St/Grauer St
160,42.005812,-94.377399,S Elm St
160,42.027784,-94.544256,Lincoln St
185,42.012317,-94.373439,E Madison St/S Chestnut St
160,42.024751,-94.544597,Chicago St
160,42.011487,-94.393707,Rushridge Rd/Westwood Dr
246,42.021495,-94.377456,N Elm St/W McKinley St
160,42.017427,-94.551592,Moulton St/Locust St
216,42.023385,-94.382430,N Walnut St/W Perry St
216,42.015268,-94.378742,W Lincolnway St/S Oak St/N Oak St
185,42.011457,-94.396166,Westwood Dr/Hawthorne Ln
185,42.164429,-94.257823,S College St/Tallman St
160,42.012306,-94.386397,W Madison St/S Georgia St
334,42.009876,-94.376040,W Park St/S Vine St
276,42.026063,-94.377659,W Central St/N Elm St
160,42.011046,-94.551585,Locust St
216,42.035333,-94.232491,Percival St E
185,42.020454,-94.369135,/E Clark St
160,42.018262,-94.372112,E Adams St/N Locust St
185,42.011477,-94.394621,Westwood Dr/Ferguson Cir
185,42.018245,-94.376098,W Adams St/N Vine St
160,42.016260,-94.378754,N Oak St/W State St
390,42.017238,-94.377413,N Elm St/W Washington St
216,42.006833,-94.377394,S Elm St/Edgewood Ave
160,42.000708,-94.377395,S Elm St
160,42.011624,-94.382722,W South St/S Walnut St
160,42.034579,-94.472396,220th St
185,42.010760,-94.377416,Brackett St/S Elm St
160,42.021108,-94.369441,/N Cedar St
160,42.021560,-94.369443,E McKinley St/N Cedar St
160,41.935889,-94.200695,3rd St/144 Diagonal
160,42.151733,-94.474740,Harding St/I Ave/Fitzpatrick St
185,42.019323,-94.380086,N Maple St/W Reed St
160,42.035270,-94.164628,A Ave
160,42.049053,-94.625244,210th St
334,42.164478,-94.254256,Tallman St/S Main St
160,42.014311,-94.368167,S Mulberry St/E Harrison St
185,42.151743,-94.476035,Harding St/Livingston St
160,42.034553,-94.417278,L Ave/220th St
185,42.024213,-94.382459,N Walnut St/W Mahlon St
160,41.935378,-94.199456,290th St
246,42.019324,-94.378768,W Reed St/N Oak St
185,42.015261,-94.385298,W Lincolnway St/N West St/S West St
160,42.022230,-94.369444,/N Cedar St
526,42.014278,-94.376078,S Vine St/W Harrison St
185,42.166683,-94.256961,N Park St
185,42.008054,-94.379849,W Russell St/S Maple St
160,42.156219,-94.478490,Bell St/Hill St
160,42.022752,-94.541932,State St/Kendrick St
160,42.033976,-94.377741,Gallup Rd
160,42.022753,-94.548367,State St/
160,42.023556,-94.548251,/Jefferson St
160,41.863018,-94.309370,Quest Ave/100th St
216,42.021893,-94.549896,/Madison St
160,42.020459,-94.368574,/E Clark St
185,42.014271,-94.384028,S High St/W Harrison St
216,42.030766,-94.230646,17th St S/Hager St E
160,42.024753,-94.544262,Lincoln St/Chicago St
160,42.032937,-94.217825,222nd St/220th St
334,42.019330,-94.376096,W Reed St/N Vine St
276,42.023371,-94.381452,W Perry St/N Pinet St
185,42.021895,-94.549280,Madison St/Maple St
160,42.025155,-94.381464,W Head St/N Pinet St
276,42.034984,-94.368179,N Mulberry St
160,42.034483,-94.377898,/N Elm St
216,42.017256,-94.373430,E Washington St/N Chestnut St
160,42.011649,-94.379891,W South St/S Maple St
160,42.016260,-94.380073,N Maple St/W State St
246,42.009689,-94.396114,Hawthorne Ln
160,42.105334,-94.242588,Mayes St/Mc Intyre St
185,42.022293,-94.373456,N Chestnut St
216,42.012314,-94.374748,E Madison St/W Madison St/S Wilson St
160,42.034388,-94.377888,N Elm St/W Hwy 30
185,42.021890,-94.550663,Linn St/Madison St
160,42.180645,-94.184601,X Ave/120th St
160,42.034632,-94.436588,K Ave/220th St
160,42.034412,-94.380208,/W Hwy 30
160,42.023555,-94.548977,Jefferson St/Oak St
160,42.152610,-94.477258,School St/Head St
246,42.022426,-94.382422,N Walnut St/W Wall St
160,42.152572,-94.474746,School St/Fitzpatrick St
160,42.018256,-94.373441,E Adams St/N Chestnut St
160,42.156614,-94.477252,/Head St
185,42.002694,-94.377401,S Elm St/Ram Dr
160,42.019688,-94.544278,Lincoln St/Stanton St
160,42.019353,-94.372121,E Reed St/N Locust St
160,42.013332,-94.367859,E Monroe St/S Mulberry St
216,42.022455,-94.380100,N Maple St/W Wall St
305,42.015284,-94.373423,N Chestnut St/S Chestnut St/E Lincolnway St
185,42.019341,-94.374768,W Reed St/N Wilson Ave/E Reed St
160,42.005732,-94.377400,S Elm St/Park Ave S
160,42.152816,-94.478469,Hill St
246,42.014280,-94.378735,S Oak St/W Harrison St
160,42.008144,-94.440772,240th St
276,42.017252,-94.374752,E Washington St/N Wilson St/W Washington St
216,42.030762,-94.234612,Hager St E/14th St S
185,42.011465,-94.395592,/Westwood Dr
246,42.164456,-94.255596,Tallman St/S Wise St
160,42.009839,-94.382282,W Park St/S Walnut St
160,42.027399,-94.544259,Lincoln St/Ninth St
276,42.021484,-94.380089,N Maple St/W McKinley St
246,42.016263,-94.373424,N Chestnut St/E State St
160,41.999751,-94.377387,S Elm St/N Ave
216,42.026083,-94.374736,E Central St
160,42.146703,-94.339633,P Ave
160,42.154311,-94.480359,/Jay St
185,42.013286,-94.380047,W Monroe St/S Maple St
160,42.153543,-94.477258,North St/Head St
160,41.935490,-94.200315,144 Diagonal/290th St
160,42.028902,-94.237276,Bennett St E/12th St S
246,42.034322,-94.372157,Gallup Rd
246,42.014287,-94.374759,E Harrison St/W Harrison St/S Wilson St
160,42.027982,-94.238618,Herron St E/11th St S
160,42.017262,-94.372105,E Washington St/N Locust St
216,42.020407,-94.378763,W Clark St/N Oak St
160,42.020378,-94.385307,W Clark St/N West St
160,42.003520,-94.382262,Sunset Rd
160,42.034691,-94.238359,Division/11th St N
216,42.015263,-94.384031,W Lincolnway St/S High St/N High St
160,42.029786,-94.237288,12th St S/E Kelly St
160,42.022246,-94.377484,N Elm St
185,42.010481,-94.399049,/Hillcrest Pl
185,42.032234,-94.211083,220th St
185,42.022754,-94.549906,State St/
160,42.016314,-94.367154,E State St
160,42.152602,-94.478327,School St
160,42.156614,-94.478481,/Hill St
276,42.021488,-94.378767,N Oak St/W McKinley St
160,42.009039,-94.382283,S Walnut St
160,42.027092,-94.237259,Rebecca St E/12th St S
160,42.026057,-94.378799,W Central St/N Oak St
185,42.164437,-94.256921,S Park St/Tallman St
160,42.021823,-94.455057,J Ave/230th St
185,42.034635,-94.233308,15th St/
246,42.026083,-94.374808,N Wilson St/W Central St/E Central St
160,42.034648,-94.532384,F Ave/220th St
390,42.016265,-94.374743,N Wilson St/E State St/W State St
185,42.035618,-94.232021,Percival St E/16th St N
160,42.152915,-94.476044,/Livingston St
216,42.021509,-94.374775,N Wilson St/E McKinley St/N Wilson Ave/W McKinley St
276,42.164492,-94.253417,Tallman St/Griffith Ave
160,42.035892,-94.225795,220th St
160,42.034124,-94.184026,X Ave/220th St
305,42.007252,-94.377398,S Elm St/Edgewood Ave
185,42.019355,-94.370781,E Reed St/N Olive St
160,42.012307,-94.382721,W Madison St/S Walnut St
160,42.014272,-94.385277,W Harrison St/S West St
185,42.035609,-94.229425,Percival St E/18th St N
160,42.152162,-94.474713,/Fitzpatrick St
160,42.034430,-94.261716,T Ave/220th St
160,42.049124,-94.553243,210th St
160,42.153501,-94.481097,Butler St/
334,42.007315,-94.376101,Edgewood Ave/S Vine St
185,42.013274,-94.384027,W Monroe St/S High St
160,42.033972,-94.377863,N Elm St
216,42.019310,-94.381418,W Reed St/N Pinet St
