Estimated daily crossings,Latitude,Longitude,Name
185,42.052592,-90.398855,W White St
334,42.070264,-90.667863,James St/N Niagara St
246,42.070573,-90.686294,Ehlers Ln
216,42.054478,-90.394015,W Miles St/Main St
276,42.044974,-90.315094,Washington St/Forrest St
160,42.072235,-90.658279,E Apple St/N Dearborn St
185,42.072296,-90.664369,E Apple St/N Olive St
160,42.235785,-90.781653,Locust St
216,42.066264,-90.172631,Union St/Elk St
276,42.053436,-90.401928,W White St/Industrial Ln
185,42.294661,-90.681228,300th St
160,42.072259,-90.660627,E Apple St/N Matteson St
185,42.266407,-90.429418,John St/Stone St
185,42.068904,-90.646771,Jacobsen Dr//State Hwy 64
605,42.255505,-90.428747,/Jefferson St
160,42.053740,-90.665409,200th Ave
185,42.074696,-90.674767,Arcade St
160,42.051054,-90.392590,E Gillet
160,42.073688,-90.672792,W Grove St
160,42.153685,-90.587415,268th Ave
160,42.219933,-90.694062,176th Ave
246,42.062507,-90.669055,School St/S 4th St
160,42.076366,-90.683121,US Hwy 61
160,42.355763,-90.548772,Centerville Rd
865,42.059922,-90.673092,/Washington St/S Vermont St
499,42.256367,-90.429118,/Court St
185,42.072069,-90.175396,Cherry St/Elk St
160,42.050796,-90.390451,Davis St/N Orin St
185,42.071512,-90.683356,German St/US Hwy 61
160,42.047344,-90.607844,17th St/State Hwy 64
276,42.062123,-90.683800,/Rosemere Ln
185,42.065760,-90.640151,State Hwy 64
160,42.060116,-90.677480,Vine St/Longview Dr
185,42.067717,-90.671637,W Pleasant St/S Prospect St
160,42.296073,-90.433878,302nd St/399th Ave
246,42.070280,-90.665506,James St/N Main St
160,42.300141,-90.433205,/306th St
246,42.255432,-90.436855,State St/N 12th St
185,42.032821,-90.665044,1st St
246,42.051401,-90.396315,Simpson St/Market St
160,42.235230,-90.782012,Leisure Lake Dr/Pear St
390,42.064565,-90.665475,E Locust St/S Main St/W Locust St
246,42.252510,-90.422429,3rd St/Spruce St
276,42.067716,-90.666860,W Pleasant St/S 2nd St
185,42.067731,-90.660614,S Matteson St/E Pleasant St
185,42.059132,-90.683194,Muggsie Ln/Moore Dr
216,42.051544,-90.398245,Grant St
216,42.044750,-90.664983,200th Ave
160,42.048941,-90.396317,Stephens St/Degroat St
658,42.259573,-90.423429,/Market St/Hwy 52
246,42.360436,-90.540056,W 1st St
526,42.064561,-90.669051,S 4th St/W Locust St
160,42.301869,-90.452556,308th St/Hwy 52
684,42.068971,-90.678615,Creslane/W Platt St/Western Ave
160,42.381782,-90.570666,US Hwy 52/400th St
160,42.070914,-90.658278,E Quarry St/N Dearborn St
160,42.360123,-90.538595,/Main St
160,42.237675,-90.771238,Circle Dr/Hill Dr
160,42.270080,-90.432326,Ensign Rd
305,42.072650,-90.173439,Pearl St/Cherry St
305,42.258997,-90.425773,N 3rd St/Market St
216,42.156352,-90.592268,E Cass St/N Main St/W Cass St
246,42.059924,-90.669106,Washington St/S 4th St
445,42.059923,-90.670275,Washington St/S 5th St
246,42.066346,-90.678664,Wesley St/Western Ave
160,42.110943,-90.257012,/550th Ave
160,42.054980,-90.685666,Swagosa Dr/Country Club Dr
160,42.284380,-90.831797,150th St/W Bellevue-Cascade Rd
276,42.262046,-90.432921,N 7th St/Sylvan St
216,42.155254,-90.587946,E Van Buren St/N Adams St
499,42.050530,-90.396233,Simpson St/Assmussen St
276,42.048936,-90.397478,Mitchell St/Degroat St
185,42.155321,-90.590119,E Van Buren St/N Franklin St
160,42.273201,-90.679016,/275th St
185,42.214806,-90.675351,208th St//US Hwy 61
246,42.047118,-90.315109,Washington St/Orson St
160,42.047340,-90.607249,17th St/251st Ave
160,42.070933,-90.671647,N Prospect St/W Quarry St
605,42.064576,-90.673211,S Vermont St/W Locust St
246,42.062553,-90.675228,S Jones Ave/Jones St
276,42.047112,-90.315771,Orson St/Ferry Rd
160,42.236790,-90.767783,Leisure Lake Rd/113th Ave
216,42.069123,-90.648201,E Platt St
160,42.046676,-90.607228,251st Ave/State Hwy 64
160,42.087899,-90.403740,425th Ave
160,42.069229,-90.659433,S Clark St/E Platt St
160,42.054424,-90.684575,184th Ave/Myatt Dr
362,42.067716,-90.665510,S Main St/E Pleasant St/W Pleasant St
160,42.070923,-90.670314,N 5th St/W Quarry St
160,42.054836,-90.528940,317th Ave/State Hwy 64
160,42.256682,-90.436156,N 11th St
160,42.259837,-90.426139,N 3rd St/Park St
160,42.074926,-90.176776,Elk St
305,42.260150,-90.428763,Franklin St/N 5th St
160,42.061293,-90.413450,418th Ave
160,42.069190,-90.668987,N Decker St/W Platt St
160,42.255321,-90.421675,Church St/Hwy 52
160,42.057044,-90.617329,/State Hwy 64
334,42.053510,-90.393295,W Wilson St
246,42.252096,-90.419503,Dorchester
185,42.070930,-90.664364,E Quarry St/N Olive St
