Estimated daily crossings,Latitude,Longitude,Name
160,42.985703,-96.009772,9th St/2nd Ave
160,43.189366,-96.141313,Birch St/2nd St
185,43.190942,-96.295573,Deer Run/Sunset Dr
246,43.007304,-96.485116,18th St/Central Ave
160,43.069883,-95.899502,Co Rd N/Sunrise Dr
185,43.006218,-96.480178,17th St/Ave L
160,43.007172,-96.055351,2nd St NE/Boston Ave NE
160,43.079701,-96.179237,3rd St NW/3rd Ave NW
160,43.064170,-96.175281,S Main Ave/13th St SW
185,42.981945,-95.872946,Garfield St/Elm St
216,43.189680,-96.130957,Walnut St/2nd St
160,42.967852,-96.176770,4th St/Pine St/
246,43.012106,-96.052520,Dover Ave NE/7th St NE
160,42.982598,-96.016222,Cambier Dr/Division St
185,43.191191,-96.298416,Hunter Ridge/Sunset Dr/Edith Prairie Cir
160,42.974868,-96.321025,4th St/West St
160,43.188622,-96.141328,1st St/Birch St
160,43.200174,-96.306295,/9th Ave
185,42.998155,-96.488087,Avenue E/11th St
499,43.002396,-96.054166,Amsterdam Dr
185,43.085379,-96.169973,4th Ave NE/8th St NE
362,43.001919,-96.043804,/5th St SE/Olympia Ave SE
185,43.065599,-96.171211,3rd Ave SE/12th St SE
185,43.195970,-96.124970,Aspen St
216,42.998805,-96.062140,7th St SW
276,43.009428,-96.056746,Albany Ave NE/4th St NE
160,42.996782,-96.471600,10th St/State Hwy 10
160,42.997958,-96.067897,Hwy 10 W
160,43.187680,-96.133697,Railroad St/Main St
334,43.005022,-96.061831,2nd St SW
160,43.069117,-95.908604,Ash St/Birch St
499,43.090406,-96.175315,Frontage Rd NE/12th St NE
160,43.188912,-96.009558,/Sheridan St
160,42.985187,-96.016115,6th Ave/7th St
276,43.184514,-95.876884,/College Dr
216,42.996688,-96.037099,Jay Ave
160,43.001775,-96.046456,Lincoln Ave SE
216,42.997410,-96.066612,/8th St SW/Industrial Bypass Rd
160,43.001646,-96.049991,Hartford Ave SE/5th St SE
185,42.999146,-96.474049,Falcon Dr/12th St/
246,43.190926,-96.302621,Sunset Dr
305,43.004056,-96.054178,Zuider Zee Ct
1641,42.997535,-96.056817,Albany Ave SE/Albany Pl/8th St SE
276,43.083185,-96.175675,6th St NW/6th St NE/N Main Ave
160,43.214337,-96.177318,US 75 Ave
185,43.001446,-96.474968,Ave O/14th St
160,42.999154,-96.070380,Louisiana Ave SW
472,43.084391,-96.163668,7th St NE
305,43.080892,-96.175588,4th St NE/4th St NW/N Main Ave
160,43.062456,-96.172541,2nd Ave SE/14th St SE
276,43.070543,-95.907603,2nd Ave S/Elm St
246,42.997480,-96.040343,Hwy 10/Salem Ave
216,43.009450,-96.059690,Arizona NW/4th St NW/Arizona Ave NW
185,43.187975,-96.000095,Colfax St
216,42.994706,-96.056895,Albany Pl/11th St SE
216,43.192931,-96.136384,5th St/Linden St
160,43.013118,-96.056752,Albany Ave NE
160,43.064367,-96.175370,13th St SE/S Main Ave
216,42.996768,-96.486670,10th St/Ave F
160,42.916190,-95.918405,Lily Ave
246,43.069991,-95.906426,3rd Ave S/Elm St
160,43.189726,-96.127708,Chestnut St/2nd St
160,42.996762,-96.476915,10th St/Avenue N
762,43.004005,-96.058237,Central Ave S/3rd St SW/3rd St SE
216,43.011584,-96.058196,6th St NW/Central Ave NE/6th St NE
185,43.204209,-96.282963,14th St/22nd Ave
160,43.205195,-96.296617,15th St/15th Ave
160,43.194257,-96.126466,6th St
160,43.069717,-96.187430,9th St SW
160,42.994825,-96.037115,Jay Ave
160,43.002951,-96.481532,14th St
305,43.008317,-96.056749,Albany Ave NE/3rd St NE
160,43.084114,-96.271834,390th St
160,42.983780,-96.052082,19th St SE
160,42.982592,-96.010427,Division St/1st Ave
185,42.975877,-96.319646,3rd St/Elm St
160,43.021491,-96.056763,Albany Ave NE
160,43.185752,-95.962308,/320th St
160,43.078058,-96.157458,12th Ave NE/2nd St NE
160,43.186227,-96.011490,320th St
160,42.924269,-95.957545,500th St/Kiwi Ave
185,43.075099,-95.901601,Oak St
216,43.087705,-96.173797,10th Street Cir NE
160,42.994758,-96.052980,Denver Pl SE/11th St SE
216,43.012132,-96.059669,7th St NW/Arizona Ave NW
185,43.074024,-95.909386,395th St
160,43.090454,-96.168687,5th Avenue Cir NE/12th St NE
276,42.997663,-96.066664,/Iowa Ave SW/8th St SW/Hwy 10 W
