Estimated daily crossings,Latitude,Longitude,Name
276,39.376161,-97.119212,9th St/Lincoln Ave
160,39.214640,-97.011765,Cedar St/Fifth
185,39.377222,-97.123600,Court St
160,39.220786,-97.016960,Grove St/Lakeside Cir
160,39.379162,-97.267010,/18th Rd
160,39.427918,-96.998318,Dixon St/Dixons Ave
160,39.427679,-96.998320,Dixons Ave/Dixon Ave
246,39.387589,-97.126420,5th St/Prospect St
160,39.321472,-97.232767,/14th Rd
160,39.365242,-97.111602,Broughton Rd
160,39.366452,-97.117405,Blaine Ave
305,39.376223,-97.123983,Lincoln Ave
605,39.380778,-97.119230,9th St
185,39.379908,-97.128377,4th St/
185,39.384526,-97.128411,4th St/Frederick St
185,39.379858,-97.135976,A St
185,39.386006,-97.124544,6th St
160,39.565704,-97.273276,E Bartlett St/Courtland St
185,39.381647,-97.111057,Blunt St/Goodin Dr
160,39.366012,-97.112810,/Broughton Rd
160,39.385051,-97.128437,/4th St
185,39.384795,-97.128432,4th St
160,39.373953,-97.114537,12th St/Clay St
185,39.387120,-97.128424,4th St/
160,39.391597,-97.118713,9th St/Liberty St
160,39.237578,-97.129591,Navajo Rd
216,39.368988,-97.124620,S 6th St/Bridge St
160,39.377087,-97.116738,10th St/Court St
160,39.393783,-97.124487,Franklin St/6th St
160,39.391706,-97.126391,5th St/Liberty St
185,39.219825,-97.017503,10th St/Grove St/Elm St
160,39.322497,-97.132234,/14th Rd
160,39.220170,-97.085352,/7th Rd
160,39.383395,-97.122642,Huntress St/7th St
160,39.365570,-97.118949,Lady Grayhound St/S 9th St
185,39.465919,-97.202725,/S Walnut St
160,39.321323,-96.963338,/14th Rd
185,39.378200,-97.117550,10th St/Dexter St
160,39.134128,-97.130889,/1st Rd
160,39.563702,-97.275255,Strand St
185,39.387473,-97.116608,/Prospect St
160,39.391174,-97.124503,/6th St
185,39.391689,-97.125122,/State Hwy 15
246,39.374487,-97.114528,/12th St
246,39.378699,-97.115927,11th St
418,39.379426,-97.143352,/W Crawford St
160,39.375445,-97.112769,/13th St
334,39.212313,-97.015468,Third
160,39.381075,-97.137741,Pogue Rd
362,39.378398,-97.130327,3rd St/Dexter St
160,39.378745,-97.132100,/2nd St
