Estimated daily crossings,Latitude,Longitude,Name
216,38.415442,-95.867141,N West St
185,38.426093,-95.839464,I- 35
160,38.093258,-95.885763,Emmer Rd
499,38.194686,-95.743145,Neosho St/N 7th St
185,38.096556,-95.882019,/Main St
160,38.375863,-95.904609,24th Rd NW
160,38.404741,-95.848960,Old Hwy 50 NW
160,38.420900,-95.857817,/Fauna Rd NW/Fauna Rd
362,38.206423,-95.739381,/Cross St
160,38.427088,-95.861721,Service Dr/I- 35
160,38.199629,-95.848103,Garner Rd/12th Rd
160,38.200380,-95.793691,/Juneberry Rd
160,38.408654,-95.728571,US Hwy 75/
160,38.189194,-95.750802,S 12th St/Alleghany St
160,38.393054,-95.600901,W 4th St
160,38.199410,-95.767262,12th Rd
185,38.251393,-95.739885,Brown St
185,38.190041,-95.744222,Potomac St
334,38.191406,-95.740131,S 5th St
185,38.086051,-95.639070,Central Ave
160,38.390218,-95.857844,Fauna Rd NW/Fauna Rd/25th Rd NW
160,38.108211,-95.739223,US Hwy 75
160,38.260675,-95.745857,N 5th St/
246,38.423461,-95.901144,I- 35
185,38.393935,-95.600196,E 5th St/Pearson Ave
185,38.204702,-95.744610,Willett St
160,38.427548,-95.857812,Fauna Rd NW
160,38.086511,-95.636340,10th St/B St
160,38.206454,-95.741956,/Cross St
160,38.094131,-95.633687,/Main St
160,38.229653,-95.737093,US Hwy 75
185,38.213653,-95.740107,Lynx Pl SW/13th Rd
160,38.195282,-95.752229,/N 13th St
216,38.192827,-95.744691,S 8th St/Niagara St
185,38.426384,-95.750563,I- 35
185,38.392467,-95.602991,W 3rd St/Dane St
216,38.206483,-95.744578,Willett St/Cross St
362,38.198773,-95.738562,N 4th St/
160,38.082209,-95.635042,C St/6th St
246,38.416710,-95.867140,W 4th St/N West St
160,38.264004,-95.766598,Johnny St/Rodney St
185,38.422320,-95.890876,Dobbin Ter
246,38.398560,-95.600192,Pearson Ave
305,38.196109,-95.746127,N 9th St
276,38.083298,-95.636356,Kansas Ave/B St
160,38.101227,-95.878793,/1st St
185,38.205310,-95.747655,Martindale St/Cleveland St
160,38.418274,-95.860496,N Spruce St
305,38.200088,-95.746271,/Osborne St
