Estimated daily crossings,Latitude,Longitude,Name
418,39.039708,-96.828791,/E 17th St
305,39.035621,-96.837196,N Jackson St/W 13th St
160,39.016796,-96.846513,Countryside Ct/Countryside Rd
185,39.036389,-96.855642,Westwood Blvd/Bel Air Dr
185,39.011085,-96.872435,S Spring Valley Rd
160,39.139378,-96.870940,Range Rd
334,39.033986,-96.773995,I- 70
246,39.034337,-96.858773,Westwood Blvd
216,39.009501,-96.847838,Hemlock St/Cresthill Dr
445,39.028249,-96.843054,W 6th St/N Calhoun St
499,39.041839,-96.837271,N Jackson St/Airport Rd
160,39.030088,-96.872443,S Spring Valley Rd/State Hwy 18
445,39.038441,-96.842926,N Calhoun St
216,39.032955,-96.827552,N Franklin St
390,39.026153,-96.826849,/E 4th St
246,38.997365,-96.863273,Old Hwy 40
185,39.026145,-96.844021,W 4th St/Sunset Dr
185,39.087470,-96.821387,/McClellan Loop
246,39.020397,-96.829458,S Washington St
276,39.026153,-96.837183,N Jackson St/W 4th St
160,39.087313,-96.813731,Thomas Ave
160,39.000253,-96.854492,/Goldenbelt Blvd
246,38.999806,-96.857075,Goldenbelt Blvd
185,39.031282,-96.800593,W Grandview Dr
160,39.030076,-96.868942,State Hwy 18
1046,39.017781,-96.831451,S Jefferson St/W Elm St
305,39.043721,-96.823219,/Grant Ave
216,39.016260,-96.872433,S Spring Valley Rd
160,39.178200,-96.915800,Sun Cir
362,39.040704,-96.829475,E Home St/N Washington St
390,39.018317,-96.833361,/S Adams St
246,39.066398,-96.586032,I- 70
362,39.029830,-96.841007,/N Clay St
185,39.040444,-96.856711,W 17th St/Rockwell Dr
246,39.029650,-96.786008,I- 70
684,39.031929,-96.833373,N Adams St
216,39.021946,-96.826336,E Chestnut St
445,39.021436,-96.831425,/S Jefferson St
216,39.018322,-96.839058,/S Webster St
160,38.998139,-96.860952,US Hwy 77
160,39.050302,-96.743148,Clarks Creek Rd/
160,39.011402,-96.862313,St Marys Rd
160,39.019746,-96.858076,Holly Ln/Mc Farland Rd
