Estimated daily crossings,Latitude,Longitude,Name
216,39.045910,-98.145207,/E Franklin St
185,39.036871,-98.149489,/S 5th St
216,39.039240,-98.146035,E Court St/S 3rd St
160,39.051083,-98.147758,N 4th St/W High St/E High St
160,39.039239,-98.146664,/E Court St
160,38.929275,-98.021566,/N 260th Rd/E Elk Dr
160,38.945384,-98.151164,State Hwy 14
185,39.043476,-98.146028,N 3rd St/
160,39.041493,-98.140556,E School St
160,39.015384,-98.392017,/N Illinois Ave
160,38.873853,-97.928648,31st Rd
185,39.051882,-98.150949,State Hwy 18
216,39.050770,-98.151382,/N 6th St
185,39.041160,-98.143256,/E Elm St
185,38.878437,-97.968492,I- 70
160,39.032011,-98.278897,Market St/Main St
160,39.044747,-98.161602,W North St
160,39.033715,-98.149511,S 5th St/W College Ave
185,39.051725,-98.149511,/N 5th St
216,38.878421,-97.942403,I- 70
160,38.928876,-98.154518,/State Hwy 14/E Elk Dr
185,38.876329,-98.024313,I- 70
246,39.040197,-98.147770,N 4th St/E Lincoln Ave/S 4th St/W Lincoln Ave
246,38.878199,-97.977978,I- 70
185,39.040692,-98.142695,N 1st St
185,39.051868,-98.149512,N 5th St/State Hwy 18
160,39.041163,-98.151354,N 6th St/W Elm St
160,38.878506,-97.928761,I- 70
185,39.040183,-98.134917,E Lincoln Ave
160,39.161436,-98.392954,Ash Grove Rd
160,39.031002,-98.013854,State Hwy 18
160,39.020254,-97.974888,/State Hwy 252
216,39.051887,-98.151378,State Hwy 14/N 6th St/State Hwy 18
276,39.044636,-98.143519,/E North St
185,38.878193,-97.968398,I- 70
334,39.042092,-98.146028,N 3rd St/E School St
160,39.037343,-98.134098,/E South St
185,39.038767,-98.151342,S 6th St/
160,39.030027,-98.150104,State Hwy 14
160,39.038303,-98.141058,S Orange Ave/E Yauger St
160,39.047754,-98.144602,N 2nd St
216,38.878184,-97.942360,I- 70
160,39.016136,-98.397466,/Old Hwy 18/W Old Highway 18/N Ohio Ave
160,39.049292,-98.021091,/260th Rd
160,39.042567,-98.149483,/N 5th St
185,38.878437,-97.965847,/I- 70
276,39.045915,-98.144582,N 2nd St/E Franklin St
160,39.047201,-98.147763,N 4th St/W Broome St/E Broome St
276,39.039237,-98.149491,S 5th St/W Court St
160,39.044709,-98.157976,/W North St
160,39.044626,-98.145179,E North St
216,39.037393,-98.150253,W South St/W Bowland Ave
185,39.089729,-98.281299,Grant Ave
216,39.039711,-98.151346,S 6th St
185,39.035671,-98.144343,/S 2nd St
160,39.038299,-98.144342,S 2nd St/E Yauger St
499,39.042087,-98.144346,N 2nd St/E School St
185,39.042566,-98.146028,N 3rd St/
185,39.043021,-98.149490,N 5th St/W Lost St
160,38.974245,-98.151189,State Hwy 14
185,38.878199,-97.965844,/I- 70
185,39.037824,-98.142679,/S 1st St
246,39.051877,-98.150538,State Hwy 18
160,39.030359,-98.078000,State Hwy 18
246,39.047196,-98.146046,N 3rd St/E Broome St
216,39.044631,-98.144341,N 2nd St/E North St
160,38.987329,-98.256397,E Iron Dr
334,39.037369,-98.148353,/W South St
334,39.040190,-98.149495,N 5th St/S 5th St/W Lincoln Ave
160,38.872799,-97.928631,31st Rd/N Eff Creek Rd
160,39.014796,-98.390673,N Maryland Ave/E 4th St
160,39.043569,-98.142705,/School St/N 1st St
216,39.051880,-98.150834,State Hwy 18
160,39.014750,-98.391991,E 4th St/N Illinois Ave
160,39.042097,-98.149481,N 5th St/W School St
185,39.035013,-98.144342,E Rodman Ave/S 2nd St
216,39.041806,-98.142701,School St
185,39.039236,-98.141048,E Court St/S Orange Ave
160,39.030629,-98.356637,/State Hwy 18
246,39.039700,-98.147768,/S 4th St
246,39.042087,-98.143274,E School St
246,38.878453,-97.978436,I- 70
216,39.044621,-98.147770,N 4th St/W North St/E North St
334,39.037829,-98.149488,S 5th St
418,39.041616,-98.144346,/N 2nd St
185,39.042554,-98.147764,/N 4th St
276,39.038291,-98.149488,W Yauger St/S 5th St
185,39.040179,-98.136603,/E Lincoln Ave
160,39.188893,-98.044044,White St/Ballard Ave
216,39.039695,-98.144343,/S 2nd St
185,38.878437,-97.968346,I- 70
216,39.040190,-98.134110,E Lincoln Ave
160,38.919841,-98.169527,/State Hwy 14
160,39.012142,-97.975877,Miller Dr/N Main St
246,39.051094,-98.151381,N 6th St/W High St
362,39.041156,-98.144347,N 2nd St/E Elm St
160,39.048506,-98.151381,N 6th St/W Center St
185,39.037367,-98.147757,W South St/S 4th St/E South St
185,39.039234,-98.151344,S 6th St/W Court St
185,39.051098,-98.149821,/W High St
160,39.189046,-98.044683,/Ballard Ave
160,39.035004,-98.146041,E Rodman Ave/S 3rd St
185,39.040702,-98.147767,/N 4th St
185,39.042087,-98.142702,School St/E School St
185,39.041615,-98.147762,/N 4th St
246,39.015247,-98.400703,/W 4th St
160,39.040484,-98.133318,State Hwy 18
216,39.040189,-98.151349,S 6th St/N 6th St/W Lincoln Ave
