Estimated daily crossings,Latitude,Longitude,Name
526,38.075925,-97.928891,/N Poplar St
684,38.076500,-97.927624,Fort Riley Blvd/Grandstand Ave
160,38.166357,-97.945793,Paganica Pl
362,38.079488,-97.913044,N Severance St/E 23rd Ave
185,38.156348,-98.087303,Nickerson Rd/N Nickerson Rd
185,38.007208,-98.013722,/Whiteside Rd
216,38.094631,-98.001667,K 96
160,38.152086,-98.081988,W Nickerson Blvd/Bender St
216,38.039877,-97.932774,W Carpenter St
160,37.895953,-97.774506,Switzer Rd/Industrial Dr
160,38.043354,-97.995606,/Mohawk Rd
160,37.893421,-98.183915,Orchard St/Fair St
390,38.084268,-97.933591,N Washington St/W 28th Ave
160,38.126991,-97.922104,/N Plum St
216,38.095080,-97.933165,Kisiwa Village Rd
246,38.092066,-97.924133,Kansas Ave/N Elm St/Farmington Rd
1982,38.064905,-97.903883,E 11th Ave/N Lorraine St
185,38.138057,-97.767250,E 4th Ave
160,37.779754,-98.011893,E Booth St/E Sunset Ln/S Walnut St
185,38.096763,-97.922051,N Plum St
246,38.146905,-98.083075,W Railroad Ave/W Railroad St
216,38.086552,-97.841837,E 30th Ave/Linksland Dr
160,38.050228,-97.839384,Frank Rd
160,38.086544,-97.848826,Prairie Dunes Rd/E 30th Ave
1485,38.086551,-97.907860,G M Plz/E 30th Ave
658,38.061803,-97.935460,W 8th Ave/N Adams St
445,38.070919,-97.937421,W 16th Ave/N Jefferson St
185,38.085887,-97.950779,Dundee Ct
552,37.899431,-97.779992,S Wichita Ave/S Wichita St/E 2nd St
605,38.077018,-97.928962,/N Poplar St
185,38.026720,-97.931068,E Ave A/S Plum St
160,37.892231,-97.756387,Victory Rd
943,38.063666,-97.903867,N Lorraine St/E 10th Ave
185,38.126472,-97.775766,Buhler Rd
185,38.093097,-97.863548,Spyglass Dr/N Sandy Hollow Dr
216,38.072937,-97.970309,Tracy Lane Ter/Tracy Ln
4641,38.071506,-97.919827,N Ford St/16th Ter
305,38.136875,-97.770478,W Third Ave/E 3rd Ave/N Main St
445,38.072878,-97.931910,W 18th Ave/N Main St
418,38.101073,-97.922040,43rd Ave/N Plum St
185,38.068549,-97.942002,N Jackson St/W 14th Ave
445,38.055143,-97.928259,N Poplar St
472,38.086514,-97.880619,E 30th Ave/Ken Kennedy Fwy
160,38.103963,-97.874743,Cottonwood Dr/E 46th Ave
185,38.093894,-97.910772,Rockwood Dr/Robert St
160,37.853628,-98.323970,Main St/Bauer St
276,38.083840,-97.901782,E 27th Ave/27th Ave
216,38.057591,-97.908436,E 4th Ave/N Bonebrake St
160,38.169380,-97.950462,W Snokomo Rd/Countryclub Dr
276,38.145209,-98.081794,Paine St
160,38.172217,-97.775510,Buhler Rd
216,38.076862,-97.950755,W 22nd Ave/Halsey Dr/Sunset Dr
216,38.048398,-97.913029,E Ave C/S Severance St
246,38.027760,-97.910412,Primrose Ln/Primrose
160,37.852368,-98.324614,Front St
246,38.082723,-97.952041,Morris Rd
390,38.060337,-97.899263,Porter St
246,38.082272,-97.949873,Old Farm Estates Rd
390,38.072833,-97.947337,N Tyler St/W 18th Ave
216,38.048399,-97.909918,E Ave C/Smith St
185,38.137891,-97.768220,E 4th Ave
160,38.050951,-97.938582,W Ave A
160,37.928314,-97.844924,Laurel Rd
160,38.130568,-97.939882,Hemlock St
185,38.006945,-98.013728,US Hwy 50/Whiteside Rd
418,37.902925,-97.778762,E 4th St/N Emporia St
160,37.955474,-98.417599,Long View Rd/Sylvia Rd
185,38.028917,-97.701900,Woodbury Rd/Blanchard Ave/Woodberry Rd
276,38.138675,-97.773045,W 5th Ave/N Wall St
334,38.080977,-97.935536,N Adams St/W 25th Ave
160,38.098120,-97.940949,N Monroe St
1252,38.054035,-97.931083,Plaza Towers Pl
185,38.064982,-97.955506,Hayes St/W 11th Ave
185,38.064303,-97.956632,Grant St
185,38.148358,-97.848693,Medora Rd/Main St
276,38.062513,-97.919796,N Ford St/E 9th Ave
246,38.054732,-97.926326,N Maple St/E 2nd Ave
839,38.057255,-97.930222,E 4th Ave/N Walnut St
185,38.045967,-97.904848,Ken Kennedy Fwy
216,38.046941,-97.924375,S Elm St/E Ave D
185,38.066577,-97.887821,N Grand St/E 13th Ave
160,37.985213,-97.775435,Haven Rd/Eales Rd
445,38.082907,-97.903784,E 26th Ave/N Lorraine St
160,37.926483,-97.845421,Greenfield Rd
305,38.063560,-97.915343,N Pershing St/E 10th Ave
160,38.076613,-97.952432,Dover Dr/Swarens St
276,38.085704,-97.941580,Adair Cir/Derenda Dr
246,38.104031,-97.922045,N Plum St
246,38.094778,-97.927305,N Maple St
216,38.063848,-97.943773,N Van Buren St/W 10th Ave
185,38.145750,-98.080000,Hoyle St
185,38.019340,-97.938517,Forest Ave/S Walnut St
160,38.061745,-97.894029,N Grandview St/E 8th Ave
334,38.086539,-97.900038,E 30th Ave
160,38.145394,-97.903895,Lorraine St
305,38.083162,-97.949894,Loch Lommond Dr
579,38.072116,-97.910944,Baker St/E 17th Ave
362,38.058521,-97.917546,E 5th Ave/N Cleveland St
246,38.029858,-97.922488,Buffalo Hill Dr/Emerson Loop
605,38.061765,-97.935537,Adams St
160,37.984834,-98.270583,Andre Rd/Mills Ave
762,38.066216,-97.926639,N Maple St/E 12th Ave
185,38.134800,-97.770476,E 1st Ave/N Main St
216,38.081679,-97.954155,Bristol Rd/Old Farm Estates Rd/Barberry Dr
216,38.140508,-97.768783,Parkside Dr/Curtis St
216,38.078956,-97.885648,Ken Kennedy Fwy
160,38.064883,-97.962514,Nickerson Blvd/Cloverdale Dr
246,38.049687,-97.917486,S Cleveland St/E Ave B
160,38.152132,-98.088552,Strong St/Railroad Ave/Cemetery Rd
579,38.076679,-97.937446,Hyde Park Dr/N Jefferson St
246,38.141278,-98.082553,E Ave H/Holliday St
185,38.050943,-97.943203,W Ave A/S Jackson St
185,38.018009,-97.931626,Hazel Ln
160,37.824509,-98.380579,Olcott Rd/Parallel Rd
160,37.969613,-98.405383,US Hwy 50/Trail West Rd
390,38.065028,-97.926634,N Maple St/E 11th Ave
185,38.058673,-97.899253,E 5th Ave/Porter St
160,37.999407,-97.866854,Yoder Rd/Stroud Rd
