Estimated daily crossings,Latitude,Longitude,Name
185,39.341529,-101.722551,/W 17th St
276,39.347975,-101.700199,/E 11th St
246,39.341528,-101.721232,W 17th St/
334,39.342857,-101.707587,Caldwell Ave/E 16th St
276,39.348523,-101.707621,/Caldwell Ave
160,39.329872,-101.685145,I- 70
185,39.354436,-101.699552,Washington Ave/E 5th St
160,39.371473,-101.707605,N Caldwell Ave
216,39.328968,-101.877403,/I- 70
160,39.352283,-101.713173,W 7th St/Center Ave
160,39.330209,-101.483955,I- 70
334,39.351181,-101.724587,W 8th St/Wyoming Ave
305,39.349048,-101.705582,E 10th St
160,39.363380,-101.714357,Spruce Rd/Acacia Dr
160,39.356519,-101.708335,/E 3rd St
160,39.342845,-101.719850,/W 16th St
185,39.330096,-101.468935,I- 70
185,39.336811,-101.701864,US Hwy 24 Bus/
160,39.330312,-101.468964,I- 70
185,39.365772,-101.700416,/Armory Rd
216,39.342823,-101.721232,/W 16th St
185,39.344827,-101.725942,W 14th St/Cattletrail Ave
160,39.343492,-101.719128,Montana Ave
276,39.342866,-101.710344,E 16th St/Broadway Ave
246,39.350133,-101.720556,W 9th St/Syracuse Ave
994,39.344596,-101.698128,/Eustis Ave
499,39.344846,-101.712480,/W 14th St
305,39.346899,-101.714498,Sherman Ave/W 12th St
631,39.330609,-101.726550,Commerce Rd/W 25th St
246,39.357548,-101.703586,College Ave/2nd St
160,39.355480,-101.714508,W 4th St/Sherman Ave
216,39.350142,-101.706933,/E 9th St
185,39.336819,-101.699297,US Hwy 24 Bus/
216,39.334022,-101.703290,College Ave
185,39.344302,-101.725214,/W 15th St
305,39.329542,-101.779143,I- 70
160,39.346902,-101.724569,W 12th St/Wyoming Ave
246,39.340738,-101.705728,Cherry Ave/18th St
160,39.354418,-101.713166,W 5th St/Center Ave
305,39.344848,-101.713153,W 14th St/Center Ave
160,39.349605,-101.723263,/Colorado Ave
216,39.346904,-101.719141,Montana Ave/W 12th St
246,39.345338,-101.716919,/Kansas Ave
160,39.336731,-101.709266,/US Hwy 24 Bus
185,39.330031,-101.673676,I- 70
246,39.346365,-101.721904,/Texas Ave
499,39.330616,-101.726147,Commerce Rd//W 25th St
246,39.349625,-101.715838,/Grand Ave
216,39.343996,-101.705578,/E 15th St
276,39.347976,-101.700269,E 11th St
160,39.355467,-101.716945,W 4th St/Kansas Ave
305,39.350153,-101.703572,E 9th St/College Ave
160,39.341550,-101.717576,W 17th St
160,39.351752,-101.716943,Kansas Ave
246,39.338660,-101.698239,/Eustis
160,39.346899,-101.726774,Commerce Rd/W 12th St
305,39.344331,-101.707603,E 15th St/Caldwell Ave
160,39.343497,-101.889208,Ruleton Ave
160,39.365737,-101.707592,Co Rd 66/N Caldwell Ave/Armory Rd
276,39.349062,-101.720552,W 10th St/Syracuse Ave
216,39.347419,-101.715822,/Grand Ave
160,39.341546,-101.715117,W 17th St
