Estimated daily crossings,Latitude,Longitude,Name
160,37.394462,-97.648948,N Highland St/Saint Louis St/W Saint Louis St
160,37.388798,-97.277291,1st Ave/N Washington St
418,37.278609,-97.406349,/W 20th St
216,37.396010,-97.283097,Unnamed St ---Alley/W 7th Ave
216,37.392386,-97.276595,E 4th Ave
160,37.261232,-97.347263,/E 20th St S
185,37.474682,-97.226460,/E 119th St
216,37.362917,-97.322296,E 70th Ave N
362,37.267771,-97.399423,N Jefferson Ave/W 8th St
185,37.474711,-97.227784,E 119th St
185,37.471061,-97.249823,Bridge St
160,37.270724,-97.766787,W 10th Ave
445,37.398352,-97.280276,/9th Ave
185,37.272336,-97.394326,/N A St
246,37.476623,-97.322982,E 119th St S/I-35
160,37.457887,-97.514317,/N Clearwater Rd
160,37.460927,-97.208846,State Hwy 15/Grey Rd
216,37.189651,-97.341598,I- 35
185,37.387345,-97.648835,W Parallel St/Highland St//Parallel St
160,37.031388,-97.610421,/W 1st Ave
160,37.259642,-97.398441,/W Maple St
160,37.410666,-97.221364,N Webb Rd
160,37.271423,-97.415786,Crestway St/Western Ave
160,37.033987,-97.612556,W Ave A/N Saint Mary's St
160,37.283034,-97.383618,N Keyes St
160,37.116050,-97.151972,N 3rd St/Spring Ave
160,37.011617,-97.400882,/S Hoover Rd
160,37.474731,-97.201871,E 119th St
185,37.475571,-97.229358,State Hwy 15
160,37.394483,-97.645015,Saint Louis St/8th St
160,37.467431,-97.350192,/N Seneca Rd
246,37.264857,-97.410507,/S High St
160,37.263301,-97.373873,4th St
160,37.276243,-97.403215,/N H St
160,37.475572,-97.220328,N Jennfer Ln
160,37.265810,-97.395432,S B St/N B St/E Harvey Ave
216,37.274325,-97.164922,E Ohio Ave/S Ohio Ave/E Main St
185,37.463615,-97.373774,/E 140th Ave N
160,37.057293,-97.362290,/E 160th St S
362,37.254674,-97.398941,S Jefferson Ave/W Sumner St
160,37.455895,-97.550933,N Mayfield Rd
160,37.256896,-97.765517,/S Main St/Main St
246,37.470147,-97.242162,Pearl St/4th Ave
160,37.037680,-97.614444,/W Ave E
160,37.269965,-97.168911,S Sumner Ave/Pine St/Sumner Ave
362,37.274676,-97.406311,/W 16th St
160,37.115530,-97.166389,S Oxford Rd/E 120th St S
276,37.265980,-97.381473,Stewart St/E Harvey Ave
160,37.262218,-97.766850,S Plum St/W Maple St
185,37.277739,-97.403253,W 19th St/N H St
216,37.257708,-97.396378,E Mill St/S C St
276,37.282061,-97.394835,Readus St
552,37.275205,-97.376077,N Boundary Rd/E 10th Ave
160,37.387828,-97.647621,Monnet St
160,37.032530,-97.591689,W 175th St S
185,37.413987,-97.276218,N Oliver Rd
160,37.354154,-97.321981,I- 35
185,37.468311,-97.219336,/State Hwy 15
246,37.475284,-97.236270,Olive Ave
305,37.265985,-97.382696,/S Day St/E Harvey Ave
216,37.387319,-97.655684,/W 90th Ave N
185,37.277574,-97.407635,/W 19th St
334,37.274369,-97.401564,/Vandenburgh Ave
160,37.035826,-97.615711,/W Ave C/St George St
185,37.274186,-97.175737,Pacific Ave/Main St
160,37.270522,-97.403796,/W 11th St
185,37.013650,-97.338397,I- 35/E 190th St S
160,37.385640,-97.644398,/W Kansas Ave
246,37.266496,-97.383904,/N Keyes St
160,37.459797,-97.728317,/W 140th Ave N
216,37.421428,-97.276325,N Oliver Rd/E 110th Ave N
390,37.274613,-97.408164,W 16th St/N Park St
216,37.288576,-97.394285,N A St/
185,37.264017,-97.403071,S H St
246,37.279559,-97.407659,/W 21st St
160,37.262404,-97.406570,W 3rd St
160,37.172022,-97.456923,S Maize Rd/E 80th St S
334,37.267924,-97.392467,/E 8th St
185,37.268741,-97.400143,/W 9th St
246,37.278683,-97.404533,W 20th St/N Blaine St
246,37.032266,-97.609629,W Central Ave/S Osage St
160,37.290493,-97.276348,/N Oliver Rd/E 20th Ave N
579,37.268368,-97.410770,Circle Dr
160,37.264366,-97.409249,S Plum St/W Lincoln Ave
160,37.266799,-97.769417,W Vine St/Sumpter St/N Argonia St
185,37.389327,-97.646373,S Cranmer St/Cranmer St/W Smith St
185,37.471031,-97.248099,/W Bridge St
160,37.262488,-97.392337,S Ash St
160,37.385703,-97.652576,W Kansas Ave
160,37.262420,-97.385018,S Woodlawn St
160,37.041665,-97.611018,N Webb St/W Ave G
160,37.395420,-97.641462,N 5th St/N Conway Springs Rd
185,37.028264,-97.606229,/E 4th Ave
160,37.256588,-97.402958,W South St/S H St
185,37.391162,-97.279812,W 3rd Ave/E 3rd Ave/N Main St
160,37.266281,-97.769421,/N Argonia St
160,37.272543,-97.386405,Waldo St/N Gardner St
160,37.276427,-97.169070,N Sumner Ave/Olive St
185,37.303737,-97.340374,I- 35
216,37.279666,-97.166412,Michigan Ave/Elm St
185,37.266921,-97.393118,/E 7th St
276,37.268804,-97.397374,/E 9th St
418,37.264968,-97.373631,E Lincoln Ave/S Haslet St
246,37.267428,-97.402029,N G St
160,37.453380,-97.198091,State Hwy 15
216,37.394480,-97.645930,Saint Louis St/W Saint Louis St
160,37.049537,-97.405969,W Stuart St/US Hwy 81
185,37.432705,-97.169180,N Oxford Rd/State Hwy 15
216,37.459106,-97.770298,W 140th Ave N/N Argonia Rd
160,37.385692,-97.648685,/Church St
362,37.442078,-97.321660,I- 35
390,37.268773,-97.398772,/W 9th St
160,37.272564,-97.385813,Waldo St
216,37.470477,-97.765073,Countis Ct
390,37.278553,-97.407653,/W 20th St
246,37.270363,-97.394309,N A St
160,37.275410,-97.413721,Myles Dr/Coyote Ridge
160,37.265737,-97.762838,E Walnut St/N Elm St
246,37.283392,-97.394230,/N A St
160,37.278573,-97.169102,N Sumner Ave/E Maple St/W Maple St
160,37.474762,-97.208139,/E 119th St/N Greenwich Rd
160,37.269520,-97.404407,/N Blaine St/W 10th St
185,37.276472,-97.166354,E Olive St/N Michigan Ave
160,37.475604,-97.264943,E 119th St S/Estfan Rd
185,37.275288,-97.173066,N Osage St/Myrtle St/N Myrtle St
185,37.272487,-97.388263,Waldo St
160,37.267312,-97.421332,Westborough Rd
185,37.472066,-97.277460,N Oliver Rd
216,37.470147,-97.243622,Pearl St
185,37.474716,-97.217650,/E 119th St
216,37.270325,-97.395576,N B St
276,37.389732,-97.645021,/S Eighth St
160,37.388420,-97.385020,/N West Rd
276,37.275177,-97.372945,E 10th Ave
160,37.257348,-97.410144,S High St/W Mill St
216,37.280551,-97.408882,/W 22nd St
160,37.276413,-97.169779,Olive St
160,37.395944,-97.641481,N Conway Springs Rd
246,37.265907,-97.389977,N Cherry St/E Harvey Ave/S Cherry St
160,37.453316,-97.197999,N Davis Dr/State Hwy 15
216,37.040115,-97.609684,W Ave F/N Osage St
160,37.184486,-97.620231,/W 70th St S
185,37.391693,-97.646395,W Wichita St/N Cranmer St/Cranmer St
418,37.274290,-97.400948,N G St/N F St
160,37.269559,-97.168903,/S Sumner Ave
160,37.446843,-97.500416,/W 130th Ave N
216,37.265951,-97.372406,E Harvey Ave/S Patterson St/N Patterson St
216,37.291211,-97.340202,I- 35
185,37.425077,-97.640782,/W Victor Dr/Donald Ln
305,37.267925,-97.408100,/N Park St
185,37.392124,-97.652755,12th St/
216,37.474685,-97.228809,E Main St/E 119th St
185,37.304449,-97.351779,E 30th Ave N
185,37.274751,-97.173049,/N Osage St
160,37.276168,-97.405724,/N Olive St
185,37.277618,-97.381812,N Stewart St/Michigan Ct
160,37.057137,-97.340173,/E 160th St S
185,37.391704,-97.645020,Wichita St/W Wichita St/8th St
160,37.387719,-97.276306,N Front St
160,37.261459,-97.407124,/US Hwy 81
160,37.393151,-97.638701,Fort Scott St
276,37.267714,-97.401346,W 8th St
160,37.031380,-97.611248,/W 1st Ave/S Webb St
185,37.242747,-97.338533,I- 35
216,37.275145,-97.364265,/S Koa Dr/E 10th Ave
185,37.472418,-97.303720,N Easy Rd
160,37.398266,-97.276015,N Logan St/E 9th Ave
276,37.278480,-97.381803,Superior Ct/N Stewart St
334,37.394831,-97.281831,W 6th Ave/
160,37.466818,-97.314085,/N Hydraulic Rd
276,37.264593,-97.401253,/W Lincoln Ave
246,37.034655,-97.606248,/E B Ave
160,37.127502,-97.401763,S Hoover Rd
185,37.262520,-97.452004,S Rolling Hill Rd
276,37.033566,-97.609600,W Ave A/N Osage St
305,37.394476,-97.646550,/W Saint Louis St
160,37.393800,-97.336172,/N Timber Rd
160,37.396004,-97.279819,7th Ave/N Main St
185,37.259695,-97.397061,/E Maple St
160,37.266405,-97.394210,/N A St
160,37.299914,-97.638782,W 30th Ave N/N Conway Springs Rd
276,37.281353,-97.394229,N A St/E 21st St
160,37.053157,-97.338305,/I- 35
276,37.270702,-97.394312,N A St
160,37.467263,-97.335103,/142nd St
185,37.474687,-97.229921,E 119th St
160,37.056933,-97.228137,E 160th St S
185,37.387347,-97.642475,6th St/Parallel St
160,37.257887,-97.386203,E Mill St/S Fair St
276,37.280174,-97.404544,N Blaine St
185,37.266700,-97.435452,E 15th St
246,37.279642,-97.405159,/W 21st St
185,37.273210,-97.166281,Michigan Ave/E Clark St/S Michigan Ave
185,37.114907,-97.338729,I- 35
185,37.452532,-97.207507,E 132nd N Ct
160,37.463481,-97.240819,N Rock Rd
185,37.469669,-97.238712,/College Ave
160,37.253253,-97.397513,W Botkin St/S Washington Ave/E Botkin St
160,37.266682,-97.403181,/W 7th St/US Hwy 81
579,37.267411,-97.409320,W 8th St/N Plum St
276,37.033564,-97.609908,W Ave A/N Osage St
185,37.392076,-97.646394,Cranmer St/W Maple St
160,37.398338,-97.641558,/N Conway Springs Rd
160,37.277528,-97.167052,/E College St
160,37.412825,-97.642192,N Conway Springs Rd
160,37.048915,-97.403857,Cheyenne St
