Estimated daily crossings,Latitude,Longitude,Name
160,39.026864,-99.877809,Warren Ave/N 9th St
216,39.023705,-100.114441,/I- 70
160,39.023120,-100.017200,/I- 70
160,39.023930,-99.879261,N 8th St
185,39.024985,-99.876228,/N 10th St
160,38.870927,-99.746143,/S Rd
185,39.015509,-99.871390,S 13th St/US Hwy 40 Bus/South Ave/I Rd
160,39.015545,-99.880686,S 7th St/South Ave
160,39.023805,-99.878999,/S Railroad Ave
185,39.030084,-99.881701,Junction Ave
160,38.987101,-99.752705,I- 70
160,39.026866,-99.883208,Warren Ave
216,38.972008,-99.668817,L Rd/370 Ave
185,38.950211,-99.594731,410 Ave/I- 70
216,39.038564,-100.119698,3rd St
276,39.005664,-99.843976,I- 70
305,39.015550,-99.886887,S 3rd St/South Ave
216,39.028470,-99.876289,N 10th St/Easter Ave
160,39.108941,-99.869737,US Hwy 283
185,39.023386,-100.074275,150 Ave/I- 70
276,39.014756,-99.890071,S 1st St/I- 70
160,39.008744,-99.888103,S 2nd St
499,39.013404,-99.889260,/S Interstate
160,38.967514,-99.652383,/I- 70
160,39.015527,-99.874522,/South Ave
160,39.030057,-99.871465,Junction Ave
160,39.026856,-99.874728,Warren Ave/N 11th St
160,39.023040,-99.884686,S Railroad Ave
160,39.033066,-99.880239,/Earle Ave
216,39.021320,-99.872264,/Barclay Ave
185,38.955888,-99.613551,400 Ave/I- 70
160,39.022448,-99.882344,/S 6th St
276,39.011541,-99.871500,/US Hwy 40 Bus
160,38.945488,-99.835194,280 Ave
246,39.025462,-99.871602,N 13th St/Russell Ave
185,39.015541,-99.887707,South Ave
185,38.984257,-99.739636,I- 70
160,39.019926,-99.889309,/Josephine Ave
160,39.015542,-99.879912,South Ave
185,38.971184,-99.664113,I- 70
334,39.025493,-99.884774,/Russell Ave
185,39.013674,-99.884752,I- 70
185,39.023153,-100.022619,/I- 70
160,39.001153,-99.816226,290 Ave/I- 70
185,39.033065,-99.881009,N 7th St/Earle Ave
216,39.025491,-99.880102,Russell Ave
185,39.023524,-100.001440,190 Ave/I- 70
216,38.985266,-99.744954,/I- 70
185,38.966069,-99.647376,I- 70
246,38.972239,-99.668744,/I- 70
160,39.022936,-100.111569,/130 Ave
276,39.017548,-99.890085,/S 1st St
246,39.015551,-99.885344,/S 4th St/South Ave
160,39.041487,-99.871084,US Hwy 283
160,39.022828,-99.931556,I- 70
160,38.856457,-99.725251,State Hwy 147/T Rd
216,39.026858,-99.871006,Warren Ave
246,39.018284,-99.908399,I- 70
185,39.028467,-99.870130,Easter Ave/N 14th St
160,39.023623,-99.878741,/S Railroad Ave
185,38.950445,-99.594728,410 Ave/I- 70
185,39.018113,-99.883811,/S Main St
305,39.021349,-99.883856,Barclay Ave/S Main St
160,39.031806,-99.880994,N 7th St/Chase Ave
216,39.015507,-99.893738,I- 70
160,39.015505,-99.870894,/I Rd
216,39.026099,-99.874706,N 12th St/N 11th St
185,39.021355,-99.886242,/Barclay Ave
185,39.021341,-99.879247,S 8th St/Barclay Ave
160,39.026870,-99.886324,Warren Ave
185,39.011541,-99.890064,S 1st St
160,39.018434,-99.883045,Caroline Ave
160,39.010436,-99.868872,I- 70
185,39.117021,-99.904239,B Rd/
160,38.967945,-99.652911,I- 70
160,39.037102,-99.885709,250 Ave
216,39.013767,-99.891308,/I Rd
334,39.017361,-99.890083,/S 1st St
246,39.023709,-100.111560,/I- 70
246,39.014006,-99.890066,/S 1st St
305,39.016104,-99.886899,S 3rd St
160,39.026865,-99.877041,/Warren Ave
276,39.013547,-99.888150,/S Interstate
160,39.051523,-99.870753,/US Hwy 283
160,38.999513,-99.807922,I- 70
160,39.035795,-99.882578,/N 6th St
631,39.017014,-99.890080,Kedzie Ave/S 1st St
185,38.980956,-99.723629,340 Ave/I- 70
160,39.033065,-99.880724,Earle Ave
160,39.023366,-100.004057,I- 70
216,39.022856,-99.965293,I- 70
185,39.023134,-99.945762,I- 70/220 Ave
185,38.812697,-99.726251,W Rd
