Estimated daily crossings,Latitude,Longitude,Name
246,38.006739,-84.138434,Combs Mountain Pkwy
160,38.020090,-84.253565,Lexington Rd
276,37.993928,-84.210629,Redwing Dr
246,38.001716,-84.174382,Green Aly
216,38.000309,-84.179891,3rd St/Evans St
362,38.006846,-84.202216,Lakeview Dr/Westside Dr
160,38.003841,-84.187128,Charles G Stephenson Dr
216,37.966069,-84.219504,Tartan Ct
390,37.980775,-84.218103,Runnymeade Dr
216,37.996672,-84.203699,Holiday Rd
246,38.010997,-84.208552,Bypass Rd/I- 64
362,38.024839,-84.240350,Rockwell Rd
185,38.011950,-84.173748,I- 64/Paris Rd
185,38.004243,-84.203215,Westside Dr/Noble King Ct
552,38.009152,-84.209542,Bypass Rd
185,37.968464,-84.215411,Casa Landa Way/Damon Ct
160,37.986524,-84.175484,Cs-1372/Central Ave
216,37.985500,-84.209205,Colby Rd
246,38.014662,-84.164023,I- 64
246,37.987358,-84.167866,Bond Ct/Baldwin Ave
160,37.992617,-84.199465,Barlow Dr/Holiday Rd
216,37.993474,-84.203410,Estes Dr/Harkins Dr
185,38.022665,-84.176491,Paris Rd/Silverton Way
160,38.030380,-84.246046,Aspen Ln/Treehaven Dr
276,38.001721,-84.172738,Main St/Magnolia St/N Main St
246,38.025394,-84.173862,Cs-1320/Cs-1320-30
160,38.000972,-84.169256,Clay St/Cs-1327
216,37.990159,-84.184989,S Burns Ave/Euclid Ave
216,37.977092,-84.208672,Terry Dr
305,38.003782,-84.214731,Keffer Rd
246,37.979370,-84.196114,Hemlock Rd/Windridge Dr
276,37.996538,-84.204965,Skylark Dr
160,37.994216,-84.171458,Mack Aly/Vine St
276,37.997124,-84.146909,Ironworks Rd/Colonial Park Dr
499,37.979511,-84.194312,Boone Ave
216,37.981010,-84.196702,Al Fan Ct/Windridge Dr
160,38.044910,-84.068070,I- 64
185,37.987985,-84.192414,Colby Rd/Milwood Dr
160,38.006468,-84.171971,/N Main St
472,38.003669,-84.209878,Oxford Dr/Saxon Ct
499,37.990896,-84.209537,English Miss Ct
445,37.971346,-84.216575,Casa Landa Way/Stephen Ave
276,37.993339,-84.190362,Cs-1354
362,37.964071,-84.219279,Devinshire/Devonshire Dr
185,37.985682,-84.163208,Seminole Trl
216,38.021709,-84.170928,Silverton Way
499,37.990910,-84.185246,Cs-1244
305,38.036717,-84.282259,Yorktowne Ct
160,37.985319,-84.094390,Cr-1009/Combs Mountain Pkwy
185,37.987983,-84.192692,Colby Rd
216,37.991279,-84.208443,English Miss Ct
216,37.993355,-84.182618,W Lexington Ave/Cs-1402
160,37.991003,-84.194862,Locust Dr/Poplar Dr
246,38.008449,-84.172119,Veterans Memorial Pkwy/Early Dr
472,37.993509,-84.209008,Mallard Ln
216,37.982154,-84.207019,Albany Ct
216,37.982259,-84.182967,/Fair Ave
445,38.011941,-84.208078,Bypass Rd
185,37.850590,-84.031518,Vienna Rd
246,38.009904,-84.209113,Bypass Rd
185,37.983878,-84.087110,Combs Mountain Pkwy
185,38.004291,-84.194542,McCann Dr
246,37.994547,-84.174471,N Highland St/Cs-1055
276,37.979519,-84.182924,/Citation Ct
216,37.987725,-84.167661,Baldwin Ave/Brink St/Blair Ave
160,37.980014,-84.204069,Stratton Ln
362,37.997893,-84.180238,Pearl St/2nd St
160,38.045495,-84.037076,Wades Mill Rd
305,38.002066,-84.209944,Oxford Dr/Surrey Ct
246,37.987987,-84.192049,Colby Rd/Stratford Glen Dr
216,38.012060,-84.211926,I- 64
334,38.018651,-84.152516,Combs Mountain Pkwy
362,37.971483,-84.222128,Gilbert Ct/Cr-1288/Cr-1236
445,37.985880,-84.181829,Belmont Ave/Wall Aly
276,37.996753,-84.178699,Douglas Ct
246,37.990129,-84.187651,Beckner St/Wheeler Ave
362,37.996719,-84.220990,Wellington Way
160,37.970095,-84.157116,/Browning Ln
160,37.995240,-84.204574,Harkins Dr/Holiday Rd
160,37.934213,-83.994738,Combs Mountain Pkwy
390,37.985217,-84.188075,Northern Ave/Boone Ave
472,37.974440,-84.194752,Country Club Dr/Country Club Ct
216,37.981135,-84.197121,Willowbrook Rd/Windridge Dr
216,37.987792,-84.203707,Colby Rd
246,37.998478,-84.192742,N Bloomfield Rd/Shady Ln
334,37.983764,-84.186695,Fairwood Ln
246,37.963506,-84.218527,Heather Ln/Cr-1291/Foxboro Ct
160,37.963865,-84.184095,Two Mile Rd/Cole Rd
246,37.999476,-84.219222,Bartram Ct/Frontier Way
305,37.973458,-84.217538,Monet Blvd/Lafayette Blvd
185,38.004078,-84.204903,Stamper Dr/W Lexington Ave
160,37.999034,-84.204895,Elf Ct/Oreo Dr
390,38.006439,-84.206133,Huls Ave/Breeze Hill Dr
160,37.999939,-84.170091,Tin Pan Aly/Cook Ave
160,37.950144,-84.236384,Waterworks Rd
605,37.978725,-84.195063,Boone Ave/Windridge Dr
362,38.006327,-84.205741,Huls Ave/Breezehill Dr
276,37.975674,-84.208509,Seneca Dr/Cherokee Dr
160,37.988240,-84.175725,Calloway St/Cs-1371
