Estimated daily crossings,Latitude,Longitude,Name
579,37.618806,-84.579609,Cs-1003/Cs-1084
160,37.626654,-84.570909,Buckeye Rd
418,37.610027,-84.579940,Stanford St
362,37.611312,-84.580042,Stanford St
216,37.615117,-84.590658,Scenic View Dr
160,37.624783,-84.587592,Pin Oak Rd/Maplewood Dr
305,37.610341,-84.580839,Farra Dr
185,37.614727,-84.588350,/Water Works Rd/W Buford St
160,37.629710,-84.579993,Lexington Rd
160,37.679592,-84.561695,Jess Ray Rd/Sugar Creek Rd
246,37.685166,-84.678836,Chenault Bridge Rd
160,37.758093,-84.688871,Pike Ln
160,37.692191,-84.695470,Davistown Rd/Eason Ln
160,37.617953,-84.407966,Richmond Rd
160,37.714520,-84.591647,Chandler Way
185,37.667429,-84.677830,/Fork Church Rd
276,37.600188,-84.595391,Pleasantville Rd
246,37.607140,-84.579488,Industry Rd
160,37.570373,-84.513496,Gaffney Rd/Fall Lick Rd
160,37.604806,-84.581955,/Stanford St
160,37.522679,-84.391124,Gabbard Rd/Copper Creek Rd
160,37.622208,-84.572489,Millarn/Hamilton Ave
185,37.665802,-84.678507,Fork Church Rd/Delbar Dr
276,37.618557,-84.577179,S Campbell St/Government Aly
160,37.577208,-84.524215,Perkins Rd/Fall Lick Rd
160,37.658788,-84.613245,/Lexington Rd
736,37.619288,-84.577867,Cs-1020/Cs-1083/Richmond Rd
160,37.628139,-84.612794,Danville Rd
185,37.610429,-84.578654,Cs-1010
305,37.624536,-84.578977,Lexington Rd/Cs-1043
216,37.753164,-84.625044,River Run Dr/Palisades Pt
160,37.585470,-84.603006,/Cold Springs Dr/Stanford St
276,37.615261,-84.592011,Scenic View Dr/Hill-N-Dale Dr
246,37.619382,-84.572280,Morrow Ct/Cowden Ct
185,37.692057,-84.661806,Chenault Bridge Rd/Lexington Rd
160,37.622053,-84.502056,/Kirksville Rd
276,37.608275,-84.592677,Water Works Rd
160,37.711104,-84.657754,Cr-1381
276,37.644039,-84.594540,/Lexington Rd
160,37.747395,-84.693310,Scenic View Dr/Hideaway Cove Rd/Hide Away Cove Rd
160,37.592496,-84.548547,/Fall Lick Rd
246,37.623905,-84.578082,/Hill Ct
246,37.612735,-84.574352,Kentucky Ct
185,37.763326,-84.622867,Sylvan Way
216,37.751192,-84.618502,Bailey Way
185,37.622737,-84.597287,Ledford Ln/Danville Rd
160,37.679444,-84.561427,Sugar Creek Rd
160,37.551666,-84.351981,Westwood Dr
185,37.576957,-84.524672,/Perkins Rd
160,37.727361,-84.640447,Raines Way
160,37.737004,-84.666369,Ballard Rd/Rolling Meadows Dr
160,37.773478,-84.695355,Scenic Ct
246,37.616016,-84.583478,Cs-1027/Sue Barbara Ct
185,37.637174,-84.641110,Cr-1211/Danville Rd
216,37.614692,-84.580054,/Tinder Ave
185,37.647254,-84.595415,/Clark Rd/Lexington Rd
160,37.608441,-84.545984,Triangle Way
185,37.620583,-84.590167,/Danville Rd
160,37.691644,-84.695685,Davistown Rd/Fields Ln
160,37.612098,-84.575978,Doty Ln
216,37.604054,-84.591432,Oakwood Dr
246,37.612415,-84.573662,Kentucky Ct
160,37.610929,-84.577718,Bastin Ave/Kinnard Ave
160,37.614289,-84.564358,Richmond Rd
160,37.707068,-84.656593,Lexington Rd/Sutton Ln
305,37.691364,-84.663621,Chenault Bridge Rd
216,37.609137,-84.591990,Water Works Rd
276,37.622536,-84.574678,Buckeye Rd
216,37.685886,-84.679114,Cr-1334/Cr-1329
160,37.650735,-84.598406,/Lexington Rd
216,37.602289,-84.588893,Pleasant Retreat Plz
246,37.612627,-84.571015,Ruston Dr
185,37.583006,-84.453114,Richmond Rd
160,37.616476,-84.574160,Lancaster Cemetery Road 2/Lancaster Cemetery Road 5
160,37.599821,-84.566676,/Crab Orchard Rd
160,37.630853,-84.616482,/Danville Rd
160,37.613728,-84.415777,Shelly Ln
185,37.607028,-84.580271,Stanford St
160,37.622957,-84.598185,Ledford Ln
160,37.600402,-84.571595,Ashlock Dr
185,37.621953,-84.594098,Old Danville Rd/Danville Rd
216,37.619772,-84.576162,E Elliot St/Ball Aly
185,37.620330,-84.571948,Morrow Ct
216,37.614296,-84.577870,S Campbell St/Totten Ave
276,37.617290,-84.577365,Veterans St/S Campbell St
418,37.627150,-84.580509,Bethany St
160,37.732708,-84.638681,Kennedy Bridge Rd/
160,37.740021,-84.630033,Lexington Rd/Fuzzy Duck Rd
418,37.621941,-84.575136,Cs-1068/N Campbell St
334,37.617339,-84.579812,Cs-1084
160,37.734469,-84.635829,Lexington Rd/Cr-1313
246,37.618266,-84.595059,Miles Dr/Moss Dr
160,37.707878,-84.655673,Lexington Rd/Mount Hebron Rd
160,37.698653,-84.547845,/Poor Ridge Pike
160,37.587392,-84.601262,/Stanford St
160,37.591939,-84.430177,/Richmond Rd
160,37.614632,-84.563250,Richmond Rd
160,37.598736,-84.593621,Stanford St/Cs-1067
185,37.527576,-84.491667,Old Richmond Rd N/Drakes Creek Rd/Harmons's Lick Rd
185,37.729358,-84.641053,/Lexington Rd
160,37.531666,-84.371375,/Calico Rd
160,37.626948,-84.611093,/Cr-1212/Danville Rd
185,37.606010,-84.584715,Deer Run
160,37.611971,-84.515316,Kirksville Rd/Perry Rodgers Rd
216,37.685473,-84.678493,Chenault Bridge Rd/Cr-1329
246,37.617853,-84.576462,E Buford St/Mill St
160,37.612334,-84.575770,Turner Ave
216,37.531627,-84.496398,/Harmons's Lick Rd
160,37.606781,-84.589269,Deer Run
160,37.537417,-84.399537,Cartersville Rd
246,37.612512,-84.571192,Ruston Dr
276,37.623925,-84.578412,Lexington Rd
160,37.629474,-84.579857,Lexington Rd
246,37.614989,-84.579413,/Stanford St
160,37.547722,-84.501592,/Fall Lick Rd
160,37.621294,-84.601131,W Countryside Dr/Countryside Dr
160,37.668917,-84.632652,/Lexington Rd
160,37.620309,-84.601029,Countryside Dr
185,37.772836,-84.704038,Clubhouse Dr
160,37.703127,-84.550653,Poor Ridge Pike
246,37.623747,-84.578256,Lexington Rd/Hill Ct
160,37.613878,-84.503266,Horace Rachel Way/Cr-1142-20
160,37.685021,-84.618257,Steindorf Ln
160,37.566176,-84.477412,Cr-1137/Cr-1150
246,37.531861,-84.496429,Harmons's Lick Rd
216,37.606794,-84.580394,Stanford St
185,37.621731,-84.594187,Old Danville Rd
160,37.706817,-84.627804,Dwight Way/Mount Hebron Rd
160,37.547628,-84.352413,Dave Eden Rd
185,37.654779,-84.606737,Royalty Dr/Lexington Rd
160,37.622084,-84.572532,Herring Hts/Hamilton Ave
160,37.609749,-84.570778,Crab Orchard Rd
334,37.616294,-84.579198,Stanford St/Crab Orchard Rd
216,37.621345,-84.593692,/Cs-1040
334,37.622364,-84.573078,Millarn
246,37.616017,-84.583959,Cs-1027/Sue Barbara Ct
160,37.778500,-84.694484,/Hamilton Springs Rd
499,37.612026,-84.582045,Farra Dr
305,37.602862,-84.589525,Pleasant Retreat Plz/Pleasant Retreat Dr
160,37.620698,-84.590605,Danville Rd/Hill-N-Dale Dr
684,37.627142,-84.579199,Bethany St/Lexington Rd
216,37.624500,-84.577919,Dickerson Ct/Hill Ct
185,37.623871,-84.572787,Ridgeway Ln/Hamilton Ave
943,37.619737,-84.578637,Lexington Rd/Public Sq
160,37.748464,-84.622380,Lexington Rd/George Wilson Rd
499,37.620117,-84.579415,W Elliot St/Cs-1021
160,37.620291,-84.592394,Cardinal Dr
185,37.622187,-84.594930,Danville Rd
185,37.618513,-84.573847,Hamilton Ave/Richmond Rd
160,37.600257,-84.568866,Industry Rd
160,37.641962,-84.465684,Kirksville Rd
185,37.743439,-84.673215,Ridgecrest Rd
160,37.722950,-84.660034,Ballard Rd
185,37.600452,-84.591308,Stanford St
216,37.629976,-84.580143,Lexington Rd
216,37.670212,-84.634135,Cr-1339/Lexington Rd
185,37.621603,-84.588079,W Maple Ave/Maplewood Dr
185,37.678331,-84.682120,Chenault Bridge Rd
526,37.619958,-84.577749,E Elliot St/Cs-1020
160,37.595720,-84.511313,/Richmond Rd
276,37.620888,-84.580908,W Maple Ave/Cs-1085
160,37.628600,-84.583592,Pin Oak Dr
185,37.621714,-84.594259,Old Danville Rd
160,37.654910,-84.666765,Cr-1337
160,37.714393,-84.591576,Sugar Creek Rd/Chandler Way
216,37.613047,-84.570384,Ruston Dr
160,37.620186,-84.580202,N Paulding St/W Elliot St
305,37.621320,-84.579228,Cs-1021
305,37.603169,-84.589851,Pleasant Retreat Plz
185,37.642833,-84.593589,/Lexington Rd
305,37.620731,-84.579316,W Maple Ave/Cs-1021
160,37.622326,-84.594940,Precision Ct
