Estimated daily crossings,Latitude,Longitude,Name
334,37.327183,-82.885135,State Hwy 899
185,37.336516,-82.982893,Carew St
185,37.370853,-83.075801,State Hwy 80
472,37.320452,-82.957369,Parks Rd
216,37.318524,-82.902052,Verna Maes Dr/Bunion Hollow
160,37.344263,-83.109625,Fisty Rd/Trace Branch Rd
160,37.403360,-82.877476,E Short Dr/State Hwy 550
185,37.337775,-83.070360,State Hwy 550
160,37.326823,-83.034113,Kings Harbor Rd
390,37.335886,-82.980916,Hindman Byp/W Main St/State Hwy 160
160,37.398183,-82.961467,Gauntlet Go Dr
160,37.347116,-82.951827,E Main St/Pratt Dr
160,37.404691,-82.937483,Mitchell Ln
334,37.315574,-82.947390,State Hwy 160
362,37.356346,-83.113138,State Hwy 80/Cr-1388-30
445,37.335482,-82.981336,/W Main St
160,37.285797,-82.980358,Perkins Madden Rd/Queens Dr
246,37.334317,-83.045517,Edward Dr
185,37.358925,-83.013944,State Hwy 80/Lonesome Dove Ln
160,37.339612,-83.045938,Sycamore Ln
160,37.301577,-82.923063,Craft Ln/State Hwy 899
246,37.350706,-83.109021,Sunrise Ridge
160,37.399354,-82.957828,State Hwy 80
185,37.371745,-83.105984,Starfire Haul Rd
160,37.330349,-82.988840,Cowtown Rd
160,37.274671,-82.939049,Shady Ln
246,37.341224,-82.866962,Caney Cir
160,37.417878,-82.885963,Tara Ln
160,37.270212,-82.859566,Collins Rd
160,37.221438,-83.048030,Asher Hill Ln/Concord Ct
160,37.368622,-83.069529,Cr-1329-30
160,37.240188,-82.920153,Tea Berry Ln
160,37.346737,-82.779491,Dry Creek Rd
216,37.357603,-83.003241,State Hwy 80/Carter Hicks Dr
160,37.431937,-82.872467,State Hwy 550
246,37.457005,-82.843357,Porter Rd
2678,37.335473,-82.874864,Integrity Ln
160,37.218878,-83.054354,Shane Dr/Smithsboro Rd
160,37.280687,-82.938163,Wood Chuck Ln
216,37.399379,-82.957639,State Hwy 80/Clydean Dr
160,37.279446,-83.110905,Lotts Creek Rd/Jacks Branch Rd
185,37.358505,-83.009023,/State Hwy 80
160,37.334094,-82.984160,Key Tom Dr
160,37.362728,-83.107054,State Hwy 80/Trace Branch Rd
185,37.307925,-82.914602,Liz Taylor Dr
160,37.314371,-82.947255,Cokesbury Dr
216,37.348129,-82.898487,Spruce Pine Rd
362,37.334905,-82.981423,May St
334,37.326327,-82.968296,/State Hwy 160
160,37.283827,-83.119797,Lotts Creek Rd
160,37.412608,-82.950546,State Hwy 80
185,37.358532,-83.009335,State Hwy 80
160,37.412784,-82.950566,State Hwy 80
160,37.271475,-82.878848,Willard Branch Rd/State Hwy 582
160,37.239599,-82.905409,Big Doubles Branch Rd
160,37.293133,-82.764807,King Dr
160,37.344089,-82.962512,Williams Branch
185,37.344814,-82.945164,Palm Ln
160,37.367785,-83.106633,State Hwy 80
160,37.224050,-83.026234,Smithsboro Rd/Resort Rd
185,37.417827,-82.886372,State Hwy 1087
185,37.271570,-83.060935,Buck Branch Rd/Electa Glide Blvd
160,37.359067,-83.024696,State Hwy 80
160,37.310871,-83.087791,Marys Dr
185,37.417471,-82.887419,State Hwy 1087
305,37.276566,-83.107531,/Lotts Creek Rd
160,37.279927,-83.110979,Lotts Creek Rd
160,37.261745,-83.090793,Fern Creek Rd/Dickerson Fork Rd
160,37.331628,-83.028844,Malta Dr/Dogwood Dr
185,37.333014,-82.984556,Hindman Hills Rd/W Main St
246,37.336361,-82.983043,Dukes Branch Rd/Carew St
160,37.345234,-82.976149,Owens Branch Rd/Old Garner Rd
185,37.459551,-82.837628,Webb Br Rd/State Hwy 550
160,37.344053,-82.974438,E Main St/Cs-1044-70
160,37.288642,-82.936271,State Hwy 160
185,37.271619,-82.939337,Nickles Br Rd/State Hwy 160
160,37.351828,-82.811098,Railroad Ln
160,37.279048,-83.111401,Woodys Ln
160,37.358938,-83.025251,George Dr/State Hwy 80
185,37.267555,-82.858609,Ropeworks Rd
185,37.317930,-82.896925,State Hwy 899
185,37.371600,-83.060867,State Hwy 80/Cr-1313-30
334,37.346522,-82.987135,Hindman Byp/Baily Dr
185,37.469609,-82.863468,Pear Tree Ln
160,37.296313,-82.899086,Branhams Creek Rd/Taylor Rd
276,37.331626,-82.969393,Fleetwood Dr/State Hwy 160
305,37.400370,-82.956844,/Clydean Dr
185,37.346804,-82.954551,Pratt Dr
160,37.361430,-82.950917,Charity Ln
160,37.222597,-83.043965,Smithsboro Rd
185,37.402196,-82.956758,State Hwy 80
216,37.309070,-82.912583,Reynold Fork Rd
943,37.315278,-82.942935,State Hwy 899/Eden Dr
362,37.334929,-82.981874,Bailey St/W Main St
