Estimated daily crossings,Latitude,Longitude,Name
160,36.979808,-84.141311,State Hwy 312/Rooks Branch Rd/Level Green Rd
160,36.991490,-84.109193,Adams Rd
552,36.959624,-84.093667,W Dixie Hwy/N Beatty Ave
160,37.049330,-84.145708,Johnston Ln/Shell Rd
246,37.116058,-84.112768,Blakley Subdivision/Blakley Rd
2194,37.147815,-84.114235,Russell Dyche Memorial Hwy
160,37.144068,-84.152671,Russell Dyche Memorial Hwy
185,37.023598,-84.075931,R Carter Ln/E State Hwy 552
305,37.090279,-84.098433,Keavy Rd/Philpot Rd
305,37.103486,-84.049689,/Shields Subd
160,37.025528,-84.175246,Reynolds Rd
185,37.172859,-84.040176,Callie Ln
160,37.075881,-84.057438,Falcon Ave
185,37.009361,-84.077027,Clark Ln
185,37.168310,-84.119309,Salem View Rd
185,37.100892,-84.065794,Little Dr
160,37.112240,-84.020672,Conley Rd/Manchester Rd/E Laurel Rd
276,37.156910,-84.128571,Grimes Rd
472,37.013553,-84.101864,I- 75
552,37.144472,-84.106514,Russell Dyche Memorial Hwy/Gop St
246,37.130774,-84.108743,/County Farm Rd
185,37.100090,-83.998196,Rose Jones Ln/E Laurel Rd
160,37.126518,-84.083677,W 2nd St/S Long St
418,37.091254,-84.056701,Bakersfield Ln/Gorden Ln
160,37.102911,-84.066798,Commerical Dr/Industry Dr/Commercial Dr
216,37.017010,-84.087402,/Barker/Sugar Ln/Barkerspur Rd
160,37.113049,-84.022725,Payne Trl/Manchester Rd
160,37.108615,-84.013763,Bruner Rd
160,37.117675,-84.022396,Payne Trl
362,37.089783,-84.098121,Philpot Rd
216,37.128976,-84.086040,W 7th St/N Long St
185,37.050028,-84.103834,Catalpa Ct
185,37.089989,-84.083597,Sherman Ln/Old Whitley Rd
160,37.079999,-84.042348,Wilderness Rd/Levi Jackson Rd
185,37.000171,-84.082931,Clearfield Ct
390,37.106707,-84.085486,State Hwy 192/Ky-363 Y
216,37.124006,-84.088502,Kc East Dr/Dormitory St
160,37.148926,-84.143146,Ky-1035/Russell Dyche Memorial Hwy
160,36.976241,-84.137890,Ruth Rd
185,37.110412,-84.086980,Robinson Ct/Allf Ln
246,37.134735,-84.088712,Moren Rd/Holt St
160,37.092314,-84.056537,Bakersfield Ln/Steeple Chase
216,37.122138,-84.041628,/E Daniel Boone Pkwy
185,37.080274,-83.998452,Winners Cir
160,36.981644,-84.079707,/London Hwy
216,37.092065,-84.084001,Yankee Rd/Kebe Dr
246,37.240523,-84.239242,I- 75
160,37.128565,-84.064400,E 4th St
185,37.131810,-84.120638,County Farm Ests
185,37.162075,-84.111257,Pittsburg Sch Spr/Slate Lick Rd
216,37.083848,-84.025592,Hickory Ct
160,37.108785,-84.084811,Whitley Rd/Ridgewood Rd
579,37.088652,-84.062965,Corbin Rd
552,37.088417,-84.062852,Corbin Rd
