Estimated daily crossings,Latitude,Longitude,Name
160,37.850990,-83.196826,US Hwy 460 E
216,37.849383,-83.205472,Hwy 1000
185,37.974435,-83.042130,State Hwy 172
160,37.921275,-83.247769,Cs-1005
185,37.835835,-83.327913,Grassy Creek Rd/Buskirk Rd/State Hwy 205
362,37.918300,-83.261942,Riverside Dr/Murray St
160,37.899014,-83.252458,W Liberty-River Rd
362,37.920844,-83.257098,Ruth Ave/College St
160,37.926711,-83.304869,Liberty Rd
160,37.865377,-83.251557,Malone Rd/Johnny Davis Rd
390,37.920920,-83.253562,US Hwy 460 E/Cs-1034
305,37.920596,-83.250572,Cs-1033/US Hwy 460 E
160,37.788587,-83.346778,State Hwy 205
185,37.886497,-83.489374,Joe Ln
160,37.922947,-83.058833,State Hwy 437/Peddler Gap Rd
305,37.769693,-83.277217,Big Staff Branch Rd
160,37.964382,-83.129908,State Hwy 172
216,37.945954,-83.287809,Hwy 519
216,37.790218,-83.279132,State Hwy 191/Daclar Rd
160,37.947607,-83.215376,Hutchinson Ln
160,37.921498,-83.250637,Cs-1033
246,37.904617,-83.274513,Pine Grove Rd/US Hwy 460 W
160,37.789890,-83.274227,Railroad Fork Rd/State Hwy 191
334,37.922922,-83.258374,Poynter Ln/Cs-1046
160,37.887776,-83.433373,Hwy 772
276,37.924974,-83.257898,Cs-1046/Miller Ln
160,37.991153,-83.154309,Mack Fork Rd/Shady Pines Rd
160,37.983120,-83.160726,Mack Fork Rd/Cr-1554
216,37.858499,-83.397070,/US Hwy 460 W
160,37.747925,-83.247756,State Hwy 134
160,37.909960,-83.165011,/Bolin Branch Rd
160,37.870286,-83.314938,US Hwy 460 W
390,37.912872,-83.256430,Sugar Maple Ln/Dogwood Ln
160,37.922324,-83.247813,Cs-1030/Cs-1027
246,37.919494,-83.253575,/Kiwanis Pl
185,37.791037,-83.326677,Frisby Rd
276,37.921874,-83.256397,Bailey Ln
160,37.855050,-83.418004,/US Hwy 460 W
276,37.882451,-83.293540,Elam Ln/US Hwy 460 W
160,37.912554,-83.259415,Keaton Ave
362,37.921719,-83.256729,Weddell Ln
334,37.918984,-83.243219,Cs-1089/US Hwy 460 E
160,37.867000,-83.334749,US Hwy 460 W
160,37.922649,-83.274084,Townhouse Ct
185,37.932081,-83.268924,Dr Spencer Branch/Alec Spencer Dr
185,37.934485,-83.311158,John Will Stacy Dr
185,37.871065,-83.300840,Cr-1731/US Hwy 460 W
185,37.869571,-83.302946,US Hwy 460 W
216,37.873821,-83.436155,US Hwy 460 W
305,37.923213,-83.257535,Pine St//Turner St
160,37.923929,-83.273742,Townhouse Ln/Liberty Rd
216,37.903922,-83.276392,McClaim Way/US Hwy 460 W
160,37.812062,-83.339682,State Hwy 205
246,37.900543,-83.289816,Cs-1079
160,37.919364,-83.257259,Brooks Dr/Henry St/College St
160,37.749718,-83.259649,Bert T Combs Mountain Pkwy/State Hwy 134
160,37.917877,-83.270329,Cs-1007/Circle Dr
160,37.868025,-83.406853,Bryant Fork Rd
160,37.923726,-83.247232,Cs-1027/Brown Ln
160,37.880579,-83.256774,Havens Branch
160,37.880509,-83.258585,Havens Fork Rd
185,37.939040,-83.293430,Liberty Rd
276,37.919656,-83.412144,Hwy 1950
160,37.994475,-83.111139,Boyds Rd
160,37.915630,-83.411366,Robinson Fork Rd/Hwy 772
160,37.894130,-83.076950,Old House Rd
160,37.912941,-83.265022,/US Hwy 460 W
499,37.921398,-83.260609,Trimble St/Cs-1109
185,37.896080,-83.287060,US Hwy 460 W
160,37.883756,-83.291684,/Elam Ln
160,37.981426,-83.337073,Co Rd 1002/Hwy 519
160,37.891110,-83.434581,Old Ezel School Rd
185,37.870550,-83.296952,Centerville Rd/Church Ln
246,37.926168,-83.257971,Main St/Cs-1046
160,37.864783,-83.370104,Old Grassy Cemetery Rd/US Hwy 460 W
160,37.924758,-83.246540,Ratliff Ln/Cs-1027
216,37.882880,-83.438224,Hwy 772/US Hwy 460 W
418,37.918762,-83.260621,Main St/H B Place Rd
160,37.865579,-83.369328,/US Hwy 460 W
160,37.868914,-83.295564,Day Branch Rd
305,37.921042,-83.254511,US Hwy 460 E/Lewis Rd
185,37.919974,-83.246792,US Hwy 460 E
160,37.922701,-83.257330,Oak Ct/Poynter Ln/Poynter St
276,37.919798,-83.255472,Branch St/Glenn Ave/Cougar Aly
160,37.752481,-83.283691,Bert T Combs Mountain Pkwy
160,37.991155,-83.154290,Shady Pines Rd
390,37.897812,-83.287276,Liberty Rd
185,37.901470,-83.281873,US Hwy 460 W
390,37.915951,-83.261724,Norman St/Riverside Dr
418,37.917244,-83.260977,Main St/Gullett St
160,37.855350,-83.299953,Centerville Rd
305,37.920184,-83.260271,Main St/Court St
246,37.919963,-83.257224,College St/Glenn Ave
185,37.871579,-83.301421,Cr-1732/Cr-1731
160,37.891827,-83.440149,Ezel Cemetery Rd
216,37.939097,-83.293741,Woodside Ln/Liberty Rd
160,37.891973,-83.440259,Ezel Cemetery Rd/Liberty Ln
160,37.922490,-83.273327,Townhouse Ln
185,37.903139,-83.278533,Hutchison Rd/US Hwy 460 W
160,37.919019,-83.240282,Anderson Ln
185,37.855265,-83.471952,Stamper Ln
185,37.869055,-83.303918,US Hwy 460 W/State Hwy 205
160,37.924574,-83.275986,/Liberty Rd
160,37.994276,-83.111651,Boyds Rd
185,37.982986,-83.160368,Cr-1554
160,37.912410,-83.251478,Sunnyside Ln
160,37.920303,-83.267165,Cs-1007/Maple Ct
160,37.902343,-83.416931,Hwy 772
185,37.919274,-83.262769,Riverview Dr
160,37.969295,-83.280039,State Hwy 7/Johns Branch Rd
305,37.882302,-83.293228,/Elam Ln
216,37.913634,-83.257463,Trooper Ln
160,37.930133,-83.243057,Jessie Smith Rd/Walnut Rd
160,37.929368,-83.051532,State Hwy 589
276,37.920118,-83.266288,Liberty Rd/Cs-1096
185,37.916181,-83.249949,Dogwood Ln
185,37.866218,-83.367684,US Hwy 460 W/Leonard Havens Rd
160,37.922470,-83.247740,Cs-1027/Cs-1021
160,37.762667,-83.328383,Lacy Branch Rd/State Hwy 191
185,37.891570,-83.445229,US Hwy 460 W/Liberty St
185,37.946544,-83.287116,State Hwy 7
185,37.919258,-83.252771,Rupe Pl
160,37.887504,-83.258669,Sreele Branch Rd/Gordon Ford Rd
160,37.990995,-83.112410,Deaden Branch Rd
246,37.924387,-83.259957,Helton Ct
160,37.906501,-83.265613,Cs-1014
160,37.799098,-83.264809,Benton-Cravens Rd
276,37.924361,-83.258896,Main St/Peddler Pl
160,37.906149,-83.240215,County Garage Rd/US Hwy 460 E
160,37.904333,-83.212016,US Hwy 460 E
160,37.947428,-83.290398,Barber Rd/Hwy 519
445,37.921088,-83.258846,Ruth Ave/Cs-1046
362,37.922654,-83.260897,Riverside Dr/Cs-1059
185,37.817032,-83.298240,Buskirk-Stacy Fork Rd
246,37.930082,-83.260532,Holbrook Ln/Oscar Ln
160,37.912526,-83.251524,Oakwood Ln/Sunnyside Ln
362,37.917653,-83.262013,Riverside Dr/Elam St
160,37.928799,-83.050893,Cr-1547
185,37.880796,-83.262280,State Hwy 191/Evans Ln
