Estimated daily crossings,Latitude,Longitude,Name
160,37.612895,-82.331602,Pipeyard Hollow/Williamson Rd
160,37.223696,-82.534945,Elkhorn Creek
160,37.305684,-82.351838,Pine St
160,37.316618,-82.549613,US Hwy 23
160,37.317697,-82.363574,State Hwy 80
276,37.514148,-82.481742,/US Hwy 119 N/US Hwy 119
160,37.499301,-82.514565,/Ratliff Creek Rd
418,37.621764,-82.268202,Pearl St/US Hwy 119
160,37.313549,-82.473885,Childers Rd
216,37.584799,-82.402335,Open Fork/Bent Branch Rd
185,37.629314,-82.263012,Church House Hollow/US Hwy 119
1071,37.474294,-82.523840,/Park St
160,37.300919,-82.543318,US Hwy 23
216,37.442768,-82.521474,Moonlight Dr/S Mayo Trl
658,37.481727,-82.533264,Loraine St/Hambley Blvd
160,37.247792,-82.494659,Silver Spur Ln
160,37.486345,-82.520156,Bypass Rd/Layne Hollow Rd
418,37.479755,-82.542005,/Hambley Blvd
160,37.316841,-82.651662,Turkey Pen Rd
160,37.500100,-82.540530,Doe Run
160,37.620780,-82.167971,River Rd/State Hwy 1056
305,37.494699,-82.534197,Dogwood St
160,37.516843,-82.601321,Patrick Dr
631,37.483572,-82.520333,6th St/Hambley Blvd
185,37.445592,-82.479369,Chloe Rd/Sulpher Springs Hollow
1020,37.472817,-82.522700,S Bypass Rd/Harolds Branch
185,37.299131,-82.352331,Ball Park Rd/High St
160,37.531683,-82.159221,State Hwy 194/Justice Bottom
276,37.531114,-82.469432,/Zebulon Hwy
579,37.421228,-82.465285,Garden Village First St/E Shelbiana Rd
185,37.394189,-82.527883,US Hwy 23
276,37.458428,-82.529623,None/Island Creek Rd
160,37.453388,-82.354836,Grapevine Rd
185,37.535580,-82.568328,Lonesome Cedar Ln
185,37.381899,-82.434882,Bogar Dr
185,37.643555,-82.264070,US Hwy 119
160,37.297324,-82.354678,Virgie St
499,37.486084,-82.530437,Null/Redale Rd
185,37.513531,-82.474251,US Hwy 119 N
160,37.612599,-82.331322,Pipeyard Hollow/Williamson Rd
276,37.295079,-82.363762,Elkhorn Creek/Price Ave
160,37.411534,-82.427445,Dean St/Rosiland St
